"hour";"101";"102";"103";"104";"105";"106";"107";"108";"109";"110";"111";"112";"113";"114";"115";"116";"117";"118";"119";"120";"121";"122";"123";"124";"125";"126";"127";"128";"129";"130";"131";"132";"133";"134";"135";"136";"137";"138";"139";"140";"141";"142";"143";"144";"145";"146";"147";"148";"149";"150";"151";"152";"153";"154";"155";"156";"157"
"min";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"max";"5764.21116";"5764.21116";"5764.21116";"5764.21116";"5764.21116";"5764.21116";"5764.21116";"5764.21116";"5764.21116";"5764.21116";"5764.21116";"5764.21116";"5764.21116";"5764.21116";"5764.21116";"5764.21116";"5764.21116";"5764.21116";"5764.21116";"5764.21116";"5764.21116";"5764.21116";"5764.21116";"5764.21116";"5764.21116";"5764.21116";"5764.21116";"5764.21116";"5764.21116";"5764.21116";"5764.21116";"5764.21116";"5764.21116";"5764.21116";"5764.21116";"5764.21116";"5764.21116";"5764.21116";"5764.21116";"5764.21116";"5764.21116";"5764.21116";"5764.21116";"5764.21116";"5764.21116";"5764.21116";"5764.21116";"5764.21116";"5764.21116";"5764.21116";"5764.21116";"5764.21116";"5764.21116";"5764.21116";"5764.21116";"5764.21116";"5764.21116"
"4am";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";"0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";"0";" 0";" 0";" 0";"0";" 0";" 0";"0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0"
"5am";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0"
"6am";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0"
"7am";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"1650.277";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"2030.021";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"0";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000"
"8am";"3198.050";"1766.441";"   0.000";"   0.000";"   0.000";"1497.704";"   0.000";"   0.000";"1354.889";"2833.587";"   0.000";"1395.754";"   0.000";"2111.853";"   0.000";"   0.000";"   0.000";"   0.000";"2085.127";"1518.482";"   0.000";"   0.000";"   0.000";"3020.637";"2839.648";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"2205.461";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"1484.996";"   0.000";"2295.292";"   0.000";"   0.000";"1282.381";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"1761.477";"1369.685"
"9am";"4238.1443";"2091.6628";" 960.3355";"   0.0000";"   0.0000";"2407.3033";"   0.0000";"   0.0000";"1807.6312";"3055.7542";"   0.0000";"1217.1282";"   0.0000";"2336.7349";"   0.0000";"   0.0000";"1854.8421";"1703.9375";"2250.8740";"2156.8269";"   0.0000";"   0.0000";"1605.3584";"3687.9840";"4709.8455";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"1371.6156";"2039.9651";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"1846.8323";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"1780.9883";"   0.0000";"2607.9183";"   0.0000";"   0.0000";"1562.6873";"1922.1384";"   0.0000";"   0.0000";"1239.8018";"   0.0000";"1694.6271";"2461.9371"
"10am";"4653.379";"2108.046";"1441.971";"   0.000";"1176.066";"2443.584";"   0.000";"   0.000";"1642.718";"3112.200";"   0.000";"1404.591";"   0.000";"2676.358";"   0.000";"   0.000";"1782.207";"1829.699";"2268.233";"2043.989";"1741.545";"   0.000";"1639.955";"3244.164";"5016.283";"   0.000";"   0.000";"   0.000";"   0.000";"1371.616";"2347.425";"   0.000";"1209.901";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"1840.143";"   0.000";"   0.000";"   0.000";"   0.000";"1525.510";"1299.596";"2924.550";"   0.000";"   0.000";"1527.870";"1684.310";"   0.000";"   0.000";"1677.925";"   0.000";"1826.954";"2164.941"
