"variable","CODE_SEC","RES_SEC","W_IND"
"h7","102","101",32.51303
"h7","102","103",214.32938
"h7","102","104",103.2255
"h7","102","105",33.31133
"h7","102","106",93.78653
"h7","102","115",111.0905
"h7","102","119",428.7678
"h7","102","122",66.65778
"h7","102","124",84.50555
"h7","102","128",100.8351
"h7","102","146",92.39298
"h7","102","155",120.6834
"h7","106","101",104.7006
"h7","106","102",72.99001
"h7","106","111",57.58417
"h7","106","114",55.22144
"h7","106","115",53.5837
"h7","106","118",96.01279
"h7","106","119",116.0977
"h7","106","120",155.1927
"h7","106","127",271.5019
"h7","106","131",139.9103
"h7","106","134",85.01091
"h7","106","155",137.626
"h7","124","106",150.2722
"h7","124","107",59.77625
"h7","124","109",79.94082
"h7","124","110",94.7109
"h7","124","116",120.3247
"h7","124","117",418.6634
"h7","124","122",87.85105
"h7","124","126",112.9
"h7","124","127",95.24969
"h7","124","129",86.92879
"h7","124","130",139.6383
"h7","124","141",125.524
"h7","124","147",54.47666
"h7","125","101",37.22053
"h7","125","106",245.3106
"h7","125","109",90.79811
"h7","125","112",130.9183
"h7","125","114",212.20697
"h7","125","123",100.6644
"h7","125","124",262.4361
"h7","125","128",168.48806
"h7","125","132",156.5145
"h7","125","137",105.4141
"h7","125","141",154.7991
"h7","125","151",92.53121
"h7","125","155",146.2251
"h7","125","156",144.9809
"h8","101","102",98.52926
"h8","101","103",57.15044
"h8","101","105",108.5763
"h8","101","106",87.58899
"h8","101","109",117.886
"h8","101","115",76.56542
"h8","101","116",65.81757
"h8","101","118",368.54144
"h8","101","119",191.9253
"h8","101","121",140.9712
"h8","101","123",90.01059
"h8","101","124",367.88363
"h8","101","125",341.9925
"h8","101","126",110.9103
"h8","101","127",175.62757
"h8","101","152",164.1566
"h8","101","155",89.00406
"h8","101","157",133.0079
"h8","102","101",47.88093
"h8","102","103",303.38129
"h8","102","105",87.95236
"h8","102","106",93.78653
"h8","102","107",59.77625
"h8","102","108",100.817
"h8","102","109",79.94082
"h8","102","115",67.06725
"h8","102","117",111.7382
"h8","102","118",180.97485
"h8","102","119",428.7678
"h8","102","120",133.7712
"h8","102","121",211.0308
"h8","102","122",66.65778
"h8","102","124",88.57359
"h8","102","126",110.9103
"h8","102","128",100.8351
"h8","102","131",226.7005
"h8","102","146",92.39298
"h8","102","155",120.6834
"h8","102","157",237.90294
"h8","103","101",27.51308
"h8","103","105",136.8822
"h8","103","106",126.27891
"h8","103","111",80.05471
"h8","103","114",85.20546
"h8","103","127",139.25008
"h8","103","129",150.1923
"h8","103","156",158.0125
"h8","105","101",97.19705
"h8","105","104",247.68326
"h8","105","106",161.8942
"h8","105","107",83.4897
"h8","105","109",79.94082
"h8","105","114",90.54492
"h8","105","115",51.93995
"h8","105","116",234.55946
"h8","105","119",191.9253
"h8","105","120",56.83508
"h8","105","123",354.85464
"h8","105","127",157.05313
"h8","105","128",188.63226
"h8","105","145",58.94096
"h8","105","148",94.51985
"h8","105","150",96.65983
"h8","106","101",84.86633
"h8","106","102",193.17201
"h8","106","103",130.5164
"h8","106","105",136.8822
"h8","106","108",91.54387
"h8","106","111",57.58417
"h8","106","114",55.22144
"h8","106","115",53.5837
"h8","106","118",292.60809
"h8","106","119",185.6263
"h8","106","120",155.1927
"h8","106","121",179.6614
"h8","106","122",127.4662
"h8","106","127",390.7047
"h8","106","131",139.9103
"h8","106","134",85.01091
"h8","106","137",80.55578
"h8","106","150",108.4095
"h8","107","101",37.22053
"h8","107","102",93.58184
"h8","107","114",123.65261
"h8","107","115",53.5837
"h8","107","119",116.0977
"h8","107","120",72.70815
"h8","107","123",197.89822
"h8","107","124",104.2381
"h8","107","129",86.92879
"h8","107","132",144.4651
"h8","107","155",158.5338
"h8","107","156",83.08335
"h8","109","103",243.0376
"h8","109","105",108.5763
"h8","109","111",75.6195
"h8","109","116",100.8287
"h8","109","122",87.85105
"h8","109","127",154.29406
"h8","109","128",88.96473
"h8","109","136",153.3295
"h8","109","142",87.04821
"h8","110","101",65.02606
"h8","110","103",562.58563
"h8","110","104",206.451
"h8","110","105",217.85836
"h8","110","107",133.5038
"h8","110","109",79.94082
"h8","110","114",261.09246
"h8","110","115",67.06725
"h8","110","116",156.95548
"h8","110","128",127.7188
"h8","110","129",150.1923
"h8","110","134",65.91244
"h8","110","154",113.7708
"h8","110","155",195.71716
"h8","110","157",89.76926
"h8","114","103",89.05191
"h8","114","104",159.5446
"h8","114","111",115.78954
"h8","114","113",77.44626
"h8","114","117",102.2112
"h8","114","120",133.7712
"h8","114","121",151.6526
"h8","114","122",162.8077
"h8","114","124",196.34256
"h8","114","128",88.96473
"h8","114","129",80.32364
"h8","114","132",156.5145
"h8","114","134",117.5318
"h8","114","156",155.1448
"h8","118","107",198.40844
"h8","118","113",77.44626
"h8","118","115",137.21626
"h8","118","117",137.8685
"h8","118","119",88.39035
"h8","118","121",347.0076
"h8","118","122",253.4132
"h8","118","138",84.42364
"h8","118","140",172.1867
"h8","118","148",58.97158
"h8","118","156",135.7682
"h8","119","101",132.98239
"h8","119","102",51.63451
"h8","119","104",256.5085
"h8","119","106",161.8942
"h8","119","108",119.4538
"h8","119","111",122.57566
"h8","119","112",76.86227
"h8","119","116",88.42913
"h8","119","120",147.62397
"h8","119","122",114.2622
"h8","119","123",95.4021
"h8","119","126",110.9103
"h8","119","147",81.6866
"h8","119","156",70.08285
"h8","119","157",89.76926
"h8","123","107",133.5038
"h8","123","110",86.27031
"h8","123","116",96.79754
"h8","123","120",94.67914
"h8","123","124",199.6144
"h8","123","125",166.0997
"h8","123","127",119.2028
"h8","123","136",133.8595
"h8","123","141",130.8738
"h8","123","143",103.9153
"h8","123","146",105.7396
"h8","123","147",177.67052
"h8","123","149",77.86806
"h8","123","155",89.00406
"h8","123","156",83.08335
"h8","123","157",183.21514
"h8","124","101",47.88093
"h8","124","104",100.9286
"h8","124","109",243.20304
"h8","124","110",94.7109
"h8","124","112",93.40919
"h8","124","116",120.3247
"h8","124","117",418.6634
"h8","124","118",196.5953
"h8","124","120",72.70815
"h8","124","121",179.6614
"h8","124","122",87.85105
"h8","124","123",90.01059
"h8","124","125",251.57558
"h8","124","126",112.9
"h8","124","127",95.24969
"h8","124","128",50.69564
"h8","124","129",86.92879
"h8","124","141",125.524
"h8","124","147",54.47666
"h8","124","152",103.6385
"h8","124","157",81.79744
"h8","125","101",166.74499
"h8","125","102",120.182
"h8","125","106",245.3106
"h8","125","107",59.77625
"h8","125","109",90.79811
"h8","125","111",122.57566
"h8","125","112",378.4056
"h8","125","114",302.75189
"h8","125","115",63.21966
"h8","125","118",96.01279
"h8","125","120",72.70815
"h8","125","123",496.28711
"h8","125","124",825.7247
"h8","125","126",112.9
"h8","125","128",168.48806
"h8","125","129",80.32364
"h8","125","130",139.6383
"h8","125","132",156.5145
"h8","125","133",86.38625
"h8","125","137",105.4141
"h8","125","141",154.7991
"h8","125","145",83.98158
"h8","125","151",92.53121
"h8","125","155",281.8401
"h8","125","156",144.9809
"h8","130","102",131.8613
"h8","130","106",300.5444
"h8","130","111",63.01208
"h8","130","115",44.02325
"h8","130","119",191.9253
"h8","130","123",153.91561
"h8","130","127",95.24969
"h8","130","131",226.7005
"h8","130","132",141.9348
"h8","130","133",103.4924
"h8","130","134",66.88023
"h8","130","157",94.72022
"h8","131","102",168.61602
"h8","131","103",261.0328
"h8","131","104",100.9286
"h8","131","105",136.8822
"h8","131","107",111.092
"h8","131","108",96.9438
"h8","131","110",138.1425
"h8","131","111",73.3427
"h8","131","114",55.22144
"h8","131","115",44.02325
"h8","131","116",87.49415
"h8","131","117",113.6009
"h8","131","119",88.39035
"h8","131","124",196.34256
"h8","131","126",110.9103
"h8","131","128",314.77614
"h8","131","129",387.83914
"h8","131","133",215.8239
"h8","131","136",69.50661
"h8","131","150",93.62105
"h8","131","152",117.9153
"h8","131","156",171.8751
"h8","145","102",95.86048
"h8","145","107",111.092
"h8","145","109",79.94082
"h8","145","112",107.8884
"h8","145","115",76.56542
"h8","145","116",87.49415
"h8","145","124",63.21663
"h8","145","127",61.33225
"h8","145","139",134.9711
"h8","145","141",341.3849
"h8","145","146",100.4659
"h8","145","148",89.30226
"h8","145","151",147.8283
"h8","147","102",281.11925
"h8","147","103",89.05191
"h8","147","106",312.1664
"h8","147","109",181.59622
"h8","147","111",31.46233
"h8","147","114",55.22144
"h8","147","115",76.56542
"h8","147","120",220.33212
"h8","147","121",173.5038
"h8","147","122",186.3142
"h8","147","123",95.4021
"h8","147","126",103.2796
"h8","147","131",225.366
"h8","147","135",73.69796
"h8","147","137",156.6918
"h8","147","141",154.7991
"h8","147","143",85.94978
"h8","147","144",60.48834
"h8","147","146",210.31214
"h8","147","148",89.30226
"h8","147","150",80.65471
"h8","147","151",137.59909
"h8","147","154",250.882
"h8","147","156",350.56934
"h8","156","101",32.51303
