"hour","mode1","mode2","mode3"
"4am",0.2533,0.3092,0.2494
"5am",0.2558,0.3089,0.2502
"6am",0.2686,0.3067,0.2487
"7am",0.3096,0.3058,0.2167
"8am",0.3465,0.2856,0.1749
"9am",0.3419,0.2915,0.1792
"10am",0.3594,0.3138,0.1919
"11am",0.332,0.3022,0.1912
"12am",0.3217,0.3328,0.2225
"1pm",0.2988,0.3108,0.2134
"2pm",0.2918,0.3027,0.2105
"3pm",0.2899,0.3133,0.2144
"4pm",0.2768,0.308,0.2207
"5pm",0.2433,0.3013,0.2353
"6pm",0.2523,0.3062,0.236
"7pm",0.2437,0.3049,0.2413
"8pm",0.2412,0.3027,0.2385
"9pm",0.2367,0.3018,0.2422
"10pm",0.251,0.3043,0.2399
"11pm",0.2544,0.3074,0.2439
"12pm",0.247,0.305,0.246
"1am",0.2481,0.3073,0.248
"2am",0.2488,0.3082,0.2486
"3am",0.2492,0.3089,0.2496
