"hour","occ1","occ2","occ3","occ4","occ5"
"4am",0.1221,0.2593,0.2381,0.1468,0.2258
"5am",0.1248,0.2575,0.2385,0.1476,0.2284
"6am",0.1232,0.2629,0.2364,0.1547,0.2307
"7am",0.13,0.3454,0.2291,0.1991,0.2343
"8am",0.1566,0.3706,0.2199,0.2347,0.2511
"9am",0.1628,0.3877,0.2183,0.2488,0.2483
"10am",0.1611,0.3935,0.222,0.2408,0.2607
"11am",0.1648,0.3961,0.2278,0.2361,0.2574
"12am",0.1641,0.4012,0.2241,0.2301,0.2388
"1pm",0.1669,0.3947,0.2136,0.2296,0.2428
"2pm",0.1503,0.3843,0.193,0.2259,0.2451
"3pm",0.1408,0.3636,0.1924,0.2156,0.2314
"4pm",0.137,0.3378,0.2128,0.2058,0.2411
"5pm",0.1229,0.2758,0.2176,0.1681,0.2302
"6pm",0.1237,0.2567,0.2308,0.1524,0.23
"7pm",0.1238,0.254,0.237,0.1428,0.2344
"8pm",0.121,0.2476,0.2444,0.1438,0.2276
"9pm",0.1233,0.2558,0.2418,0.1408,0.2255
"10pm",0.1225,0.257,0.2397,0.1469,0.2247
"11pm",0.1251,0.2571,0.2398,0.1483,0.2233
"12pm",0.1243,0.2612,0.2405,0.1474,0.2288
"1am",0.1242,0.2608,0.2403,0.1462,0.2274
"2am",0.1242,0.2605,0.2407,0.1452,0.2273
"3am",0.1235,0.2605,0.2392,0.1443,0.2263
