"hour","resarea1","resarea2","resarea3"
"4am",0.5658779837049,0.515271080769764,0.520094538477476
"5am",0.565561351279689,0.515765661438448,0.519804328785025
"6am",0.566140908340282,0.520384762331098,0.524523189770202
"7am",0.564477173413034,0.530764327727378,0.539426570998362
"8am",0.565466312993857,0.530967777052265,0.53058682396682
"9am",0.563767730224097,0.537792258584108,0.536471116413463
"10am",0.555753001105555,0.549885873582892,0.552752455588013
"11am",0.569687122352422,0.546292283716509,0.549510820970675
"12am",0.568545397796022,0.536804270299165,0.541392147953074
"1pm",0.570342301395962,0.557050426184036,0.561431672334549
"2pm",0.566685854227646,0.569088514494424,0.571872822029122
"3pm",0.570194067478872,0.560682793714163,0.572171194371366
"4pm",0.561520922246866,0.54404085519033,0.556393873761314
"5pm",0.568306406009981,0.542905214709142,0.554754366598321
"6pm",0.570992167268528,0.536123479506109,0.548060581984454
"7pm",0.572765702875102,0.518703838276227,0.528303356337973
"8pm",0.56855885313009,0.510586231516028,0.517627691586999
"9pm",0.570114845914035,0.508480087794179,0.515430813878812
"10pm",0.570360514124913,0.510165722798316,0.515777816263331
"11pm",0.567084469322273,0.510070970416338,0.513775021165381
"12pm",0.567322765504761,0.513256886609711,0.517373610161569
"1am",0.567312594626651,0.5132983426533,0.517255262579224
"2am",0.56731181506362,0.514286079681825,0.518357152210534
"3am",0.56731446861283,0.515438317546429,0.519834591358748
