"hour","mode1","mode2","mode3"
"4am",0.74845156252271,0.80652082086269,0.645402691830174
"5am",0.759099452304324,0.805993684876972,0.641120692530436
"6am",0.775356031195927,0.796164793492456,0.623512077616427
"7am",0.758922397649967,0.778594519512812,0.572874416609551
"8am",0.789704983945699,0.764414652097975,0.457099332578518
"9am",0.775644377872821,0.756771799837693,0.415697184906581
"10am",0.781718852240904,0.762236929122064,0.374515246861077
"11am",0.794205649887413,0.767045247542945,0.404661035989
"12am",0.78046970422378,0.777802578524072,0.527050105469205
"1pm",0.768443648419402,0.774394326861061,0.524096526077594
"2pm",0.782397232475248,0.783946007856533,0.523940517519557
"3pm",0.780563820459368,0.78514892327761,0.544420243125793
"4pm",0.782132039148508,0.791301338212993,0.545709591224207
"5pm",0.765024912954189,0.814172894441551,0.616360489368363
"6pm",0.737466973503601,0.809656494074367,0.630713921165355
"7pm",0.755183241463994,0.808756562041854,0.620020987264142
"8pm",0.767122076072312,0.80697533411534,0.626469210346004
"9pm",0.758960414094897,0.809673619959752,0.636896824949162
"10pm",0.757613790543265,0.8083045641842,0.629931989410586
"11pm",0.74696876546057,0.804380842155729,0.635632724005241
"12pm",0.755480327677533,0.806160503228308,0.636755807368563
"1am",0.758115552637871,0.807003488759207,0.641025124868141
"2am",0.757136731516504,0.805045334585275,0.640065116183108
"3am",0.756409880935725,0.806060193835255,0.641212409606316
