"variable","CODE_SEC","RES_SEC","W_IND"
"h5","304","302",77.00913
"h5","304","303",212.34104
"h5","304","305",288.48198
"h5","304","306",268.21635
"h5","304","307",40.93825
"h5","304","605",71.9627
"h5","304","606",103.66362
"h5","304","612",107.25609
"h5","304","710",57.65615
"h6","253","237",37.15065
"h6","253","255",116.4214
"h6","253","306",55.68563
"h6","253","308",119.5704
"h6","253","601",53.87987
"h6","253","602",121.8523
"h6","253","603",52.68131
"h6","253","605",87.96404
"h6","253","606",63.31777
"h6","253","707",88.66612
"h6","253","710",55.23756
"h6","301","302",59.40863
"h6","301","303",77.86124
"h6","301","305",67.76357
"h6","301","307",199.14186
"h6","301","308",131.31637
"h6","301","602",86.85393
"h6","301","606",41.57861
"h6","301","608",230.93349
"h6","301","611",203.58879
"h6","301","612",156.31073
"h6","304","301",141.32521
"h6","304","302",77.00913
"h6","304","303",238.78646
"h6","304","305",288.48198
"h6","304","306",268.21635
"h6","304","307",94.71776
"h6","304","308",142.4929
"h6","304","603",73.56813
"h6","304","605",71.9627
"h6","304","606",103.66362
"h6","304","607",106.8239
"h6","304","612",207.19374
"h6","304","710",57.65615
"h7","116","253",40.36642
"h7","116","255",116.4214
"h7","116","302",28.80496
"h7","116","304",69.30137
"h7","116","305",112.21053
"h7","116","306",47.85121
"h7","116","307",91.74805
"h7","116","504",239.52419
"h7","116","508",147.0502
"h7","116","510",71.34895
"h7","116","514",138.4537
"h7","116","601",68.62124
"h7","116","604",108.3225
"h7","116","607",103.3526
"h7","116","608",88.69761
"h7","116","617",139.6497
"h7","116","701",69.41947
"h7","116","704",203.91619
"h7","116","709",91.37259
"h7","116","712",80.04115
"h7","121","255",126.9508
"h7","121","302",28.80496
"h7","121","306",47.85121
"h7","121","308",80.33051
"h7","121","517",41.38155
"h7","121","602",370.8118
"h7","121","604",73.09535
"h7","121","605",63.84491
"h7","121","608",85.41278
"h7","121","609",200.6991
"h7","121","710",121.0622
"h7","131","237",42.26258
"h7","131","253",47.26232
"h7","131","255",116.4214
"h7","131","307",51.2817
"h7","131","506",120.6555
"h7","131","508",102.6614
"h7","131","601",23.63938
"h7","131","603",73.56813
"h7","131","605",52.35661
"h7","131","612",99.93765
"h7","131","613",258.645
"h7","131","617",111.7198
"h7","131","704",83.52139
"h7","131","707",118.2215
"h7","131","710",57.7801
"h7","201","237",19.36013
"h7","201","255",316.10925
"h7","201","304",94.12141
"h7","201","505",170.9771
"h7","201","515",97.27885
"h7","201","519",86.97823
"h7","201","601",342.5553
"h7","201","602",148.1776
"h7","201","603",130.48883
"h7","201","605",61.93399
"h7","201","606",92.47152
"h7","201","712",98.7943
"h7","218","237",37.15065
"h7","218","304",69.30137
"h7","218","510",178.87212
"h7","218","514",77.15836
"h7","218","515",281.16257
"h7","218","519",92.82856
"h7","218","605",74.36141
"h7","218","613",206.916
"h7","218","707",179.9473
"h7","218","708",60.41898
"h7","219","506",125.4386
"h7","219","510",319.54438
"h7","219","511",112.6745
"h7","219","514",145.0537
"h7","219","515",122.1877
"h7","219","516",158.94989
"h7","219","517",508.06128
"h7","236","237",257.35345
"h7","236","253",158.82474
"h7","236","304",69.30137
"h7","236","601",92.26062
"h7","236","602",86.85393
"h7","236","603",73.56813
"h7","236","613",46.54466
"h7","236","617",39.12
"h7","236","704",59.17367
"h7","236","711",240.7658
"h7","236","712",35.71678
"h7","242","237",56.51078
"h7","242","253",23.35362
"h7","242","255",476.6275
"h7","242","304",69.30137
"h7","242","305",138.149
"h7","242","306",140.61347
"h7","242","405",68.76001
"h7","242","507",59.72027
"h7","242","510",140.1502
"h7","242","511",76.59035
"h7","242","515",152.7347
"h7","242","518",140.9031
"h7","242","602",320.0994
"h7","242","603",311.07943
"h7","242","604",108.3225
"h7","242","605",228.47472
"h7","242","609",89.44759
"h7","242","610",125.5134
"h7","242","611",49.42502
"h7","242","613",279.30165
"h7","242","701",98.6305
"h7","242","704",194.3911
"h7","244","303",69.14944
"h7","244","306",113.8149
"h7","244","519",53.61533
"h7","244","603",73.56813
"h7","244","612",69.20295
"h7","244","613",364.1144
"h7","244","617",38.80777
"h7","244","702",99.26822
"h7","244","704",37.1658
"h7","244","707",41.97577
"h7","244","711",127.0019
"h7","253","237",37.15065
"h7","253","255",186.43576
"h7","253","301",46.59777
"h7","253","303",163.68273
"h7","253","305",92.07588
"h7","253","308",239.1408
"h7","253","601",53.87987
"h7","253","602",121.8523
"h7","253","603",52.68131
"h7","253","604",72.54244
"h7","253","605",159.92674
