"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018";"019";"020";"021";"022";"023";"024";"025";"026";"027";"028";"029";"030";"031";"032";"033";"034";"035";"036";"037";"038";"039";"040";"041";"042";"043";"044";"045";"046";"047";"048";"049";"050";"051";"052";"053";"054";"055";"056";"057";"058";"059";"060";"061";"062";"063";"064";"065";"066";"067";"068";"069";"070";"071";"072";"073";"074";"075";"076";"077";"078";"079";"080";"081";"082";"083";"084";"085";"086";"087";"088";"089";"090";"091";"092";"093";"094";"095";"096";"097";"098";"099";"100";"101";"102";"103";"104";"105";"106";"107";"108";"109";"110";"111";"112";"113";"114";"115";"116";"117";"118";"119";"120";"121";"122";"123";"124";"125";"126";"127";"128";"129";"130";"131";"132";"133";"134";"135";"136";"137"
"min";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"max";"25079.424";"25079.424";"25079.424";"25079.424";"25079.424";"25079.424";"25079.424";"25079.424";"25079.424";"25079.424";"25079.424";"25079.424";"25079.424";"25079.424";"25079.424";"25079.424";"25079.424";"25079.424";"25079.424";"25079.424";"25079.424";"25079.424";"25079.424";"25079.424";"25079.424";"25079.424";"25079.424";"25079.424";"25079.424";"25079.424";"25079.424";"25079.424";"25079.424";"25079.424";"25079.424";"25079.424";"25079.424";"25079.424";"25079.424";"25079.424";"25079.424";"25079.424";"25079.424";"25079.424";"25079.424";"25079.424";"25079.424";"25079.424";"25079.424";"25079.424";"25079.424";"25079.424";"25079.424";"25079.424";"25079.424";"25079.424";"25079.424";"25079.424";"25079.424";"25079.424";"25079.424";"25079.424";"25079.424";"25079.424";"25079.424";"25079.424";"25079.424";"25079.424";"25079.424";"25079.424";"25079.424";"25079.424";"25079.424";"25079.424";"25079.424";"25079.424";"25079.424";"25079.424";"25079.424";"25079.424";"25079.424";"25079.424";"25079.424";"25079.424";"25079.424";"25079.424";"25079.424";"25079.424";"25079.424";"25079.424";"25079.424";"25079.424";"25079.424";"25079.424";"25079.424";"25079.424";"25079.424";"25079.424";"25079.424";"25079.424";"25079.424";"25079.424";"25079.424";"25079.424";"25079.424";"25079.424";"25079.424";"25079.424";"25079.424";"25079.424";"25079.424";"25079.424";"25079.424";"25079.424";"25079.424";"25079.424";"25079.424";"25079.424";"25079.424";"25079.424";"25079.424";"25079.424";"25079.424";"25079.424";"25079.424";"25079.424";"25079.424";"25079.424";"25079.424";"25079.424";"25079.424";"25079.424";"25079.424";"25079.424";"25079.424";"25079.424";"25079.424"
"4am";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"242.774";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";" 38.465";"  0.000";"  0.000";"  0.000";"  0.000"
"5am";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"242.774";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";" 38.465";"  0.000";"  0.000";"  0.000";"  0.000"
"6am";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";" 45.462";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"132.084";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"243.195";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";" 44.514";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";" 74.223";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"117.478";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";" 17.906";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";" 38.465";"  0.000";"  0.000";"  0.000";" 98.142"
"7am";"  0.000";"  0.000";"  0.000";"  0.000";" 32.074";"116.167";"  0.000";"  0.000";"140.736";"130.406";"155.187";"  0.000";"127.864";"  0.000";"151.528";"  0.000";" 62.438";"  0.000";" 80.256";"  0.000";"  0.000";"  0.000";"106.707";" 58.786";"  0.000";"  0.000";"  0.000";" 42.396";"  0.000";"  0.000";"  0.000";"  0.000";"273.578";"  0.000";" 98.356";"  0.000";"  0.000";"134.519";" 62.628";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";" 71.545";" 19.279";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";" 27.001";"  0.000";"  0.000";"  0.000";"106.895";"  0.000";"  0.000";"  0.000";"  0.000";" 19.279";" 43.589";" 95.116";"  0.000";" 95.116";" 37.048";"  0.000";" 63.107";"  0.000";"  0.000";"115.180";" 48.446";"  0.000";" 58.559";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";" 95.822";"  0.000";"  0.000";" 57.778";"  0.000";" 70.990";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";" 76.790";"  0.000";" 37.048";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  7.941";"  0.000";"149.912";"  0.000";"125.102";"  0.000";" 74.355";"  0.000";"  0.000";"  0.000";"  0.000";"482.087";" 50.346";"  0.000";"162.584";"  0.000"
"8am";" 324.475";"   0.000";" 142.663";" 459.084";" 456.811";"   0.000";"  62.507";" 708.485";" 435.497";" 325.302";" 143.700";" 242.774";" 339.870";" 545.211";" 339.795";" 177.204";"  92.210";" 315.477";" 160.512";" 153.566";"1687.292";"   0.000";"   0.000";" 190.870";" 159.418";"1078.487";"   0.000";"   0.000";" 102.647";"   0.000";" 139.381";" 255.373";" 491.570";"1126.789";" 446.432";" 223.875";"   0.000";" 968.135";" 144.479";" 121.798";" 222.506";" 168.962";"   0.000";"  70.390";"  42.396";"   0.000";" 139.249";" 183.897";"  90.856";" 499.053";" 878.409";"  93.192";" 110.933";"  31.314";"  26.784";"  18.036";"  55.395";" 211.630";"  66.639";" 184.768";"  77.873";"  38.909";"  84.540";"   0.000";"  69.217";"  82.085";" 399.006";"   0.000";"   0.000";" 710.399";"   0.000";" 178.297";" 469.243";" 208.067";" 203.328";" 198.423";" 345.132";"   0.000";"  58.559";" 499.985";"   0.000";"   0.000";"   0.000";" 149.190";"   0.000";"  90.566";"   0.000";"   0.000";"   0.000";"  64.325";"  30.425";" 233.180";" 345.522";"   0.000";"   0.000";" 297.664";"  32.700";"  71.197";"   0.000";" 125.964";"  50.890";"   0.000";" 152.915";" 241.788";" 209.182";"  17.732";"  42.926";"  80.761";" 133.932";"  52.956";" 130.792";"   0.000";" 431.737";" 667.704";" 281.579";"   0.000";" 141.610";" 283.945";" 382.697";"   0.000";" 116.293";"   0.000";" 127.546";" 424.263";" 155.156";" 124.564";" 196.398";" 183.377";"  51.275";" 157.097";" 115.031";"  64.291";" 514.396";" 186.471";" 111.754";" 397.195";" 196.284"
"9am";"1692.805";" 107.939";" 303.354";" 418.693";"2463.562";"  46.906";"  62.507";"1457.208";" 326.280";" 926.818";"1528.485";"1311.448";"2078.493";" 360.016";" 744.837";" 176.822";"   0.000";" 366.240";" 267.050";" 152.984";"2626.949";" 457.429";" 228.736";" 573.126";" 276.990";"2889.233";" 260.250";" 340.187";"1035.263";"1397.484";" 147.258";"   0.000";" 194.805";"1256.190";" 640.753";" 269.421";"   0.000";"2686.737";" 198.167";" 984.828";" 880.755";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";" 552.467";" 337.605";" 458.199";" 669.240";"3306.220";" 155.232";" 282.531";"   0.000";"  36.072";"  18.084";" 116.651";"1435.091";"  66.639";" 278.534";" 757.332";"  57.296";"   0.000";"  35.373";"  91.438";"  19.279";" 358.379";"  91.687";" 102.275";" 875.966";"  96.175";" 200.011";"2035.000";" 412.366";" 145.912";" 400.937";" 252.917";"  38.353";" 646.076";" 607.356";"   0.000";" 112.310";"  62.343";"1309.935";" 553.709";" 165.826";" 261.379";" 349.327";" 131.526";"   0.000";"  52.478";" 575.499";"1713.466";"  28.598";"  62.818";" 414.658";" 101.474";" 104.670";" 205.259";" 251.412";" 566.144";"  73.497";"  64.688";"1154.796";" 496.366";"  17.732";" 217.197";" 306.567";" 216.282";" 229.733";"   0.000";" 259.364";" 819.988";"1594.347";" 718.620";"  85.443";" 213.663";"1102.752";" 652.187";"  25.592";"1411.287";"   0.000";"1163.182";"1197.456";" 350.088";" 136.650";" 205.256";" 438.219";" 352.080";" 195.021";"  21.604";"   0.000";" 847.531";" 629.751";"  89.277";" 334.242";"  98.142"
"10am";"2685.984";" 190.639";" 288.762";"1251.929";"4249.549";" 460.542";" 125.014";"2351.313";" 517.531";"1018.632";"1145.923";"1224.790";"1066.997";" 810.240";" 997.024";" 502.124";" 491.674";" 990.218";" 285.380";"  43.791";"2037.157";" 339.712";" 256.178";"1900.983";"  79.709";"2863.353";" 124.274";" 234.178";"1275.024";" 830.547";"   0.000";" 448.973";" 204.578";"1686.399";"1176.623";" 403.331";"   0.000";"3223.078";" 859.461";"1681.988";" 824.804";" 180.015";"  27.239";"  70.390";" 105.997";" 136.044";"   0.000";" 675.210";" 425.756";" 792.547";"4335.169";" 184.086";" 471.964";" 127.237";"  26.784";"  45.437";" 105.949";"2980.838";" 129.377";" 389.756";"1899.931";"  77.818";"   0.000";"  63.987";" 105.145";" 148.168";" 263.160";"  27.401";"  18.084";"2298.944";"  79.879";" 130.067";"3993.029";" 212.997";" 175.644";"1013.903";" 912.742";"  89.443";" 799.022";"1003.075";" 253.820";" 102.506";"  39.954";"2516.669";" 975.123";" 987.960";"   0.000";" 168.194";"   0.000";" 234.894";" 184.566";" 883.214";"2224.557";"  75.381";" 180.591";" 341.621";" 108.222";"  36.074";"  72.911";" 489.207";" 538.714";"   0.000";" 221.630";" 802.196";" 238.539";" 145.025";" 195.221";" 197.742";" 349.483";" 117.119";"   0.000";" 671.108";"1335.462";"1371.981";" 366.307";" 454.307";" 358.245";"1335.381";" 686.681";" 157.321";" 635.481";"   0.000";"1266.378";" 826.981";" 472.795";" 430.764";" 216.037";" 284.776";" 271.745";"  93.473";" 242.543";" 116.117";"1498.113";"1097.793";"  68.048";" 449.051";" 375.174"
"11am";"2435.603";" 333.999";"  29.901";" 133.905";"2988.966";" 311.308";"  62.507";"1492.937";" 157.087";"  73.492";" 631.267";"1474.653";" 191.219";" 496.386";" 303.310";" 254.985";" 264.254";" 447.979";" 149.700";"  21.727";" 802.727";" 327.746";"   0.000";" 369.044";"  97.745";" 950.309";" 129.921";" 276.574";" 559.182";" 491.818";"  65.840";"   0.000";" 108.553";"1066.626";"1637.039";" 286.107";"  42.396";"3118.686";" 151.594";"1040.910";" 103.487";"  64.792";"   0.000";"   0.000";"  24.410";"   0.000";"   0.000";" 349.984";" 355.995";" 352.646";"2742.651";" 617.666";" 149.547";"  40.271";"  62.087";" 125.406";"  27.001";"3394.722";"  59.426";"  76.585";" 618.330";"   0.000";"   0.000";"   0.000";"  59.426";"  66.083";" 231.638";"   0.000";"  59.222";"1052.113";"  32.665";" 165.039";"1260.699";"  39.824";" 529.106";" 257.982";"  76.706";"   0.000";" 135.803";" 257.045";"   0.000";"   0.000";"  62.650";"1302.850";" 370.041";" 274.073";"  56.096";" 144.508";"  53.833";"   0.000";"  84.878";" 775.252";"1742.307";" 137.743";" 127.349";" 197.526";"   0.000";"  33.473";"  99.261";" 347.928";" 152.931";"   0.000";"  99.284";" 178.363";"  78.755";"   0.000";"  74.223";"  42.926";" 108.346";"   0.000";"   0.000";"  90.213";" 632.409";"1281.799";" 240.630";"  73.544";" 422.576";" 265.570";" 339.028";"   0.000";" 242.218";"   0.000";" 643.366";" 417.527";" 382.664";"  68.325";"  39.163";"   0.000";"  51.275";"   0.000";" 184.880";" 118.183";" 748.911";" 682.845";"  21.924";"  27.164";"  35.859"
