"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018";"019";"020";"021";"022";"023";"024";"025";"026";"027";"028";"029";"030";"031";"032";"033";"034";"035";"036";"037";"038";"039";"040";"041";"042";"043";"044";"045";"046";"047";"048";"049";"050";"051";"052";"053";"054";"055";"056";"057";"058";"059";"060";"061";"062";"063";"064";"065";"066";"067";"068";"069";"070";"071";"072";"073";"074";"075";"076";"077";"078";"079";"080";"081";"082";"083";"084";"085";"086";"087";"088";"089";"090";"091";"092";"093";"094";"095";"096";"097";"098";"099";"100";"101";"102";"103";"104";"105";"106";"107";"108";"109";"110";"111";"112";"113";"114";"115";"116";"117";"118";"119";"120";"121";"122";"123";"124";"125";"126";"127";"128";"129";"130";"131";"132";"133";"134";"135";"136";"137"
"min";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"max";"71.1792886902211";"71.1792886902211";"71.1792886902211";"71.1792886902211";"71.1792886902211";"71.1792886902211";"71.1792886902211";"71.1792886902211";"71.1792886902211";"71.1792886902211";"71.1792886902211";"71.1792886902211";"71.1792886902211";"71.1792886902211";"71.1792886902211";"71.1792886902211";"71.1792886902211";"71.1792886902211";"71.1792886902211";"71.1792886902211";"71.1792886902211";"71.1792886902211";"71.1792886902211";"71.1792886902211";"71.1792886902211";"71.1792886902211";"71.1792886902211";"71.1792886902211";"71.1792886902211";"71.1792886902211";"71.1792886902211";"71.1792886902211";"71.1792886902211";"71.1792886902211";"71.1792886902211";"71.1792886902211";"71.1792886902211";"71.1792886902211";"71.1792886902211";"71.1792886902211";"71.1792886902211";"71.1792886902211";"71.1792886902211";"71.1792886902211";"71.1792886902211";"71.1792886902211";"71.1792886902211";"71.1792886902211";"71.1792886902211";"71.1792886902211";"71.1792886902211";"71.1792886902211";"71.1792886902211";"71.1792886902211";"71.1792886902211";"71.1792886902211";"71.1792886902211";"71.1792886902211";"71.1792886902211";"71.1792886902211";"71.1792886902211";"71.1792886902211";"71.1792886902211";"71.1792886902211";"71.1792886902211";"71.1792886902211";"71.1792886902211";"71.1792886902211";"71.1792886902211";"71.1792886902211";"71.1792886902211";"71.1792886902211";"71.1792886902211";"71.1792886902211";"71.1792886902211";"71.1792886902211";"71.1792886902211";"71.1792886902211";"71.1792886902211";"71.1792886902211";"71.1792886902211";"71.1792886902211";"71.1792886902211";"71.1792886902211";"71.1792886902211";"71.1792886902211";"71.1792886902211";"71.1792886902211";"71.1792886902211";"71.1792886902211";"71.1792886902211";"71.1792886902211";"71.1792886902211";"71.1792886902211";"71.1792886902211";"71.1792886902211";"71.1792886902211";"71.1792886902211";"71.1792886902211";"71.1792886902211";"71.1792886902211";"71.1792886902211";"71.1792886902211";"71.1792886902211";"71.1792886902211";"71.1792886902211";"71.1792886902211";"71.1792886902211";"71.1792886902211";"71.1792886902211";"71.1792886902211";"71.1792886902211";"71.1792886902211";"71.1792886902211";"71.1792886902211";"71.1792886902211";"71.1792886902211";"71.1792886902211";"71.1792886902211";"71.1792886902211";"71.1792886902211";"71.1792886902211";"71.1792886902211";"71.1792886902211";"71.1792886902211";"71.1792886902211";"71.1792886902211";"71.1792886902211";"71.1792886902211";"71.1792886902211";"71.1792886902211";"71.1792886902211";"71.1792886902211";"71.1792886902211";"71.1792886902211";"71.1792886902211";"71.1792886902211"
"4am";"54.13010";"33.71989";"52.94813";"44.65980";"52.26566";"49.48717";"48.70657";"38.75753";"45.14586";"42.64119";"50.87151";"44.41631";"46.66001";"47.28567";"46.45253";"43.24297";"55.02982";"45.46372";"46.08584";"46.81662";"44.46109";"39.79225";"45.05566";"43.76912";"50.29305";"51.02349";"56.66095";"41.53054";"48.32639";"52.26932";"49.79830";"38.93322";"49.10923";"44.50603";"46.31225";"55.68712";"58.40167";"55.42534";"46.45629";"45.29039";"44.41836";"50.24875";"55.19854";"49.68833";"53.63946";"42.78308";"51.87227";"48.00526";"48.42662";"51.51635";"51.45516";"60.86616";"60.79337";"61.70684";"69.90949";"61.35031";"61.67254";"57.20016";"49.99718";"51.48815";"50.80526";"66.33283";"55.30561";"64.48344";"52.43862";"57.71632";"53.45418";"53.36464";"62.59433";"49.24509";"60.85292";"51.26143";"58.40668";"50.75942";"48.01404";"46.02072";"53.38858";"59.28324";"49.18691";"63.56043";"65.81421";"60.29156";"60.45323";"29.13273";"32.40689";"36.27190";"34.80174";"45.50091";"48.59893";"48.85247";"40.22488";"60.67962";"62.55503";"56.68345";"54.07743";"59.72061";"46.20271";"55.06624";"56.51503";"56.81533";"54.22054";"65.80766";"49.93640";"46.59308";"57.66033";"52.58408";"48.14860";"50.96744";"54.40843";"65.02117";"45.25077";"44.51870";"45.42319";"51.92890";"44.63959";"56.22387";"55.08698";"57.03235";"42.98325";"58.97596";"49.34572";"46.39967";"60.58027";"45.92514";"62.14282";"62.62786";"43.84500";"52.21138";"62.10212";"58.88894";"54.15921";"59.82581";"51.11627";"48.08394";"56.85123";"56.10344";"59.36534"
"5am";"54.55393";"33.16061";"52.19684";"44.78359";"52.72397";"50.02280";"50.03960";"40.45719";"46.78625";"44.70500";"50.97306";"44.03260";"48.45570";"47.90960";"45.70286";"42.49331";"55.44426";"46.00635";"46.38889";"46.98176";"44.96278";"39.68930";"44.84165";"44.00140";"49.28601";"47.82716";"55.25637";"39.80839";"48.42996";"52.54387";"49.51627";"37.05662";"48.28726";"44.18577";"47.29820";"54.50720";"56.89828";"54.51609";"46.32359";"43.83612";"44.22039";"49.70636";"54.50644";"48.06010";"53.55133";"43.65960";"51.60757";"48.00526";"47.42102";"49.74380";"53.72804";"61.34625";"60.80284";"62.80254";"69.67418";"60.56873";"61.05372";"58.66139";"50.22133";"50.90363";"51.18239";"66.33283";"56.30654";"64.48344";"52.03301";"57.17190";"53.51887";"52.73570";"61.46424";"48.37361";"59.94147";"52.07634";"59.09705";"50.94567";"47.44932";"48.44191";"53.05151";"58.81239";"50.85542";"64.05755";"65.49570";"59.95550";"60.22863";"30.90811";"33.02682";"36.51840";"35.10007";"44.64919";"49.33964";"47.54142";"42.82572";"59.03394";"60.00145";"56.17330";"54.12908";"59.83608";"46.47916";"54.64364";"55.69779";"56.51302";"54.65071";"65.30735";"51.06972";"45.79708";"56.55930";"53.69506";"48.30686";"51.15740";"53.25500";"65.45765";"44.84591";"44.26590";"44.55837";"51.33032";"46.01176";"55.94902";"54.13952";"57.01863";"43.40983";"58.79144";"49.04556";"46.66352";"60.87894";"46.68740";"61.94719";"60.58502";"43.84500";"52.21138";"62.35208";"59.28620";"54.79954";"59.33482";"50.56898";"49.25637";"57.83921";"57.07081";"59.36534"
"6am";"54.11906";"35.41233";"56.12545";"45.56230";"53.20857";"50.50490";"48.94235";"40.90830";"45.18243";"46.58650";"50.49219";"45.52894";"50.44919";"48.28893";"48.19599";"44.33752";"51.74756";"45.30007";"44.67677";"46.57390";"45.42475";"39.46023";"43.43093";"43.40548";"47.87520";"41.77438";"52.55894";"42.04737";"46.39815";"50.42223";"50.08244";"37.93883";"49.83235";"43.68389";"48.04843";"53.44555";"55.24034";"56.19964";"46.20585";"41.74487";"44.67280";"46.76699";"53.71458";"49.20658";"56.58932";"43.98538";"49.42425";"48.06023";"47.74822";"47.45200";"54.76937";"63.11222";"60.47625";"61.06733";"68.87460";"58.86500";"57.69312";"58.66058";"49.12433";"50.89433";"50.35602";"65.32490";"55.65139";"65.03229";"50.71579";"57.50117";"52.70950";"56.68525";"61.09147";"48.52607";"59.66926";"51.79813";"60.15582";"47.83713";"46.47924";"50.57765";"54.61389";"57.74159";"46.95992";"65.54594";"64.91965";"60.90102";"60.06263";"30.97271";"36.43029";"36.72292";"32.78538";"42.95738";"48.75111";"44.35412";"41.36153";"58.20826";"61.83783";"53.97319";"53.37631";"58.81790";"45.18597";"54.97503";"55.30570";"55.64908";"54.67983";"64.69576";"50.59802";"47.68480";"58.75991";"54.32540";"47.53578";"49.20537";"51.60142";"65.13797";"43.12349";"41.57380";"45.01665";"52.99872";"45.66871";"57.29157";"53.28258";"55.47114";"44.87160";"56.43207";"46.57107";"45.72112";"59.81690";"47.14810";"58.84821";"60.71788";"42.31705";"50.82367";"62.55884";"60.26485";"54.60148";"58.88952";"49.90139";"50.49901";"57.01529";"58.22676";"57.76855"
"7am";"54.89265";"43.69547";"58.35261";"44.98977";"52.25699";"51.79638";"48.32808";"44.87974";"45.62251";"41.73028";"47.04536";"45.23448";"53.06924";"49.54218";"50.93008";"54.64258";"58.33402";"45.98296";"42.34667";"43.07032";"42.54002";"47.34959";"43.16773";"42.35981";"45.23611";"35.76548";"40.79377";"41.96359";"46.04303";"50.35567";"54.05009";"37.91189";"55.33169";"43.65643";"47.36524";"51.15386";"57.40635";"56.79610";"42.16693";"38.76079";"47.14490";"45.62603";"50.59364";"52.26379";"54.22363";"44.48482";"49.76412";"46.21063";"44.45756";"41.23059";"55.91123";"60.43928";"55.68509";"61.70042";"69.55493";"59.02525";"62.25723";"62.43229";"45.37285";"47.01243";"49.15556";"63.15797";"56.39802";"68.14129";"50.42946";"51.88247";"52.25104";"60.19696";"52.47299";"50.35502";"57.79942";"47.02146";"56.99922";"49.60647";"51.15378";"50.93848";"56.19903";"59.89661";"46.86415";"64.56025";"64.76973";"60.15097";"54.23001";"32.40151";"41.18045";"36.79300";"29.19091";"38.04916";"47.14374";"45.37249";"30.33190";"55.08945";"60.84039";"49.36513";"55.45631";"55.42169";"52.51840";"53.40185";"55.85412";"55.77483";"57.20820";"62.15520";"55.37701";"45.58658";"55.58371";"53.76324";"48.09435";"55.74188";"53.79484";"64.71373";"43.88279";"37.12354";"39.19210";"52.03287";"49.34067";"58.34631";"53.47041";"52.23239";"43.33059";"56.87225";"47.54224";"33.84842";"57.38748";"51.21041";"54.34356";"65.68013";"43.73820";"52.26203";"63.39869";"59.07076";"55.88039";"56.20548";"45.54191";"54.64016";"53.48302";"55.03262";"56.71902"
"8am";"56.61928";"40.95021";"53.73817";"43.19166";"56.62102";"52.04030";"47.78685";"47.65748";"44.23953";"43.30405";"45.72297";"45.19517";"52.83169";"51.05917";"53.21459";"55.65015";"56.67922";"43.59735";"44.89866";"40.59886";"47.02473";"46.23634";"44.09796";"42.10614";"46.99030";"34.09506";"38.32290";"43.67979";"45.19800";"48.36748";"55.35399";"39.64382";"50.86418";"43.63871";"48.55363";"46.99313";"59.08746";"52.07715";"41.77284";"39.25867";"51.48665";"47.14227";"48.93091";"55.41066";"59.20504";"45.73229";"46.37175";"47.36827";"42.60001";"41.99760";"60.98867";"56.84024";"52.65302";"59.86195";"66.38600";"53.36843";"60.19611";"59.49918";"47.39632";"46.53411";"48.48263";"57.36662";"56.37763";"66.39213";"45.86779";"46.06649";"50.36808";"57.74605";"52.54376";"50.42437";"51.88411";"39.37528";"56.15385";"50.91463";"52.49445";"57.55224";"51.29738";"53.71739";"45.44800";"62.83215";"59.93471";"66.00862";"52.15072";"42.18658";"45.65267";"36.47578";"27.07027";"40.35264";"44.14411";"47.35433";"33.09745";"52.60929";"64.95447";"42.16192";"57.28735";"53.09833";"51.37779";"49.34954";"52.72300";"57.93873";"58.64277";"63.33222";"59.38257";"45.23405";"56.88428";"49.14640";"47.98062";"58.05474";"60.59748";"63.98399";"38.88717";"34.10810";"38.67640";"50.19518";"49.62543";"58.12550";"53.55657";"52.85223";"40.99375";"48.41714";"46.46685";"52.42488";"55.30491";"54.70344";"53.84320";"65.88872";"44.70603";"53.55184";"63.43746";"58.83986";"57.61860";"54.07621";"46.68462";"53.90439";"55.85695";"51.20262";"56.32454"
"9am";"56.30148";"41.62405";"56.46081";"42.07340";"55.31844";"51.39411";"49.22898";"52.49291";"46.36990";"43.10849";"46.97959";"45.49367";"49.28136";"53.21698";"53.61983";"52.18642";"54.18336";"45.87855";"45.10528";"40.76102";"43.26813";"47.32329";"42.98623";"49.17202";"48.54841";"36.69587";"40.63699";"44.84568";"43.41446";"47.53679";"54.46940";"42.19324";"51.37507";"45.74017";"48.44818";"46.22267";"61.17458";"52.67493";"41.07325";"40.08938";"48.49439";"45.22833";"49.43981";"58.13203";"60.23501";"40.25227";"49.04905";"48.56265";"43.07948";"43.42924";"61.14851";"56.54594";"54.39111";"64.38738";"65.07745";"53.47386";"65.18762";"61.40988";"46.56965";"45.83457";"47.85219";"54.75025";"53.99469";"66.09226";"45.03948";"46.30557";"47.94406";"62.78798";"49.40174";"48.22801";"47.38417";"43.64144";"56.60246";"48.71533";"53.06600";"55.13571";"52.03319";"55.51150";"47.53047";"61.66614";"61.42045";"67.25472";"50.20041";"47.55056";"43.02219";"39.13328";"21.88135";"37.55958";"41.33351";"44.73321";"39.43208";"52.17786";"61.57171";"44.89628";"58.88347";"53.08083";"53.17883";"50.04893";"49.65187";"60.37398";"57.41921";"57.50826";"60.03490";"48.05093";"57.35250";"52.25946";"47.38110";"57.71427";"58.84125";"62.31018";"39.10194";"30.05599";"39.50912";"47.66512";"52.15831";"56.46946";"53.53004";"53.99713";"42.57072";"49.29149";"45.77603";"41.89495";"58.27592";"51.67583";"52.80707";"66.45929";"44.20760";"53.28834";"62.65072";"60.48906";"58.06314";"53.32484";"46.99991";"55.82283";"55.63366";"51.37596";"57.37765"
"10am";"54.52584";"41.85673";"56.71327";"41.03679";"56.69780";"50.38528";"49.22985";"52.84404";"47.74812";"39.69396";"46.46021";"46.07707";"52.02146";"52.90457";"55.12682";"48.76452";"51.26785";"47.90500";"43.04171";"43.04171";"45.11418";"51.20834";"45.12504";"47.65970";"48.59199";"33.33123";"39.17831";"44.26256";"41.20422";"43.39139";"56.27829";"41.36677";"54.53114";"47.22098";"45.36238";"46.16231";"64.95271";"55.31161";"40.52344";"43.13107";"54.15627";"43.92378";"40.53785";"55.78145";"59.68286";"42.56867";"47.57992";"51.17082";"45.60965";"42.55471";"61.44117";"57.36691";"54.20965";"62.90090";"64.03710";"56.08743";"62.65608";"55.62725";"43.91060";"46.76345";"48.96193";"56.35737";"50.29151";"66.70354";"49.90797";"49.95555";"45.60663";"64.22322";"48.22472";"49.83501";"48.77877";"45.14191";"57.01999";"53.65464";"52.61268";"49.95721";"55.16372";"56.65054";"50.63448";"59.16656";"60.67669";"64.24104";"51.36203";"45.57860";"40.43688";"39.33156";"19.82509";"35.51196";"47.99153";"45.80784";"39.51282";"51.05696";"61.27678";"42.88399";"55.04863";"52.62916";"51.87051";"50.87921";"47.80171";"56.69785";"56.77646";"54.55087";"60.98759";"48.14952";"56.71566";"52.36735";"44.29330";"58.84898";"57.67177";"59.21160";"38.38079";"36.65171";"38.38566";"47.86921";"49.62613";"59.40832";"50.72380";"52.67709";"43.71226";"51.16204";"49.49171";"46.72569";"57.66117";"51.48795";"55.52637";"67.43779";"42.66206";"51.74176";"63.52511";"59.32663";"56.29324";"53.87137";"48.15737";"57.90114";"54.84427";"50.03359";"55.42779"
"11am";"53.32693";"47.85965";"53.28776";"39.50910";"58.13380";"51.58125";"51.13724";"51.37959";"45.56782";"39.02307";"46.77321";"46.28020";"54.28681";"53.57251";"53.73821";"52.48125";"51.04940";"41.47512";"42.75240";"43.73205";"42.63843";"50.45207";"45.06744";"51.54721";"50.27650";"32.12980";"40.04713";"44.58028";"44.00152";"44.50248";"56.55220";"42.33184";"53.09903";"46.88618";"45.91936";"49.63626";"67.78111";"51.29183";"43.24635";"43.26693";"47.95058";"39.17647";"40.83681";"53.33494";"59.51902";"41.74471";"48.39368";"50.66750";"48.15644";"44.47400";"63.69552";"53.76824";"57.06764";"63.29958";"65.88622";"55.29685";"62.41350";"54.98865";"43.87564";"46.69007";"47.48686";"52.58807";"49.73595";"66.26399";"49.55881";"51.24747";"45.12698";"65.90884";"49.30614";"49.21932";"50.16797";"45.89194";"57.31468";"46.25345";"46.99777";"53.32153";"56.27871";"53.25615";"48.58519";"57.79357";"63.53492";"65.75496";"50.81140";"44.86053";"40.82024";"42.59769";"18.81989";"37.27446";"47.68579";"43.87547";"37.32230";"47.98232";"59.57520";"36.55090";"59.25135";"54.67270";"53.25632";"52.97846";"47.05104";"55.14982";"56.45390";"54.96530";"61.15969";"46.28487";"53.67720";"53.91897";"42.86192";"58.26788";"54.30191";"58.42721";"39.49896";"36.09348";"38.28739";"44.48807";"52.39964";"60.49854";"52.86547";"54.44095";"43.81504";"47.14817";"49.32606";"48.91782";"58.43635";"48.26528";"57.30110";"65.87336";"45.07822";"52.14094";"63.16439";"60.78781";"56.22323";"51.77721";"49.99466";"56.93425";"51.08128";"52.94369";"54.23398"
