"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018";"019";"020";"021";"022";"023";"024";"025";"026";"027";"028";"029";"030";"031";"032";"033";"034";"035";"036";"037";"038";"039";"040";"041";"042";"043";"044";"045";"046";"047";"048";"049";"050";"051";"052";"053";"054";"055";"056";"057";"058";"059";"060";"061";"062";"063";"064";"065";"066";"067";"068";"069";"070";"071";"072";"073";"074";"075";"076";"077";"078";"079";"080";"081";"082";"083";"084";"085";"086";"087";"088";"089";"090";"091";"092";"093";"094";"095";"096";"097";"098";"099";"100";"101";"102";"103";"104";"105";"106";"107";"108";"109";"110";"111";"112";"113";"114";"115";"116";"117";"118";"119";"120";"121";"122";"123";"124";"125";"126";"127";"128";"129";"130";"131";"132";"133";"134";"135";"136";"137"
"min";"0.966871755242041";"0.966871755242041";"0.966871755242041";"0.966871755242041";"0.966871755242041";"0.966871755242041";"0.966871755242041";"0.966871755242041";"0.966871755242041";"0.966871755242041";"0.966871755242041";"0.966871755242041";"0.966871755242041";"0.966871755242041";"0.966871755242041";"0.966871755242041";"0.966871755242041";"0.966871755242041";"0.966871755242041";"0.966871755242041";"0.966871755242041";"0.966871755242041";"0.966871755242041";"0.966871755242041";"0.966871755242041";"0.966871755242041";"0.966871755242041";"0.966871755242041";"0.966871755242041";"0.966871755242041";"0.966871755242041";"0.966871755242041";"0.966871755242041";"0.966871755242041";"0.966871755242041";"0.966871755242041";"0.966871755242041";"0.966871755242041";"0.966871755242041";"0.966871755242041";"0.966871755242041";"0.966871755242041";"0.966871755242041";"0.966871755242041";"0.966871755242041";"0.966871755242041";"0.966871755242041";"0.966871755242041";"0.966871755242041";"0.966871755242041";"0.966871755242041";"0.966871755242041";"0.966871755242041";"0.966871755242041";"0.966871755242041";"0.966871755242041";"0.966871755242041";"0.966871755242041";"0.966871755242041";"0.966871755242041";"0.966871755242041";"0.966871755242041";"0.966871755242041";"0.966871755242041";"0.966871755242041";"0.966871755242041";"0.966871755242041";"0.966871755242041";"0.966871755242041";"0.966871755242041";"0.966871755242041";"0.966871755242041";"0.966871755242041";"0.966871755242041";"0.966871755242041";"0.966871755242041";"0.966871755242041";"0.966871755242041";"0.966871755242041";"0.966871755242041";"0.966871755242041";"0.966871755242041";"0.966871755242041";"0.966871755242041";"0.966871755242041";"0.966871755242041";"0.966871755242041";"0.966871755242041";"0.966871755242041";"0.966871755242041";"0.966871755242041";"0.966871755242041";"0.966871755242041";"0.966871755242041";"0.966871755242041";"0.966871755242041";"0.966871755242041";"0.966871755242041";"0.966871755242041";"0.966871755242041";"0.966871755242041";"0.966871755242041";"0.966871755242041";"0.966871755242041";"0.966871755242041";"0.966871755242041";"0.966871755242041";"0.966871755242041";"0.966871755242041";"0.966871755242041";"0.966871755242041";"0.966871755242041";"0.966871755242041";"0.966871755242041";"0.966871755242041";"0.966871755242041";"0.966871755242041";"0.966871755242041";"0.966871755242041";"0.966871755242041";"0.966871755242041";"0.966871755242041";"0.966871755242041";"0.966871755242041";"0.966871755242041";"0.966871755242041";"0.966871755242041";"0.966871755242041";"0.966871755242041";"0.966871755242041";"0.966871755242041";"0.966871755242041";"0.966871755242041";"0.966871755242041";"0.966871755242041";"0.966871755242041";"0.966871755242041"
"max";"62.8945884620286";"62.8945884620286";"62.8945884620286";"62.8945884620286";"62.8945884620286";"62.8945884620286";"62.8945884620286";"62.8945884620286";"62.8945884620286";"62.8945884620286";"62.8945884620286";"62.8945884620286";"62.8945884620286";"62.8945884620286";"62.8945884620286";"62.8945884620286";"62.8945884620286";"62.8945884620286";"62.8945884620286";"62.8945884620286";"62.8945884620286";"62.8945884620286";"62.8945884620286";"62.8945884620286";"62.8945884620286";"62.8945884620286";"62.8945884620286";"62.8945884620286";"62.8945884620286";"62.8945884620286";"62.8945884620286";"62.8945884620286";"62.8945884620286";"62.8945884620286";"62.8945884620286";"62.8945884620286";"62.8945884620286";"62.8945884620286";"62.8945884620286";"62.8945884620286";"62.8945884620286";"62.8945884620286";"62.8945884620286";"62.8945884620286";"62.8945884620286";"62.8945884620286";"62.8945884620286";"62.8945884620286";"62.8945884620286";"62.8945884620286";"62.8945884620286";"62.8945884620286";"62.8945884620286";"62.8945884620286";"62.8945884620286";"62.8945884620286";"62.8945884620286";"62.8945884620286";"62.8945884620286";"62.8945884620286";"62.8945884620286";"62.8945884620286";"62.8945884620286";"62.8945884620286";"62.8945884620286";"62.8945884620286";"62.8945884620286";"62.8945884620286";"62.8945884620286";"62.8945884620286";"62.8945884620286";"62.8945884620286";"62.8945884620286";"62.8945884620286";"62.8945884620286";"62.8945884620286";"62.8945884620286";"62.8945884620286";"62.8945884620286";"62.8945884620286";"62.8945884620286";"62.8945884620286";"62.8945884620286";"62.8945884620286";"62.8945884620286";"62.8945884620286";"62.8945884620286";"62.8945884620286";"62.8945884620286";"62.8945884620286";"62.8945884620286";"62.8945884620286";"62.8945884620286";"62.8945884620286";"62.8945884620286";"62.8945884620286";"62.8945884620286";"62.8945884620286";"62.8945884620286";"62.8945884620286";"62.8945884620286";"62.8945884620286";"62.8945884620286";"62.8945884620286";"62.8945884620286";"62.8945884620286";"62.8945884620286";"62.8945884620286";"62.8945884620286";"62.8945884620286";"62.8945884620286";"62.8945884620286";"62.8945884620286";"62.8945884620286";"62.8945884620286";"62.8945884620286";"62.8945884620286";"62.8945884620286";"62.8945884620286";"62.8945884620286";"62.8945884620286";"62.8945884620286";"62.8945884620286";"62.8945884620286";"62.8945884620286";"62.8945884620286";"62.8945884620286";"62.8945884620286";"62.8945884620286";"62.8945884620286";"62.8945884620286";"62.8945884620286";"62.8945884620286";"62.8945884620286";"62.8945884620286";"62.8945884620286";"62.8945884620286"
"4am";" 6.113205";" 6.591549";"15.935754";"10.831046";" 4.643454";"10.306086";" 2.322086";"10.083645";"14.817404";" 8.588097";"14.259916";"14.332080";"20.015019";"22.097461";" 8.281851";"18.961801";"16.141669";" 8.373757";"11.776116";"17.936573";"24.902094";"24.978744";"34.855141";" 7.924335";"20.202678";"20.756899";"17.560087";"30.574245";"16.780762";"22.498359";"22.166824";"31.085868";"26.325983";" 6.814916";" 7.816775";" 2.485523";"20.666395";"17.948993";" 9.323196";"34.762728";"12.548142";" 7.075666";"14.372373";"19.791839";"23.511985";"22.370716";"12.248595";" 8.807219";"14.509088";"15.869052";"13.407020";"10.715566";"13.122146";"15.254293";"16.884272";"16.733658";"15.446825";" 9.403689";"12.334334";"18.100136";"19.869870";" 8.308647";" 5.194661";" 9.679198";"16.958123";"16.940959";"15.457895";"14.777340";"11.385460";"17.344994";" 6.538159";" 4.517984";"21.973105";"17.302644";"28.583530";"17.785673";"22.033592";"19.228313";" 9.502893";"14.095330";"13.087000";"10.778657";"15.877388";"12.698891";" 7.522108";"15.249912";" 6.901390";" 6.051024";" 6.826712";"14.768388";"15.162972";" 7.753292";"14.273903";" 7.037408";" 8.894948";" 9.846876";"10.174748";" 7.931120";"15.357909";"19.394228";"14.604641";"20.460188";"23.222359";"18.627987";"16.021929";" 9.072929";"22.969220";"18.825552";"15.341860";"11.126938";"23.507112";"22.823469";"25.092707";"24.217399";"12.292654";"10.549458";" 8.859145";"18.262621";"10.257472";" 7.005378";"20.629754";"30.672616";"19.599760";"21.906153";"22.672346";"22.379340";"34.744855";"17.014602";"15.871658";" 5.725020";" 4.260429";" 5.727417";" 5.976335";" 3.016886";" 2.371609";" 6.058445";" 3.965773"
"5am";" 6.136763";" 6.650896";"16.223848";"10.529516";" 4.686252";" 9.981331";" 2.313459";"11.431283";"14.892566";" 8.923420";"13.486809";"13.928666";"19.851915";"22.067096";" 8.297005";"19.030999";"15.760700";" 8.414358";"11.788115";"17.587499";"23.788279";"23.369731";"35.010116";" 9.062590";"19.448227";"22.751523";"17.076928";"32.099469";"17.031699";"22.512969";"24.464530";"32.658509";"24.277334";" 6.925330";" 7.659393";" 3.305240";"21.224546";"17.100073";" 9.349585";"34.775300";"11.274057";" 6.438116";"14.635260";"18.774100";"24.019473";"21.542494";"11.792020";" 8.807219";"12.644279";"15.540270";"14.766586";"10.752773";"13.118796";"15.159926";"16.186189";"16.497485";"14.593400";" 9.033489";"12.570892";"18.583360";"19.703495";" 8.308647";" 5.949048";" 9.679198";"17.438587";"17.621818";"15.762658";"14.268852";"11.120860";"17.665306";" 5.911542";" 4.355237";"24.712664";"17.020333";"26.644753";"15.736711";"21.918329";"19.992372";" 9.170529";"14.607361";"12.408682";"10.879128";"15.974280";"11.373598";" 7.512880";"15.364190";" 6.861800";" 5.251281";" 6.900561";"15.177401";"17.524611";" 7.986205";"16.486128";" 7.132326";" 9.020937";" 9.171839";"10.239009";" 8.011892";"15.297679";"19.757697";"13.878879";"19.244445";"24.372148";"18.595638";"16.300662";" 9.288226";"23.035685";"19.637692";"15.755336";"11.206497";"22.923572";"22.294714";"23.840945";"24.463980";"11.135210";" 9.684545";" 9.055654";"19.191703";"10.072691";" 7.322536";"19.641492";"29.635637";"17.986345";"20.824688";"22.795270";"24.932421";"34.744855";"17.014602";"16.666047";" 5.764335";" 4.313302";" 5.799226";" 6.171317";" 2.943873";" 2.399782";" 6.113363";" 3.965773"
"6am";" 5.963441";" 7.675125";"14.993542";"10.504440";" 4.188397";"10.021960";" 3.491166";"11.634977";"12.813089";" 8.934235";"14.334402";"13.214165";"18.696674";"21.173771";" 7.650668";"21.014331";"16.697988";" 9.547487";"11.396807";"18.079840";"21.214500";"25.147541";"30.852286";" 9.233477";"14.981609";"20.359390";"17.689954";"33.376469";"15.412010";"16.593138";"26.038580";"33.970902";"27.149980";" 6.320799";" 8.568649";" 3.472208";"19.885177";"19.456245";" 9.585845";"33.894347";"11.076921";" 6.712593";"11.778593";"16.507029";"27.774951";"20.949107";" 9.226871";" 9.306937";"15.580567";"14.346928";"14.777602";" 9.634859";"11.802000";"15.673288";"15.560454";"15.577701";"12.023305";" 8.339288";"13.935232";"19.400114";"18.638920";" 8.302781";" 5.646850";" 9.977027";"14.536854";"16.440984";"16.615815";"16.388443";"11.631002";"17.545723";" 6.092620";" 3.580859";"24.272598";"13.826618";"26.848302";"12.883748";"21.458150";"19.813708";" 9.258836";"13.569406";"11.684089";"11.705542";"15.063609";" 9.634608";" 7.697539";"16.062200";" 7.157640";" 4.468327";" 6.548540";"16.052272";"14.057297";" 7.083580";"19.098727";" 7.331147";" 9.392173";"10.509418";"11.828191";" 7.739853";"17.655641";"20.885468";"15.997539";"19.244417";"24.682675";"15.514770";"17.153864";"11.897692";"24.263371";"18.850616";"17.140308";"11.601735";"20.956966";"22.250257";"24.124361";"21.317105";"11.303353";"10.661412";" 8.820782";"21.007239";" 9.710084";" 6.870141";"17.180299";"30.081730";"16.103141";"19.714625";"20.831073";"27.357736";"34.411641";"14.486259";"17.068155";" 6.055079";" 4.378719";" 5.978489";" 6.292590";" 2.475219";" 2.489622";" 5.787723";" 5.366284"
"7am";" 9.442715";" 8.004925";"10.120017";"10.996652";" 5.554466";"12.112094";" 4.048795";"11.917199";"15.890059";"10.033428";"13.660361";"12.184590";"17.403110";"18.198643";" 9.355974";"25.621162";"19.839272";"10.728127";"12.827871";"16.512321";"19.473338";"30.536604";"32.037438";" 9.485825";"13.844098";"15.268280";"23.520004";"33.433301";"19.031030";"17.230413";"24.963698";"31.964442";"22.615499";" 7.086096";" 9.109276";" 2.154972";"18.907679";"18.425060";"10.895692";"28.536870";"14.833698";" 5.688611";"11.530231";"16.145864";"17.735578";"23.738148";"11.022390";" 9.682544";"15.665699";"14.321106";"18.524863";" 9.739274";"11.705536";"15.211462";"14.491777";"19.192014";"10.976534";"10.737678";"11.715511";"20.277377";"21.243207";"11.053170";" 8.576533";" 9.805408";"16.726707";"21.180322";"17.866404";"17.485660";"13.543204";"17.524333";" 5.763579";" 8.191367";"22.661184";"14.309920";"28.272599";"12.741816";"19.451754";"23.669198";" 9.433343";"12.782953";"13.827078";"11.381395";"18.087054";"10.110316";" 6.911483";"13.553498";" 6.985931";" 5.019034";" 6.998137";"14.279569";"13.455809";" 9.401706";"21.177144";" 7.082820";"14.545269";"13.126125";"13.382797";" 5.122588";"16.037668";"24.798350";"18.137550";"19.504112";"22.774504";"16.329377";"17.529632";"13.075616";"23.987285";"18.972798";"14.843635";"13.507722";"21.024757";"20.821092";"22.279838";"21.998113";"12.608012";"15.901922";" 9.013694";"18.172441";"11.910005";" 9.080349";"19.920791";"24.203530";"15.907617";"17.876327";"19.115799";"28.926805";"34.483087";"17.006311";"16.127129";" 5.395293";" 2.689514";" 5.994955";" 5.689378";" 2.631890";" 4.360062";" 4.545597";" 5.598715"
"8am";" 7.318152";" 7.052286";" 9.418505";"13.097040";" 6.968416";"12.269181";" 4.746328";"11.235543";"16.891980";"10.381964";"12.979241";"13.570576";"15.778003";"14.029568";" 9.269230";"22.930879";"22.961229";"14.199400";"12.106479";"17.342889";"18.101175";"27.660822";"28.460121";" 8.281332";"14.093983";"12.509105";"25.941169";"30.358313";"20.688304";"17.139035";"24.580442";"27.960369";"26.162706";" 5.327940";" 8.331042";" 2.812458";"20.383575";"16.471350";"10.849358";"29.000746";"15.584821";" 4.970312";"13.903162";"14.628108";"16.703651";"21.867571";" 9.485986";"11.274578";"16.555891";"16.035334";"17.181479";"12.247532";"12.919700";"12.606602";"15.862312";"21.125994";"14.835495";"10.822638";"14.623768";"20.137071";"20.718704";"13.460885";" 9.963084";"11.490326";"15.851266";"22.413266";"15.482523";"17.304234";"15.654400";"20.052498";"10.026807";" 9.261408";"22.331907";"14.992550";"29.165110";"18.818014";"14.978303";"21.443917";"10.999687";"13.333345";"14.202680";" 9.868322";"16.075022";" 6.806593";" 6.912850";"15.521590";" 7.017432";" 6.133548";" 7.664705";"15.766571";"12.530830";" 7.975597";"13.393119";" 8.959082";"16.246768";"13.353136";"12.334448";" 6.599282";"20.220009";"23.717731";"19.209175";"19.873196";"21.789620";"17.503123";"16.196854";"17.492430";"23.081915";"18.756836";"10.843541";"17.029754";"21.060067";"25.871738";"23.189130";"21.851846";"13.373926";"13.706773";"10.139588";"19.594084";"13.998785";"11.689329";"21.098764";"14.672357";"17.195018";"16.551843";"16.868397";"29.502002";"34.459145";"17.157193";"15.981448";" 5.993135";" 5.694506";" 6.231010";" 5.019683";" 2.408514";" 4.670377";" 2.879174";" 5.770770"
"9am";" 8.916725";"10.627792";"10.434814";"12.412384";" 8.509709";"13.802488";" 4.374934";"10.767185";"13.739140";"10.028275";"11.471951";"11.948338";"15.683801";"13.982258";"10.152407";"22.572508";"23.698954";"13.473806";"12.588083";"15.841395";"14.030239";"26.657007";"29.274813";" 7.542411";"13.148063";"12.153098";"23.312884";"32.532949";"18.559054";"15.979156";"22.011785";"29.597868";"24.232991";" 5.025994";"10.739223";" 2.040996";"22.467023";"13.441314";"13.109436";"30.467412";"13.655551";" 4.881782";"12.002506";"13.543591";"16.920468";"24.821887";"12.404677";"12.841085";"17.512117";"15.089604";"16.453927";"12.813830";"13.952656";"11.652068";"17.061185";"22.572214";"13.572953";" 9.256473";"13.529497";"17.910548";"22.077579";"14.970111";" 9.505376";"12.417987";"20.798700";"24.087588";"16.128040";"18.300787";"13.875370";"20.228050";"10.561369";"11.970529";"22.140509";"17.217001";"25.793315";"19.164400";"14.597614";"19.566736";"11.138644";"11.578695";"13.685095";" 9.341073";"16.117304";" 6.104944";" 8.391294";"17.140262";" 4.833057";" 6.207200";" 7.101128";"15.389628";"13.112795";" 7.914820";"10.916690";" 6.416937";"16.897798";"12.097840";"14.399537";" 4.611835";"19.439765";"23.829089";"21.969339";"18.034285";"20.938327";"16.267573";"15.789649";"16.871270";"24.239015";"18.669010";"10.397865";"16.702809";"21.004197";"26.032934";"25.004326";"19.339188";"13.641063";"15.477407";"10.937319";"19.212476";"11.490597";"13.035558";"23.403424";"16.237811";"17.818733";"15.792775";"15.298953";"27.004657";"34.495003";"16.676228";"16.325332";" 5.115300";" 5.792171";" 6.472548";" 5.766532";" 2.276824";" 4.844903";" 3.100812";" 4.585714"
"10am";" 9.712146";" 8.474179";"10.303360";"12.830285";" 8.385370";"14.774922";" 5.105148";"13.170490";"14.142881";"11.446766";"13.404682";" 9.473818";"15.183418";"14.661049";"10.807487";"22.922726";"28.950956";"11.118102";"13.064110";"13.835103";"14.403491";"24.913274";"25.979737";" 7.427156";"13.730549";"11.032914";"26.608153";"32.594641";"20.453717";"20.065317";"22.673832";"30.905794";"24.703720";" 4.915984";" 9.666897";" 2.870881";"21.608305";"12.671187";"13.889875";"27.653464";"14.712512";" 4.916942";" 9.278891";"13.225672";"17.133086";"23.906723";"10.595789";"16.171148";"19.141770";"13.267819";"15.539942";"12.739146";"13.446999";"13.080085";"15.090731";"18.195888";"14.780954";"10.739730";"13.904062";"16.987988";"24.213896";"15.846164";" 8.554063";"13.379120";"19.685074";"23.078827";"16.827496";"18.533292";"13.469357";"20.646641";"11.834082";" 9.198307";"21.925785";"21.239161";"27.581411";"12.790047";"14.450714";"20.522545";"11.335901";"12.196138";"14.109733";" 9.149966";"15.665684";" 7.884488";" 5.397334";"17.110092";" 4.973097";" 6.545182";" 7.360338";"12.875614";"13.198223";" 8.348904";"12.002599";" 4.676751";"18.160928";"11.180255";"13.261784";" 5.934775";"17.451418";"24.172976";"22.188330";"20.373099";"20.684236";"14.035902";"17.477991";"13.257162";"26.107113";"18.666762";"11.529415";"17.130948";"21.676105";"21.957344";"23.517419";"17.977146";"12.290256";"15.541331";" 9.897239";"21.178487";"10.553364";"10.075648";"24.375955";"14.931195";"17.707050";"17.385312";"16.722255";"28.713854";"34.748366";"16.860471";"16.939014";" 5.381365";" 4.614112";" 6.788381";" 5.614879";" 2.170697";" 5.077154";" 6.368225";" 4.629907"
"11am";" 8.778738";" 9.206676";" 8.950849";"12.753156";" 6.888378";"13.017910";" 4.564011";"10.340857";"14.737812";"11.588025";"14.365300";" 9.148505";"15.030918";"13.905935";"12.074768";"24.723454";"21.187360";"12.497448";"13.590821";"15.542900";"18.269295";"24.910670";"28.774156";" 6.575121";"13.032604";"13.800022";"28.586488";"30.631648";"22.442663";"20.728994";"22.905806";"30.232541";"23.202326";" 4.559704";" 9.979052";" 2.881308";"19.668790";"15.469216";"12.446410";"28.012112";"13.706744";" 5.097690";" 9.912821";"13.441529";"15.930049";"23.587122";"10.955671";"15.490068";"18.600891";"11.798886";"15.922107";"12.580207";"11.342614";"13.203307";"17.236131";"17.323819";"15.124441";"13.817246";"16.303292";"20.834223";"22.577651";"16.032149";" 9.468956";"13.418797";"18.831708";"24.613491";"18.197518";"17.112662";"14.094206";"20.750997";"13.480501";" 9.446189";"21.787979";"18.820440";"22.347174";"12.145381";"15.296343";"27.213469";"11.820540";"10.692925";"14.995156";" 9.751779";"14.870331";" 8.382452";" 4.416892";"15.689698";" 5.170846";" 7.676411";"10.634315";"15.319681";"13.250655";" 9.976332";"11.152636";" 5.439262";"19.096812";"14.996149";"12.392928";" 6.660307";"21.602365";"23.805872";"20.579811";"20.183642";"19.876349";"14.802499";"17.218180";" 8.538395";"26.112676";"17.845841";"15.045071";"17.858005";"23.604943";"28.439921";"22.489333";"20.718412";"11.013426";"15.119756";" 8.738880";"18.723577";"13.850827";"11.393484";"21.538438";"14.766931";"17.069580";"19.847751";"16.231702";"29.841407";"33.823957";"17.331912";"17.159844";" 6.118462";" 4.577790";" 6.512395";" 5.876821";" 2.102449";" 4.764371";" 4.911607";" 4.652542"
