"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018";"019";"020";"021";"022";"023";"024";"025";"026";"027";"028";"029";"030";"031";"032";"033";"034";"035";"036";"037";"038";"039";"040";"041";"042";"043";"044";"045";"046";"047";"048";"049";"050";"051";"052";"053";"054";"055";"056";"057";"058";"059";"060";"061";"062";"063";"064";"065";"066";"067";"068";"069";"070";"071";"072";"073";"074";"075";"076";"077";"078";"079";"080";"081";"082";"083";"084";"085";"086";"087";"088";"089";"090";"091";"092";"093";"094";"095";"096";"097";"098";"099";"100";"101";"102";"103";"104";"105";"106";"107";"108";"109";"110";"111";"112";"113";"114";"115";"116";"117";"118";"119";"120";"121";"122";"123";"124";"125";"126";"127";"128";"129";"130";"131";"132";"133";"134";"135";"136";"137"
"min";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"max";"15137.828";"15137.828";"15137.828";"15137.828";"15137.828";"15137.828";"15137.828";"15137.828";"15137.828";"15137.828";"15137.828";"15137.828";"15137.828";"15137.828";"15137.828";"15137.828";"15137.828";"15137.828";"15137.828";"15137.828";"15137.828";"15137.828";"15137.828";"15137.828";"15137.828";"15137.828";"15137.828";"15137.828";"15137.828";"15137.828";"15137.828";"15137.828";"15137.828";"15137.828";"15137.828";"15137.828";"15137.828";"15137.828";"15137.828";"15137.828";"15137.828";"15137.828";"15137.828";"15137.828";"15137.828";"15137.828";"15137.828";"15137.828";"15137.828";"15137.828";"15137.828";"15137.828";"15137.828";"15137.828";"15137.828";"15137.828";"15137.828";"15137.828";"15137.828";"15137.828";"15137.828";"15137.828";"15137.828";"15137.828";"15137.828";"15137.828";"15137.828";"15137.828";"15137.828";"15137.828";"15137.828";"15137.828";"15137.828";"15137.828";"15137.828";"15137.828";"15137.828";"15137.828";"15137.828";"15137.828";"15137.828";"15137.828";"15137.828";"15137.828";"15137.828";"15137.828";"15137.828";"15137.828";"15137.828";"15137.828";"15137.828";"15137.828";"15137.828";"15137.828";"15137.828";"15137.828";"15137.828";"15137.828";"15137.828";"15137.828";"15137.828";"15137.828";"15137.828";"15137.828";"15137.828";"15137.828";"15137.828";"15137.828";"15137.828";"15137.828";"15137.828";"15137.828";"15137.828";"15137.828";"15137.828";"15137.828";"15137.828";"15137.828";"15137.828";"15137.828";"15137.828";"15137.828";"15137.828";"15137.828";"15137.828";"15137.828";"15137.828";"15137.828";"15137.828";"15137.828";"15137.828";"15137.828";"15137.828";"15137.828";"15137.828";"15137.828";"15137.828"
"4am";"4326.690";" 958.171";"1306.934";"2301.084";"5968.547";"1181.832";"2003.866";"1972.574";"1753.410";"1538.949";"5426.280";"1876.434";"3352.376";"6702.247";"2388.253";"1184.689";"2050.108";"1467.746";"2592.514";"8958.618";"7999.138";"3255.167";"3138.705";"1277.446";"2452.981";"1169.108";"2843.719";"1369.634";"4859.103";"3774.556";"3234.854";"4068.191";"3832.209";"3569.571";"5302.837";"1941.196";"2336.949";"1508.239";"2833.283";"4469.737";"3048.733";"1172.504";"1084.812";"3655.607";" 574.551";"1150.320";"1113.992";"2552.016";"1534.630";" 748.976";" 886.571";"1741.726";"2067.663";" 569.624";" 518.260";" 361.606";" 986.802";" 716.675";"1523.462";"2659.839";"2892.560";"1074.749";" 386.675";" 574.310";" 509.379";" 249.518";"1279.290";"1266.608";" 606.908";"4409.242";"1404.859";" 762.473";"1259.629";"2079.425";"1361.076";"1394.278";"3201.107";"1026.032";"2874.156";"1930.600";" 253.820";" 498.332";" 695.967";" 804.879";"1361.886";"2206.519";"1046.664";" 734.458";"2875.135";"2483.008";" 536.572";"1998.593";" 944.350";" 628.824";" 642.833";" 618.220";" 807.028";" 642.466";" 377.436";"1133.565";"1335.348";" 244.814";"1282.928";" 813.324";"1718.830";" 778.047";"2460.431";"3206.874";" 357.700";"1632.627";"1580.798";" 456.679";"3396.605";"2484.621";"4475.375";"2376.453";"1737.248";"3715.711";"1453.120";" 895.234";"3165.382";" 376.456";"2938.862";"1750.318";"1942.487";"1553.857";" 787.717";" 941.327";"1587.654";" 220.721";" 197.681";" 425.107";" 916.862";" 423.439";" 392.883";" 859.872";" 776.660"
"5am";"4262.279";" 913.648";"1266.881";"2194.418";"6025.823";"1181.832";"2003.866";"1972.574";"1840.092";"1538.949";"5426.280";"1964.517";"3829.607";"6742.300";"2388.253";"1236.258";"2050.108";"1413.658";"2592.514";"8387.825";"7999.138";"3361.833";"3240.009";"1471.307";"2452.981";"1018.587";"2774.334";"1369.634";"4756.456";"3671.883";"3222.271";"4068.191";"3695.420";"3569.571";"5247.018";"1854.514";"2283.556";"1456.670";"2935.930";"4389.085";"3048.733";"1172.504";"1084.812";"3437.955";" 574.551";"1150.320";"1113.992";"2552.016";"1534.630";" 658.926";" 886.571";"1741.726";"2067.663";" 569.624";" 518.260";" 361.606";" 942.109";" 716.675";"1417.378";"2659.839";"2892.560";"1074.749";" 386.675";" 574.310";" 509.379";" 249.518";"1279.290";"1266.608";" 606.908";"4431.938";"1502.240";" 824.911";"1349.679";"2017.420";"1361.076";"1394.278";"3201.107";"1026.032";"2874.156";"1930.600";" 253.820";" 498.332";" 673.271";" 804.879";"1402.563";"2206.519";"1046.664";" 734.458";"2875.135";"2483.008";" 536.572";"1998.593";"1181.056";" 628.824";" 642.833";" 618.220";" 807.028";" 642.466";" 377.436";"1133.565";"1384.707";" 244.814";"1282.928";" 813.324";"1631.516";" 778.047";"2460.431";"3163.948";" 317.023";"1632.627";"1540.943";" 456.679";"3396.605";"2524.476";"4475.375";"2327.094";"1737.248";"3715.711";"1453.120";" 895.234";"3049.089";" 371.236";"3000.780";"1750.318";"1942.487";"1497.159";" 787.717";" 941.327";"1587.654";" 220.721";" 197.681";" 425.107";" 916.862";" 423.439";" 392.883";" 859.872";" 776.660"
"6am";"3906.345";" 913.648";"1266.881";"2145.820";"5750.747";"1134.926";"2003.866";"2440.577";"1651.486";"1626.531";"4922.397";"1863.097";"3785.879";"6110.529";"2525.414";"1236.258";"1959.942";"1413.658";"2468.154";"8762.069";"7112.388";"3264.660";"2985.829";"1471.307";"2431.726";"1018.587";"2613.941";"1476.420";"4384.367";"3671.883";"3165.958";"3974.152";"3889.463";"3550.363";"5247.018";"1854.514";"2067.701";"1567.720";"2718.917";"4389.085";"2993.950";"1084.922";"1042.731";"3354.411";" 550.762";"1120.419";"1113.992";"2455.948";"1443.444";" 658.926";"1033.829";"1741.726";"1961.463";" 569.624";" 518.260";" 343.570";" 875.176";" 658.116";"1475.937";"2659.839";"2471.569";"1017.453";" 386.675";" 574.310";" 449.953";" 221.993";"1228.072";"1266.608";" 606.908";"4263.808";"1391.450";" 824.911";"1273.091";"2017.420";"1327.975";"1394.278";"3456.874";" 987.679";"2874.156";"1821.025";" 343.844";" 498.332";" 766.354";" 804.879";"1489.877";"2115.953";" 983.190";" 880.701";"2621.961";"2418.683";" 504.924";"1919.858";"1442.118";" 721.907";" 642.833";" 618.220";" 807.028";" 478.961";" 377.436";"1464.156";"1454.420";" 195.904";"1205.750";" 716.317";"1544.202";" 572.803";"2389.484";"3163.948";" 317.023";"1542.651";"1501.088";" 401.243";"3391.204";"2270.844";"4546.634";"2503.402";"1617.796";"3576.332";"1688.772";" 895.234";"2808.598";" 371.236";"2599.634";"1782.983";"1847.984";"1425.380";" 787.717";" 868.890";"1587.654";" 220.721";" 197.681";" 425.107";" 916.862";" 423.439";" 392.883";" 767.803";" 776.660"
"7am";"3757.279";"1274.368";"1250.435";"2837.332";"6181.469";"1495.012";"1738.985";"2952.958";"2134.035";"1782.021";"5100.455";"1754.302";"3035.282";"6368.630";"2162.777";"1461.680";"1549.549";"1413.658";"2072.978";"8552.527";"6288.329";"2478.693";"3695.828";"1606.029";"2411.183";"1506.219";"2161.851";"1821.330";"4384.367";"4372.742";"3161.963";"4368.688";"3867.892";"3649.661";"4491.400";"1717.035";"1410.439";"1596.809";"2341.391";"3682.538";"2742.432";" 953.549";" 807.853";"3387.671";" 626.290";"1019.973";"1134.346";"2296.394";"1818.478";" 822.849";"1289.554";"1731.373";"1600.439";" 569.624";" 474.188";" 298.085";" 759.002";" 658.116";"1139.917";"2708.530";"2166.127";"1096.238";" 508.234";" 378.089";" 449.953";" 221.993";"1058.679";"1231.913";" 562.394";"4739.958";"1489.167";" 789.582";"1886.132";"1947.863";"1179.475";"1412.140";"3512.623";" 839.560";"2673.510";"1821.025";" 434.025";" 378.381";" 743.658";"1088.745";"1570.773";"2039.126";"1514.722";" 827.930";"2249.663";"2440.786";" 479.834";"1620.883";"1785.722";" 606.457";" 642.833";" 614.020";" 894.684";" 402.549";" 487.912";"1205.000";"1584.862";" 171.405";"1205.750";" 828.486";"1544.202";" 485.129";"2018.778";"2439.294";" 336.345";"1444.864";"1351.402";" 527.308";"3247.652";"2095.468";"3880.783";"2921.547";"1635.505";"3031.659";"2054.559";" 894.764";"2627.905";" 348.498";"2997.406";"1576.644";"1816.549";"2089.164";" 787.717";" 868.890";"1517.346";" 220.721";" 197.681";" 425.107";" 858.832";" 423.439";" 392.883";" 859.872";" 776.660"
"8am";"3716.166";"1352.849";"1300.651";"3135.254";"5890.926";"1385.993";"1462.635";"3145.328";"2849.465";"2299.957";"5058.893";"1961.058";"3330.093";"6758.426";"1749.979";"1339.905";"1282.472";"1435.427";"1991.709";"7935.301";"6674.458";"2417.909";"3773.329";"2353.531";"3091.620";"1418.136";"2346.115";"1929.883";"3640.189";"4511.697";"3369.710";"4613.541";"3553.024";"3613.377";"3621.419";"1720.125";"1317.174";"1977.822";"2640.657";"3772.281";"2449.818";" 976.281";" 625.204";"3034.657";" 619.648";" 886.286";"1134.346";"2067.810";"1893.410";" 792.533";"1805.204";"1541.661";"1281.471";" 673.349";" 434.014";" 252.648";" 669.829";"1006.611";"1139.917";"2515.870";"2159.465";"1078.432";" 421.411";" 349.475";" 449.953";" 202.714";"1015.090";"1169.860";" 614.152";"5041.627";"1448.968";" 721.341";"2723.740";"1595.057";" 976.968";"1431.759";"3253.431";" 798.294";"2285.148";"1845.524";" 434.025";" 316.830";" 764.551";"1075.503";"2006.362";"2044.996";"1793.891";" 872.649";"2274.949";"2616.743";" 585.918";"1683.904";"2245.019";" 606.457";" 560.979";" 573.314";" 894.684";" 367.251";" 487.912";"1186.705";"1697.358";" 171.405";"1205.750";" 954.006";"1395.954";" 406.574";"2059.101";"2439.294";" 336.345";"1243.506";"1559.511";" 527.308";"3277.287";"2260.285";"4163.433";"2931.129";"1635.505";"2744.758";"2376.422";" 761.036";"2630.564";" 574.672";"2748.487";"1927.302";"1424.173";"2545.910";" 748.554";" 727.070";"1363.521";" 220.721";" 239.282";" 425.107";" 916.862";" 381.838";" 392.883";" 859.872";" 776.660"
"9am";"4117.341";"1276.252";"1699.606";"2948.776";"8292.013";"1343.199";"1289.967";"3487.480";"3020.664";"2408.464";"4294.023";"2499.605";"3618.313";"6168.863";"1898.616";"1406.851";"1523.347";"1427.474";"2208.234";"7494.338";"5871.629";"2887.964";"3890.150";"2755.202";"2852.493";"1235.302";"2276.730";"1803.965";"3257.069";"4072.180";"3398.210";"3578.853";"3361.080";"3445.839";"3819.935";"1694.476";"1050.450";"1965.624";"2264.801";"3664.670";"2396.566";"1077.254";" 602.104";"2802.230";" 649.065";" 980.325";"1052.325";"2092.209";"1704.389";"1070.328";"2044.000";"1583.931";"1234.465";" 548.093";" 508.323";" 198.540";" 663.894";"1135.447";" 865.662";"2555.360";"2081.592";" 981.646";" 429.873";" 349.475";" 449.953";"  90.525";"1015.090";"1072.285";" 632.266";"5154.560";"1393.573";" 728.506";"2870.480";"1726.523";" 702.913";"1616.539";"3141.989";" 685.005";"2310.331";"1991.494";" 288.055";" 316.830";" 595.922";"1799.870";"2385.637";"1956.134";"2140.044";" 767.107";"2060.907";"2234.841";" 496.995";"1197.502";"2692.065";" 606.457";" 718.222";" 831.583";"1021.834";" 335.603";" 487.912";"1274.116";"1797.607";" 171.405";"1106.466";" 840.642";"1372.508";" 406.574";"1930.337";"1814.688";" 447.285";"1178.893";"1559.511";" 650.000";"3016.403";"2323.761";"4272.094";"2652.392";"1535.816";"2653.042";"2418.085";" 884.481";"2775.332";" 259.614";"2803.543";"2002.118";"1398.452";"2584.977";" 787.717";" 777.992";"1363.521";" 157.097";" 197.681";" 425.107";"1129.510";" 445.462";" 392.883";" 859.872";" 776.660"
"10am";"4647.986";"1631.461";"1801.974";"3157.212";"8766.847";"1299.069";"1554.230";"3313.769";"3074.083";"2667.759";"4357.494";"2373.257";"3150.270";"6564.164";"1659.290";"1130.022";"1351.303";"1591.230";"2179.028";"6874.198";"6109.451";"2790.854";"3540.970";"3087.629";"3055.698";"1255.643";"2276.730";"1741.006";"3613.424";"3468.127";"3384.960";"3818.292";"3092.218";"3755.862";"3419.876";"1501.718";" 920.067";"1603.077";"2357.776";"4301.378";"2289.777";" 991.461";" 395.800";"2737.138";" 578.396";" 943.951";" 913.076";"1897.942";"1680.213";" 991.269";"1986.320";"1491.538";"1347.427";" 548.093";" 495.137";" 207.809";" 647.589";"1752.674";" 903.812";"2367.090";"2205.175";"1057.329";" 472.563";" 300.211";" 449.953";"  90.525";" 944.377";"1051.716";" 583.937";"4806.021";"1393.573";" 775.017";"2897.939";"1910.669";" 702.913";"1879.747";"2636.862";" 623.984";"2310.331";"1845.524";" 434.025";" 427.476";" 595.922";"1785.216";"2375.436";"2210.249";"1867.832";" 819.878";"2024.358";"2506.080";" 512.920";"1112.115";"2798.383";" 592.158";" 768.248";" 611.343";" 791.566";" 335.603";" 382.803";"1316.118";"1797.607";" 171.405";"1205.750";" 741.358";"1208.214";" 315.879";"1930.337";"1969.504";" 411.137";"1224.038";"1557.624";" 682.665";"3536.724";"1882.817";"4618.115";"2243.870";"1396.635";"3009.254";"2527.052";"1004.705";"2383.039";" 407.107";"3074.800";"1862.091";"1533.348";"2529.067";" 787.717";" 659.605";"1363.521";" 127.248";" 197.681";" 360.816";"1129.510";" 479.193";" 347.968";" 859.872";" 776.660"
"11am";"4843.724";"1510.763";"1443.410";"3471.535";"8310.968";"1239.885";"1629.898";"3218.296";"2803.216";"2637.129";"4735.520";"2077.454";"3572.588";"5976.404";"1423.361";"1210.837";"1467.671";"1051.712";"2179.028";"7257.085";"5750.093";"2423.409";"3627.734";"3071.466";"2561.368";"1359.279";"1915.648";"1803.965";"3513.986";"3662.772";"3238.193";"4210.125";"3591.687";"3768.392";"4441.339";"1274.465";"1203.298";"2133.471";"2008.696";"3962.956";"2455.343";"1071.359";" 467.048";"2828.999";" 558.089";" 762.916";"1052.325";"1761.666";"1655.803";" 827.649";"1731.838";"1582.514";"1234.465";" 548.093";" 515.706";" 280.049";" 687.521";"2039.641";" 745.016";"2555.360";"2237.338";" 981.646";" 472.563";" 320.861";" 449.953";" 129.083";" 944.377";" 998.809";" 628.451";"4842.774";"1315.938";" 737.969";"2739.867";"1934.656";"1142.303";"1202.667";"2602.736";" 982.971";"2310.331";"1775.438";" 434.025";" 370.663";" 736.147";"1918.098";"2037.296";"2417.121";"1850.227";"1102.237";"1827.360";"2290.146";" 512.920";"1661.691";"2541.450";" 563.560";" 621.266";" 588.003";" 789.836";" 335.603";" 487.912";"1151.943";"1748.248";" 171.405";"1128.572";" 741.358";"1165.788";" 353.618";"1959.053";"2557.247";" 300.197";"1179.118";"1488.997";" 665.141";"3482.440";"2039.884";"4343.452";"2488.913";"1613.037";"2608.217";"2527.034";" 840.366";"2623.168";" 440.883";"3239.756";"1744.138";"1337.136";"2556.601";" 787.717";" 652.715";"1363.521";" 190.872";" 197.681";" 425.107";"1159.359";" 299.204";" 392.883";" 859.872";" 776.660"
