"hour","act1","act2","act3","act4","act5"
"4am",0.4223,0.4799,0.9924,0.9862,0.598
"5am",0.3508,0.3739,0.9634,0.9883,0.5746
"6am",0.2815,0.3003,0.8824,0.921,0.4874
"7am",0.2488,0.2554,0.4631,0.6618,0.3767
"8am",0.2282,0.2365,0.4173,0.3429,0.2471
"9am",0.2302,0.2346,0.4227,0.3393,0.1943
"10am",0.2418,0.2234,0.4241,0.3415,0.2049
"11am",0.2512,0.2268,0.4108,0.4403,0.2244
"12am",0.2811,0.2498,0.4222,0.5583,0.2466
"1pm",0.2586,0.2357,0.426,0.5182,0.2149
"2pm",0.2453,0.2277,0.4328,0.4969,0.1783
"3pm",0.2366,0.2279,0.433,0.4537,0.1813
"4pm",0.2394,0.2433,0.4548,0.418,0.1713
"5pm",0.2223,0.2657,0.6002,0.4226,0.1634
"6pm",0.2283,0.2744,0.7726,0.4764,0.1975
"7pm",0.2436,0.3179,0.8682,0.6502,0.2438
"8pm",0.2672,0.3854,0.9369,0.8747,0.2708
"9pm",0.2984,0.4407,0.9262,0.9551,0.3111
"10pm",0.3278,0.4649,0.9645,0.9892,0.3516
"11pm",0.3521,0.4839,0.9836,0.9801,0.4297
"12pm",0.3491,0.5253,0.9838,0.4337,0
"1am",0.3463,0.5281,0.9839,0.4533,0
"2am",0.3666,0.5413,0.9839,0.4706,0
"3am",0.3758,0.5579,0.9839,0.4776,0
