"variable","CODE_SEC","RES_SEC","W_IND"
"h11","001","002",32.074
"h11","001","003",78.694
"h11","001","006",58.916
"h11","001","014",159.393
"h11","001","017",81.878
"h11","001","021",114.257
"h11","001","023",52.775
"h11","001","039",131.606
"h11","001","040",80.652
"h11","001","046",28.474
"h11","001","084",79.068
"h11","001","090",53.833
"h11","005","002",43.791
"h11","005","004",129.25
"h11","005","009",130.406
"h11","005","013",116.167
"h11","005","014",143.261
"h11","005","015",209.846
"h11","005","016",80.815
"h11","005","021",139.381
"h11","005","022",70.105
"h11","005","028",62.959
"h11","005","030",78.387
"h11","005","037",55.676
"h11","005","041",54.783
"h11","005","050",90.05
"h12","005","002",121.217
"h12","005","003",16.351
"h12","005","004",129.25
"h12","005","009",130.406
"h12","005","014",143.261
"h12","005","016",80.815
"h12","005","021",253.638
"h12","005","028",62.959
"h12","005","030",78.387
"h12","005","037",55.676
"h12","005","041",54.783
"h12","005","045",24.41
"h12","005","050",90.05
"h13","005","001",250.795
"h13","005","002",121.217
"h13","005","009",130.406
"h13","005","014",143.261
"h13","005","016",80.815
"h13","005","021",114.257
"h13","005","028",62.959
"h13","005","030",78.387
"h13","005","037",55.676
"h13","005","041",54.783
"h13","005","045",24.41
"h13","005","050",90.05
"h14","005","001",113.634
"h14","005","002",75.865
"h14","005","004",161.926
"h14","005","009",130.406
"h14","005","011",139.031
"h14","005","014",143.261
"h14","005","028",62.959
"h14","005","030",78.387
"h14","005","034",132.084
"h14","005","041",54.783
"h14","005","050",90.05
"h14","005","084",79.068
"h14","005","094",14.299
"h15","005","001",231.543
"h15","005","002",75.865
"h15","005","003",16.351
"h15","005","006",105.822
"h15","005","008",140.736
"h15","005","009",130.406
"h15","005","011",139.031
"h15","005","028",62.959
"h15","005","030",78.387
"h15","005","034",132.084
"h15","005","050",90.05
