"district","hour","cleduc1","cleduc2","cleduc3","cleduc4"
"001","4am",17.967201,49.56379,13.225411,19.243603
"002","4am",16.365898,47.82785,8.548439,27.257811
"003","4am",14.558044,57.90783,9.783009,17.751115
"004","4am",6.260002,46.18169,19.148798,28.409515
"005","4am",10.278199,37.54965,22.235304,29.936843
"006","4am",9.799563,38.32863,22.387341,29.484469
"007","4am",5.32235,34.11023,18.868841,41.698583
"008","4am",4.763667,40.32089,15.105773,39.809668
"009","4am",16.99279,43.69845,17.79926,21.509501
"010","4am",12.140031,48.35832,18.014262,21.487386
"011","4am",7.956525,43.12487,25.785243,23.133364
"012","4am",8.986204,50.98047,13.694276,26.339046
"013","4am",13.832872,63.26176,8.996736,13.908636
"014","4am",12.902724,67.18631,11.555265,8.355697
"015","4am",8.128941,30.46353,21.697126,39.7104
"016","4am",19.175848,53.62665,13.564903,13.632596
"017","4am",6.229463,54.16918,32.776471,6.824887
"018","4am",8.130402,41.61187,24.348605,25.909127
"019","4am",10.623855,36.92915,22.820695,29.626299
"020","4am",21.340754,48.7489,11.56729,18.343054
"021","4am",25.339519,61.72234,7.766637,5.171502
"022","4am",36.555715,55.39011,4.205413,3.848761
"023","4am",45.41419,44.03487,7.424192,3.126753
"024","4am",7.729814,42.25729,15.965562,34.047333
"025","4am",20.702015,50.58054,11.047731,17.669717
"026","4am",14.277448,61.43743,16.324319,7.960803
"027","4am",6.418553,64.37607,11.78015,17.425224
"028","4am",8.148499,60.5865,23.626895,7.638109
"029","4am",16.565361,50.34616,21.079375,12.0091
"030","4am",18.791448,70.29418,7.046288,3.86808
"031","4am",21.217585,63.32054,9.003751,6.45812
"032","4am",30.990973,56.0726,9.569194,3.367233
"033","4am",18.854768,50.55013,16.720632,13.874466
"034","4am",3.66781,52.61005,15.053945,28.668193
"035","4am",7.873693,46.55405,19.906755,25.665507
"036","4am",1.614901,49.48753,16.244342,32.65323
"037","4am",23.223594,55.98248,15.431214,5.362709
"038","4am",6.794933,45.36433,31.459912,16.380821
"039","4am",11.987098,48.88039,15.515236,23.617277
"040","4am",24.054161,57.74722,10.657173,7.541447
"041","4am",6.556587,47.95984,18.162938,27.320636
"042","4am",3.487426,48.56034,21.774653,26.177582
"043","4am",8.364584,53.45111,19.647745,18.536565
"044","4am",12.864657,62.71536,16.932903,7.487082
"045","4am",8.04139,53.77353,19.928334,18.256748
"046","4am",13.281143,73.44337,6.812852,6.462635
"047","4am",10.165003,46.63158,28.398439,14.804982
"048","4am",8.398596,40.8211,20.887969,29.892335
"049","4am",9.941222,53.7282,22.114001,14.216576
"050","4am",11.131257,47.52248,15.804688,25.54157
"051","4am",9.746181,47.57765,15.15823,27.517942
"052","4am",4.590441,53.39149,20.697479,21.320587
"053","4am",8.192924,56.71564,14.615185,20.476253
"054","4am",9.450468,47.67199,20.134901,22.74264
"055","4am",12.669031,48.09367,16.061476,23.175827
"056","4am",7.516589,41.02226,32.25517,19.205977
"057","4am",6.230546,49.05916,20.325638,24.384656
"058","4am",4.869339,64.41664,22.045445,8.668572
"059","4am",3.471065,72.26309,12.641459,11.624382
"060","4am",20.548998,48.82459,17.408281,13.218126
"061","4am",20.078625,49.14225,16.236774,14.542353
"062","4am",8.176786,52.43482,16.70571,22.682679
"063","4am",2.694443,55.69029,12.592083,29.023189
"064","4am",6.529326,55.57806,20.91737,16.975244
"065","4am",14.376968,56.73202,18.607049,10.28396
"066","4am",10.064836,46.621,24.323599,18.990567
"067","4am",15.824734,39.57289,26.949865,17.652511
"068","4am",9.167346,50.92037,20.473399,19.438886
"069","4am",7.257857,46.25213,18.59297,27.897038
"070","4am",13.657021,53.25298,16.898103,16.1919
"071","4am",5.378238,42.4277,22.084713,30.109351
"072","4am",7.709385,36.81802,21.106237,34.366353
"073","4am",10.270443,50.03435,26.223854,13.471349
"074","4am",13.540326,60.30567,16.332675,9.821324
"075","4am",11.5949,67.70326,12.742716,7.959123
"076","4am",15.851041,63.83232,13.828816,6.487819
"077","4am",11.121098,65.2506,18.260726,5.36758
"078","4am",7.834624,62.58448,15.50489,14.076002
"079","4am",12.963906,51.36379,16.280979,19.39132
"080","4am",11.556685,55.20098,19.259081,13.98325
"081","4am",19.153887,44.93019,20.304252,15.611667
"082","4am",8.138181,53.07485,11.670807,27.116158
"083","4am",4.060212,62.33631,10.142624,23.460853
"084","4am",3.958554,38.48687,20.697589,36.856984
"085","4am",7.744859,28.21746,19.109369,44.928311
"086","4am",23.85246,48.38999,10.293228,17.464318
"087","4am",2.969358,37.73235,14.887571,44.410719
"088","4am",2.556866,36.1049,13.79143,47.5468
"089","4am",9.35255,37.38711,25.351232,27.909105
"090","4am",14.384211,55.7698,14.968047,14.877938
"091","4am",7.031886,41.18769,21.27534,30.50508
"092","4am",6.369769,45.99518,12.464083,35.170973
"093","4am",5.139756,44.96128,22.740708,27.158261
"094","4am",6.190716,27.52807,27.382277,38.898937
"095","4am",5.41235,34.91438,19.782684,39.890584
"096","4am",4.362271,42.45036,21.405079,31.782295
"097","4am",6.344864,45.83993,18.366207,29.448995
"098","4am",6.14062,37.83472,23.221071,32.803588
"099","4am",4.03394,48.74733,21.16655,26.052176
"100","4am",16.527016,42.33094,20.920819,20.221225
"101","4am",14.812354,57.1277,21.638562,6.421379
"102","4am",3.126134,67.90918,12.136309,16.828382
"103","4am",20.174401,49.58451,12.760792,17.480297
"104","4am",15.827164,57.6236,10.146089,16.403148
"105","4am",10.892418,49.70887,11.547277,27.851435
"106","4am",8.823003,47.24987,19.347985,24.579145
"107","4am",11.280555,61.9147,10.582821,16.221921
"108","4am",19.786284,55.091,16.663658,8.459053
"109","4am",6.434142,56.43759,24.75315,12.375115
"110","4am",13.537298,39.92112,25.99465,20.546936
"111","4am",13.707315,55.2331,21.679621,9.379962
"112","4am",12.237852,47.19749,19.948732,20.615925
"113","4am",12.185585,68.16171,15.716571,3.936129
"114","4am",11.188804,52.14584,17.91384,18.751513
"115","4am",7.289738,61.49714,21.776752,9.436368
"116","4am",5.362801,61.76378,24.420262,8.453158
"117","4am",19.504053,45.53305,16.213323,18.749573
"118","4am",8.831642,57.05832,25.80002,8.310015
"119","4am",10.351793,46.62379,21.218944,21.805478
"120","4am",15.992164,44.75726,23.565818,15.684761
"121","4am",9.925238,65.16708,13.160728,11.746949
"122","4am",27.165499,61.82556,6.79311,4.215833
"123","4am",7.381537,52.62879,34.440345,5.549331
"124","4am",3.340308,70.66064,14.336479,11.662578
"125","4am",5.777711,69.91446,8.442786,15.865043
"126","4am",12.614129,67.56378,15.366686,4.455401
"127","4am",18.796791,62.0424,14.098793,5.062016
"128","4am",14.113045,60.6138,12.04785,13.225309
"129","4am",14.8305,63.10227,11.666915,10.400317
"130","4am",8.01601,60.77014,16.853898,14.359953
"131","4am",8.464768,58.19398,18.589716,14.751533
"132","4am",3.743462,57.21864,20.514779,18.523115
"133","4am",6.160996,43.27157,26.045833,24.521599
