"district","hour","cspmen1","cspmen2","cspmen3","cspmen4","cspmen5"
"001","4am",32.88574,5.651934,36.19739,14.333069,10.9318679
"002","4am",18.463612,7.303657,26.55382,22.137177,25.5417371
"003","4am",23.594022,22.476273,26.34502,19.868777,7.7159057
"004","4am",12.906729,12.386037,32.40929,25.708347,16.5895956
"005","4am",24.900743,4.339863,32.51359,18.973991,19.2718176
"006","4am",15.305848,12.464681,43.50965,9.869816,18.8500048
"007","4am",16.773391,1.693975,31.26368,29.563756,20.7051975
"008","4am",9.979085,14.409541,25.45306,28.156572,22.001739
"009","4am",10.262979,24.618933,38.93935,14.510519,11.6682156
"010","4am",7.990517,12.483896,48.35135,24.274895,6.8993367
"011","4am",23.419943,12.68049,26.72375,20.567001,16.6088205
"012","4am",7.737251,21.84241,40.97522,15.274847,14.170272
"013","4am",19.288556,25.655523,38.42802,12.343084,4.2848186
"014","4am",34.333984,22.826965,32.39143,5.715962,4.7316602
"015","4am",10.254696,13.904831,35.06872,25.982596,14.7891576
"016","4am",10.227011,25.900407,42.45446,18.365231,3.0528866
"017","4am",15.980414,20.532472,42.60052,20.167826,0.718769
"018","4am",10.445207,7.424896,51.58839,24.75914,5.7823658
"019","4am",15.837988,14.853478,33.50626,19.118336,16.6839361
"020","4am",49.63245,14.581161,18.39586,11.23401,6.1565145
"021","4am",42.709717,23.314319,24.82415,8.264607,0.8872031
"022","4am",47.799676,25.153248,22.08277,4.086156,0.8781473
"023","4am",26.127122,41.29036,24.90606,6.437507,1.2389532
"024","4am",11.818977,8.896203,41.57925,15.40565,22.2999157
"025","4am",14.975143,30.191539,26.62251,13.101111,15.1096945
"026","4am",10.351327,34.260242,32.70101,17.803258,4.8841622
"027","4am",22.899642,17.814622,32.24002,18.084243,8.9614735
"028","4am",11.055516,42.771813,33.29422,9.142659,3.7357933
"029","4am",23.475026,24.730559,42.19883,7.569132,2.0264572
"030","4am",21.658588,36.873518,29.67143,10.265617,1.5308484
"031","4am",30.892048,32.131577,26.046,8.628753,2.3016235
"032","4am",29.518299,34.717201,27.53655,5.093322,3.1346265
"033","4am",29.30959,25.41718,27.63099,15.588471,2.0537698
"034","4am",21.008465,7.088107,34.97535,23.127126,13.8009481
"035","4am",22.618113,7.655761,39.74136,18.881762,11.1030028
"036","4am",14.787878,6.328306,34.59675,23.689106,20.5979596
"037","4am",28.069403,21.458211,35.36463,12.751846,2.3559115
"038","4am",12.430248,30.369032,35.81371,15.799407,5.587607
"039","4am",16.74391,13.534045,32.6076,19.994421,17.120022
"040","4am",27.033608,44.649126,17.07922,7.990238,3.2478043
"041","4am",19.885152,15.041477,33.60661,18.536522,12.930244
"042","4am",13.654165,10.828711,47.88253,19.660311,7.9742844
"043","4am",23.80777,21.795742,33.63829,12.421887,8.3363144
"044","4am",46.436752,17.003966,25.53314,11.026142,0
"045","4am",13.248561,35.190519,28.41141,17.019857,6.1296537
"046","4am",15.556707,24.187466,38.1639,11.558609,10.5333154
"047","4am",4.815565,21.456951,46.3189,22.407349,5.0012381
"048","4am",22.66074,9.19983,30.27838,28.62481,9.2362446
"049","4am",12.004487,19.234675,39.72142,23.20757,5.8318483
"050","4am",7.116685,23.573582,43.25069,18.699209,7.3598381
"051","4am",8.093292,19.708522,27.40278,35.722025,9.0733827
"052","4am",11.36449,13.030675,45.60646,18.768792,11.2295827
"053","4am",20.176761,17.758082,30.1645,25.168152,6.7325055
"054","4am",12.46463,19.906397,31.85671,24.290366,11.4819002
"055","4am",15.014456,24.517084,28.17431,15.921564,16.3725831
"056","4am",11.586846,24.740806,36.5375,16.661358,10.4734891
"057","4am",22.085633,20.707567,15.35318,29.054859,12.7987642
"058","4am",10.555577,10.246351,38.0385,30.493381,10.6661881
"059","4am",15.210133,22.215895,44.02661,16.583852,1.9635089
"060","4am",19.746962,16.2871,37.72823,16.014234,10.2234727
"061","4am",21.023043,22.721742,34.88152,16.733653,4.6400472
"062","4am",15.304055,11.620726,32.88351,28.875785,11.3159264
"063","4am",8.337871,9.611165,45.75758,24.781809,11.5115766
"064","4am",15.583218,13.231124,25.03202,36.391133,9.7625005
"065","4am",6.095443,30.25403,30.33075,27.391387,5.928392
"066","4am",6.324512,30.198013,28.22437,23.796421,11.4566797
"067","4am",16.629338,16.543975,27.71651,33.960278,5.1498966
"068","4am",15.587147,17.037065,38.77738,17.332673,11.2657346
"069","4am",8.757778,14.040573,32.62031,34.751847,9.8294918
"070","4am",27.190059,21.709463,26.54762,21.557586,2.9952748
"071","4am",13.940252,12.235332,33.54677,26.279377,13.998271
"072","4am",11.842885,6.109033,32.13291,30.39374,19.5214311
"073","4am",7.071302,32.908745,26.80953,25.104556,8.1058693
"074","4am",21.054965,29.460609,36.06893,11.406198,2.0093004
"075","4am",23.433374,35.653085,30.70189,8.501243,1.7104031
"076","4am",14.412446,29.347626,43.85099,11.198336,1.1905986
"077","4am",19.174914,27.557642,36.54276,10.131378,6.5933025
"078","4am",14.627568,25.937931,37.32819,18.056641,4.0496712
"079","4am",16.172124,14.56192,31.68662,27.119085,10.4602531
"080","4am",17.442419,18.244972,37.97598,18.900188,7.4364369
"081","4am",2.745395,24.195892,33.57268,29.756597,9.7294399
"082","4am",9.915038,18.937979,24.63175,36.642577,9.8726587
"083","4am",17.451276,23.953262,32.26894,20.004248,6.3222752
"084","4am",8.765991,15.961327,17.19704,42.095727,15.9799177
"085","4am",11.828249,6.656283,28.02051,31.07819,22.4167726
"086","4am",17.542559,21.348152,25.79515,27.625186,7.688949
"087","4am",14.642028,9.495081,23.58491,29.384051,22.8939277
