"district","hour","sex1","sex2"
"001","4am",6734.374,6535.996
"002","4am",2445.094,2875.789
"003","4am",2793.701,2870.244
"004","4am",7857.756,10456.582
"005","4am",11540.629,13151.972
"006","4am",3531.617,4613.128
"007","4am",5335.974,6750.589
"008","4am",9841.244,10683.245
"009","4am",9182.578,9591.508
"010","4am",7844.977,13618.781
"011","4am",10162.204,13007.28
"012","4am",10587.697,14149.799
"013","4am",9266.849,9360.352
"014","4am",9390.816,10129.922
"015","4am",10775.603,13422.924
"016","4am",5546.63,6697.269
"017","4am",5769.643,7304.87
"018","4am",5661.418,8390.443
"019","4am",7603.054,8765.907
"020","4am",8388.686,9661.235
"021","4am",7818.335,11050.128
"022","4am",2997.084,3812.935
"023","4am",5701.568,6738.466
"024","4am",5060.021,6244.155
"025","4am",6793.569,9586.782
"026","4am",5346.651,6022.723
"027","4am",5288.124,7130.057
"028","4am",5224.093,7164.601
"029","4am",9389.933,11309.098
"030","4am",7882.595,9544.931
"031","4am",4960.783,5510.695
"032","4am",5810.87,7971.059
"033","4am",5623.226,7451.706
"034","4am",7314.402,10294.472
"035","4am",9573.183,13871.907
"036","4am",6047.172,7205.279
"037","4am",4347.484,3978.126
"038","4am",5760.76,6372.86
"039","4am",7024.57,9896.705
"040","4am",7466.584,9067.417
"041","4am",6975.735,8355.971
"042","4am",4641.858,4131.961
"043","4am",2244.081,2312.465
"044","4am",2717.397,5154.831
"045","4am",1997.241,2339.464
"046","4am",3288.776,4105.591
"047","4am",11129.522,12560.626
"048","4am",4837.072,6424.767
"049","4am",5987.068,6796.735
"050","4am",4378.33,6145.896
"051","4am",5230.916,5723.477
"052","4am",7896.576,7429.461
"053","4am",4765.474,5482.271
"054","4am",2175.43,2394.493
"055","4am",1690.703,1761.037
"056","4am",1521.37,1599.462
"057","4am",2211.363,2311.037
"058","4am",3328.299,3539.872
"059","4am",4693.422,5322.677
"060","4am",6254.137,7215.474
"061","4am",6505.451,7331.42
"062","4am",3100.057,3922.585
"063","4am",2418.036,2219.539
"064","4am",1684.503,2000.936
"065","4am",4222.841,4133.877
"066","4am",2069.101,1876.152
"067","4am",4021.083,3671.887
"068","4am",3734.874,4391.103
"069","4am",3575.211,3354.72
"070","4am",6906.338,9310.037
"071","4am",4548.862,5528.854
"072","4am",3040.12,3534.539
"073","4am",9106.471,8706.782
"074","4am",4336.503,5539.671
"075","4am",2583.126,3225.154
"076","4am",4262.627,5411.498
"077","4am",8634.044,8060.2
"078","4am",3516.92,3497.452
"079","4am",8197.414,9574.871
"080","4am",5392.899,5675.52
