"hour";"101";"102";"103";"104";"105";"106";"107";"108";"109";"110";"111";"112";"113";"114";"115";"116";"117";"118";"119";"120";"121";"122";"123";"124";"125";"126";"127";"128";"129";"130";"131";"132";"133";"134";"135";"136";"137";"138";"139";"140";"141";"301";"302";"303";"304";"305";"306";"307";"308";"309";"310";"401";"402";"403";"404";"405";"406";"407";"408";"501";"502";"511";"521";"522";"523";"524";"525";"531";"532";"533";"541";"542";"543";"544";"545";"546";"547";"551";"561";"562";"563";"564";"571";"572";"573";"574";"575";"576";"601";"602";"611";"612";"621";"622";"623";"624";"631";"632";"633";"641";"642";"643";"644";"645";"651";"661";"662";"663";"671";"672";"673";"681";"691"
"min";"56.8";"56.8";"56.8";"56.8";"56.8";"56.8";"56.8";"56.8";"56.8";"56.8";"56.8";"56.8";"56.8";"56.8";"56.8";"56.8";"56.8";"56.8";"56.8";"56.8";"56.8";"56.8";"56.8";"56.8";"56.8";"56.8";"56.8";"56.8";"56.8";"56.8";"56.8";"56.8";"56.8";"56.8";"56.8";"56.8";"56.8";"56.8";"56.8";"56.8";"56.8";"56.8";"56.8";"56.8";"56.8";"56.8";"56.8";"56.8";"56.8";"56.8";"56.8";"56.8";"56.8";"56.8";"56.8";"56.8";"56.8";"56.8";"56.8";"56.8";"56.8";"56.8";"56.8";"56.8";"56.8";"56.8";"56.8";"56.8";"56.8";"56.8";"56.8";"56.8";"56.8";"56.8";"56.8";"56.8";"56.8";"56.8";"56.8";"56.8";"56.8";"56.8";"56.8";"56.8";"56.8";"56.8";"56.8";"56.8";"56.8";"56.8";"56.8";"56.8";"56.8";"56.8";"56.8";"56.8";"56.8";"56.8";"56.8";"56.8";"56.8";"56.8";"56.8";"56.8";"56.8";"56.8";"56.8";"56.8";"56.8";"56.8";"56.8";"56.8";"56.8"
"max";"186730";"186730";"186730";"186730";"186730";"186730";"186730";"186730";"186730";"186730";"186730";"186730";"186730";"186730";"186730";"186730";"186730";"186730";"186730";"186730";"186730";"186730";"186730";"186730";"186730";"186730";"186730";"186730";"186730";"186730";"186730";"186730";"186730";"186730";"186730";"186730";"186730";"186730";"186730";"186730";"186730";"186730";"186730";"186730";"186730";"186730";"186730";"186730";"186730";"186730";"186730";"186730";"186730";"186730";"186730";"186730";"186730";"186730";"186730";"186730";"186730";"186730";"186730";"186730";"186730";"186730";"186730";"186730";"186730";"186730";"186730";"186730";"186730";"186730";"186730";"186730";"186730";"186730";"186730";"186730";"186730";"186730";"186730";"186730";"186730";"186730";"186730";"186730";"186730";"186730";"186730";"186730";"186730";"186730";"186730";"186730";"186730";"186730";"186730";"186730";"186730";"186730";"186730";"186730";"186730";"186730";"186730";"186730";"186730";"186730";"186730";"186730";"186730"
"4am";" 3890.8";"17750.0";"15676.8";"14995.2";"23998.0";"13376.4";"20476.4";"30274.4";"10820.4";"19482.4";"10650.0";"21697.6";"10877.2";"11360.0";" 1334.8";"12893.6";"19312.0";"22294.0";"22890.4";" 5651.6";" 5822.0";" 7298.8";" 1448.4";"12098.4";" 1306.4";"  908.8";"15449.6";"20334.4";" 7895.2";" 5992.4";" 7440.8";"11019.2";" 1846.0";" 2527.6";" 1249.6";"13092.4";" 5140.4";" 5168.8";" 1704.0";"  965.6";" 1448.4";"10650.0";"16102.8";" 8917.6";" 6191.2";" 1448.4";" 4742.8";"14200.0";"19652.8";"10479.6";" 6049.2";" 4714.4";" 5310.8";"25900.8";"10110.4";" 9315.2";"22975.6";" 7838.4";" 4004.4";" 5168.8";" 3748.8";"20334.4";" 4828.0";" 3095.6";" 5339.2";" 5992.4";" 1760.8";" 5538.0";" 5822.0";"12070.0";" 1192.8";" 3890.8";" 4828.0";" 6759.2";" 3976.0";"10366.0";" 1846.0";" 4458.8";" 6248.0";"12467.6";" 1079.2";"  852.0";" 3379.6";" 6986.4";" 5907.2";" 3834.0";" 1334.8";" 4089.6";" 4430.4";"13972.8";"18573.6";" 5026.8";" 3748.8";" 7497.6";" 6418.4";" 2499.2";" 8690.4";" 3266.0";" 4316.8";" 3748.8";" 7270.4";" 5907.2";" 6049.2";" 3067.2";" 5254.0";"18261.2";" 2527.6";" 5822.0";" 6730.8";" 4799.6";" 6106.0";" 8122.4";"13575.2"
"5am";" 4231.6";"17863.6";"15676.8";"14966.8";"24026.4";"13319.6";"20419.6";"30246.0";"10763.6";"19652.8";"10621.6";"21669.2";"10792.0";"11331.6";" 1334.8";"12922.0";"19255.2";"22095.2";"22975.6";" 5765.2";" 5822.0";" 7270.4";" 1448.4";"12070.0";" 1306.4";"  880.4";"15392.8";"20220.8";" 7923.6";" 6049.2";" 7469.2";"11019.2";" 1789.2";" 2584.4";" 1249.6";"13035.6";" 5140.4";" 5168.8";" 1704.0";"  965.6";" 1420.0";"10621.6";"16159.6";" 8860.8";" 6191.2";" 1448.4";" 4742.8";"14143.2";"19567.6";"10508.0";" 5992.4";" 4686.0";" 5339.2";"25900.8";"10053.6";" 9343.6";"23032.4";" 7810.0";" 4004.4";" 5140.4";" 3692.0";"20306.0";" 4686.0";" 3067.2";" 5310.8";" 5964.0";" 1760.8";" 5538.0";" 5765.2";"12098.4";" 1164.4";" 3862.4";" 4799.6";" 6759.2";" 3976.0";"10224.0";" 1846.0";" 4458.8";" 6248.0";"12467.6";" 1079.2";"  852.0";" 3322.8";" 6986.4";" 5907.2";" 3834.0";" 1334.8";" 4061.2";" 4430.4";"13916.0";"18488.4";" 5055.2";" 3777.2";" 7526.0";" 6248.0";" 2470.8";" 8662.0";" 3266.0";" 4231.6";" 3720.4";" 7156.8";" 5850.4";" 6049.2";" 3010.4";" 5282.4";"18090.8";" 2470.8";" 5793.6";" 6702.4";" 4742.8";" 6077.6";" 8094.0";"13518.4"
"6am";" 4941.6";"18062.4";"15705.2";"14711.2";"24253.6";"13206.0";"20334.4";"30246.0";"10735.2";"19652.8";"10564.8";"21640.8";"10650.0";"11076.0";" 1363.2";"12780.0";"19113.2";"21981.6";"23344.8";" 5765.2";" 5822.0";" 7327.2";" 1420.0";"11928.0";" 1306.4";"  852.0";"15421.2";"19965.2";" 7866.8";" 6191.2";" 7412.4";"10820.4";" 1760.8";" 2584.4";" 1249.6";"12666.4";" 4941.6";" 5112.0";" 1675.6";"  965.6";" 1420.0";"10479.6";"16102.8";" 8775.6";" 6162.8";" 1448.4";" 4686.0";"14001.2";"19425.6";"10337.6";" 5935.6";" 4629.2";" 5339.2";"25730.4";" 9968.4";" 9144.8";"23117.6";" 7753.2";" 3919.2";" 5112.0";" 3692.0";"20164.0";" 4629.2";" 3038.8";" 5396.0";" 5964.0";" 1732.4";" 5566.4";" 5708.4";"11956.4";" 1079.2";" 3862.4";" 4714.4";" 6674.0";" 3919.2";"10394.4";" 1817.6";" 4402.0";" 6191.2";"12410.8";"  965.6";"  852.0";" 3322.8";" 6901.2";" 5566.4";" 3720.4";" 1306.4";" 4061.2";" 4430.4";"13688.8";"18261.2";" 4998.4";" 3663.6";" 7753.2";" 6191.2";" 2442.4";" 8605.2";" 3294.4";" 4118.0";" 3663.6";" 7156.8";" 5850.4";" 5964.0";" 3010.4";" 5254.0";"18034.0";" 2385.6";" 5708.4";" 6702.4";" 4714.4";" 6077.6";" 8065.6";"13433.2"
"7am";" 6816.0";"18687.2";"15676.8";"14569.2";"25304.4";"13319.6";"20192.4";"30075.6";"10650.0";"19652.8";"10621.6";"21072.8";"10593.2";"10763.6";" 1391.6";"12865.2";"18857.6";"22038.4";"23146.0";" 5396.0";" 5736.8";" 7327.2";" 1278.0";"11445.2";" 1136.0";"  795.2";"15222.4";"19681.2";" 7980.4";" 5907.2";" 7526.0";"10479.6";" 1675.6";" 2612.8";" 1278.0";"12410.8";" 4714.4";" 4913.2";" 1647.2";"  965.6";" 1391.6";"10366.0";"15960.8";" 8662.0";" 6106.0";" 1420.0";" 4771.2";"14029.6";"19170.0";"10252.4";" 5850.4";" 4515.6";" 5225.6";"25531.6";" 9798.0";" 8974.4";"23231.2";" 7582.8";" 3777.2";" 4970.0";" 3606.8";"20192.4";" 4544.0";" 2925.2";" 5282.4";" 5765.2";" 1704.0";" 5339.2";" 5594.8";"11842.8";" 1050.8";" 3947.6";" 4572.4";" 6702.4";" 3834.0";"10451.2";" 1846.0";" 4316.8";" 6077.6";"12268.8";"  908.8";"  852.0";" 3266.0";" 6844.4";" 5736.8";" 3493.2";" 1278.0";" 4061.2";" 4316.8";"13603.6";"18176.0";" 4970.0";" 3550.0";" 7611.2";" 6248.0";" 2414.0";" 8690.4";" 3209.2";" 4004.4";" 3720.4";" 7014.8";" 5878.8";" 5736.8";" 2896.8";" 5225.6";"17920.4";" 2328.8";" 5623.2";" 6617.2";" 4600.8";" 5935.6";" 8065.6";"13319.6"
"8am";" 8889.2";"19340.4";"15307.6";"14086.4";"26326.8";"13234.4";"19880.0";"29905.2";"10508.0";"20391.2";"10621.6";"20930.8";"10479.6";"10508.0";" 1476.8";"12808.4";"18914.4";"21356.8";"22975.6";" 5339.2";" 5509.6";" 7242.0";" 1249.6";"10990.8";" 1050.8";"  852.0";"14853.2";"19681.2";" 7980.4";" 5850.4";" 8122.4";"10025.2";" 1647.2";" 2584.4";" 1278.0";"12041.6";" 4856.4";" 4828.0";" 1618.8";"  965.6";" 1221.2";"10224.0";"16216.4";" 8264.4";" 5935.6";" 1391.6";" 4771.2";"14029.6";"18829.2";"10025.2";" 5793.6";" 4458.8";" 5339.2";"25560.0";" 9712.8";" 8775.6";"22634.8";" 7668.0";" 3578.4";" 4629.2";" 3464.8";"19738.0";" 4487.2";" 2896.8";" 5367.6";" 5623.2";" 1732.4";" 5282.4";" 5509.6";"11700.8";"  994.0";" 4061.2";" 4544.0";" 6787.6";" 3805.6";"10195.6";" 1789.2";" 4174.8";" 5992.4";"12524.4";"  823.6";"  852.0";" 3266.0";" 6645.6";" 5623.2";" 3464.8";" 1278.0";" 3834.0";" 4203.2";"13575.2";"17806.8";" 4941.6";" 3720.4";" 7469.2";" 6049.2";" 2385.6";" 8718.8";" 3152.4";" 3919.2";" 3834.0";" 6844.4";" 5992.4";" 5765.2";" 2868.4";" 5140.4";"18034.0";" 2186.8";" 5509.6";" 6674.0";" 4458.8";" 5878.8";" 7980.4";"13319.6"
"9am";"11303.2";"19908.4";"15620.0";"13830.8";"26809.6";"13518.4";"20249.2";"30018.8";"10224.0";"20277.6";"10735.2";"20249.2";"10422.8";" 9854.8";" 1391.6";"12893.6";"19141.6";"20845.6";"22805.2";" 5339.2";" 5168.8";" 7298.8";" 1164.4";"10224.0";" 1079.2";"  823.6";"14739.6";"19368.8";" 8094.0";" 5878.8";" 8832.4";" 9741.2";" 1476.8";" 2499.2";" 1050.8";"11644.0";" 4799.6";" 4373.6";" 1505.2";"  908.8";" 1107.6";"10252.4";"15818.8";" 7923.6";" 5822.0";" 1420.0";" 5083.6";"13859.2";"18346.4";"10280.8";" 5964.0";" 4430.4";" 5282.4";"25418.0";" 9400.4";" 8349.6";"22123.6";" 7355.6";" 3493.2";" 4544.0";" 3464.8";"19198.4";" 4231.6";" 2783.2";" 5538.0";" 5254.0";" 1562.0";" 5026.8";" 5197.2";"11416.8";"  795.2";" 3663.6";" 4402.0";" 6816.0";" 3748.8";" 9968.4";" 1647.2";" 4118.0";" 5708.4";"12694.8";"  795.2";"  823.6";" 3124.0";" 6532.0";" 5509.6";" 3237.6";" 1334.8";" 3720.4";" 4032.8";"13490.0";"17210.4";" 4913.2";" 3890.8";" 7440.8";" 5878.8";" 2272.0";" 8633.6";" 2982.0";" 3635.2";" 3692.0";" 6560.4";" 6077.6";" 6162.8";" 2754.8";" 5112.0";"18261.2";" 2243.6";" 5254.0";" 6560.4";" 4118.0";" 5680.0";" 7810.0";"12496.0"
"10am";"14086.4";"20277.6";"15421.2";"13348.0";"27377.6";"13660.4";"20107.2";"30132.4";"10195.6";"19794.8";"10508.0";"19681.2";"10025.2";" 9570.8";" 1391.6";"14001.2";"19141.6";"20164.0";"22208.8";" 5225.6";" 5197.2";" 7611.2";" 1050.8";" 9883.2";" 1022.4";"  766.8";"14228.4";"19397.2";" 8207.6";" 5878.8";"10025.2";" 9031.2";" 1562.0";" 2414.0";"  937.2";"10990.8";" 4686.0";" 4174.8";" 1363.2";"  908.8";" 1022.4";"10195.6";"15052.0";" 8037.2";" 5680.0";" 1249.6";" 5452.8";"13518.4";"18176.0";"10195.6";" 6532.0";" 4061.2";" 5509.6";"24736.4";" 8804.0";" 8150.8";"22776.8";" 7043.2";" 3436.4";" 4345.2";" 3322.8";"19056.4";" 4146.4";" 2527.6";" 5452.8";" 5083.6";" 1420.0";" 5055.2";" 4998.4";"11360.0";"  823.6";" 3834.0";" 4146.4";" 6844.4";" 3521.6";"10138.8";" 1590.4";" 4061.2";" 5481.2";"12893.6";"  738.4";"  795.2";" 2811.6";" 6475.2";" 5594.8";" 3038.8";" 1221.2";" 3606.8";" 3834.0";"13376.4";"17125.2";" 4913.2";" 3976.0";" 7440.8";" 5964.0";" 2300.4";" 8292.8";" 2868.4";" 3919.2";" 3606.8";" 6418.4";" 5623.2";" 6390.0";" 2556.0";" 5282.4";"18374.8";" 2130.0";" 5026.8";" 6333.2";" 4118.0";" 5736.8";" 7497.6";"11814.4"
