"variable","CODE_SEC","RES_SEC","W_IND"
"h7","101","103",56.8
"h7","101","104",28.4
"h7","101","105",28.4
"h7","101","108",28.4
"h7","101","109",28.4
"h7","101","110",28.4
"h7","101","114",28.4
"h7","101","118",28.4
"h7","101","127",56.8
"h7","101","304",28.4
"h7","101","308",28.4
"h7","101","531",28.4
"h7","101","611",28.4
"h7","102","103",28.4
"h7","102","106",56.8
"h7","102","108",28.4
"h7","102","110",28.4
"h7","102","112",56.8
"h7","102","120",28.4
"h7","102","132",28.4
"h7","102","138",28.4
"h7","102","521",28.4
"h7","102","562",28.4
"h7","105","104",56.8
"h7","105","107",28.4
"h7","105","108",28.4
"h7","105","109",28.4
"h7","105","110",28.4
"h7","105","112",28.4
"h7","105","114",28.4
"h7","105","118",28.4
"h7","105","120",56.8
"h7","105","124",56.8
"h7","105","127",56.8
"h7","105","128",28.4
"h7","105","302",28.4
"h7","105","308",28.4
"h7","105","406",28.4
"h7","105","623",28.4
"h7","108","105",28.4
"h7","108","106",28.4
"h7","108","107",56.8
"h7","108","109",28.4
"h7","108","114",28.4
"h7","108","118",28.4
"h7","108","140",28.4
"h7","108","403",28.4
"h7","108","404",28.4
"h7","108","406",28.4
"h7","108","623",28.4
"h7","108","691",28.4
"h8","101","102",28.4
"h8","101","103",85.2
"h8","101","104",56.8
"h8","101","105",56.8
"h8","101","107",28.4
"h8","101","108",28.4
"h8","101","109",28.4
"h8","101","110",28.4
"h8","101","111",28.4
"h8","101","114",56.8
"h8","101","118",56.8
"h8","101","119",28.4
"h8","101","120",28.4
"h8","101","127",85.2
"h8","101","301",28.4
"h8","101","304",28.4
"h8","101","306",28.4
"h8","101","307",28.4
"h8","101","308",28.4
"h8","101","531",28.4
"h8","101","544",28.4
"h8","101","611",28.4
"h8","101","644",28.4
"h8","102","103",85.2
"h8","102","104",56.8
"h8","102","105",56.8
"h8","102","106",85.2
"h8","102","107",28.4
"h8","102","108",28.4
"h8","102","110",28.4
"h8","102","111",56.8
"h8","102","112",56.8
"h8","102","118",56.8
"h8","102","120",28.4
"h8","102","127",28.4
"h8","102","131",28.4
"h8","102","132",28.4
"h8","102","138",28.4
"h8","102","405",28.4
"h8","102","521",28.4
"h8","102","523",28.4
"h8","102","533",28.4
"h8","102","546",28.4
"h8","102","562",28.4
"h8","102","621",28.4
"h8","105","102",28.4
"h8","105","104",85.2
"h8","105","106",56.8
"h8","105","107",85.2
"h8","105","108",56.8
"h8","105","109",56.8
"h8","105","110",28.4
"h8","105","112",28.4
"h8","105","114",28.4
"h8","105","117",28.4
"h8","105","118",28.4
"h8","105","120",28.4
"h8","105","122",28.4
"h8","105","124",56.8
"h8","105","127",56.8
"h8","105","137",28.4
"h8","105","302",28.4
"h8","105","308",28.4
"h8","105","406",28.4
"h8","105","572",28.4
"h8","105","623",28.4
"h8","105","632",28.4
"h8","106","101",28.4
"h8","106","102",28.4
"h8","106","107",56.8
"h8","106","108",85.2
"h8","106","110",56.8
"h8","106","111",85.2
"h8","106","121",56.8
"h8","106","126",28.4
"h8","106","138",28.4
"h8","106","306",28.4
"h8","106","308",28.4
"h8","106","403",28.4
"h8","106","542",28.4
"h8","106","601",28.4
"h8","106","611",28.4
"h8","108","104",28.4
"h8","108","105",28.4
"h8","108","106",28.4
"h8","108","107",85.2
"h8","108","114",28.4
"h8","108","118",28.4
"h8","108","119",28.4
"h8","108","124",28.4
"h8","108","130",28.4
"h8","108","140",28.4
"h8","108","406",56.8
"h8","108","623",28.4
"h8","108","643",28.4
"h8","108","663",28.4
"h8","108","691",28.4
"h8","403","107",28.4
"h8","403","108",28.4
"h8","403","112",28.4
"h8","403","117",28.4
"h8","403","401",56.8
"h8","403","404",85.2
"h8","403","405",28.4
"h8","403","406",56.8
"h8","403","408",28.4
"h8","403","631",28.4
"h8","403","644",28.4
"h8","406","104",28.4
"h8","406","108",28.4
"h8","406","116",28.4
"h8","406","401",28.4
"h8","406","403",113.6
"h8","406","404",56.8
"h8","406","405",28.4
"h8","406","407",28.4
"h9","101","102",28.4
"h9","101","103",85.2
"h9","101","104",85.2
"h9","101","105",85.2
"h9","101","106",28.4
"h9","101","107",85.2
"h9","101","108",56.8
"h9","101","109",28.4
"h9","101","110",28.4
"h9","101","111",28.4
"h9","101","112",85.2
"h9","101","114",56.8
"h9","101","116",28.4
"h9","101","117",28.4
"h9","101","118",142
"h9","101","119",56.8
"h9","101","120",85.2
"h9","101","127",113.6
"h9","101","128",28.4
"h9","101","129",28.4
"h9","101","137",28.4
"h9","101","301",28.4
"h9","101","306",28.4
"h9","101","307",28.4
"h9","101","308",28.4
"h9","101","403",28.4
"h9","101","501",28.4
"h9","101","523",28.4
"h9","101","531",28.4
"h9","101","574",28.4
"h9","101","611",28.4
"h9","101","644",28.4
"h9","102","103",28.4
"h9","102","104",85.2
"h9","102","105",85.2
"h9","102","106",170.4
"h9","102","107",28.4
"h9","102","108",56.8
"h9","102","110",56.8
"h9","102","111",85.2
"h9","102","112",56.8
"h9","102","114",28.4
"h9","102","115",28.4
