"hour";"101";"102";"103";"104";"105";"106";"107";"108";"109";"110";"111";"112";"113";"114";"115";"116";"117";"118";"119";"120";"121";"122";"123";"124";"125";"126";"127";"128";"129";"130";"131";"132";"133";"134";"135";"136";"137";"138";"139";"140";"141";"301";"302";"303";"304";"305";"306";"307";"308";"309";"310";"401";"402";"403";"404";"405";"406";"407";"408";"501";"502";"511";"521";"522";"523";"524";"525";"531";"532";"533";"541";"542";"543";"544";"545";"546";"547";"551";"561";"562";"563";"564";"571";"572";"573";"574";"575";"576";"601";"602";"611";"612";"621";"622";"623";"624";"631";"632";"633";"641";"642";"643";"644";"645";"651";"661";"662";"663";"671";"672";"673";"681";"691"
"min";"28.4";"28.4";"28.4";"28.4";"28.4";"28.4";"28.4";"28.4";"28.4";"28.4";"28.4";"28.4";"28.4";"28.4";"28.4";"28.4";"28.4";"28.4";"28.4";"28.4";"28.4";"28.4";"28.4";"28.4";"28.4";"28.4";"28.4";"28.4";"28.4";"28.4";"28.4";"28.4";"28.4";"28.4";"28.4";"28.4";"28.4";"28.4";"28.4";"28.4";"28.4";"28.4";"28.4";"28.4";"28.4";"28.4";"28.4";"28.4";"28.4";"28.4";"28.4";"28.4";"28.4";"28.4";"28.4";"28.4";"28.4";"28.4";"28.4";"28.4";"28.4";"28.4";"28.4";"28.4";"28.4";"28.4";"28.4";"28.4";"28.4";"28.4";"28.4";"28.4";"28.4";"28.4";"28.4";"28.4";"28.4";"28.4";"28.4";"28.4";"28.4";"28.4";"28.4";"28.4";"28.4";"28.4";"28.4";"28.4";"28.4";"28.4";"28.4";"28.4";"28.4";"28.4";"28.4";"28.4";"28.4";"28.4";"28.4";"28.4";"28.4";"28.4";"28.4";"28.4";"28.4";"28.4";"28.4";"28.4";"28.4";"28.4";"28.4";"28.4";"28.4"
"max";"224644";"224644";"224644";"224644";"224644";"224644";"224644";"224644";"224644";"224644";"224644";"224644";"224644";"224644";"224644";"224644";"224644";"224644";"224644";"224644";"224644";"224644";"224644";"224644";"224644";"224644";"224644";"224644";"224644";"224644";"224644";"224644";"224644";"224644";"224644";"224644";"224644";"224644";"224644";"224644";"224644";"224644";"224644";"224644";"224644";"224644";"224644";"224644";"224644";"224644";"224644";"224644";"224644";"224644";"224644";"224644";"224644";"224644";"224644";"224644";"224644";"224644";"224644";"224644";"224644";"224644";"224644";"224644";"224644";"224644";"224644";"224644";"224644";"224644";"224644";"224644";"224644";"224644";"224644";"224644";"224644";"224644";"224644";"224644";"224644";"224644";"224644";"224644";"224644";"224644";"224644";"224644";"224644";"224644";"224644";"224644";"224644";"224644";"224644";"224644";"224644";"224644";"224644";"224644";"224644";"224644";"224644";"224644";"224644";"224644";"224644";"224644";"224644"
"4am";" 852.0";"2357.2";"2385.6";"2385.6";"3805.6";"2726.4";"5538.0";"4430.4";"3038.8";"3805.6";"2811.6";"3067.2";"1675.6";"1874.4";" 198.8";"1249.6";"4458.8";"3947.6";"3606.8";" 653.2";" 511.2";" 596.4";" 369.2";"1136.0";" 198.8";" 312.4";"2272.0";"2328.8";"1050.8";" 681.6";" 766.8";"1704.0";" 142.0";" 568.0";"  85.2";"2754.8";"1164.4";" 908.8";" 397.6";" 170.4";"  85.2";"1391.6";"1476.8";" 766.8";" 539.6";" 227.2";" 710.0";"2130.0";"2556.0";" 511.2";" 539.6";" 994.0";"1022.4";"3124.0";"1760.8";"1363.2";"2044.8";" 539.6";" 908.8";" 937.2";" 710.0";"2669.6";" 880.4";" 823.6";" 994.0";" 738.4";" 198.8";" 880.4";" 880.4";"1732.4";" 170.4";" 653.2";" 454.4";"1334.8";" 482.8";"1562.0";" 284.0";" 823.6";" 880.4";"1221.2";" 170.4";" 142.0";" 340.8";"1079.2";" 766.8";" 823.6";" 284.0";" 568.0";" 908.8";"1959.6";"2130.0";"1136.0";"1050.8";"1420.0";"1192.8";"1107.6";"1079.2";" 766.8";"1192.8";" 795.2";" 823.6";"1647.2";" 880.4";"1476.8";"1618.8";"2414.0";"1107.6";"1136.0";"1789.2";" 795.2";" 937.2";"1249.6";"1249.6"
"5am";" 852.0";"2385.6";"2385.6";"2385.6";"3777.2";"2726.4";"5538.0";"4430.4";"3038.8";"3805.6";"2811.6";"3067.2";"1675.6";"1874.4";" 198.8";"1221.2";"4430.4";"3947.6";"3578.4";" 653.2";" 511.2";" 596.4";" 369.2";"1136.0";" 198.8";" 312.4";"2272.0";"2328.8";"1050.8";" 681.6";" 766.8";"1704.0";" 142.0";" 568.0";"  85.2";"2754.8";"1164.4";" 880.4";" 397.6";" 170.4";"  85.2";"1391.6";"1476.8";" 766.8";" 539.6";" 227.2";" 710.0";"2130.0";"2556.0";" 511.2";" 539.6";" 994.0";"1022.4";"3152.4";"1760.8";"1363.2";"2044.8";" 539.6";" 908.8";" 937.2";" 681.6";"2669.6";" 880.4";" 823.6";" 994.0";" 738.4";" 198.8";" 880.4";" 880.4";"1732.4";" 170.4";" 653.2";" 454.4";"1306.4";" 454.4";"1562.0";" 284.0";" 823.6";" 880.4";"1221.2";" 170.4";" 142.0";" 340.8";"1079.2";" 766.8";" 823.6";" 284.0";" 568.0";" 908.8";"1931.2";"2130.0";"1136.0";"1050.8";"1420.0";"1192.8";"1107.6";"1079.2";" 766.8";"1192.8";" 795.2";" 823.6";"1647.2";" 880.4";"1476.8";"1618.8";"2385.6";"1107.6";"1136.0";"1789.2";" 795.2";" 937.2";"1249.6";"1249.6"
"6am";" 880.4";"2385.6";"2357.2";"2385.6";"3777.2";"2726.4";"5538.0";"4430.4";"2982.0";"3834.0";"2811.6";"3010.4";"1675.6";"1874.4";" 198.8";"1221.2";"4402.0";"3919.2";"3635.2";" 653.2";" 511.2";" 624.8";" 340.8";"1107.6";" 198.8";" 312.4";"2272.0";"2357.2";"1050.8";" 766.8";" 766.8";"1704.0";" 142.0";" 539.6";"  85.2";"2754.8";"1107.6";" 908.8";" 397.6";" 170.4";"  85.2";"1363.2";"1448.4";" 795.2";" 539.6";" 227.2";" 710.0";"2130.0";"2527.6";" 511.2";" 539.6";" 994.0";"1022.4";"3152.4";"1732.4";"1334.8";"2073.2";" 539.6";" 880.4";" 937.2";" 710.0";"2669.6";" 880.4";" 823.6";" 994.0";" 738.4";" 198.8";" 880.4";" 880.4";"1732.4";" 170.4";" 653.2";" 454.4";"1278.0";" 454.4";"1562.0";" 284.0";" 823.6";" 880.4";"1221.2";" 170.4";" 142.0";" 340.8";"1079.2";" 766.8";" 823.6";" 284.0";" 568.0";" 908.8";"1874.4";"2101.6";"1079.2";" 994.0";"1391.6";"1164.4";"1107.6";"1050.8";" 766.8";"1079.2";" 795.2";" 823.6";"1647.2";" 880.4";"1476.8";"1618.8";"2357.2";"1107.6";"1164.4";"1789.2";" 795.2";" 937.2";"1249.6";"1249.6"
"7am";"1050.8";"2300.4";"2499.2";"2243.6";"3976.0";"2612.8";"5367.6";"4458.8";"2840.0";"3834.0";"2811.6";"2953.6";"1618.8";"1817.6";" 198.8";"1249.6";"4345.2";"3976.0";"3692.0";" 568.0";" 511.2";" 624.8";" 255.6";"1079.2";" 142.0";" 312.4";"2158.4";"2300.4";"1050.8";" 681.6";" 852.0";"1562.0";" 142.0";" 454.4";"  85.2";"2669.6";"1136.0";" 823.6";" 369.2";" 142.0";"  85.2";"1363.2";"1391.6";" 795.2";" 539.6";" 227.2";" 766.8";"2130.0";"2499.2";" 511.2";" 568.0";"1022.4";" 994.0";"3067.2";"1675.6";"1306.4";"2101.6";" 511.2";" 880.4";" 965.6";" 653.2";"2698.0";" 880.4";" 795.2";" 965.6";" 681.6";" 170.4";" 908.8";" 880.4";"1704.0";" 142.0";" 653.2";" 454.4";"1249.6";" 454.4";"1562.0";" 284.0";" 795.2";" 852.0";"1164.4";" 170.4";" 142.0";" 312.4";"1079.2";" 766.8";" 823.6";" 284.0";" 539.6";" 852.0";"1846.0";"1959.6";"1050.8";" 994.0";"1420.0";"1164.4";"1107.6";"1136.0";" 738.4";"1164.4";" 738.4";" 795.2";"1618.8";" 880.4";"1420.0";"1618.8";"2385.6";"1079.2";"1164.4";"1817.6";" 795.2";" 965.6";"1249.6";"1192.8"
"8am";"1107.6";"2414.0";"2385.6";"2186.8";"4089.6";"2811.6";"5254.0";"4515.6";"2641.2";"3720.4";"2726.4";"2754.8";"1590.4";"1732.4";" 198.8";"1278.0";"4260.0";"3919.2";"3550.0";" 738.4";" 397.6";" 596.4";" 340.8";"1050.8";" 170.4";" 312.4";"2044.8";"2215.2";"1050.8";" 653.2";" 852.0";"1562.0";" 142.0";" 397.6";"  85.2";"2641.2";"1107.6";" 710.0";" 397.6";" 198.8";" 113.6";"1249.6";"1391.6";" 823.6";" 568.0";" 227.2";" 738.4";"2101.6";"2470.8";" 596.4";" 511.2";" 937.2";"1107.6";"3152.4";"1704.0";"1278.0";"2101.6";" 482.8";" 908.8";" 937.2";" 653.2";"2698.0";" 823.6";" 766.8";" 965.6";" 681.6";" 170.4";" 880.4";" 880.4";"1675.6";" 142.0";" 653.2";" 454.4";"1221.2";" 454.4";"1618.8";" 255.6";" 738.4";" 823.6";"1221.2";" 170.4";" 142.0";" 312.4";"1022.4";" 766.8";" 766.8";" 284.0";" 511.2";" 852.0";"1846.0";"1931.2";"1050.8";"1164.4";"1420.0";"1136.0";"1107.6";"1136.0";" 795.2";"1136.0";" 795.2";" 823.6";"1448.4";" 908.8";"1448.4";"1647.2";"2414.0";"1079.2";"1107.6";"1732.4";" 795.2";" 965.6";"1192.8";"1136.0"
"9am";"1448.4";"2669.6";"2300.4";"2215.2";"4345.2";"2811.6";"5310.8";"4572.4";"2754.8";"3635.2";"2698.0";"2726.4";"1562.0";"1675.6";" 198.8";"1164.4";"4203.2";"3890.8";"3550.0";" 568.0";" 426.0";" 681.6";" 369.2";"1022.4";" 170.4";" 255.6";"2016.4";"2130.0";"1050.8";" 710.0";" 965.6";"1647.2";" 142.0";" 369.2";"  85.2";"2584.4";" 965.6";" 624.8";" 369.2";" 198.8";"  85.2";"1278.0";"1363.2";" 766.8";" 539.6";" 227.2";" 710.0";"2073.2";"2612.8";" 596.4";" 681.6";" 823.6";"1022.4";"3095.6";"1732.4";"1278.0";"2215.2";" 539.6";" 880.4";" 880.4";" 624.8";"2641.2";" 823.6";" 681.6";"1050.8";" 596.4";" 170.4";" 852.0";" 852.0";"1675.6";" 142.0";" 596.4";" 454.4";"1221.2";" 426.0";"1590.4";" 255.6";" 710.0";" 823.6";"1278.0";" 142.0";" 113.6";" 284.0";"1050.8";" 738.4";" 766.8";" 284.0";" 426.0";" 795.2";"1874.4";"2044.8";" 994.0";"1079.2";"1420.0";"1136.0";"1079.2";"1107.6";" 738.4";"1136.0";" 880.4";" 852.0";"1391.6";" 937.2";"1420.0";"1562.0";"2499.2";" 937.2";"1022.4";"1647.2";" 710.0";" 908.8";"1221.2";"1107.6"
"10am";"1590.4";"2783.2";"2414.0";"2215.2";"4089.6";"3038.8";"5225.6";"4629.2";"2811.6";"3436.4";"2669.6";"2669.6";"1476.8";"1533.6";" 227.2";"1533.6";"4146.4";"3805.6";"3521.6";" 624.8";" 454.4";" 681.6";" 369.2";"1022.4";" 113.6";" 255.6";"1902.8";"2300.4";" 994.0";" 738.4";"1079.2";"1505.2";" 142.0";" 397.6";"  85.2";"2414.0";"1022.4";" 766.8";" 397.6";" 227.2";"  85.2";"1164.4";"1278.0";" 795.2";" 482.8";" 284.0";" 653.2";"2130.0";"2584.4";" 710.0";" 823.6";" 795.2";"1136.0";"3237.6";"1618.8";"1306.4";"2130.0";" 511.2";" 852.0";" 880.4";" 596.4";"2556.0";" 823.6";" 624.8";" 965.6";" 568.0";" 170.4";" 823.6";" 880.4";"1647.2";" 142.0";" 624.8";" 511.2";"1164.4";" 397.6";"1618.8";" 284.0";" 710.0";" 738.4";"1391.6";" 142.0";" 113.6";" 255.6";"1050.8";" 795.2";" 710.0";" 284.0";" 369.2";" 766.8";"1874.4";"1959.6";" 994.0";"1164.4";"1505.2";"1079.2";"1050.8";"1050.8";" 795.2";"1221.2";" 908.8";" 823.6";"1363.2";"1050.8";"1363.2";"1391.6";"2641.2";" 852.0";" 965.6";"1704.0";" 681.6";" 852.0";"1136.0";"1079.2"
