"variable","CODE_SEC","RES_SEC","W_IND"
"h4","101","102",85.2
"h4","101","104",28.4
"h4","101","107",28.4
"h4","101","109",28.4
"h4","101","110",56.8
"h4","101","112",28.4
"h4","101","113",28.4
"h4","101","117",28.4
"h4","101","136",28.4
"h4","101","141",28.4
"h4","101","303",56.8
"h4","101","307",56.8
"h4","101","406",28.4
"h4","101","408",28.4
"h4","101","511",28.4
"h4","101","521",28.4
"h4","101","531",28.4
"h4","101","545",56.8
"h4","101","546",28.4
"h4","101","573",28.4
"h4","101","601",28.4
"h4","101","611",85.2
"h4","101","644",56.8
"h4","101","671",28.4
"h4","102","101",28.4
"h4","102","103",28.4
"h4","102","106",56.8
"h4","102","107",56.8
"h4","102","109",28.4
"h4","102","110",28.4
"h4","102","112",28.4
"h4","102","114",56.8
"h4","102","116",56.8
"h4","102","118",28.4
"h4","102","121",28.4
"h4","102","122",28.4
"h4","102","134",28.4
"h4","102","137",28.4
"h4","102","307",56.8
"h4","102","407",28.4
"h4","102","511",56.8
"h4","102","521",28.4
"h4","102","522",28.4
"h4","102","523",28.4
"h4","102","524",28.4
"h4","102","533",28.4
"h4","102","544",28.4
"h4","102","546",28.4
"h4","102","624",28.4
"h4","103","104",85.2
"h4","103","111",28.4
"h4","103","118",28.4
"h4","103","127",85.2
"h4","103","128",28.4
"h4","103","136",56.8
"h4","103","302",28.4
"h4","103","406",28.4
"h4","105","103",170.4
"h4","105","104",56.8
"h4","105","107",28.4
"h4","105","110",56.8
"h4","105","111",28.4
"h4","105","112",28.4
"h4","105","122",56.8
"h4","105","134",28.4
"h4","105","136",28.4
"h4","105","303",56.8
"h4","105","405",28.4
"h4","105","532",28.4
"h4","105","576",28.4
"h4","105","602",56.8
"h4","105","612",28.4
"h4","105","643",28.4
"h4","105","671",28.4
"h4","106","102",28.4
"h4","106","104",28.4
"h4","106","109",28.4
"h4","106","110",56.8
"h4","106","111",56.8
"h4","106","113",28.4
"h4","106","301",28.4
"h4","106","302",28.4
"h4","106","304",28.4
"h4","106","307",28.4
"h4","106","521",28.4
"h4","106","532",28.4
"h4","106","562",28.4
"h4","106","601",56.8
"h4","106","611",28.4
"h4","106","643",28.4
"h4","106","671",28.4
"h4","107","103",56.8
"h4","107","106",56.8
"h4","107","108",28.4
"h4","107","109",28.4
"h4","107","110",56.8
"h4","107","127",28.4
"h4","107","128",28.4
"h4","107","137",28.4
"h4","107","307",28.4
"h4","107","403",28.4
"h4","107","533",28.4
"h4","107","544",28.4
"h4","107","562",28.4
"h4","107","611",28.4
"h4","107","623",28.4
"h4","107","631",28.4
"h4","107","661",28.4
"h4","107","662",113.6
"h4","107","673",28.4
"h4","108","107",28.4
"h4","108","113",28.4
"h4","108","118",56.8
"h4","108","403",28.4
"h4","108","404",28.4
"h4","108","406",56.8
"h4","108","525",28.4
"h4","108","531",28.4
"h4","108","551",28.4
"h4","108","611",56.8
"h4","108","612",56.8
"h4","108","622",56.8
"h4","108","623",56.8
"h4","108","624",28.4
"h4","108","661",28.4
"h4","111","102",28.4
"h4","111","113",28.4
"h4","111","302",28.4
"h4","111","401",28.4
"h4","111","543",28.4
"h4","111","571",28.4
"h4","111","572",28.4
"h4","111","611",28.4
"h4","111","622",56.8
"h4","111","624",56.8
"h4","111","661",28.4
"h4","111","662",28.4
"h4","113","102",28.4
"h4","113","110",56.8
"h4","113","111",28.4
"h4","113","116",28.4
"h4","113","118",28.4
"h4","113","404",28.4
"h4","113","611",28.4
"h4","113","612",28.4
"h4","113","622",28.4
"h4","113","624",28.4
"h4","113","643",28.4
"h4","113","673",28.4
"h4","116","103",28.4
"h4","116","110",28.4
"h4","116","111",28.4
"h4","116","112",28.4
"h4","116","114",28.4
"h4","116","117",28.4
"h4","116","118",28.4
"h4","116","307",28.4
"h4","116","407",28.4
"h4","116","408",28.4
"h4","116","544",28.4
"h4","116","611",28.4
"h4","116","622",28.4
"h4","116","623",56.8
"h4","116","632",28.4
"h4","116","633",28.4
"h4","119","102",28.4
"h4","119","103",28.4
"h4","119","105",56.8
"h4","119","108",28.4
"h4","119","109",28.4
"h4","119","110",28.4
"h4","119","112",28.4
"h4","119","116",28.4
"h4","119","122",28.4
"h4","119","128",28.4
"h4","119","132",28.4
"h4","119","139",28.4
"h4","119","302",28.4
"h4","119","303",85.2
"h4","119","304",28.4
"h4","119","308",28.4
"h4","119","404",28.4
"h4","119","521",28.4
"h4","119","531",28.4
"h4","119","532",56.8
"h4","119","542",28.4
"h4","119","545",56.8
"h4","119","551",28.4
"h4","119","564",28.4
"h4","119","572",56.8
"h4","119","576",56.8
"h4","119","601",56.8
"h4","119","611",56.8
"h4","119","612",56.8
"h4","119","621",28.4
"h4","119","622",56.8
"h4","119","623",28.4
"h4","119","624",28.4
"h4","119","631",28.4
"h4","119","633",56.8
"h4","119","642",28.4
"h4","119","643",28.4
"h4","119","645",142
"h4","119","651",28.4
"h4","119","661",28.4
"h4","128","103",85.2
"h4","128","109",28.4
"h4","128","127",56.8
"h4","128","138",28.4
"h4","128","403",28.4
"h4","128","404",28.4
"h4","128","405",28.4
"h4","128","525",28.4
"h4","128","542",28.4
"h4","128","545",28.4
"h4","128","643",28.4
"h4","128","645",28.4
"h4","129","107",28.4
"h4","129","108",28.4
"h4","129","111",56.8
"h4","129","140",28.4
"h4","129","310",28.4
"h4","129","403",28.4
"h4","129","511",28.4
"h4","129","546",28.4
"h4","129","602",28.4
"h4","129","651",28.4
"h4","129","681",28.4
"h4","130","102",56.8
"h4","130","104",85.2
"h4","130","105",56.8
"h4","130","106",56.8
"h4","130","107",56.8
"h4","130","108",28.4
"h4","130","110",56.8
"h4","130","112",28.4
"h4","130","113",28.4
"h4","130","114",28.4
"h4","130","118",28.4
"h4","130","119",56.8
"h4","130","127",28.4
"h4","130","128",28.4
"h4","130","129",56.8
"h4","130","131",28.4
"h4","130","134",28.4
"h4","130","138",28.4
"h4","130","140",56.8
"h4","130","302",28.4
"h4","130","308",56.8
"h4","130","309",28.4
"h4","130","402",28.4
"h4","130","404",56.8
"h4","130","405",28.4
"h4","130","408",56.8
"h4","130","523",28.4
"h4","130","533",28.4
"h4","130","543",56.8
"h4","130","546",28.4
"h4","130","551",85.2
"h4","130","571",28.4
"h4","130","573",28.4
"h4","130","621",28.4
"h4","130","622",28.4
"h4","130","641",28.4
"h4","130","642",28.4
"h4","130","661",85.2
"h4","130","663",85.2
"h4","307","113",28.4
"h4","307","302",56.8
"h4","307","308",56.8
"h4","307","501",28.4
"h4","307","502",28.4
"h4","307","511",56.8
"h4","307","522",28.4
"h4","307","523",56.8
"h4","307","532",28.4
"h4","307","645",85.2
"h4","309","109",28.4
"h4","309","113",28.4
"h4","309","302",113.6
"h4","309","303",28.4
"h4","309","305",28.4
"h4","309","310",56.8
"h4","309","502",28.4
"h4","309","522",28.4
"h4","309","523",28.4
"h4","309","531",28.4
"h4","309","532",56.8
"h4","309","542",28.4
"h4","309","543",28.4
"h4","309","544",85.2
"h4","403","113",28.4
"h4","403","401",142
"h4","403","402",28.4
"h4","403","404",28.4
"h4","403","611",28.4
"h4","403","624",28.4
"h4","403","631",28.4
"h4","403","632",28.4
"h4","403","644",28.4
"h4","403","661",28.4
"h4","403","662",28.4
"h4","406","132",28.4
"h4","406","306",28.4
"h4","406","307",28.4
"h4","406","401",56.8
"h4","406","404",28.4
"h4","406","405",28.4
"h4","406","407",28.4
"h4","406","408",28.4
"h4","406","562",28.4
"h4","406","612",28.4
"h4","406","621",85.2
"h4","406","622",56.8
"h4","406","631",85.2
"h4","406","643",28.4
"h4","406","645",28.4
"h4","406","651",28.4
"h4","406","662",28.4
"h4","406","671",85.2
"h4","406","681",28.4
"h4","532","102",28.4
"h4","532","103",28.4
"h4","532","114",28.4
"h4","532","117",28.4
"h4","532","302",28.4
"h4","532","307",28.4
"h4","532","308",28.4
"h4","532","531",28.4
"h4","532","533",28.4
"h4","532","573",28.4
"h4","532","691",56.8
"h4","573","127",28.4
"h4","573","521",28.4
"h4","573","562",28.4
"h4","573","571",539.6
"h4","573","574",28.4
"h4","573","576",56.8
"h4","651","401",28.4
"h4","651","404",28.4
"h4","651","546",28.4
"h4","651","602",28.4
"h4","651","631",28.4
"h4","651","632",28.4
"h4","651","643",28.4
"h4","651","661",56.8
"h4","651","662",56.8
"h4","651","663",56.8
"h4","651","681",28.4
"h4","651","691",28.4
"h4","691","104",56.8
"h4","691","105",142
"h4","691","110",28.4
"h4","691","404",28.4
"h4","691","611",56.8
"h4","691","643",28.4
"h4","691","662",28.4
"h5","101","102",85.2
"h5","101","103",28.4
"h5","101","104",28.4
"h5","101","106",56.8
"h5","101","107",28.4
"h5","101","108",56.8
"h5","101","109",28.4
"h5","101","110",113.6
"h5","101","112",56.8
"h5","101","113",113.6
"h5","101","114",56.8
"h5","101","117",28.4
"h5","101","118",113.6
"h5","101","124",28.4
"h5","101","126",28.4
"h5","101","128",85.2
"h5","101","129",28.4
"h5","101","132",28.4
"h5","101","133",28.4
"h5","101","134",56.8
"h5","101","136",28.4
"h5","101","138",28.4
"h5","101","140",28.4
"h5","101","141",28.4
"h5","101","301",56.8
"h5","101","302",56.8
"h5","101","303",85.2
"h5","101","307",227.2
"h5","101","308",85.2
"h5","101","310",56.8
"h5","101","402",28.4
"h5","101","403",28.4
"h5","101","406",170.4
"h5","101","407",28.4
"h5","101","408",85.2
"h5","101","511",113.6
"h5","101","521",28.4
"h5","101","522",85.2
"h5","101","523",85.2
"h5","101","524",56.8
"h5","101","531",56.8
"h5","101","532",28.4
"h5","101","542",28.4
"h5","101","544",85.2
"h5","101","545",56.8
"h5","101","546",85.2
"h5","101","551",28.4
"h5","101","571",28.4
"h5","101","573",28.4
"h5","101","601",28.4
"h5","101","602",28.4
"h5","101","611",284
"h5","101","612",85.2
"h5","101","621",56.8
"h5","101","622",85.2
"h5","101","631",28.4
"h5","101","633",85.2
"h5","101","641",28.4
"h5","101","643",142
"h5","101","644",113.6
"h5","101","645",28.4
"h5","101","651",28.4
"h5","101","661",28.4
"h5","101","663",56.8
"h5","101","671",85.2
"h5","101","691",28.4
"h5","102","101",28.4
"h5","102","103",28.4
"h5","102","106",85.2
"h5","102","107",56.8
"h5","102","108",28.4
"h5","102","109",113.6
"h5","102","110",85.2
"h5","102","112",28.4
"h5","102","113",85.2
"h5","102","114",28.4
"h5","102","116",56.8
"h5","102","118",28.4
"h5","102","119",28.4
"h5","102","121",28.4
"h5","102","122",28.4
"h5","102","125",28.4
"h5","102","128",56.8
"h5","102","130",28.4
"h5","102","132",28.4
"h5","102","134",28.4
"h5","102","136",28.4
"h5","102","137",28.4
"h5","102","304",28.4
"h5","102","307",113.6
"h5","102","401",28.4
"h5","102","403",28.4
