"district","hour","mode1","mode2","mode3"
"101","4am",624.8,1391.6,0
"102","4am",0,1391.6,0
"103","4am",0,511.2,0
"104","4am",0,482.8,0
"105","4am",1079.2,710,0
"106","4am",0,482.8,0
"107","4am",0,568,0
"108","4am",0,1079.2,0
"109","4am",0,397.6,0
"110","4am",0,397.6,0
"111","4am",0,681.6,0
"112","4am",0,710,0
"113","4am",0,539.6,0
"114","4am",0,0,0
"115","4am",0,0,0
"116","4am",0,994,0
"117","4am",0,426,0
"118","4am",0,340.8,0
"119","4am",0,3436.4,0
"120","4am",0,0,0
"121","4am",0,0,0
"122","4am",0,0,0
"123","4am",0,0,0
"124","4am",0,0,0
"125","4am",0,0,0
"126","4am",0,0,0
"127","4am",0,340.8,0
"128","4am",340.8,852,0
"129","4am",0,653.2,0
"130","4am",0,1760.8,0
"131","4am",0,397.6,0
"132","4am",0,0,0
"133","4am",0,0,0
"134","4am",0,0,0
"135","4am",0,0,0
"136","4am",0,0,0
"137","4am",0,0,0
"138","4am",0,0,0
"139","4am",0,0,0
"140","4am",0,0,0
"141","4am",0,0,0
"301","4am",0,0,0
"302","4am",0,482.8,0
"303","4am",0,0,0
"304","4am",0,0,0
"305","4am",0,0,0
"306","4am",0,0,0
"307","4am",0,426,0
"308","4am",0,0,0
"309","4am",0,852,0
"310","4am",0,0,0
"401","4am",0,0,0
"402","4am",0,397.6,0
"403","4am",0,482.8,0
"404","4am",0,0,0
"405","4am",0,0,0
"406","4am",0,1192.8,0
"407","4am",0,0,0
"408","4am",0,0,0
"501","4am",0,0,0
"502","4am",0,0,0
"511","4am",0,0,0
"521","4am",0,0,0
"522","4am",0,0,0
"523","4am",0,0,0
"524","4am",0,0,0
"525","4am",0,0,0
"531","4am",0,0,0
"532","4am",0,0,0
"533","4am",0,0,0
"541","4am",0,0,0
"542","4am",0,0,0
"543","4am",0,0,0
"544","4am",0,0,0
"545","4am",0,0,0
"546","4am",0,0,0
"547","4am",0,0,0
"551","4am",0,0,0
"561","4am",0,0,0
"562","4am",0,0,0
"563","4am",0,0,0
"564","4am",0,0,0
"571","4am",0,0,0
"572","4am",0,0,0
"573","4am",0,1590.4,0
"574","4am",0,0,0
"575","4am",0,0,0
"576","4am",0,0,0
"601","4am",0,0,0
"602","4am",0,0,0
"611","4am",0,0,0
"612","4am",0,0,0
"621","4am",0,0,0
"622","4am",0,568,0
"623","4am",0,0,0
"624","4am",0,0,0
"631","4am",0,340.8,0
"632","4am",0,0,0
"633","4am",0,0,0
"641","4am",0,0,0
"642","4am",0,0,0
"643","4am",0,0,0
"644","4am",0,0,0
"645","4am",0,0,0
"651","4am",0,937.2,0
"661","4am",0,369.2,0
"662","4am",0,0,0
"663","4am",0,0,0
"671","4am",0,0,0
"672","4am",0,0,0
"673","4am",0,0,0
"681","4am",0,0,0
"691","4am",0,0,0
"101","5am",2698,8122.4,340.8
"102","5am",1448.4,5481.2,0
"103","5am",0,1618.8,0
"104","5am",0,1704,0
"105","5am",1789.2,3152.4,0
"106","5am",0,1476.8,0
"107","5am",568,2016.4,0
"108","5am",369.2,3351.2,0
"109","5am",0,1562,0
"110","5am",0,1789.2,0
"111","5am",340.8,3038.8,0
"112","5am",340.8,2641.2,0
"113","5am",0,1789.2,0
"114","5am",0,1278,0
"115","5am",0,1136,0
"116","5am",397.6,2925.2,0
"117","5am",0,1817.6,0
"118","5am",0,1505.2,0
"119","5am",880.4,14200,0
"120","5am",0,1136,0
"121","5am",0,0,0
"122","5am",0,369.2,0
