"hour";"101";"102";"103";"104";"105";"106";"107";"108";"109";"110";"111";"112";"113";"114";"115";"116";"117";"118";"119";"120";"121";"122";"123";"124";"125";"126";"127";"128";"129";"130";"131";"132";"133";"134";"135";"136";"137";"138";"139";"140";"141";"142";"143";"144";"145";"146";"147";"148";"149";"150";"151";"152";"153";"154";"155";"156";"157";"158";"159";"160";"161";"162";"163";"164";"165";"166";"167";"168"
"min";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"max";"10753.07715";"10753.07715";"10753.07715";"10753.07715";"10753.07715";"10753.07715";"10753.07715";"10753.07715";"10753.07715";"10753.07715";"10753.07715";"10753.07715";"10753.07715";"10753.07715";"10753.07715";"10753.07715";"10753.07715";"10753.07715";"10753.07715";"10753.07715";"10753.07715";"10753.07715";"10753.07715";"10753.07715";"10753.07715";"10753.07715";"10753.07715";"10753.07715";"10753.07715";"10753.07715";"10753.07715";"10753.07715";"10753.07715";"10753.07715";"10753.07715";"10753.07715";"10753.07715";"10753.07715";"10753.07715";"10753.07715";"10753.07715";"10753.07715";"10753.07715";"10753.07715";"10753.07715";"10753.07715";"10753.07715";"10753.07715";"10753.07715";"10753.07715";"10753.07715";"10753.07715";"10753.07715";"10753.07715";"10753.07715";"10753.07715";"10753.07715";"10753.07715";"10753.07715";"10753.07715";"10753.07715";"10753.07715";"10753.07715";"10753.07715";"10753.07715";"10753.07715";"10753.07715";"10753.07715"
"4am";" 0";" 0";"0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";"0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";"0";"0";" 0";" 0";" 0";" 0";"0";" 0";" 0"
"5am";"  0.0000";"630.6351";"0";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"0";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"549.8107";"  0.0000";"0";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"0";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"0";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"0";"  0.0000";"0";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"0";"  0.0000";"  0.0000";"  0.0000";"0";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"0";"  0.0000";"0"
"6am";" 798.3899";" 756.0034";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"0";"   0.0000";"   0.0000";"   0.0000";"   0.0000";" 592.6469";"   0.0000";"   0.0000";"   0.0000";"   0.0000";" 995.1137";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";" 618.1752";"   0.0000";"   0.0000";"0";"   0.0000";" 518.5706";"1140.8128";"   0.0000";"   0.0000";"   0.0000";" 495.2596";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"0";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"0";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"0";"   0.0000";"   0.0000"
"7am";"4274.1604";"2107.0904";"   0.0000";" 883.5080";"1275.8612";"1453.9729";" 582.6771";"   0.0000";" 719.6886";" 579.4053";"1526.0472";"1066.5146";"1781.3028";"1080.3522";"1157.4870";"1736.8405";" 843.5328";"3195.6487";"1091.4324";"   0.0000";"1154.7782";"2485.6688";"1016.5927";"   0.0000";" 911.6758";"1036.2868";"   0.0000";" 664.0536";"   0.0000";"   0.0000";"1913.4120";"3212.2319";"   0.0000";" 695.4845";"   0.0000";"1351.7115";"   0.0000";"   0.0000";" 645.3299";"   0.0000";" 807.9923";"   0.0000";"   0.0000";"   0.0000";"   0.0000";" 504.7013";"   0.0000";"   0.0000";" 958.2112";"   0.0000";"1707.9544";"1419.5600";"   0.0000";"   0.0000";"   0.0000";"1357.3381";" 478.5858";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"1545.9394";" 938.4968";" 490.4447";"   0.0000";" 716.3751";"   0.0000"
"8am";"9370.8094";"3715.6432";" 955.4563";"1764.6218";"2782.0024";"2298.0581";"1323.1157";"   0.0000";"1439.4733";"2012.9322";"3364.8279";"1951.1519";"3495.0914";"1738.1409";"1362.5906";"2310.8939";"1480.8415";"6726.9076";"1885.2854";" 667.0386";"1933.2501";"4581.7108";"1916.1963";" 996.2243";"1180.4077";"1390.3887";"   0.0000";" 816.2838";"   0.0000";" 758.4247";"2719.9113";"4245.8246";"   0.0000";"1129.6092";"   0.0000";"2029.0080";"   0.0000";" 926.6320";" 790.8812";"   0.0000";"1004.1032";" 764.6572";" 964.9464";" 655.5720";"   0.0000";" 854.6306";"   0.0000";" 783.6012";"1278.5513";"   0.0000";"2703.4894";"1833.3030";"   0.0000";"   0.0000";"   0.0000";"1981.2947";" 998.1812";" 647.1921";" 570.7147";"   0.0000";" 512.3697";"   0.0000";"2898.4784";"1359.9167";" 949.8849";"   0.0000";" 832.2833";"   0.0000"
"9am";"10716.4228";" 3761.7107";" 1210.7216";" 2019.6892";" 2973.5181";" 2559.5161";" 1394.6882";"    0.0000";" 1564.7845";" 2250.8250";" 3530.0453";" 1980.3293";" 3941.5251";" 1891.3947";" 1340.7444";" 2493.4408";" 1801.0162";" 7724.5945";" 2012.0131";"  783.8441";" 2025.3363";" 4882.7644";" 1848.8633";" 1080.4096";" 1567.9996";" 1619.0290";"    0.0000";"  902.2432";"    0.0000";"  814.3743";" 2831.8110";" 4577.7913";"    0.0000";" 1063.8548";"    0.0000";" 2053.2454";"    0.0000";" 1013.6331";"  911.9709";"    0.0000";" 1039.8399";"  729.7517";"  964.9464";"  802.8073";"    0.0000";"  984.2328";"    0.0000";"  840.1634";" 1565.7268";"    0.0000";" 2710.4903";" 1908.6578";"    0.0000";"    0.0000";"    0.0000";" 2207.4337";"  936.2437";"  793.2362";"  647.7238";"    0.0000";"  512.3697";"    0.0000";" 2905.9654";" 1386.2770";"  978.2644";"    0.0000";"  887.2903";"    0.0000"
"10am";"10753.0771";" 3973.9771";" 1140.1450";" 1949.1639";" 2853.8562";" 2569.6051";" 1371.2057";"    0.0000";" 1593.8888";" 2231.3436";" 3554.4801";" 1945.8361";" 3815.4675";" 1800.2867";" 1319.2184";" 2571.3587";" 1938.1486";" 7630.4363";" 1986.7367";"  783.8441";" 2092.7198";" 4911.0992";" 1978.5791";" 1008.5524";" 1577.5032";" 1665.1612";"    0.0000";"  880.7829";"    0.0000";"  723.4593";" 2855.2957";" 4487.1648";"    0.0000";" 1129.7318";"    0.0000";" 2041.8857";"    0.0000";"  927.2208";"  911.9709";"    0.0000";" 1039.8399";"  644.8178";"  916.4638";"  655.5720";"    0.0000";" 1037.3764";"    0.0000";"  840.1634";" 1447.6675";"    0.0000";" 2822.9597";" 1893.4474";"    0.0000";"    0.0000";"    0.0000";" 2114.3823";"  967.3222";"  906.2661";"  606.0112";"    0.0000";"  512.3697";"    0.0000";" 3066.5035";" 1429.2954";"  920.5196";"    0.0000";"  953.1659";"    0.0000"
