"variable","CODE_SEC","RES_SEC","W_IND"
"h6","132","109",23.52021
"h6","132","115",71.53827
"h6","132","117",63.34927
"h6","132","128",25.69187
"h6","132","129",36.29659
"h6","132","130",25.36953
"h6","132","134",176.872
"h6","132","140",28.79529
"h6","132","141",56.27942
"h6","132","147",135.1721
"h7","132","103",35.65308
"h7","132","109",23.52021
"h7","132","112",94.67196
"h7","132","114",38.72234
"h7","132","115",71.53827
"h7","132","118",37.1701
"h7","132","124",42.29337
"h7","132","128",25.69187
"h7","132","129",36.29659
"h7","132","130",25.36953
"h7","132","131",52.54529
"h7","132","134",176.872
"h7","132","135",75.23821
"h7","132","139",21.2318
"h7","132","140",28.79529
"h7","132","141",56.27942
"h7","132","144",60.60782
"h7","132","145",57.61623
"h7","132","147",135.1721
"h7","132","148",51.5225
"h8","101","103",30.94541
"h8","101","108",57.33766
"h8","101","110",59.19681
"h8","101","114",38.72234
"h8","101","116",47.1819
"h8","101","122",29.61695
"h8","101","123",22.98935
"h8","101","130",36.12015
"h8","101","131",25.42187
"h8","101","134",51.05604
"h8","101","135",39.21354
"h8","101","136",173.72044
"h8","101","141",35.27102
"h8","101","151",64.39171
"h8","101","157",46.68174
"h8","101","161",35.36771
"h8","102","103",58.66289
"h8","102","104",79.66255
"h8","102","109",48.2938
"h8","102","124",36.54466
"h8","102","128",29.92651
"h8","102","129",31.02861
"h8","102","130",19.69247
"h8","102","136",34.49322
"h8","102","139",33.30297
"h8","102","142",173.53058
"h8","102","152",70.60486
"h8","116","103",25.19767
"h8","116","104",31.22033
"h8","116","114",58.01847
"h8","116","117",188.68119
"h8","116","120",21.30018
"h8","116","123",35.09795
"h8","116","128",17.97337
"h8","116","135",53.72824
"h8","116","141",30.91338
"h8","116","143",45.23452
"h8","122","106",66.27218
"h8","122","112",117.23095
"h8","122","121",91.81507
"h8","122","123",20.38645
"h8","122","124",72.58638
"h8","122","127",32.4134
"h8","122","128",53.49711
"h8","122","130",56.74635
"h8","122","136",55.93036
"h8","122","138",54.86618
"h8","122","150",79.55042
"h8","132","103",35.65308
"h8","132","109",23.52021
"h8","132","112",94.67196
"h8","132","114",38.72234
"h8","132","115",71.53827
"h8","132","118",37.1701
"h8","132","124",42.29337
"h8","132","125",72.71099
"h8","132","128",25.69187
"h8","132","129",36.29659
"h8","132","130",25.36953
"h8","132","131",52.54529
"h8","132","133",31.84563
"h8","132","134",176.872
"h8","132","135",96.73819
"h8","132","139",21.2318
"h8","132","140",28.79529
"h8","132","141",56.27942
"h8","132","144",60.60782
"h8","132","145",57.61623
"h8","132","147",74.60219
"h8","132","148",51.5225
"h8","136","103",58.66289
"h8","136","109",23.52021
"h8","136","112",36.46142
"h8","136","117",63.34927
"h8","136","126",77.34934
"h8","136","128",17.97337
"h8","136","137",43.16267
"h8","136","138",206.4582
"h8","136","139",32.42301
"h8","136","160",53.84955
"h9","101","102",75.74901
"h9","101","103",30.94541
"h9","101","104",34.11568
"h9","101","106",24.82039
"h9","101","108",57.33766
"h9","101","109",24.96651
"h9","101","110",59.19681
"h9","101","113",31.50895
"h9","101","114",38.72234
"h9","101","116",47.1819
"h9","101","122",29.61695
"h9","101","123",44.47544
"h9","101","125",152.80304
"h9","101","130",36.12015
"h9","101","134",51.05604
"h9","101","135",39.21354
"h9","101","136",128.3937
"h9","101","141",35.27102
"h9","101","151",64.39171
"h9","101","157",46.68174
"h9","101","161",35.36771
"h9","102","101",66.84902
"h9","102","104",110.88288
"h9","102","109",48.2938
"h9","102","124",36.54466
"h9","102","128",29.92651
"h9","102","129",31.02861
"h9","102","130",101.66459
"h9","102","133",25.2894
"h9","102","139",33.30297
"h9","102","142",142.65342
"h9","102","152",70.60486
"h9","116","103",25.19767
"h9","116","104",31.22033
"h9","116","114",58.01847
"h9","116","117",154.0932
"h9","116","120",21.30018
"h9","116","123",35.09795
"h9","116","124",36.62345
"h9","116","128",17.97337
"h9","116","135",53.72824
"h9","116","141",30.91338
"h9","116","143",45.23452
"h9","122","106",66.27218
"h9","122","109",131.31264
"h9","122","112",117.23095
"h9","122","113",31.50895
"h9","122","120",38.16095
"h9","122","121",58.76466
"h9","122","123",20.38645
"h9","122","124",72.58638
"h9","122","127",32.4134
"h9","122","128",53.49711
"h9","122","138",54.86618
"h9","122","140",31.96742
"h9","122","150",79.55042
"h9","132","103",64.43601
"h9","132","109",44.80503
"h9","132","112",94.67196
"h9","132","113",39.93242
"h9","132","114",38.72234
"h9","132","115",71.53827
"h9","132","118",37.1701
"h9","132","124",42.29337
"h9","132","125",72.71099
"h9","132","128",25.69187
"h9","132","129",36.29659
"h9","132","130",25.36953
"h9","132","131",52.54529
"h9","132","133",31.84563
"h9","132","134",176.872
"h9","132","135",96.73819
"h9","132","139",21.2318
"h9","132","140",28.79529
"h9","132","141",56.27942
"h9","132","144",60.60782
"h9","132","145",57.61623
"h9","132","147",74.60219
"h9","132","148",51.5225
"h9","136","103",58.66289
"h9","136","109",48.41377
"h9","136","112",36.46142
"h9","136","117",63.34927
"h9","136","126",77.34934
"h9","136","128",17.97337
"h9","136","137",78.38177
"h9","136","138",366.43573
"h9","136","139",32.42301
"h9","136","140",55.09702
"h9","136","160",53.84955
"h9","156","101",89.19
"h9","156","137",31.10979
"h9","156","153",47.0715
"h9","156","154",81.07024
"h9","156","155",41.71257
"h9","156","157",72.06865
"h9","156","158",33.05807
"h9","156","160",83.17449
"h9","156","161",35.36771
"h10","101","102",98.00501
"h10","101","103",30.94541
"h10","101","108",57.33766
"h10","101","109",24.96651
"h10","101","110",59.19681
"h10","101","111",23.61287
"h10","101","112",36.46142
"h10","101","115",49.1048
"h10","101","122",75.68906
"h10","101","123",67.46479
"h10","101","125",62.668
"h10","101","130",36.12015
"h10","101","134",51.05604
"h10","101","135",39.21354
"h10","101","136",173.72044
"h10","101","141",73.26592
"h10","101","151",64.39171
"h10","101","157",46.68174
"h10","101","161",35.36771
"h10","102","101",66.84902
"h10","102","103",58.66289
"h10","102","104",110.88288
"h10","102","109",48.2938
"h10","102","112",63.27358
"h10","102","115",50.72977
"h10","102","124",36.54466
"h10","102","128",29.92651
"h10","102","129",31.02861
