"hour","educmen1","educmen2","educmen3","educmen4"
"4am",0.2253,0.1811,0.1567,0.2574
"5am",0.2242,0.1792,0.1557,0.2549
"6am",0.2202,0.179,0.1507,0.2528
"7am",0.2352,0.1628,0.1398,0.2429
"8am",0.2402,0.1657,0.1446,0.2376
"9am",0.2407,0.1644,0.1499,0.2361
"10am",0.2467,0.1576,0.1387,0.2338
"11am",0.2508,0.1639,0.1503,0.2342
"12am",0.2473,0.174,0.1491,0.2404
"1pm",0.2625,0.1582,0.15,0.2363
"2pm",0.2537,0.1567,0.132,0.2411
"3pm",0.2534,0.152,0.1339,0.2307
"4pm",0.2576,0.1658,0.1474,0.2528
"5pm",0.2426,0.1682,0.1431,0.2409
"6pm",0.232,0.1739,0.1505,0.2418
"7pm",0.2341,0.1774,0.1489,0.2532
"8pm",0.233,0.182,0.1566,0.2561
"9pm",0.2303,0.1858,0.1607,0.2622
"10pm",0.2296,0.1856,0.1569,0.2631
"11pm",0.2281,0.1862,0.1584,0.2631
"12pm",0.2284,0.1852,0.1578,0.2627
"1am",0.2285,0.1864,0.159,0.263
"2am",0.2286,0.1878,0.1588,0.2623
"3am",0.2282,0.1876,0.157,0.2615
