"variable","CODE_SEC","RES_SEC","W_IND"
"h6","102","117",63.34927
"h6","102","123",39.01508
"h6","102","129",31.02861
"h6","102","130",75.32603
"h6","102","132",61.34807
"h6","102","137",103.00916
"h6","102","143",50.81954
"h6","102","145",57.61623
"h6","102","162",34.03653
"h6","102","165",62.64854
"h6","118","103",30.94541
"h6","118","110",60.08774
"h6","118","116",47.1819
"h6","118","120",21.30018
"h6","118","124",72.58638
"h6","118","128",34.27581
"h6","118","130",37.96083
"h6","118","134",86.43379
"h6","118","139",33.12446
"h6","118","148",44.33495
"h6","118","149",25.53426
"h6","118","157",41.01136
"h6","118","159",32.78229
"h7","101","102",77.08107
"h7","101","103",30.94541
"h7","101","105",53.62988
"h7","101","106",126.04718
"h7","101","107",61.90967
"h7","101","109",49.77297
"h7","101","110",207.26027
"h7","101","111",130.60036
"h7","101","112",107.62144
"h7","101","113",46.47749
"h7","101","114",153.58842
"h7","101","117",146.09631
"h7","101","119",71.2468
"h7","101","120",23.6611
"h7","101","121",61.4
"h7","101","122",30.6278
"h7","101","127",183.07223
"h7","101","128",38.20075
"h7","101","129",67.62362
"h7","101","130",19.69247
"h7","101","131",70.5253
"h7","101","132",106.2871
"h7","101","133",133.82078
"h7","101","136",56.87052
"h7","101","137",145.39787
"h7","101","139",33.30297
"h7","101","140",50.98705
"h7","101","141",95.03398
"h7","101","143",44.82823
"h7","101","144",85.95835
"h7","101","145",66.00303
"h7","101","146",31.63512
"h7","101","147",55.16502
"h7","101","148",96.38059
"h7","101","149",40.78575
"h7","101","151",119.66031
"h7","101","152",211.91294
"h7","101","153",37.28246
"h7","101","156",53.20548
"h7","101","157",50.36432
"h7","101","158",52.94518
"h7","101","159",43.78733
"h7","101","160",154.80519
"h7","101","161",117.84181
"h7","101","162",61.31666
"h7","101","163",93.35805
"h7","101","167",116.22089
"h7","102","101",101.47007
"h7","102","103",116.68466
"h7","102","104",95.9764
"h7","102","105",77.58683
"h7","102","107",53.88881
"h7","102","109",24.41551
"h7","102","110",40.74101
"h7","102","111",30.25189
"h7","102","114",36.82379
"h7","102","116",77.53162
"h7","102","117",63.34927
"h7","102","118",153.59732
"h7","102","125",98.46212
"h7","102","129",71.65453
"h7","102","130",75.32603
"h7","102","132",61.34807
"h7","102","135",145.73896
"h7","102","137",103.00916
"h7","102","142",39.81436
"h7","102","143",50.81954
"h7","102","145",57.61623
"h7","102","146",67.63778
"h7","102","149",43.84101
"h7","102","159",77.37841
"h7","102","161",35.36771
"h7","102","162",34.03653
"h7","102","165",69.20432
"h7","105","104",49.3215
"h7","105","107",55.13398
"h7","105","108",25.09602
"h7","105","110",51.89923
"h7","105","112",61.55973
"h7","105","115",91.36055
"h7","105","116",67.18449
"h7","105","118",59.00253
"h7","105","120",21.30018
"h7","105","124",47.81278
"h7","105","125",35.43277
"h7","105","131",53.36337
"h7","105","134",63.20815
"h7","105","139",25.84859
"h7","105","143",117.0254
"h7","105","146",61.47968
"h7","105","147",67.64452
"h7","105","162",28.54369
"h7","105","167",70.91277
"h7","106","107",35.36064
"h7","106","111",28.78626
"h7","106","120",70.33232
"h7","106","121",133.78526
"h7","106","125",84.18525
"h7","106","127",20.03979
"h7","106","130",38.1342
"h7","106","131",140.26418
"h7","106","137",99.76105
"h7","106","146",32.11489
"h7","106","148",51.5225
"h7","106","150",27.33044
"h7","106","158",39.44711
"h7","106","163",32.15355
"h7","106","164",24.62715
"h7","107","103",43.85656
"h7","107","104",74.39151
"h7","107","105",73.79169
"h7","107","106",82.15613
"h7","107","108",64.23147
"h7","107","110",51.89923
"h7","107","113",59.38465
"h7","107","116",60.74235
"h7","107","118",65.6073
"h7","107","119",39.31374
"h7","107","121",41.03109
"h7","107","129",34.62762
"h7","107","135",21.87614
"h7","107","137",47.0256
"h7","107","144",49.97767
"h7","107","146",26.08625
"h7","107","157",29.37202
"h7","107","168",29.36537
"h7","109","107",55.13398
"h7","109","112",94.67196
"h7","109","113",25.48161
"h7","109","116",43.63088
"h7","109","118",60.23145
"h7","109","127",49.54458
"h7","109","128",25.69187
"h7","109","130",75.92166
"h7","109","134",38.28692
"h7","109","137",38.37111
"h7","109","142",51.03941
"h7","109","159",49.94953
"h7","110","101",40.30343
"h7","110","103",87.90173
"h7","110","104",25.49055
"h7","110","106",57.33574
"h7","110","107",53.88881
"h7","110","108",81.39327
"h7","110","115",82.28571
"h7","110","120",20.40771
"h7","110","121",53.39865
"h7","110","126",30.0118
"h7","110","128",18.07954
"h7","110","136",69.909
"h7","110","152",97.13121
"h7","110","155",41.71257
"h7","110","161",59.0514
"h7","111","101",215.62571
"h7","111","104",165.8886
"h7","111","106",84.3863
"h7","111","107",86.42117
"h7","111","108",112.33568
"h7","111","109",86.46271
"h7","111","112",82.28634
"h7","111","113",51.68739
"h7","111","114",38.72234
"h7","111","117",75.75982
"h7","111","119",42.18291
"h7","111","123",118.58416
"h7","111","124",39.65784
"h7","111","130",25.36953
"h7","111","132",53.14355
"h7","111","139",42.63329
"h7","111","143",70.42579
"h7","111","148",101.2292
"h7","111","151",85.55638
"h7","111","152",169.25045
"h7","111","155",27.97
"h7","111","158",41.84834
"h7","111","159",49.07224
"h7","111","160",58.97252
"h7","112","102",47.47208
"h7","112","116",77.70552
"h7","112","124",55.39775
"h7","112","125",119.7129
"h7","112","127",29.01063
"h7","112","132",67.54131
"h7","112","133",44.91195
"h7","112","138",49.25613
"h7","112","140",48.48263
"h7","112","147",29.75357
"h7","112","159",40.91019
"h7","112","162",37.26482
"h7","112","164",44.60165
"h7","113","102",77.08107
"h7","113","103",35.65308
"h7","113","105",73.79169
"h7","113","111",42.84819
"h7","113","114",38.08738
"h7","113","116",61.14906
"h7","113","119",95.28809
"h7","113","126",236.68973
"h7","113","127",29.01063
"h7","113","129",45.85802
"h7","113","132",61.34807
"h7","113","145",84.13603
"h7","113","152",92.00194
"h7","113","162",28.60119
"h7","113","164",47.64086
"h7","113","166",55.49072
"h7","114","103",62.93842
"h7","114","110",31.66666
"h7","114","113",67.71718
"h7","114","116",212.12036
"h7","114","117",54.25661
"h7","114","121",33.05041
"h7","114","125",180.82474
"h7","114","126",35.88739
"h7","114","128",44.1237
"h7","114","131",70.5253
"h7","114","136",79.40074
"h7","114","142",47.00853
"h7","114","143",87.70063
"h7","114","144",55.00695
"h7","114","148",44.33495
"h7","114","153",35.28105
"h7","114","157",60.92776
"h7","114","160",50.41547
"h7","114","161",162.58904
"h7","114","166",68.80282
"h7","115","105",38.55793
"h7","115","107",68.37408
"h7","115","117",110.82797
"h7","115","118",61.82666
"h7","115","119",83.18522
"h7","115","124",39.13237
"h7","115","126",76.5963
"h7","115","130",81.09792
"h7","115","131",59.96535
"h7","115","132",57.39925
"h7","115","133",31.84563
"h7","115","135",66.20751
"h7","115","142",120.89165
"h7","117","104",154.4746
"h7","117","111",32.97419
"h7","117","114",40.51354
"h7","117","116",261.02083
"h7","117","143",68.64069
"h7","117","146",40.38293
"h7","117","150",51.60925
"h7","118","101",98.17293
"h7","118","102",49.99628
"h7","118","103",130.25818
"h7","118","104",154.50396
"h7","118","105",151.37852
"h7","118","107",56.05141
"h7","118","109",68.01502
"h7","118","110",181.99497
"h7","118","115",82.28571
"h7","118","116",124.71352
"h7","118","117",236.57912
"h7","118","120",110.51599
"h7","118","121",53.39865
"h7","118","124",72.58638
"h7","118","125",98.46212
"h7","118","128",93.53604
"h7","118","132",97.5626
"h7","118","133",25.2894
"h7","118","134",215.68129
"h7","118","135",47.4792
"h7","118","139",33.12446
"h7","118","141",61.49104
"h7","118","144",45.57476
"h7","118","145",57.61623
"h7","118","146",30.34834
"h7","118","147",135.1721
"h7","118","148",150.62605
"h7","118","149",70.60401
"h7","118","150",27.94117
"h7","118","155",27.97
"h7","118","157",41.01136
"h7","118","159",32.78229
"h7","118","162",28.60119
"h7","118","167",147.2353
"h7","119","103",58.47402
"h7","119","106",54.63071
"h7","119","116",55.32011
"h7","119","117",135.03638
"h7","119","118",131.2146
"h7","119","120",38.73573
"h7","119","121",72.38526
"h7","119","122",29.61695
"h7","119","132",53.16053
"h7","119","134",66.20095
"h7","119","146",61.47968
"h7","119","148",28.51778
"h7","119","149",80.13683
"h7","119","160",64.42899
"h7","121","107",109.6511
"h7","121","109",25.91686
"h7","121","116",38.10229
"h7","121","124",45.51093
"h7","121","125",33.83262
"h7","121","129",29.05318
"h7","121","134",122.3319
"h7","121","137",74.64247
"h7","121","144",29.75797
"h7","121","146",23.59927
"h7","121","149",70.45302
"h7","121","154",47.01709
"h7","122","101",50.93173
"h7","122","102",43.5
"h7","122","109",25.60482
"h7","122","113",97.59112
"h7","122","117",108.9304
"h7","122","121",126.34605
"h7","122","124",72.58638
"h7","122","131",70.24518
"h7","122","135",32.22826
"h7","122","136",143.28285
"h7","122","138",54.86618
"h7","122","140",46.23041
"h7","122","144",91.67825
"h7","122","145",64.35847
"h7","122","147",92.13853
"h7","122","151",65.14052
"h7","122","160",33.8617
"h7","122","162",22.31589
"h7","126","106",53.18693
"h7","126","111",34.76022
"h7","126","112",97.85345
"h7","126","114",148.20315
"h7","126","125",33.83262
"h7","126","127",25.56909
"h7","126","129",30.08046
"h7","126","140",38.60793
"h7","126","144",29.75797
"h7","132","104",50.30873
"h7","132","105",63.14049
"h7","132","110",60.08774
"h7","132","114",38.72234
"h7","132","117",113.144
"h7","132","125",90.13504
"h7","132","127",14.97188
"h7","132","129",36.29659
"h7","132","130",25.36953
"h7","132","131",98.16265
"h7","132","133",98.88875
"h7","132","135",75.23821
"h7","132","138",49.25613
"h7","132","140",28.79529
"h7","132","141",90.23962
"h7","132","144",60.60782
"h7","132","146",32.11489
"h7","132","147",173.16279
"h7","132","155",27.97
"h7","132","163",68.26719
"h7","151","101",66.84902
"h7","151","133",83.80029
"h7","151","137",35.2191
"h7","151","148",323.66397
