"district","hour","age1","age2","age3","age4"
"101","4am",3072.4851,1865.2565,3530.419,1390.21
"102","4am",2619.9261,1440.8373,3290.778,844.6673
"103","4am",1441.5916,1152.0283,1820.694,780.0488
"104","4am",1508.7698,1221.5458,3075.908,998.409
"105","4am",2205.4952,1506.5572,2567.709,1059.0288
"106","4am",2427.6435,1799.398,2342.638,655.6027
"107","4am",2177.9395,1334.2387,2891.557,1428.9404
"108","4am",771.0186,555.2857,2710.801,1049.4586
"109","4am",922.0126,775.3094,2116.759,570.0869
"110","4am",2602.5087,1146.737,2515.158,873.4298
"111","4am",1937.6103,891.7578,1614.249,494.976
"112","4am",2203.8516,2193.4998,2337.506,1262.3709
"113","4am",1756.5796,1404.4671,2207.229,790.3493
"114","4am",911.9624,838.3746,2941.331,1135.789
"115","4am",995.131,984.9399,3421.048,1554.3538
"116","4am",1645.0935,1525.0581,3632.415,1088.2029
"117","4am",2335.6804,1557.7343,3493.119,1574.6521
"118","4am",3290.5711,920.5966,3203.778,1039.1693
"119","4am",1939.9248,694.9927,3713.402,1992.8607
"120","4am",327.1403,367.4869,1614.062,1133.8106
"121","4am",2343.8192,1438.5216,4373.599,1737.7383
"122","4am",620.3771,903.2823,1954.712,691.273
"123","4am",1014.8556,831.5483,1832.162,799.0418
"124","4am",1061.9225,579.7836,3616.025,1236.1792
"125","4am",1144.6095,1151.2029,4217.595,2285.5241
"126","4am",965.0163,942.0633,3018.107,1451.8862
"127","4am",534.0315,359.3576,2122.69,1022.2167
"128","4am",438.064,222.7031,2192.32,677.8422
"129","4am",536.2433,426.9971,2084.845,1028.8004
"130","4am",670.2175,464.9945,2537.77,842.0782
"131","4am",1032.8381,662.7083,3807.007,1101.1197
"132","4am",890.124,719.7651,4162.935,1081.557
"133","4am",690.513,410.7848,2818.18,809.0141
"134","4am",878.0436,1338.0437,3923.92,1769.5463
"135","4am",533.5672,515.5319,2544.671,894.3932
"136","4am",1418.3824,915.3384,5369.574,1893.1507
"137","4am",767.1874,899.6548,2971.55,966.4191
"138","4am",704.0252,852.1562,3134.444,1567.9771
"139","4am",582.5895,792.686,2485.299,934.2421
"140","4am",751.6251,649.9508,2729.521,1207.795
"141","4am",743.5762,472.0567,3552.686,1296.6435
"142","4am",765.5933,824.5956,3435.183,1383.5283
"143","4am",1104.1463,1062.851,3988.602,1691.9031
"144","4am",954.7954,956.1792,4030.319,1520.0398
"145","4am",1058.1099,1015.2729,4813.424,1704.4636
"146","4am",834.0683,576.0381,3405.96,905.3303
"147","4am",850.5284,946.4217,5465.038,1805.2933
"148","4am",881.7412,1335.2255,5013.693,1613.392
"149","4am",735.1742,629.247,3764.443,856.0989
"150","4am",661.006,741.4458,2982.391,1058.4413
"151","4am",1032.9538,1266.1795,3479.697,1318.0055
"152","4am",1527.4816,1517.7412,4718.884,1748.362
"153","4am",663.0072,443.5086,2767.854,959.436
"154","4am",661.2767,1021.1035,4208.976,1291.0034
"155","4am",744.866,591.8511,2883.934,948.1131
"156","4am",1702.4104,994.5415,5312.566,1940.3827
"157","4am",816.9896,512.385,2324.08,871.8721
"158","4am",654.9973,845.3869,2727.563,925.0851
"159","4am",936.1006,717.2754,3777.304,1321.8057
"160","4am",757.6083,854.1905,3562.247,1062.1119
"161","4am",879.1939,1105.8511,4025.827,1191.3346
"162","4am",671.6001,627.6235,2944.883,1073.4886
"163","4am",1554.5565,1415.2052,4317.25,2001.6227
"164","4am",714.6381,627.3337,3267.811,1409.0333
"165","4am",848.5363,855.4376,3562.082,1439.7821
"166","4am",413.0832,463.116,2161.335,1097.4065
"167","4am",946.2495,923.0278,4187.394,1936.8879
"168","4am",533.9574,453.9589,2558.35,1309.0851
"101","5am",3104.2423,1865.2565,3555.341,1390.21
"102","5am",2619.9261,1440.8373,3659.67,844.6673
"103","5am",1441.5916,1121.0829,1820.694,780.0488
"104","5am",1508.7698,1314.7009,3114.881,998.409
"105","5am",2205.4952,1506.5572,2567.709,1059.0288
"106","5am",2427.6435,1770.2489,2342.638,655.6027
"107","5am",2132.742,1280.3499,2908.225,1428.9404
"108","5am",771.0186,525.9783,2587.228,1049.4586
"109","5am",922.0126,730.5044,2090.842,570.0869
"110","5am",2550.6095,1200.6258,2515.158,873.4298
"111","5am",1937.6103,891.7578,1657.786,494.976
"112","5am",2203.8516,2271.2053,2214.586,1262.3709
"113","5am",1756.5796,1378.9855,2153.796,790.3493
"114","5am",911.9624,838.3746,3113.022,1135.789
"115","5am",995.131,984.9399,3336.311,1554.3538
"116","5am",1645.0935,1500.5131,3500.122,1088.2029
"117","5am",2335.6804,1498.8469,3429.769,1574.6521
"118","5am",3290.5711,951.542,3393.116,1039.1693
"119","5am",1939.9248,694.9927,3821.016,1992.8607
"120","5am",327.1403,367.4869,1549.706,1133.8106
"121","5am",2343.8192,1438.5216,4437.618,1737.7383
"122","5am",665.5746,975.8687,1924.084,691.273
"123","5am",1014.8556,831.5483,1832.162,799.0418
"124","5am",1061.9225,507.1972,3607.642,1236.1792
"125","5am",1144.6095,1151.2029,4217.595,2285.5241
"126","5am",965.0163,912.0515,3029.86,1451.8862
"127","5am",534.0315,439.4535,2093.679,1022.2167
"128","5am",438.064,222.7031,2140.07,677.8422
"129","5am",536.2433,426.9971,2043.753,1028.8004
"130","5am",670.2175,464.9945,2371.465,842.0782
"131","5am",1032.8381,662.7083,3765.21,1101.1197
"132","5am",890.124,690.1248,4352.712,1081.557
"133","5am",690.513,410.7848,2818.18,809.0141
"134","5am",878.0436,1338.0437,3632.099,1769.5463
"135","5am",501.8099,515.5319,2589.668,894.3932
"136","5am",1418.3824,915.3384,5266.397,1893.1507
"137","5am",767.1874,839.8083,2977.322,966.4191
"138","5am",704.0252,852.1562,3061.253,1567.9771
"139","5am",551.0759,792.686,2521.784,934.2421
"140","5am",751.6251,649.9508,2648.549,1207.795
"141","5am",743.5762,472.0567,3496.407,1353.6419
"142","5am",765.5933,824.5956,3435.183,1383.5283
"143","5am",1104.1463,982.7552,3836.248,1634.9046
"144","5am",954.7954,956.1792,3946.701,1520.0398
"145","5am",1058.1099,1015.2729,4755.808,1704.4636
"146","5am",834.0683,576.0381,3431.778,905.3303
"147","5am",850.5284,946.4217,5525.608,1805.2933
"148","5am",881.7412,1228.9344,4940.84,1613.392
"149","5am",735.1742,658.5544,3890.952,856.0989
"150","5am",661.006,751.7838,2876.456,1058.4413
"151","5am",1032.9538,1220.3808,3463.531,1318.0055
"152","5am",1527.4816,1460.0468,4533.813,1748.362
"153","5am",663.0072,443.5086,2767.854,959.436
"154","5am",661.2767,1021.1035,4113.071,1291.0034
"155","5am",744.866,549.6094,2801.82,948.1131
"156","5am",1702.4104,994.5415,5312.566,1940.3827
"157","5am",816.9896,512.385,2283.069,871.8721
"158","5am",654.9973,805.9398,2677.034,925.0851
"159","5am",936.1006,717.2754,3759.936,1321.8057
"160","5am",789.1219,854.1905,3511.831,1062.1119
"161","5am",879.1939,1105.8511,4025.827,1191.3346
"162","5am",671.6001,627.6235,2870.675,1073.4886
"163","5am",1589.5211,1415.2052,4312.859,2001.6227
"164","5am",714.6381,627.3337,3223.209,1409.0333
"165","5am",813.5717,855.4376,3529.183,1439.7821
"166","5am",367.0635,463.116,2077.013,1097.4065
"167","5am",946.2495,831.7309,4099.615,1936.8879
"168","5am",533.9574,487.3505,2532.415,1309.0851
"101","6am",3162.0192,1767.5602,3627.646,1390.21
"102","6am",2619.9261,1399.8154,3627.27,844.6673
"103","6am",1441.5916,1090.0044,1912.267,780.0488
"104","6am",1508.7698,1368.5897,2963.205,998.409
"105","6am",2054.1166,1423.0377,2518.178,1059.0288
"106","6am",2497.9414,1648.6914,2389.405,655.6027
"107","6am",2070.8323,1123.4863,2659.911,1428.9404
"108","6am",771.0186,453.7678,2474.401,1025.2246
"109","6am",804.3912,706.0889,2209.782,570.0869
"110","6am",2550.6095,1200.6258,2476.073,873.4298
"111","6am",1902.8501,913.0426,1735.894,494.976
"112","6am",2203.8516,2294.3844,2361.408,1262.3709
"113","6am",1756.5796,1423.0935,2459.818,790.3493
"114","6am",684.1728,838.3746,3121.269,1135.789
"115","6am",995.131,918.1477,3275.516,1554.3538
"116","6am",1585.271,1594.4958,3406.839,1088.2029
"117","6am",2335.6804,1498.8469,3313.454,1574.6521
"118","6am",3368.1579,1028.799,3683.575,1039.1693
"119","6am",1897.7419,641.4244,3818.378,1992.8607
"120","6am",294.969,367.4869,1476.821,1133.8106
"121","6am",2389.3301,1320.9923,4629.117,1737.7383
"122","6am",709.0746,873.5562,2066.669,691.273
"123","6am",1012.7976,855.0101,1834.446,775.8499
"124","6am",1016.4116,404.0209,3435.85,1236.1792
"125","6am",1109.1767,1233.178,4277.504,2310.8006
"126","6am",1112.3813,1047.7795,3101.072,1426.6098
"127","6am",430.6777,416.2744,1871.23,1022.2167
"128","6am",438.064,154.3854,2025.717,677.8422
"129","6am",490.9052,426.9971,1871.525,1028.8004
"130","6am",625.1658,464.9945,2290.388,842.0782
"131","6am",1001.2883,579.9786,4051.544,1101.1197
"132","6am",839.9286,754.5807,4649.338,1081.557
"133","6am",690.513,410.7848,2595.549,809.0141
"134","6am",878.0436,1440.7827,3396.547,1769.5463
"135","6am",470.1358,412.7929,2439.202,850.6409
"136","6am",1366.3942,862.1383,4901.675,1893.1507
"137","6am",684.6086,778.1738,2731.325,966.4191
"138","6am",626.5028,753.644,2743.63,1567.9771
"139","6am",525.2273,792.686,2427.017,934.2421
"140","6am",751.6251,585.2544,2684.147,1207.795
"141","6am",651.0023,401.5214,3437.324,1353.6419
"142","6am",765.5933,930.8868,3272.968,1383.5283
"143","6am",1239.8477,1013.3759,3384.845,1634.9046
"144","6am",904.8178,743.604,3438.338,1520.0398
"145","6am",1058.1099,921.0949,4309.125,1704.4636
"146","6am",717.382,454.8822,3546.734,905.3303
"147","6am",850.5284,1031.4831,4949.076,1805.2933
"148","6am",780.512,1091.8149,4501.189,1613.392
"149","6am",735.1742,796.5623,3752.61,856.0989
"150","6am",661.006,702.4799,2723.206,1058.4413
"151","6am",1032.9538,1232.7181,3549.397,1318.0055
"152","6am",1527.4816,1349.237,4205.835,1748.362
"153","6am",693.1118,443.5086,2597.248,959.436
"154","6am",595.891,1021.1035,3615.631,1291.0034
"155","6am",744.866,421.9214,2697.081,948.1131
"156","6am",1536.5076,1029.5528,5184.334,1940.3827
"157","6am",816.9896,477.3737,2112.912,871.8721
"158","6am",567.6114,766.4927,2537.39,925.0851
"159","6am",936.1006,748.3538,3549.596,1321.8057
"160","6am",789.1219,813.8033,3273.051,1062.1119
"161","6am",814.2633,951.8315,3804.019,1191.3346
"162","6am",284.2334,627.6235,2550.663,1073.4886
"163","6am",1507.0405,1395.9292,4563.21,2001.6227
"164","6am",714.6381,576.6483,3250.248,1409.0333
"165","6am",813.5717,928.0769,3105.812,1439.7821
"166","6am",242.77,463.116,1800.523,1097.4065
"167","6am",833.4232,760.8181,4053.445,1936.8879
"168","6am",291.9395,487.3505,2421.622,1309.0851
"101","7am",5521.7476,1833.2161,6606.702,1316.4479
"102","7am",3563.3388,1419.863,4289.777,875.5445
"103","7am",1158.8348,1060.7708,1564.521,754.8511
"104","7am",1477.7685,1288.5727,2715.608,998.409
"105","7am",2032.0268,1270.3532,2872.138,1090.1639
"106","7am",2204.0851,1748.6915,2649.983,655.6027
"107","7am",2666.4939,773.6453,2432.722,1407.6245
"108","7am",676.7913,348.1957,1948.087,995.3696
"109","7am",548.9077,904.3387,2231.812,646.6607
"110","7am",2921.5367,1020.696,2332.293,832.1777
"111","7am",2959.302,977.8109,2852.479,494.976
"112","7am",1884.045,1947.3337,2394.664,1262.3709
"113","7am",1915.0325,1381.9308,2789.868,790.3493
"114","7am",1578.5148,753.7921,2947.351,1214.8037
"115","7am",1173.1952,1005.6058,3847.302,1554.3538
"116","7am",1199.1022,1641.1136,3863.619,1113.4006
"117","7am",1486.2667,1297.9217,3008.278,1574.6521
"118","7am",4776.1828,1405.164,4710.179,1104.4801
"119","7am",2557.6139,466.7012,3892.575,1992.8607
"120","7am",217.3152,298.0888,1139.536,1118.9784
"121","7am",1843.6818,1186.478,4722.417,1737.7383
"122","7am",801.7974,1345.2965,3448.215,691.273
"123","7am",958.0708,964.6713,2269.752,775.8499
"124","7am",897.6199,438.0692,2847.875,1236.1792
"125","7am",779.6604,888.0189,4081.854,2326.7762
"126","7am",914.136,925.3262,2392.434,1415.0086
"127","7am",200.4525,317.7509,1479.599,1022.2167
"128","7am",239.2191,362.3802,1963.997,638.8977
"129","7am",217.7522,357.5321,1561.035,1012.4976
"130","7am",278.2232,472.6085,1805.946,842.0782
"131","7am",710.4787,625.3129,3862.772,1101.1197
"132","7am",832.8745,1266.264,4931.383,1051.8442
"133","7am",553.991,527.2357,2097.605,771.6379
"134","7am",619.4602,1037.6221,2868.49,1736.7247
"135","7am",344.725,413.6204,1894.295,784.9551
"136","7am",1062.163,878.0183,4741.493,1893.1507
"137","7am",481.3124,676.247,2076.057,997.6147
"138","7am",597.6077,614.3113,2520.26,1567.9771
"139","7am",342.1982,772.6516,2501.203,903.0465
"140","7am",492.0064,553.2514,2239.473,1207.795
"141","7am",617.0093,287.7856,3382.207,1353.6419
"142","7am",797.0924,828.4479,2846.814,1321.774
"143","7am",639.9812,852.8555,2867.876,1665.7818
"144","7am",499.0014,625.8085,2682.034,1520.0398
"145","7am",642.5067,826.917,3359.475,1704.4636
"146","7am",333.5222,331.6681,2724.155,855.5045
"147","7am",429.4442,752.5329,3661.682,1805.2933
"148","7am",221.4014,1076.1811,3346.926,1437.3092
"149","7am",380.0161,771.1179,3351.688,833.9696
"150","7am",439.2821,471.1076,2046.011,1058.4413
"151","7am",1951.4649,1270.8593,3735.497,1385.0944
"152","7am",842.9094,1532.077,4360.292,1648.3542
"153","7am",487.6584,234.1811,1990.576,916.1608
"154","7am",314.0385,937.6827,3108.22,1291.0034
"155","7am",475.0145,226.8633,2387.142,891.9688
"156","7am",1057.4416,1080.2977,4598.303,1982.4456
"157","7am",1507.9181,530.5892,1905.126,829.8092
"158","7am",332.672,806.8984,1931.354,925.0851
"159","7am",365.1925,290.4972,2772.49,1321.8057
"160","7am",346.1792,431.3737,2843.258,1062.1119
"161","7am",332.4746,773.5006,2781.096,1112.3199
"162","7am",188.6661,558.7901,1840.555,1073.4886
"163","7am",2088.7778,1525.3019,4823.103,2001.6227
"164","7am",477.8291,650.4235,3070.801,1373.4792
"165","7am",212.3773,653.4623,2657.159,1439.7821
"166","7am",187.2793,219.7312,1650.83,1097.4065
"167","7am",824.6524,739.759,3889.5,1936.8879
"168","7am",216.6599,412.5829,2290.325,1309.0851
"101","8am",6825.2338,2858.8316,9616.278,1518.9187
"102","8am",3891.6083,1312.2874,4897.755,1076.0391
"103","8am",925.9434,688.751,1645.755,754.8511
"104","8am",1742.3685,998.8349,2601.474,884.697
"105","8am",2684.3994,1435.764,2902.026,1200.2735
"106","8am",1561.3899,1356.6068,3031.149,722.1816
"107","8am",2625.4156,489.7118,2390.953,1391.9198
"108","8am",687.1422,322.9082,1468.423,1019.987
"109","8am",625.1755,1290.0815,2656.966,736.2567
"110","8am",3109.3193,1099.1332,2916.723,856.9184
"111","8am",4221.2327,1269.7697,3717.264,558.877
"112","8am",1550.4672,1348.2903,2625.704,1216.2357
"113","8am",2117.7661,1747.1501,3439.767,750.488
"114","8am",2056.961,803.6453,3234.641,1171.7325
"115","8am",1251.3054,827.1295,3455.621,1554.3538
"116","8am",1097.0189,1546.114,4171.356,1256.8599
"117","8am",1230.4448,1327.5504,3462.773,1585.171
"118","8am",5852.3742,2111.2123,6872.931,1206.5349
"119","8am",3003.3751,570.3211,4063.694,1927.2881
"120","8am",237.7068,304.3617,1185.939,1084.0178
"121","8am",1616.3505,1383.2718,4088.78,1720.256
"122","8am",1316.4422,1955.3646,4738.98,795.5595
"123","8am",965.6118,1024.5204,2431.357,738.9597
"124","8am",1086.3691,347.7525,2158.853,1068.919
"125","8am",871.4663,776.826,3486.897,2340.3113
"126","8am",749.8349,859.3673,2480.483,1545.2935
"127","8am",232.4624,283.2305,1380.023,1043.3619
"128","8am",129.4888,355.6827,1745.265,596.8238
"129","8am",208.8452,187.6185,1336.956,915.2167
"130","8am",160.154,480.6864,1675.09,791.6267
"131","8am",757.8855,582.3174,3966.152,1146.8828
"132","8am",540.8977,1540.8478,4776.357,1051.8442
"133","8am",277.7667,338.2195,1457.251,771.6379
"134","8am",782.0275,1004.7869,2944.697,1780.5344
"135","8am",407.2056,387.4604,1672.839,741.1454
"136","8am",887.0345,708.8174,4852.642,1742.72
"137","8am",350.5348,616.4005,1911.446,997.6147
"138","8am",569.1818,655.5741,2449.895,1404.6042
"139","8am",277.3835,625.0204,2247.682,1006.4512
"140","8am",280.5564,358.8276,1822.911,1175.8276
"141","8am",685.1756,298.2065,2936.88,1370.5554
"142","8am",706.1629,799.6814,2696.685,1362.6908
"143","8am",618.8362,1091.8407,2411.25,1617.9912
"144","8am",286.9905,636.8306,2355.392,1520.0398
"145","8am",642.5067,712.173,2835.945,1704.4636
"146","8am",225.2381,382.4954,2698.379,760.4168
"147","8am",429.4442,757.5165,3639.532,1805.2933
"148","8am",276.7017,1158.1816,3111.545,1511.0713
"149","8am",380.0161,811.1065,2915.874,740.3873
"150","8am",383.8356,291.8363,1882.829,997.0563
"151","8am",2295.8081,1196.7386,4450.347,1545.8988
"152","8am",583.9144,1569.6668,3593.254,1770.4914
"153","8am",371.2117,205.359,1691.753,835.7292
"154","8am",189.7121,766.0444,2824.008,1219.8616
"155","8am",475.0145,317.2326,2016.088,891.9688
"156","8am",786.661,696.9643,4829.087,1906.9404
"157","8am",1640.3685,595.1817,1846.215,829.8092
"158","8am",353.9122,710.8127,1876.462,925.0851
"159","8am",287.2548,343.8116,2559.8,1331.0201
"160","8am",359.4999,343.1808,2023.747,1013.8414
"161","8am",200.2762,538.0887,2456.456,1083.423
"162","8am",188.6661,501.1733,1587.911,1094.548
"163","8am",2066.3689,1530.2901,5215.498,2085.0307
"164","8am",433.1578,447.8199,2770.88,1298.6436
"165","8am",212.3773,742.4806,2790.192,1382.3584
"166","8am",155.5147,138.7676,1472.748,1097.4065
"167","8am",677.4171,684.9809,3846.532,1879.6482
"168","8am",173.2844,378.7041,2266.837,1309.0851
"101","9am",7060.3454,3295.0574,11381,2159.0369
"102","9am",3674.76,1268.1973,4844.759,994.5951
"103","9am",881.8982,738.988,1890.733,543.0594
"104","9am",1548.5816,1155.4488,2193.263,831.6327
"105","9am",2502.6654,1328.6154,3096.74,1163.9645
"106","9am",1280.4507,1331.0644,3018.847,689.5224
"107","9am",2470.4462,489.7118,2396.425,1430.9992
"108","9am",717.6729,322.9082,1430.592,975.2085
"109","9am",625.1755,1362.0344,2807.384,599.7052
"110","9am",3426.4478,1110.4123,3006.958,856.9184
"111","9am",4963.2565,1123.0884,3701.813,536.3795
"112","9am",1224.0774,1348.2903,2467.125,1154.3136
"113","9am",2232.5017,1814.6891,3478.576,890.6726
"114","9am",2041.1469,843.0298,3405.875,1405.8452
"115","9am",1003.7147,767.3908,3052.969,1433.9778
"116","9am",971.1728,1109.1223,4308.814,1602.0716
"117","9am",1142.7871,1313.9304,3639.337,1412.4597
"118","9am",6542.3957,2623.2461,7085.044,1110.2798
"119","9am",3071.0559,507.7781,3916.439,1881.4757
"120","9am",205.5354,332.5335,1216.364,1004.5604
"121","9am",1535.1881,1516.878,3976.723,1634.4741
"122","9am",1410.8235,1988.5979,5015.939,920.6905
"123","9am",920.1645,962.3423,2448.183,753.8608
"124","9am",1119.507,347.7525,2012.01,1024.212
"125","9am",905.6289,776.826,3266.796,2246.298
"126","9am",811.8832,936.7861,3098.911,1524.8044
"127","9am",186.8855,225.248,1377.041,916.6792
"128","9am",153.7587,355.6827,1639.458,549.7638
"129","9am",232.9009,188.0701,1172.219,915.2167
"130","9am",124.6818,519.8923,1716.247,740.3478
"131","9am",959.5155,579.3396,4057.279,1199.3212
"132","9am",540.8977,1685.8228,4731.662,966.7096
"133","9am",231.7298,341.6461,1196.714,675.7469
"134","9am",696.5413,938.5859,2598.614,1514.8202
"135","9am",407.2056,427.5014,1612.029,817.3185
"136","9am",835.0463,828.5613,4328.182,1959.2751
"137","9am",393.6975,501.9023,1915.397,969.2197
"138","9am",517.8385,655.5741,2623.649,1395.1544
"139","9am",219.9947,585.6688,2058.909,833.8715
"140","9am",212.7419,358.8276,1588.799,1131.0268
"141","9am",635.7335,298.2065,2708.862,1254.8539
"142","9am",534.2775,799.6814,2775.142,1474.0468
"143","9am",790.7215,1146.4714,2444.931,1679.7935
"144","9am",434.2258,563.488,2378.476,1436.8434
"145","9am",642.5067,712.173,2812.764,1625.1777
"146","9am",194.4983,331.563,2731.563,733.8847
"147","9am",429.4442,757.5165,3495.371,1805.2933
"148","9am",276.7017,989.2251,3005.202,1359.5526
"149","9am",278.9569,837.6247,2993.656,693.8956
"150","9am",328.389,221.369,1828.704,1072.8157
"151","9am",2363.2031,1299.792,4493.831,1633.9386
"152","9am",669.4708,1694.6706,3476.452,1704.6304
"153","9am",293.5806,337.941,1729.143,652.4909
"154","9am",189.7121,772.8304,2463.135,1244.8515
"155","9am",446.0375,317.2326,1854.863,866.8836
"156","9am",620.7583,804.5368,4695.01,1977.3271
"157","9am",1806.2713,588.0139,1894.265,814.1246
"158","9am",353.9122,711.8478,1895.467,861.7568
"159","9am",287.2548,306.4158,2661.369,1240.5828
"160","9am",359.4999,284.2083,1857.484,1022.5629
"161","9am",200.2762,538.0887,2350.155,1016.4868
"162","9am",188.6661,463.9085,1473.942,1094.548
"163","9am",1884.3177,1431.0149,5646.521,2183.8351
"164","9am",385.4931,548.6871,2841.778,1373.4792
"165","9am",212.3773,636.3075,2966.702,1425.2758
"166","9am",155.5147,138.7676,1484.539,1097.4065
"167","9am",677.4171,684.9809,3824.324,1807.2534
"168","9am",173.2844,378.7041,2201.392,1276.6315
"101","10am",7436.12823,3270.9311,11493.3,2113.9131
"102","10am",3568.95066,1334.4549,5075.825,1100.9473
"103","10am",937.49502,648.3142,1748.153,668.8319
"104","10am",1432.04258,1155.4488,2291.471,858.1648
"105","10am",2710.55547,1174.7941,3176.781,1106.619
"106","10am",1418.853,1214.2738,2935.461,761.0297
"107","10am",2415.03049,490.5292,2450.653,1351.5823
"108","10am",791.17624,322.9082,1429.244,812.3847
"109","10am",649.51111,1504.1994,2640.867,924.6962
"110","10am",3476.43163,1110.4123,2860.913,900.4134
"111","10am",4844.28574,1143.6597,3722.313,582.9835
"112","10am",1076.89136,1284.8598,2313.559,1315.2176
"113","10am",2454.71519,1637.182,3522.068,921.1564
"114","10am",2162.04962,695.2749,3283.896,1358.0516
"115","10am",976.40823,665.9702,3024.686,1455.1254
"116","10am",937.37281,877.1056,4582.014,1134.635
"117","10am",1050.56266,1400.4802,3759.026,1309.1263
"118","10am",6832.16405,2821.6687,6965.862,1209.9046
"119","10am",2981.90632,507.7781,3730.634,1860.8216
"120","10am",174.71205,401.9316,1226.909,984.4322
"121","10am",1383.33205,1620.8126,4121.492,1621.4339
"122","10am",1410.82348,2007.969,4910.759,887.7268
"123","10am",842.56256,962.3423,2430.853,592.076
"124","10am",1009.7539,275.8953,2030.443,994.6473
"125","10am",824.70803,728.8663,3459.834,2120.8542
"126","10am",756.02667,1080.8164,3459.834,1985.5939
"127","10am",186.8855,257.6614,1255.867,913.3866
"128","10am",98.43864,355.6827,1696.351,561.3083
"129","10am",232.90086,148.6856,1157.096,785.4918
"130","10am",124.68176,480.6864,1697.834,689.8962
"131","10am",992.65343,671.8734,4263.652,1309.8531
"132","10am",573.94808,1685.6659,4471.82,873.5675
"133","10am",281.98563,341.6461,1439.157,704.5489
"134","10am",825.78879,824.3883,2601.545,1631.9752
"135","10am",407.20561,562.7095,1573.085,829.914
"136","10am",835.04628,896.9075,4630.807,1949.5352
"137","10am",393.69748,422.5015,1772.557,892.9993
"138","10am",517.83854,655.5741,2580.708,1645.8273
"139","10am",219.99471,639.6641,2083.475,895.4821
"140","10am",173.78679,301.2495,1710.907,958.3563
"141","10am",689.75407,298.2065,2617.109,1319.3141
"142","10am",480.257,877.2024,2593.681,1445.8872
"143","10am",790.72155,1146.4714,2457.736,1689.1327
"144","10am",286.99053,618.4949,2384.986,1436.8434
"145","10am",642.50669,712.173,2603.214,1625.1777
"146","10am",194.49825,331.563,2655.068,783.7106
