"district","hour","mode1","mode2","mode3"
"101","4am",14.32965,27.51606,58.154293
"102","4am",8.909123,47.96093,43.129944
"103","4am",29.305214,39.95945,30.735336
"104","4am",18.556862,51.77094,29.672195
"105","4am",23.782115,42.25582,33.962063
"106","4am",13.113328,31.91342,54.973255
"107","4am",12.73385,38.58164,48.684513
"108","4am",14.452998,69.96083,15.586176
"109","4am",29.344178,37.908,32.747824
"110","4am",7.284809,49.54688,43.168312
"111","4am",8.010853,25.95257,66.036576
"112","4am",7.788049,38.84831,53.363639
"113","4am",19.924262,40.05404,40.021694
"114","4am",10.595008,68.89116,20.513836
"115","4am",21.466207,52.01738,26.516412
"116","4am",16.323019,58.81751,24.859467
"117","4am",15.13613,46.75205,38.111817
"118","4am",23.881484,55.01771,21.100805
"119","4am",7.734629,65.44987,26.815505
"120","4am",9.862773,72.46622,17.67101
"121","4am",15.010341,52.87862,32.111037
"122","4am",11.986739,56.7591,31.254162
"123","4am",15.806034,52.3909,31.803064
"124","4am",11.625331,81.12139,7.253279
"125","4am",18.074188,52.44252,29.48329
"126","4am",13.263824,73.67025,13.065924
"127","4am",11.661894,72.69539,15.642711
"128","4am",8.988912,73.92215,17.088941
"129","4am",14.138627,74.25639,11.604987
"130","4am",11.419526,76.68083,11.899642
"131","4am",8.988351,78.07939,12.932259
"132","4am",5.984907,83.3538,10.661293
"133","4am",3.979168,88.01711,8.003724
"134","4am",11.333497,75.79622,12.870278
"135","4am",2.942819,80.5688,16.48838
"136","4am",12.104539,76.77338,11.122077
"137","4am",8.730001,78.35906,12.910937
"138","4am",11.556493,67.15409,21.289417
"139","4am",4.031018,88.49084,7.478138
"140","4am",7.024951,84.97165,8.003395
"141","4am",8.56231,72.73147,18.706221
"142","4am",7.236141,72.47628,20.287575
"143","4am",8.688681,73.42921,17.882106
"144","4am",8.74301,67.97859,23.278404
"145","4am",3.56826,64.05568,32.376064
"146","4am",4.467393,70.74544,24.787171
"147","4am",3.545871,72.05073,24.403399
"148","4am",5.334994,62.89904,31.765968
"149","4am",8.060672,72.77376,19.16557
"150","4am",9.506306,66.18,24.313698
"151","4am",6.860254,61.97472,31.165029
"152","4am",5.775876,63.89252,30.331601
"153","4am",4.676307,66.25042,29.073274
"154","4am",2.799327,67.28394,29.916736
"155","4am",8.860302,62.561,28.578693
"156","4am",12.300308,58.80877,28.890919
"157","4am",10.151913,64.32732,25.520765
"158","4am",5.444324,70.86616,23.68952
"159","4am",10.323915,73.02218,16.653905
"160","4am",3.590616,74.22706,22.182327
"161","4am",2.549725,75.10217,22.348109
"162","4am",11.021997,58.02391,30.954094
"163","4am",6.823371,59.33858,33.838049
"164","4am",6.41678,65.7976,27.785623
"165","4am",2.663238,74.01219,23.324568
"166","4am",2.496508,62.78567,34.717823
"167","4am",6.46084,60.1585,33.380657
"168","4am",3.559037,67.69595,28.745013
"101","5am",14.961308,26.81532,58.22337
"102","5am",8.377324,51.06722,40.555454
"103","5am",29.505046,39.55003,30.94492
"104","5am",18.170322,52.77556,29.054122
"105","5am",23.782115,40.97777,35.240112
"106","5am",13.585024,31.18378,55.231191
"107","5am",12.921026,38.37824,48.700739
"108","5am",14.380974,70.06329,15.555741
"109","5am",29.32763,37.20424,33.468134
"110","5am",7.282338,48.64494,44.072727
"111","5am",7.927248,26.72536,65.347387
"112","5am",7.838442,39.74039,52.421165
"113","5am",19.726915,40.69326,39.579824
"114","5am",10.210293,70.02075,19.768959
"115","5am",22.194517,50.87593,26.929548
"116","5am",16.1316,58.41194,25.456463
"117","5am",14.615592,46.67213,38.712283
"118","5am",23.14335,56.40803,20.448617
"119","5am",7.621544,65.95501,26.423446
"120","5am",10.066169,71.8984,18.035431
"121","5am",15.652294,52.47921,31.868492
"122","5am",11.668013,57.93971,30.392278
"123","5am",15.806034,52.3909,31.803064
"124","5am",9.665111,82.96891,7.365983
"125","5am",18.074188,52.44252,29.48329
"126","5am",12.705109,74.18065,13.114237
"127","5am",11.490656,73.93018,14.57916
"128","5am",9.138213,73.48901,17.37278
"129","5am",14.300887,73.96094,11.73817
"130","5am",11.932363,75.6336,12.43404
"131","5am",9.056058,78.63495,12.308992
"132","5am",5.837496,83.7638,10.3987
"133","5am",3.979168,88.01711,8.003724
"134","5am",10.809341,75.72612,13.464538
"135","5am",2.93218,80.63905,16.428772
"136","5am",12.253493,76.48757,11.25894
"137","5am",8.835275,78.09809,13.06663
"138","5am",10.988052,67.4045,21.607447
"139","5am",4.02553,88.50651,7.467956
"140","5am",7.158539,84.68587,8.15559
"141","5am",8.561084,73.85522,17.583691
"142","5am",7.236141,72.47628,20.287575
"143","5am",9.095078,71.70364,19.201277
"144","5am",7.898691,69.90125,22.200057
"145","5am",3.597156,63.76459,32.638255
"146","5am",4.445611,69.63789,25.916497
"147","5am",3.517952,74.12022,22.361831
"148","5am",5.461954,62.60507,31.932974
"149","5am",7.803305,73.64306,18.553638
"150","5am",9.703957,66.74723,23.548815
"151","5am",6.929434,61.59126,31.479305
"152","5am",5.948887,62.81096,31.240156
"153","5am",4.676307,66.25042,29.073274
"154","5am",2.842145,67.3815,29.776353
"155","5am",7.371731,63.22533,29.402938
"156","5am",11.593964,58.80877,29.597262
"157","5am",10.254677,63.96622,25.779102
"158","5am",5.563509,71.18813,23.248365
"159","5am",10.355547,73.53683,16.107627
"160","5am",3.603347,74.13567,22.260981
"161","5am",2.549725,75.10217,22.348109
"162","5am",11.199188,57.3491,31.451716
"163","5am",6.797135,59.49492,33.70794
"164","5am",6.473999,65.49261,28.033388
"165","5am",2.694627,74.68714,22.618229
"166","5am",2.594743,63.49354,33.911715
"167","5am",6.639776,60.83058,32.529647
"168","5am",3.55249,67.75538,28.692133
"101","6am",15.684665,27.68981,56.625527
"102","6am",8.463696,53.22266,38.313648
"103","6am",27.959089,39.48866,32.552248
"104","6am",17.415816,54.46475,28.119432
"105","6am",22.815304,39.72556,37.459138
"106","6am",13.431705,32.99848,53.569812
"107","6am",10.242203,36.92382,52.833972
"108","6am",12.960396,71.27357,15.766032
"109","6am",25.55543,41.72563,32.718941
"110","6am",6.314842,49.31668,44.368479
"111","6am",8.308752,25.96068,65.730565
"112","6am",7.652273,41.17161,51.176118
"113","6am",18.982653,44.05473,36.962612
"114","6am",9.447518,70.30127,20.251208
"115","6am",21.250805,51.17272,27.576473
"116","6am",14.91327,59.39771,25.689017
"117","6am",14.838047,47.08362,38.078334
"118","6am",22.931838,57.6896,19.37856
"119","6am",7.680192,66.8319,25.487911
"120","6am",10.385306,70.95096,18.66373
