"variable","CODE_SEC","RES_SEC","W_IND"
"h7","002","001",84.1625
"h7","002","003",91.35789
"h7","002","007",82.55881
"h7","002","013",22.198
"h7","002","015",118.9036
"h7","002","020",171.22586
"h7","002","033",72.07732
"h7","002","042",59.94516
"h7","002","049",110.79808
"h7","002","124",56.07436
"h7","002","227",141.2053
"h7","007","001",84.32682
"h7","007","005",50.36801
"h7","007","009",73.00125
"h7","007","022",147.96684
"h7","007","037",33.60276
"h7","007","045",57.15908
"h7","007","109",42.1675
"h7","007","126",47.12438
"h7","007","203",66.71272
"h7","007","204",84.60701
"h7","007","208",31.92872
"h7","007","215",52.86372
"h7","007","216",52.86372
"h7","007","231",67.86322
"h7","030","001",77.09339
"h7","030","003",33.85203
"h7","030","009",79.5379
"h7","030","017",116.94324
"h7","030","019",124.0349
"h7","030","027",73.29323
"h7","030","036",58.58884
"h7","030","127",60.36043
"h7","030","132",48.1957
"h7","030","202",59.1737
"h7","030","203",187.4811
"h7","030","224",67.8682
"h8","001","003",127.37648
"h8","001","005",183.75271
"h8","001","007",50.11098
"h8","001","008",27.62309
"h8","001","009",40.69044
"h8","001","010",105.2116
"h8","001","013",52.45511
"h8","001","016",87.18453
"h8","001","018",50.61801
"h8","001","019",124.0349
"h8","001","020",41.20012
"h8","001","021",31.0683
"h8","001","023",57.08608
"h8","001","026",52.41831
"h8","001","028",53.35095
"h8","001","041",99.81524
"h8","001","048",53.88102
"h8","002","001",233.31097
"h8","002","003",182.71578
"h8","002","005",35.60973
"h8","002","006",92.16641
"h8","002","007",266.5474
"h8","002","013",94.09362
"h8","002","015",214.21959
"h8","002","017",58.47162
"h8","002","018",75.642
"h8","002","019",47.94312
"h8","002","020",171.22586
"h8","002","022",73.98342
"h8","002","023",49.31311
"h8","002","026",28.28471
"h8","002","029",41.87421
"h8","002","032",107.53963
"h8","002","033",72.07732
"h8","002","039",93.10171
"h8","002","041",69.08478
"h8","002","042",59.94516
"h8","002","043",20.97735
"h8","002","045",43.07239
"h8","002","049",55.39904
"h8","002","124",56.07436
"h8","002","127",69.80947
"h8","002","135",42.15522
"h8","002","216",84.79312
"h8","002","217",132.68731
"h8","002","224",80.94658
"h8","002","227",141.2053
"h8","003","001",32.39526
"h8","003","008",77.10547
"h8","003","010",64.88388
"h8","003","011",296.25915
"h8","003","015",138.5755
"h8","003","050",19.76031
"h8","003","202",117.4322
"h8","003","225",40.84535
"h8","004","001",102.83908
"h8","004","002",61.62924
"h8","004","003",104.39888
"h8","004","005",62.24166
"h8","004","007",144.63587
"h8","004","008",79.17181
"h8","004","010",183.75046
"h8","004","011",33.21503
"h8","004","012",40.48593
"h8","004","013",102.15273
"h8","004","015",181.36614
"h8","004","017",125.7016
"h8","004","018",54.99791
"h8","004","019",108.8931
"h8","004","025",91.61938
"h8","004","029",50.46271
"h8","004","032",46.13685
"h8","004","033",71.80089
"h8","004","034",43.51539
"h8","004","048",53.88102
"h8","004","051",39.56595
"h8","004","123",47.04893
"h8","004","204",126.62854
"h8","004","220",35.24915
"h8","004","222",85.39614
"h8","004","233",65.46331
"h8","006","005",50.36801
"h8","006","007",64.81606
"h8","006","010",33.88846
"h8","006","012",28.94546
"h8","006","018",39.83554
"h8","006","019",119.3072
"h8","006","020",64.53106
"h8","006","028",78.48001
"h8","006","038",90.63145
"h8","006","130",42.45708
"h8","006","217",51.89564
"h8","006","228",125.3508
"h8","006","232",47.87186
"h8","007","001",64.79052
"h8","007","002",91.50017
"h8","007","004",248.0133
"h8","007","005",205.64224
"h8","007","006",88.07278
"h8","007","009",142.86333
"h8","007","010",108.18892
"h8","007","011",44.36737
"h8","007","016",78.59609
"h8","007","018",102.3124
"h8","007","022",73.98342
"h8","007","023",52.51591
"h8","007","024",22.44469
"h8","007","026",63.5652
"h8","007","032",37.90001
"h8","007","034",43.51539
"h8","007","036",39.78078
"h8","007","037",33.60276
"h8","007","039",150.4739
"h8","007","043",42.92407
"h8","007","045",114.31816
"h8","007","049",55.39904
"h8","007","109",42.1675
"h8","007","115",56.26826
"h8","007","126",47.12438
"h8","007","127",18.37529
"h8","007","203",66.71272
"h8","007","204",84.60701
"h8","007","215",52.86372
"h8","007","216",52.86372
"h8","007","218",67.94082
"h8","007","222",123.9121
"h8","007","231",67.86322
"h8","017","004",56.07679
"h8","017","008",27.62309
"h8","017","010",86.97194
"h8","017","011",97.43434
"h8","017","029",166.60074
"h8","017","036",58.58884
"h8","017","038",59.12245
"h8","017","039",66.9634
"h8","017","133",95.31427
"h8","017","135",103.2471
"h8","017","136",40.49302
"h8","017","201",92.77521
"h8","017","215",108.627
"h8","017","221",59.59609
"h8","020","001",22.58271
"h8","020","002",38.29961
"h8","020","005",115.53262
"h8","020","008",24.31555
"h8","020","009",48.6421
"h8","020","012",52.13732
"h8","020","014",82.7639
"h8","020","019",298.5024
"h8","020","038",75.44803
"h8","020","045",116.1019
"h8","020","046",23.82733
"h8","020","047",55.28466
"h8","020","219",46.89129
"h8","020","228",90.39645
"h8","023","002",64.27751
"h8","023","006",31.69591
"h8","023","008",39.83014
"h8","023","009",36.72607
"h8","023","010",65.87118
"h8","023","016",127.7124
"h8","023","036",62.81828
"h8","023","038",85.96292
"h8","023","042",68.87856
"h8","023","043",28.87634
"h8","023","045",34.89855
"h8","023","228",80.38122
"h8","030","001",77.09339
"h8","030","003",76.00551
"h8","030","009",79.5379
"h8","030","012",75.15422
"h8","030","015",86.05015
"h8","030","017",309.04389
"h8","030","018",164.01657
"h8","030","019",124.0349
"h8","030","020",104.5673
"h8","030","021",62.31477
"h8","030","027",73.29323
"h8","030","028",153.65111
"h8","030","029",69.12306
"h8","030","036",102.98914
"h8","030","037",33.60276
"h8","030","038",112.1286
"h8","030","043",70.71096
"h8","030","047",50.19344
"h8","030","102",53.15746
"h8","030","126",61.14466
"h8","030","127",60.36043
"h8","030","128",73.81942
"h8","030","132",48.1957
"h8","030","201",108.1023
"h8","030","202",128.26628
"h8","030","203",304.9133
"h8","030","224",67.8682
"h8","031","003",75.50152
"h8","031","005",145.71449
"h8","031","006",31.69591
"h8","031","007",42.76054
"h8","031","008",50.95605
"h8","031","009",34.93104
"h8","031","010",33.88846
"h8","031","011",138.00353
"h8","031","017",57.88553
"h8","031","019",58.35955
"h8","031","024",80.83309
"h8","031","025",61.45705
"h8","031","037",22.59456
"h8","031","038",112.1286
"h8","031","041",98.16461
"h8","031","048",27.00491
"h8","031","128",43.90872
"h8","031","131",69.55073
"h8","031","202",43.17112
"h8","031","203",69.09258
"h8","031","229",78.05665
"h8","034","009",36.72607
"h8","034","010",33.88846
"h8","034","015",32.30083
"h8","034","020",64.53106
"h8","034","026",63.5652
"h8","034","033",130.69486
"h8","034","036",32.46709
"h8","034","037",30.22452
"h8","034","051",39.56595
"h8","034","052",46.77923
"h8","034","117",50.31291
"h8","034","127",20.98166
"h8","034","128",105.93698
"h8","034","200",96.71579
"h8","034","201",43.17112
"h8","034","202",67.45484
"h8","034","204",67.45484
"h8","034","215",55.36816
"h8","034","228",70.23338
"h8","038","010",92.8802
"h8","038","016",77.10794
"h8","038","018",35.80646
"h8","038","020",61.79816
"h8","038","027",45.9111
"h8","038","031",192.22429
"h8","038","039",93.10171
"h8","038","041",19.21517
"h8","038","048",95.11601
"h8","038","115",56.26826
"h8","038","135",128.648
"h8","038","203",88.0742
"h8","038","204",43.17112
"h8","038","215",106.00923
"h8","038","219",86.63716
"h8","038","228",78.05665
"h8","047","002",142.48604
"h8","047","008",51.93864
"h8","047","013",22.10072
"h8","047","048",52.51251
"h8","047","135",58.15174
"h8","047","136",50.10734
"h8","047","200",157.6919
"h8","047","215",84.79312
"h8","047","221",77.14576
"h8","047","228",169.3089
"h8","053","001",109.4874
"h8","053","003",51.75835
"h8","053","009",159.0758
"h8","053","012",88.408
"h8","053","013",22.198
"h8","053","016",77.10794
"h8","053","025",107.26674
"h8","053","026",73.73158
"h8","053","028",234.34153
"h8","053","030",33.68057
"h8","053","033",44.36693
"h8","053","034",43.51539
"h8","053","036",92.2739
"h8","053","047",117.26781
"h8","053","050",19.44193
"h8","053","123",76.48588
"h8","053","124",156.22889
"h8","053","200",67.22787
"h8","053","202",65.13139
"h8","053","222",85.39614
"h8","053","225",24.61423
"h8","119","002",39.38656
"h8","119","112",123.36466
"h8","119","115",56.26826
"h8","119","118",111.11575
"h8","119","121",36.16531
"h8","119","123",59.27138
"h8","119","124",76.43747
"h8","119","136",60.06438
"h8","119","200",60.97611
"h8","119","205",84.27598
"h9","001","002",56.65845
"h9","001","003",160.55832
"h9","001","004",111.99892
"h9","001","005",367.73349
"h9","001","007",50.11098
"h9","001","008",27.62309
"h9","001","009",176.89702
"h9","001","010",152.40877
"h9","001","012",62.16609
"h9","001","013",74.65311
"h9","001","016",87.18453
"h9","001","018",50.61801
"h9","001","019",124.0349
"h9","001","020",41.20012
"h9","001","021",31.0683
"h9","001","023",57.08608
"h9","001","026",52.41831
"h9","001","028",53.35095
"h9","001","037",30.22452
"h9","001","041",99.81524
"h9","001","048",53.88102
"h9","001","053",68.93195
"h9","002","001",309.15248
"h9","002","003",182.71578
"h9","002","004",197.42979
"h9","002","005",35.60973
"h9","002","006",92.16641
"h9","002","007",347.29309
"h9","002","008",31.99697
"h9","002","013",94.09362
"h9","002","015",214.21959
"h9","002","017",58.47162
"h9","002","018",75.642
"h9","002","019",47.94312
"h9","002","020",96.79343
"h9","002","022",73.98342
"h9","002","023",49.31311
"h9","002","026",28.28471
"h9","002","029",41.87421
"h9","002","032",107.53963
"h9","002","033",72.07732
"h9","002","039",93.10171
"h9","002","041",19.21517
"h9","002","042",59.94516
"h9","002","043",20.97735
"h9","002","045",85.2418
"h9","002","049",55.39904
"h9","002","124",56.07436
"h9","002","127",69.80947
"h9","002","135",42.15522
"h9","002","216",84.79312
"h9","002","217",132.68731
"h9","002","224",148.81478
"h9","002","227",141.2053
"h9","003","001",32.39526
"h9","003","008",77.10547
"h9","003","010",64.88388
"h9","003","011",267.5845
"h9","003","015",138.5755
"h9","003","050",19.76031
"h9","003","202",188.2855
"h9","003","225",40.84535
"h9","004","001",102.83908
"h9","004","002",61.62924
"h9","004","003",142.17384
"h9","004","005",62.24166
"h9","004","007",64.81606
"h9","004","008",79.17181
"h9","004","009",97.2842
"h9","004","010",183.75046
"h9","004","011",149.83663
"h9","004","012",40.48593
"h9","004","013",71.89562
"h9","004","015",257.37628
"h9","004","017",125.7016
"h9","004","018",223.62111
"h9","004","019",108.8931
"h9","004","025",91.61938
"h9","004","029",50.46271
"h9","004","032",46.13685
"h9","004","033",71.80089
"h9","004","034",43.51539
"h9","004","048",53.88102
"h9","004","051",39.56595
"h9","004","052",46.79695
"h9","004","123",47.04893
"h9","004","204",126.62854
"h9","004","220",35.24915
"h9","004","222",85.39614
"h9","004","233",65.46331
"h9","005","009",34.93104
"h9","005","011",173.6827
"h9","005","012",28.94546
"h9","005","013",49.81369
"h9","005","018",143.70371
"h9","005","019",124.0349
"h9","005","031",79.88469
"h9","005","034",51.41747
"h9","005","035",62.63326
"h9","005","051",68.7605
"h9","005","127",65.99436
"h9","006","003",47.09732
"h9","006","005",50.36801
"h9","006","007",64.81606
"h9","006","010",33.88846
"h9","006","012",52.15195
"h9","006","017",85.22184
"h9","006","018",39.83554
"h9","006","019",119.3072
"h9","006","020",138.96349
"h9","006","026",127.1304
"h9","006","028",78.48001
"h9","006","038",90.63145
"h9","006","041",49.86961
"h9","006","130",42.45708
"h9","006","217",51.89564
"h9","006","228",125.3508
"h9","006","232",47.87186
"h9","007","001",140.63203
"h9","007","002",91.50017
"h9","007","004",261.97585
"h9","007","005",155.27423
"h9","007","006",88.07278
"h9","007","009",189.09743
"h9","007","010",108.18892
"h9","007","011",44.36737
"h9","007","012",33.21251
"h9","007","013",22.198
"h9","007","016",78.59609
"h9","007","018",102.3124
"h9","007","019",47.57067
"h9","007","020",61.79816
"h9","007","022",73.98342
"h9","007","023",52.51591
"h9","007","024",22.44469
"h9","007","026",63.5652
"h9","007","027",108.93646
"h9","007","028",89.46283
"h9","007","032",37.90001
"h9","007","033",72.07732
"h9","007","034",43.51539
"h9","007","036",39.78078
"h9","007","037",119.21351
"h9","007","039",150.4739
"h9","007","043",42.92407
"h9","007","045",114.31816
"h9","007","048",47.67168
"h9","007","049",222.25664
"h9","007","051",30.46578
"h9","007","109",42.1675
"h9","007","115",56.26826
"h9","007","126",47.12438
"h9","007","127",18.37529
"h9","007","202",80.76896
"h9","007","203",66.71272
"h9","007","204",84.60701
"h9","007","215",52.86372
"h9","007","216",86.2309
"h9","007","218",67.94082
"h9","007","222",123.9121
"h9","007","231",67.86322
"h9","016","006",92.16641
"h9","016","007",79.81981
"h9","016","010",173.56704
"h9","016","017",208.12059
"h9","016","029",75.56827
"h9","016","034",43.51539
"h9","016","036",97.78931
"h9","016","039",77.80513
"h9","016","041",48.65372
"h9","016","201",80.76896
"h9","016","215",84.79312
"h9","017","004",56.07679
"h9","017","008",27.62309
"h9","017","010",86.97194
"h9","017","011",97.43434
"h9","017","029",166.60074
"h9","017","036",156.37815
"h9","017","038",59.12245
"h9","017","039",66.9634
"h9","017","133",95.31427
"h9","017","135",103.2471
"h9","017","136",40.49302
"h9","017","201",92.77521
"h9","017","215",108.627
"h9","017","221",59.59609
"h9","020","001",22.58271
"h9","020","002",38.29961
"h9","020","005",165.21072
"h9","020","008",24.31555
"h9","020","012",52.13732
"h9","020","014",82.7639
"h9","020","019",375.13593
"h9","020","038",75.44803
"h9","020","045",116.1019
"h9","020","046",23.82733
"h9","020","047",55.28466
"h9","020","048",27.00491
"h9","020","219",46.89129
"h9","020","228",90.39645
"h9","023","002",64.27751
"h9","023","006",31.69591
"h9","023","008",39.83014
"h9","023","009",36.72607
"h9","023","010",65.87118
"h9","023","011",28.67465
"h9","023","016",127.7124
"h9","023","036",62.81828
"h9","023","038",85.96292
"h9","023","042",68.87856
"h9","023","043",28.87634
"h9","023","045",34.89855
"h9","023","228",80.38122
"h9","026","001",109.4874
"h9","026","004",61.54715
"h9","026","010",47.19717
"h9","026","025",89.07594
"h9","026","029",91.27454
"h9","026","034",49.98013
"h9","026","036",58.58884
"h9","026","041",19.21517
"h9","026","049",32.39484
"h9","026","050",61.89414
"h9","026","053",150.41955
"h9","026","126",54.97126
"h9","026","133",44.34541
"h9","027","002",78.77312
"h9","027","005",59.83412
"h9","027","008",67.39603
"h9","027","011",28.67465
"h9","027","016",112.0917
"h9","027","028",111.9066
"h9","027","034",43.51539
"h9","027","035",78.79563
"h9","027","053",58.93101
"h9","027","213",55.36816
"h9","027","215",71.04818
"h9","030","001",77.09339
"h9","030","003",76.00551
"h9","030","005",59.83412
"h9","030","009",79.5379
"h9","030","011",33.9286
"h9","030","012",75.15422
"h9","030","015",86.05015
"h9","030","017",309.04389
"h9","030","018",249.98888
"h9","030","019",124.0349
"h9","030","020",104.5673
"h9","030","021",62.31477
"h9","030","027",73.29323
"h9","030","028",153.65111
"h9","030","029",132.65324
"h9","030","036",102.98914
"h9","030","037",67.20552
"h9","030","038",112.1286
"h9","030","041",63.03611
"h9","030","043",141.42192
"h9","030","046",41.42324
"h9","030","047",50.19344
"h9","030","102",53.15746
"h9","030","126",61.14466
"h9","030","127",60.36043
"h9","030","128",73.81942
"h9","030","132",48.1957
"h9","030","201",108.1023
"h9","030","202",128.26628
"h9","030","203",304.9133
"h9","030","226",41.94566
"h9","031","003",75.50152
"h9","031","005",145.71449
"h9","031","006",31.69591
"h9","031","007",42.76054
"h9","031","008",50.95605
"h9","031","009",34.93104
"h9","031","010",60.89748
"h9","031","011",222.67403
"h9","031","017",57.88553
"h9","031","019",58.35955
"h9","031","024",80.83309
"h9","031","025",61.45705
"h9","031","026",28.28471
"h9","031","037",22.59456
"h9","031","038",112.1286
"h9","031","041",98.16461
"h9","031","048",27.00491
"h9","031","050",61.89414
"h9","031","128",43.90872
"h9","031","131",69.55073
"h9","031","202",314.30291
"h9","031","203",69.09258
"h9","031","204",117.4322
"h9","031","208",94.47336
"h9","031","229",78.05665
"h9","034","003",37.77496
"h9","034","009",36.72607
"h9","034","010",33.88846
"h9","034","015",32.30083
"h9","034","020",64.53106
"h9","034","026",63.5652
"h9","034","030",57.12949
"h9","034","033",130.69486
"h9","034","036",32.46709
"h9","034","037",30.22452
"h9","034","051",39.56595
"h9","034","052",46.77923
"h9","034","108",57.39721
"h9","034","117",50.31291
"h9","034","127",20.98166
"h9","034","128",105.93698
"h9","034","200",96.71579
"h9","034","201",43.17112
"h9","034","202",67.45484
"h9","034","204",67.45484
"h9","034","213",51.89564
"h9","034","215",55.36816
"h9","034","227",85.83503
"h9","034","228",70.23338
"h9","036","017",160.6422
"h9","036","027",96.57276
"h9","036","029",66.25141
"h9","036","030",65.78121
"h9","036","037",55.70346
"h9","036","038",114.6629
"h9","036","053",103.6226
"h9","036","133",52.56217
"h9","036","202",67.45484
"h9","036","205",151.75507
"h9","036","217",52.86372
"h9","036","221",125.56548
"h9","038","001",27.68819
"h9","038","010",92.8802
"h9","038","016",77.10794
"h9","038","017",99.71129
"h9","038","018",71.61292
"h9","038","020",61.79816
"h9","038","024",58.3884
"h9","038","027",45.9111
"h9","038","031",136.3141
"h9","038","036",100.3144
"h9","038","039",93.10171
"h9","038","041",19.21517
"h9","038","048",95.11601
"h9","038","115",56.26826
"h9","038","125",144.7293
"h9","038","135",128.648
"h9","038","203",88.0742
"h9","038","204",43.17112
"h9","038","215",106.00923
"h9","038","219",86.63716
"h9","038","220",66.95811
"h9","038","228",78.05665
"h9","047","002",142.48604
"h9","047","008",51.93864
"h9","047","012",88.408
"h9","047","013",22.10072
"h9","047","048",25.5076
"h9","047","050",19.44193
"h9","047","135",58.15174
"h9","047","136",50.10734
"h9","047","200",157.6919
"h9","047","201",67.45484
"h9","047","215",84.79312
"h9","047","221",77.14576
"h9","047","228",169.3089
"h9","053","001",109.4874
