"district","hour","cleduc1","cleduc2","cleduc3","cleduc4"
"001","4am",0.7655863,12.03881,27.03384,60.161769
"002","4am",0,19.18018,22.95054,57.869282
"003","4am",0,11.94257,30.08584,57.971588
"004","4am",0.6698373,11.37473,29.34353,58.611903
"005","4am",1.8755421,17.1351,31.56439,49.424972
"006","4am",4.9004045,31.92396,26.88589,36.289744
"007","4am",3.219512,26.32325,34.62223,35.835014
"008","4am",2.6570288,28.39009,26.1791,42.773775
"009","4am",3.3734984,12.32845,29.62966,54.668386
"010","4am",0,21.95456,26.86119,51.18425
"011","4am",1.56009,21.92489,34.17986,42.335167
"012","4am",2.1769466,26.985,30.58859,40.249463
"013","4am",2.3277115,33.47158,30.66581,33.534905
"014","4am",18.9952252,40.80609,25.8172,14.381484
"015","4am",11.657586,43.39979,19.73489,25.207735
"016","4am",7.352838,35.11337,27.97247,29.561329
"017","4am",3.3133355,30.17664,21.15376,45.356268
"018","4am",1.9026965,38.57036,25.3546,34.172349
"019","4am",9.1149736,39.7552,27.09067,24.039157
"020","4am",5.0460752,32.74402,26.0501,36.159804
"021","4am",9.8693687,39.13981,31.19264,19.798186
"022","4am",3.2508878,35.69201,31.71771,29.339398
"023","4am",4.6608637,37.3839,31.79569,26.159542
"024","4am",2.8568309,35.46535,33.80586,27.871961
"025","4am",5.2973906,47.7903,27.93989,18.972415
"026","4am",5.8288281,29.46925,34.39275,30.30918
"027","4am",8.2486184,32.03526,38.10499,21.611132
"028","4am",6.7834615,32.50107,28.78357,31.931904
"029","4am",11.7479872,37.69389,23.41844,27.139678
"030","4am",10.4896167,24.61353,28.64752,36.249329
"031","4am",4.1460006,32.83386,43.97681,19.043327
"032","4am",3.2038348,36.06208,40.09751,20.636579
"033","4am",9.9449547,31.89124,36.36093,21.802877
"034","4am",1.9331475,43.0168,29.726,25.324055
"035","4am",3.9554568,49.32234,21.93961,24.782597
"036","4am",0.6730609,27.88513,33.8068,37.635011
"037","4am",2.9477495,29.64127,33.59112,33.81986
"038","4am",2.4683493,24.91667,34.24068,38.374294
"039","4am",6.0283776,34.18172,32.80123,26.988679
"040","4am",5.1353755,46.26838,34.64607,13.950175
"041","4am",5.4213235,42.62784,22.996,28.954834
"042","4am",7.6727149,38.84781,25.67298,27.806496
"043","4am",14.5911832,31.4986,26.89091,27.01931
"044","4am",12.0350887,39.86695,31.70156,16.396399
"045","4am",5.6407996,35.81575,31.48923,27.054213
"046","4am",2.5107768,51.97196,25.63471,19.882555
"047","4am",7.5620332,42.96904,35.57469,13.894234
"048","4am",11.3361685,36.68662,29.53246,22.444743
"049","4am",9.5954888,37.49403,33.44515,19.465335
"050","4am",8.162699,50.03601,20.53411,21.267178
"051","4am",6.4994521,54.09595,28.23378,11.170816
"052","4am",6.4570601,39.57759,34.64556,19.319793
"053","4am",4.6193744,32.24098,37.09431,26.045331
"101","4am",8.2602791,39.98004,38.99108,12.768601
"102","4am",7.6692797,30.54633,34.07022,27.714174
"103","4am",12.9325006,39.66145,28.97366,18.432386
"104","4am",16.7372404,40.44679,21.46706,21.348914
"105","4am",5.920183,37.46988,25.97833,30.631609
"106","4am",16.8753272,40.20168,26.02274,16.90025
"107","4am",5.5779296,39.05834,37.5885,17.775236
"108","4am",5.846457,43.47082,35.73204,14.950686
"109","4am",8.4905868,57.2253,23.13904,11.145074
"110","4am",1.2261058,51.73951,30.40412,16.630267
"111","4am",4.2941962,48.435,31.78371,15.487091
"112","4am",5.1684736,35.11845,35.29505,24.418029
"113","4am",12.042309,46.55651,22.55649,18.844686
"114","4am",13.4055641,56.98105,17.0778,12.535581
"115","4am",4.6950435,39.76741,33.09691,22.440642
"116","4am",3.2728009,42.13068,32.98247,21.614043
"117","4am",5.3004265,61.68845,18.23782,14.773302
"118","4am",5.9330521,39.93473,30.1932,23.939016
"119","4am",7.4738305,68.03265,17.5628,6.930717
"120","4am",7.9997205,57.82402,25.98165,8.194615
"121","4am",6.5387357,56.13353,29.79092,7.536816
"122","4am",12.3451269,53.59334,24.62512,9.436412
"123","4am",9.2136126,35.79374,36.56665,18.425991
"124","4am",8.46688,42.74371,32.01772,16.771698
"125","4am",6.8726307,46.17559,31.6635,15.288277
"126","4am",7.3384589,36.28906,42.1928,14.179687
"127","4am",6.2800905,32.7505,32.57105,28.398363
"128","4am",5.5638519,39.23904,34.50274,20.694372
"129","4am",5.4369515,38.84719,33.31419,22.401668
"130","4am",7.6374911,37.30387,42.19584,12.862796
"131","4am",6.2056654,41.84791,29.53169,22.414736
"132","4am",5.1558829,38.28491,37.20471,19.354494
"133","4am",12.6109568,34.45532,29.99118,22.942545
"134","4am",9.6321555,43.63722,31.23648,15.49415
"135","4am",10.2309652,37.14422,31.07952,21.545292
"136","4am",9.41567,33.77045,40.9251,15.888785
"200","4am",5.0136225,33.27114,35.75173,25.963504
"201","4am",7.6946065,28.92115,40.8864,22.497843
"202","4am",3.8770625,35.64702,31.22198,29.253944
"203","4am",5.3182326,36.75037,41.0454,16.885999
"204","4am",3.8555461,39.48928,37.52554,19.129638
"205","4am",12.5241474,39.57111,33.13889,14.765853
"206","4am",12.1603453,28.05163,40.90546,18.882565
"207","4am",9.2827176,37.06424,41.5526,12.10044
"208","4am",8.2936626,44.69099,30.29059,16.72475
"209","4am",6.9663214,41.66728,37.72548,13.640917
"210","4am",16.0239151,41.0613,28.88673,14.028055
"211","4am",8.2786035,40.97109,31.49553,19.254774
"212","4am",10.8975734,44.83033,30.3269,13.945196
"213","4am",16.5001738,40.33658,32.79501,10.368235
"214","4am",8.3965009,35.46811,42.31461,13.820777
"215","4am",5.6488401,35.06962,36.49462,22.786915
"216","4am",13.5027779,38.09359,30.00115,18.402479
"217","4am",11.3034328,42.81052,26.43202,19.454029
"218","4am",9.5366374,42.83965,27.04715,20.576559
"219","4am",11.7792704,39.03414,28.33844,20.848141
"220","4am",6.8552718,36.59359,35.71946,20.831678
"221","4am",5.4125068,33.0911,38.04165,23.454742
"222","4am",9.9610943,24.54012,35.34788,30.150905
"223","4am",12.0873375,38.27244,37.54148,12.098738
"224","4am",3.5510471,32.64807,38.28753,25.513344
"225","4am",5.1035335,38.27929,36.48477,20.132406
"226","4am",11.5927099,33.08175,39.22491,16.100628
"227","4am",10.9840448,35.08393,32.06821,21.863813
"228","4am",5.8547493,36.90999,38.14418,19.091084
"229","4am",6.7958093,32.06526,43.0438,18.095134
"230","4am",10.1743526,49.96012,31.46161,8.403912
"231","4am",5.0682734,46.65747,33.11984,15.154414
"232","4am",8.2324854,40.4984,36.95966,14.309457
"233","4am",13.5352199,32.50534,33.99381,19.965631
"001","5am",0.7874995,12.38339,27.80762,59.021489
"002","5am",0,19.50652,24.08804,56.405439
"003","5am",1.2752011,11.64418,30.55745,56.523164
"004","5am",0.6631346,12.43802,28.87343,58.025409
"005","5am",1.9113911,17.46262,30.25632,50.369676
"006","5am",4.746167,31.52834,28.57795,35.147544
"007","5am",3.2139065,26.07465,34.93882,35.772622
"008","5am",2.7141853,28.49049,25.10143,43.6939
"009","5am",3.4120542,11.87342,29.42134,55.293192
"010","5am",0,21.95456,26.86119,51.18425
"011","5am",1.5423752,22.81143,33.79174,41.85445
"012","5am",2.2216129,27.53868,29.5816,40.658106
"013","5am",2.3556507,32.37102,31.66981,33.603518
