"district","hour","mode1","mode2","mode3"
"001","4am",1164.60435,1712.951,5331.668
"002","4am",1138.90845,1306.431,3330.4262
"003","4am",1332.80011,2338.285,3684.287
"004","4am",1619.01023,3403.126,4699.4763
"005","4am",1772.25749,2457.978,3465.5112
"006","4am",2157.83671,3452.794,3156.8672
"007","4am",3015.56214,4110.602,5023.3905
"008","4am",1707.71167,3393.52,1248.0559
"009","4am",1606.69859,3062.218,2051.6958
"010","4am",1275.36074,2895.64,3004.714
"011","4am",2084.8441,3281.132,2852.31
"012","4am",1507.88761,2887.865,2989.2634
"013","4am",1400.09805,3548.077,1649.052
"014","4am",2672.06224,4708.473,1461.4666
"015","4am",1733.40052,4284.69,2627.6275
"016","4am",2574.33075,5256.816,3278.0339
"017","4am",2315.18291,6089.838,2496.5345
"018","4am",1776.45285,5844.649,1960.8683
"019","4am",1997.54325,6425.15,2654.4061
"020","4am",984.86543,5354.308,2007.8796
"021","4am",610.05094,4180.81,1096.0883
"022","4am",1543.02229,8658.925,2085.1436
"023","4am",1249.40137,3844.947,2412.2334
"024","4am",1483.02492,4456.402,1357.2341
"025","4am",1196.62646,4804.962,2192.6161
"026","4am",587.18683,4854.594,714.6831
"027","4am",1412.97554,3867.968,1601.2308
"028","4am",1136.7058,6305.218,1232.1129
"029","4am",1463.69424,5161.408,1395.3364
"030","4am",2825.5836,4074.664,2751.3302
"031","4am",1306.50702,6267.084,2479.6451
"032","4am",1064.1865,4369.008,1754.676
"033","4am",773.89293,4983.576,649.6817
"034","4am",420.50115,4162.673,619.1318
"035","4am",474.35131,4681.714,1103.2944
"036","4am",690.71272,5670.724,519.8511
"037","4am",790.47943,4297.642,953.4535
"038","4am",1123.55291,9163.7,1156.672
"039","4am",268.61584,11488.215,853.8119
"040","4am",645.08845,5899.944,537.7355
"041","4am",705.76686,3668.524,927.7367
"042","4am",917.85651,6019.939,1071.1169
"043","4am",410.42272,4877.552,505.5537
"044","4am",530.38551,5607.184,1007.4095
"045","4am",570.30287,5098.855,1231.6791
"046","4am",1627.08472,4930.432,1133.5065
"047","4am",1161.91226,5557.046,1022.084
"048","4am",423.43364,4427.812,1085.2817
"049","4am",609.03054,6684.484,257.1569
"050","4am",203.34454,4139.215,842.2114
"051","4am",282.9208,5586.274,1154.8001
"052","4am",479.49644,7304.625,906.0508
