"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018";"019";"020";"021";"022";"023";"024";"025";"026";"027";"028";"029";"030";"031";"032";"033";"034";"035";"036";"037";"038";"039";"040";"041";"042";"043";"044";"045";"046";"047";"048";"049";"050";"051";"052";"053";"054";"055";"056";"057";"058";"059";"060";"061";"062";"063";"064";"065";"066";"067";"068";"069";"070";"071";"072";"073";"074";"075";"076";"077";"078";"079";"080";"081";"082";"083";"084";"085";"086";"087";"088";"089";"090";"091";"092";"093";"094";"095";"096";"097";"098";"099";"100";"101";"102";"103";"104"
"min";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"max";"10040.604";"10040.604";"10040.604";"10040.604";"10040.604";"10040.604";"10040.604";"10040.604";"10040.604";"10040.604";"10040.604";"10040.604";"10040.604";"10040.604";"10040.604";"10040.604";"10040.604";"10040.604";"10040.604";"10040.604";"10040.604";"10040.604";"10040.604";"10040.604";"10040.604";"10040.604";"10040.604";"10040.604";"10040.604";"10040.604";"10040.604";"10040.604";"10040.604";"10040.604";"10040.604";"10040.604";"10040.604";"10040.604";"10040.604";"10040.604";"10040.604";"10040.604";"10040.604";"10040.604";"10040.604";"10040.604";"10040.604";"10040.604";"10040.604";"10040.604";"10040.604";"10040.604";"10040.604";"10040.604";"10040.604";"10040.604";"10040.604";"10040.604";"10040.604";"10040.604";"10040.604";"10040.604";"10040.604";"10040.604";"10040.604";"10040.604";"10040.604";"10040.604";"10040.604";"10040.604";"10040.604";"10040.604";"10040.604";"10040.604";"10040.604";"10040.604";"10040.604";"10040.604";"10040.604";"10040.604";"10040.604";"10040.604";"10040.604";"10040.604";"10040.604";"10040.604";"10040.604";"10040.604";"10040.604";"10040.604";"10040.604";"10040.604";"10040.604";"10040.604";"10040.604";"10040.604";"10040.604";"10040.604";"10040.604";"10040.604";"10040.604";"10040.604";"10040.604";"10040.604"
"4am";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";"0";"0";"0";" 0";"0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";"0";"0";" 0";" 0";" 0";" 0";"0";" 0";"0";" 0";" 0";"0";" 0";" 0";"0";" 0";"0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";"0";"0";" 0";" 0";"0";" 0";" 0";"0";" 0";"0";"0";" 0";" 0";" 0";"0";" 0";"0";" 0";" 0";"0";" 0";"0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";"0";" 0";" 0";" 0";" 0";" 0";"0";"0";" 0";" 0"
"5am";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";"0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";"0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";"0";"0";" 0";" 0";"0";" 0";" 0";"0";" 0";"0";"0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";"0";" 0";" 0";" 0";" 0";" 0";"0";"0";" 0";" 0"
"6am";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";"0";" 0";" 0";"0";" 0";" 0";"0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";"0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0"
"7am";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"1047.900";"2586.526";"   0.000";"1867.415";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"1332.956";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"0";"1137.247";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"1176.493";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";" 794.671";"   0.000";"   0.000";"   0.000";"   0.000";"1133.832";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"0";"   0.000";"1021.714";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"0";"   0.000";"   0.000";"1029.087";"   0.000";"1089.836";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"1781.434";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000"
"8am";" 659.518";"1225.935";"   0.000";"   0.000";"   0.000";"1466.556";"2900.505";"   0.000";"2153.367";"1107.835";"   0.000";"   0.000";" 852.604";"   0.000";"1741.686";"   0.000";"   0.000";"   0.000";"   0.000";"1007.741";" 961.706";"   0.000";"   0.000";"1283.346";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";" 658.158";" 886.910";"   0.000";"   0.000";"   0.000";"1693.552";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"1562.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";" 981.871";" 765.764";"   0.000";"   0.000";"   0.000";"1462.663";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"0";"   0.000";"1315.110";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"0";"   0.000";"   0.000";"1124.195";"   0.000";"1292.101";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"2453.260";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000"
"9am";" 844.324";"1516.814";"   0.000";"   0.000";"   0.000";"1962.165";"3217.100";"   0.000";"2510.222";"1107.835";"   0.000";"   0.000";" 999.693";"   0.000";"1843.269";"   0.000";"   0.000";"   0.000";"   0.000";"1094.761";"1225.200";"   0.000";"   0.000";"1331.027";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";" 742.533";"1021.409";"   0.000";"   0.000";"   0.000";"2034.147";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"1562.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"1175.650";" 857.887";"   0.000";"   0.000";"   0.000";"1531.526";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"0";"   0.000";"1573.065";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"0";"   0.000";"   0.000";"1141.604";"   0.000";"1307.108";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"2511.813";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000"
"10am";" 844.324";"1484.452";"   0.000";"   0.000";"   0.000";"2027.294";"3312.050";"   0.000";"2714.699";"1107.835";"   0.000";"   0.000";" 957.870";"   0.000";"1875.858";"   0.000";"   0.000";"   0.000";"   0.000";"1249.574";"1388.927";"   0.000";"   0.000";"1381.223";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";" 808.448";"1171.880";"   0.000";"   0.000";"   0.000";"1852.441";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"1700.023";" 788.094";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"1175.650";" 857.887";"   0.000";"   0.000";"   0.000";"1531.526";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"0";"   0.000";"1923.951";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"0";"   0.000";"   0.000";"1141.604";"   0.000";"1307.108";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"2416.537";"   0.000";" 904.276";"   0.000";"   0.000";"   0.000";"   0.000"
"11am";" 869.003";"1594.262";"   0.000";"   0.000";"   0.000";"1954.000";"3361.097";"   0.000";"2720.409";"1312.417";"   0.000";"   0.000";"   0.000";"   0.000";"1955.797";"   0.000";"   0.000";"   0.000";"   0.000";"1371.001";"1470.414";"   0.000";"   0.000";"1298.465";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";" 779.387";"1186.049";"   0.000";"   0.000";"   0.000";"2023.825";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"1700.023";" 788.094";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"1040.583";" 900.902";"   0.000";"   0.000";"   0.000";"1531.526";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"0";"   0.000";"1996.239";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"0";"   0.000";"   0.000";"1141.604";"   0.000";"1307.108";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"2363.489";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000"
