"variable","CODE_SEC","RES_SEC","W_IND"
"h7","035","008",107.525
"h7","035","019",62.722
"h7","035","021",53.513
"h7","035","022",47.518
"h7","035","025",78.103
"h7","035","027",82.077
"h7","035","029",40.179
"h7","035","033",68.253
"h7","035","034",31.562
"h7","035","044",48.363
"h7","035","046",174.012
"h7","035","054",26.936
"h7","035","062",29.466
"h7","035","086",25.837
"h7","055","008",62.617
"h7","055","009",64.434
"h7","055","016",49.047
"h7","055","024",69.565
"h7","055","031",62.724
"h7","055","034",36.931
"h7","055","041",63.465
"h7","055","042",39.018
"h7","055","046",142.638
"h7","055","047",51.522
"h7","055","049",42.198
"h7","055","078",233.585
"h7","062","034",36.931
"h7","062","038",37.855
"h7","062","046",159.096
"h7","062","057",75.375
"h7","062","061",78.256
"h7","062","063",130.385
"h7","062","076",43.015
"h7","062","078",126.519
"h7","062","079",56.538
"h7","062","090",44.119
"h7","062","091",121.507
"h8","001","006",105.014
"h8","001","015",55.744
"h8","001","018",58.605
"h8","001","020",46.041
"h8","001","021",72.876
"h8","001","022",47.394
"h8","001","028",51.9
"h8","001","032",52.166
"h8","001","036",82.009
"h8","001","042",39.018
"h8","002","001",59.208
"h8","002","003",79.486
"h8","002","004",96.012
"h8","002","007",54.792
"h8","002","008",117.615
"h8","002","011",50.084
"h8","002","012",114.735
"h8","002","013",60.033
"h8","002","018",92.232
"h8","002","019",64.28
"h8","002","020",57.74
"h8","002","024",52.023
"h8","002","026",70.743
"h8","002","027",16.982
"h8","002","028",43.683
"h8","002","029",66.432
"h8","002","032",62.433
"h8","002","034",39.424
"h8","002","035",36.873
"h8","002","038",37.855
"h8","002","039",66.158
"h8","002","042",39.018
"h8","002","044",37.371
"h8","002","055",89.107
"h8","002","083",150.663
"h8","002","084",26.043
"h8","002","091",48.038
"h8","003","001",40.147
"h8","003","006",142.793
"h8","003","014",43.903
"h8","003","015",51.21
"h8","003","018",46.728
"h8","003","020",38.001
"h8","003","029",66.432
"h8","003","033",68.253
"h8","003","034",19.712
"h8","003","035",85.075
"h8","003","041",39.542
"h8","003","043",65.541
"h8","003","046",103.464
"h8","006","005",151.755
"h8","006","012",125.554
"h8","006","013",117.305
"h8","006","025",48.799
"h8","006","027",73.649
"h8","006","030",46.279
"h8","006","032",62.433
"h8","006","035",47.681
"h8","006","053",86.708
"h8","006","074",18.767
"h8","031","005",54.415
"h8","031","010",44.202
"h8","031","016",43.794
"h8","031","018",58.605
"h8","031","028",47.575
"h8","031","032",62.433
"h8","031","036",63.155
"h8","031","038",37.855
"h8","031","041",45.897
"h8","031","053",118.92
"h8","031","056",110.489
"h8","031","058",58.167
"h8","031","062",33.545
"h8","031","063",80.189
"h8","031","084",12.326
"h8","031","092",121.728
"h8","035","008",107.525
"h8","035","011",72.357
"h8","035","016",49.047
"h8","035","019",62.722
"h8","035","020",84.042
"h8","035","021",53.513
"h8","035","022",47.518
"h8","035","025",78.103
"h8","035","027",133.324
"h8","035","029",40.179
"h8","035","031",49.793
"h8","035","033",68.253
"h8","035","034",75.052
"h8","035","037",290.585
"h8","035","038",44.613
"h8","035","041",45.897
"h8","035","044",48.363
"h8","035","046",87.006
"h8","035","051",38.22
"h8","035","054",26.936
"h8","035","056",202.848
"h8","035","062",29.466
"h8","035","074",18.767
"h8","035","086",25.837
"h8","037","006",52.507
"h8","037","017",44.808
"h8","037","024",82.815
"h8","037","026",94.402
"h8","037","036",80.744
"h8","037","038",37.855
"h8","037","041",45.897
"h8","037","042",25.392
"h8","037","047",64.046
"h8","037","055",178.214
"h8","055","008",62.617
"h8","055","009",64.434
"h8","055","016",49.047
"h8","055","024",69.565
"h8","055","030",114.841
"h8","055","031",62.724
"h8","055","032",59.601
"h8","055","034",56.643
"h8","055","041",63.465
"h8","055","042",39.018
"h8","055","046",142.638
"h8","055","047",51.522
"h8","055","049",42.198
"h8","055","053",68.766
"h8","055","064",17.937
"h8","055","078",233.585
"h8","062","025",92.969
"h8","062","029",66.814
"h8","062","038",37.855
"h8","062","046",159.096
"h8","062","061",78.256
"h8","062","063",260.77
"h8","062","067",7.739
"h8","062","076",43.015
"h8","062","078",126.519
"h8","062","079",144.782
"h8","062","090",44.119
"h8","062","091",121.507
"h8","066","038",94.813
"h8","066","046",55.632
"h8","066","064",12.616
"h8","066","065",113.287
"h8","066","067",17.05
"h8","066","075",77.514
"h8","066","076",92.123
"h8","066","077",48.867
"h8","066","090",44.119
"h8","066","096",74.877
"h8","075","057",138.023
"h8","075","061",93.124
"h8","075","076",238.806
"h8","075","085",105.183
"h8","075","086",40.552
"h8","075","088",75.493
"h8","075","090",44.119
"h8","075","098",62.455
"h8","076","006",59.83
"h8","076","034",42.456
"h8","076","046",229.644
"h8","076","056",110.489
"h8","076","057",103.965
"h8","076","061",93.124
"h8","076","062",33.545
"h8","076","063",130.385
"h8","076","065",52.656
"h8","076","075",242.67
"h8","076","077",48.867
"h8","076","084",25.131
"h8","076","088",185.703
"h8","076","089",52.759
"h8","076","090",97.886
"h8","076","094",124.486
"h8","076","095",98.163
"h8","076","096",115.046
"h8","076","098",264.605
"h8","090","029",66.432
"h8","090","046",55.632
"h8","090","057",75.375
"h8","090","076",102.705
"h8","090","078",233.585
"h8","090","079",39.589
"h8","090","085",54.65
"h8","090","086",21.621
"h8","090","087",41.598
"h8","090","088",100.654
"h8","090","091",48.038
"h8","090","094",124.486
"h8","096","005",63.338
"h8","096","019",86.64
"h8","096","022",67.797
"h8","096","084",52.086
"h8","096","086",21.223
"h8","096","087",39.722
"h8","096","088",50.327
"h8","096","090",153.136
"h8","096","091",81.789
"h8","096","093",242.876
"h8","096","095",88.907
"h8","096","097",89.198
"h8","096","098",62.455
"h8","096","100",45.733
"h8","096","104",157.854
"h9","001","006",105.014
"h9","001","010",38.931
"h9","001","012",47.817
"h9","001","015",55.744
"h9","001","018",58.605
"h9","001","019",33.707
"h9","001","020",100.622
"h9","001","021",72.876
"h9","001","022",47.394
"h9","001","028",103.8
"h9","001","032",52.166
"h9","001","036",82.009
"h9","001","039",66.158
"h9","001","042",39.018
"h9","001","092",121.728
"h9","002","001",59.208
"h9","002","003",158.972
"h9","002","004",96.012
"h9","002","006",59.83
"h9","002","007",54.792
"h9","002","008",226.001
"h9","002","010",38.931
"h9","002","011",65.136
"h9","002","012",162.552
"h9","002","013",60.033
"h9","002","015",107.863
"h9","002","016",43.794
"h9","002","018",92.232
"h9","002","019",64.28
"h9","002","020",57.74
"h9","002","024",52.023
"h9","002","026",70.743
"h9","002","027",16.982
"h9","002","028",93.807
"h9","002","029",146.79
"h9","002","032",62.433
"h9","002","033",74.026
"h9","002","034",70.986
"h9","002","035",36.873
"h9","002","038",37.855
"h9","002","041",45.897
"h9","002","042",39.018
