"variable","CODE_SEC","RES_SEC","W_IND"
"h7","035","005",34.702
"h7","035","007",40.195
"h7","035","009",13.804
"h7","035","019",62.722
"h7","035","023",162.03
"h7","035","027",147.298
"h7","035","030",23.023
"h7","035","033",98.498
"h7","035","041",59.335
"h7","035","042",25.392
"h7","035","044",141.797
"h7","035","055",236.763
"h7","035","087",66.489
"h8","007","001",37.096
"h8","007","004",64.008
"h8","007","008",125.234
"h8","007","014",37.339
"h8","007","016",96.823
"h8","007","023",81.015
"h8","007","024",52.023
"h8","007","025",78.103
"h8","007","043",77.645
"h8","007","047",51.522
"h8","007","052",84.256
"h8","035","005",34.702
"h8","035","009",13.804
"h8","035","014",37.339
"h8","035","017",44.808
"h8","035","019",62.722
"h8","035","023",162.03
"h8","035","025",48.799
"h8","035","027",164.28
"h8","035","030",23.023
"h8","035","031",62.724
"h8","035","033",98.498
"h8","035","041",59.335
"h8","035","042",58.389
"h8","035","044",141.797
"h8","035","051",38.22
"h8","035","055",236.763
"h8","035","087",66.489
"h8","061","008",61.82
"h8","061","031",65.539
"h8","061","045",118.61
"h8","061","047",99.512
"h8","061","064",25.232
"h8","061","066",60.202
"h8","061","077",76.59
"h8","061","079",88.244
"h8","061","089",31.282
"h9","002","007",123.937
"h9","002","008",225.204
"h9","002","010",114.873
"h9","002","011",15.052
"h9","002","024",52.023
"h9","002","027",50.946
"h9","002","030",23.023
"h9","002","033",104.271
"h9","002","036",82.009
"h9","002","052",84.256
"h9","006","003",79.486
"h9","006","005",34.702
"h9","006","012",165.089
"h9","006","014",156.992
"h9","006","023",81.015
"h9","006","031",42.927
"h9","006","042",20.026
"h9","006","074",18.767
"h9","007","001",37.096
"h9","007","002",37.507
"h9","007","004",64.008
"h9","007","005",34.702
"h9","007","008",125.234
"h9","007","014",37.339
"h9","007","016",96.823
"h9","007","023",81.015
"h9","007","024",52.023
"h9","007","025",78.103
"h9","007","035",47.681
"h9","007","043",77.645
"h9","007","047",51.522
"h9","007","052",84.256
"h9","009","003",50.874
"h9","009","008",124.437
"h9","009","016",49.047
"h9","009","021",40.928
"h9","009","024",40.796
"h9","009","028",43.683
"h9","009","031",138.774
"h9","009","044",141.797
"h9","009","054",32.589
"h9","009","055",89.107
"h9","024","008",123.64
"h9","024","020",46.041
"h9","024","025",48.799
"h9","024","030",23.023
"h9","024","032",59.601
"h9","024","033",30.245
"h9","024","035",47.681
"h9","024","036",80.744
"h9","024","039",132.316
"h9","024","077",48.867
"h9","031","007",40.195
"h9","031","011",100.168
"h9","031","027",73.649
"h9","031","029",40.179
"h9","031","030",117.722
"h9","031","035",36.873
"h9","031","042",10.013
"h9","031","046",181.583
"h9","031","049",42.198
"h9","031","077",48.867
"h9","031","084",12.326
"h9","035","005",34.702
"h9","035","009",13.804
"h9","035","014",37.339
"h9","035","017",44.808
"h9","035","019",127.002
"h9","035","023",162.03
"h9","035","025",48.799
"h9","035","027",164.28
"h9","035","030",23.023
"h9","035","031",62.724
"h9","035","033",98.498
"h9","035","041",59.335
"h9","035","042",58.389
"h9","035","044",141.797
"h9","035","047",199.024
"h9","035","054",32.589
"h9","035","055",325.87
"h9","035","087",66.489
"h9","038","021",72.876
"h9","038","022",23.719
"h9","038","030",76.929
"h9","038","036",225.908
"h9","038","045",59.305
"h9","038","055",89.107
"h9","038","075",92.163
"h9","038","100",93.824
"h9","061","008",61.82
"h9","061","024",52.023
"h9","061","031",65.539
"h9","061","045",118.61
"h9","061","047",99.512
"h9","061","064",12.616
"h9","061","066",60.202
"h9","061","077",76.59
"h9","061","079",88.244
"h9","061","089",31.282
"h9","062","014",105.407
"h9","062","022",23.719
"h9","062","036",126.31
"h9","062","049",42.198
"h9","062","057",103.965
"h9","062","059",142.731
