"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018";"019";"020";"021";"022";"023";"024";"025";"026";"027";"028";"029";"030";"031";"032";"033";"034";"035";"036";"037";"038";"039";"040";"041";"042";"043";"044";"045";"046";"047";"048";"049";"050";"051";"052";"053";"054";"055";"056";"057";"058";"059";"060";"061";"062";"063";"064";"065";"066";"067";"068";"069";"070";"071";"072";"073";"074";"075";"076";"077";"078";"079";"080";"081";"082";"083";"084";"085";"086";"087";"088";"089";"090";"091";"092";"093";"094";"095";"096";"097";"098";"099";"100";"101";"102";"103";"104"
"min";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"max";"7746.43";"7746.43";"7746.43";"7746.43";"7746.43";"7746.43";"7746.43";"7746.43";"7746.43";"7746.43";"7746.43";"7746.43";"7746.43";"7746.43";"7746.43";"7746.43";"7746.43";"7746.43";"7746.43";"7746.43";"7746.43";"7746.43";"7746.43";"7746.43";"7746.43";"7746.43";"7746.43";"7746.43";"7746.43";"7746.43";"7746.43";"7746.43";"7746.43";"7746.43";"7746.43";"7746.43";"7746.43";"7746.43";"7746.43";"7746.43";"7746.43";"7746.43";"7746.43";"7746.43";"7746.43";"7746.43";"7746.43";"7746.43";"7746.43";"7746.43";"7746.43";"7746.43";"7746.43";"7746.43";"7746.43";"7746.43";"7746.43";"7746.43";"7746.43";"7746.43";"7746.43";"7746.43";"7746.43";"7746.43";"7746.43";"7746.43";"7746.43";"7746.43";"7746.43";"7746.43";"7746.43";"7746.43";"7746.43";"7746.43";"7746.43";"7746.43";"7746.43";"7746.43";"7746.43";"7746.43";"7746.43";"7746.43";"7746.43";"7746.43";"7746.43";"7746.43";"7746.43";"7746.43";"7746.43";"7746.43";"7746.43";"7746.43";"7746.43";"7746.43";"7746.43";"7746.43";"7746.43";"7746.43";"7746.43";"7746.43";"7746.43";"7746.43";"7746.43";"7746.43"
"4am";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";"0";"0";"0";"0";" 0";"0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";"0";"0";" 0";" 0";" 0";"0";"0";" 0";"0";" 0";" 0";"0";" 0";"0";"0";" 0";"0";" 0";"0";" 0";" 0";"0";" 0";" 0";" 0";"0";"0";" 0";" 0";"0";" 0";" 0";"0";" 0";"0";"0";" 0";" 0";" 0";"0";"0";"0";" 0";" 0";"0";" 0";"0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";"0";" 0";" 0";" 0";" 0";" 0";"0";"0";" 0";" 0"
"5am";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";"0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";"0";"0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";"0";" 0";" 0";"0";" 0";" 0";" 0";"0";"0";" 0";" 0";"0";" 0";" 0";"0";" 0";"0";"0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";"0";" 0";" 0";" 0";" 0";" 0";"0";"0";" 0";" 0"
"6am";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";"0";" 0";" 0";"0";" 0";" 0";"0";" 0";"0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";"0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0"
"7am";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"1293.416";"   0.000";"1111.633";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"1340.619";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";" 874.496";"   0.000";"   0.000";"0";" 700.906";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";" 993.115";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"0";"   0.000";"0";"   0.000";"1861.652";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"0";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000"
"8am";" 819.733";"1346.608";" 900.198";"   0.000";"   0.000";"1421.329";"2022.937";"   0.000";"1354.126";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"2090.099";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";" 843.373";"   0.000";"   0.000";" 992.033";"   0.000";"   0.000";" 656.694";"1565.291";"   0.000";"   0.000";"   0.000";"1740.725";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"1153.953";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";" 828.044";"   0.000";"   0.000";"1488.632";"   0.000";"   0.000";" 953.612";" 974.381";"   0.000";"   0.000";"   0.000";"1312.558";"   0.000";" 957.195";"   0.000";"   0.000";"   0.000";"0";"   0.000";"0";"   0.000";"5852.720";"1278.096";"   0.000";"   0.000";"   0.000";"   0.000";"0";"   0.000";"   0.000";"   0.000";"   0.000";" 870.505";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000"
"9am";"1038.120";"2427.284";"1202.510";"   0.000";" 758.480";"1694.031";"2494.440";" 800.186";"1398.741";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"2149.929";"   0.000";"   0.000";"   0.000";"   0.000";" 775.818";" 815.532";" 828.039";"   0.000";"1256.749";"   0.000";"   0.000";"1301.614";"   0.000";"   0.000";" 707.544";"1985.153";"   0.000";"   0.000";"   0.000";"1945.249";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"1611.705";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";" 913.498";"   0.000";"   0.000";"1792.988";"   0.000";"   0.000";"1075.727";"1250.661";"   0.000";"   0.000";"   0.000";"1557.197";"   0.000";"1408.130";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"0";"   0.000";"7746.430";"1608.212";"   0.000";"   0.000";"   0.000";"   0.000";"0";"   0.000";"   0.000";" 654.265";"   0.000";" 888.051";"   0.000";"   0.000";"   0.000";"   0.000";"1166.561";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000"
"10am";"1058.495";"2617.867";"1542.664";"1011.636";"1337.688";"1599.905";"2591.127";" 768.424";"1491.811";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"2081.748";"   0.000";"   0.000";"   0.000";"   0.000";" 775.818";" 870.902";" 826.791";"   0.000";"1378.153";"   0.000";"   0.000";"1209.491";"   0.000";"   0.000";" 630.433";"1793.998";"   0.000";"   0.000";"   0.000";"1971.699";"   0.000";"   0.000";" 922.164";"   0.000";"   0.000";" 706.967";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"1677.345";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"1040.272";"   0.000";"   0.000";"1871.251";"   0.000";"   0.000";"1067.202";"1051.760";"   0.000";"   0.000";"   0.000";"1614.589";"   0.000";"1284.451";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"0";"   0.000";"7743.621";"1856.960";"   0.000";"   0.000";"   0.000";"   0.000";"0";"   0.000";"   0.000";" 668.914";"   0.000";" 848.891";" 766.098";"   0.000";"   0.000";"   0.000";" 953.456";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"1464.580";"   0.000";"   0.000";"   0.000";"   0.000"
"11am";"1318.552";"2302.937";"1297.904";" 884.460";"1090.654";"1751.453";"2608.044";" 692.411";"1538.543";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"2210.308";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";" 920.172";" 830.721";"   0.000";"1302.572";"   0.000";"   0.000";"1113.903";"   0.000";"   0.000";" 844.981";"1917.128";"   0.000";"   0.000";"   0.000";"2058.526";"   0.000";"   0.000";"1044.520";"   0.000";"   0.000";" 732.731";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"1642.031";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"1087.861";"   0.000";"   0.000";"2080.077";"   0.000";"   0.000";"1003.939";" 843.868";"   0.000";"   0.000";"   0.000";"1546.046";"   0.000";"1324.636";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"0";"   0.000";"7539.525";"1809.566";"   0.000";"   0.000";"   0.000";"   0.000";"0";"   0.000";"   0.000";"   0.000";"   0.000";" 798.358";"   0.000";"   0.000";"   0.000";"   0.000";" 909.337";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";" 992.316";"   0.000";"   0.000";"   0.000";"   0.000"
