"hour","sex1","sex2"
"4am",0.0278009951917036,0.0278009951917036
"5am",0.198513213352394,0.198513213352394
"6am",0.482235684488335,0.482235684488335
"7am",0.451986760561904,0.451986760561904
"8am",0.46249803799579,0.46249803799579
"9am",0.469511684197329,0.469511684197329
"10am",0.313922385325004,0.313922385325005
"11am",0.314725881047819,0.314725881047819
"12am",0.374976960962043,0.374976960962043
"1pm",0.405143128785123,0.405143128785123
"2pm",0.372628117472009,0.372628117472009
"3pm",0.298901267884318,0.298901267884318
"4pm",0.262898344841339,0.262898344841339
"5pm",0.130435239391288,0.130435239391288
"6pm",-0.0550726479993896,-0.0550726479993896
"7pm",0.308660427397296,0.308660427397296
"8pm",0.224807259585538,0.224807259585538
"9pm",0.263896597542161,0.263896597542161
"10pm",0.354093995157606,0.354093995157606
"11pm",0.274798280760322,0.274798280760322
"12pm",0.347520199841796,0.347520199841796
"1am",0.34806180107259,0.34806180107259
"2am",0.343830859112167,0.343830859112167
"3am",0.343783035552873,0.343783035552873
