"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018";"019";"020";"021";"022";"023";"024";"025";"026";"027";"028";"029";"030";"031";"032";"033";"034";"035";"036";"037";"038";"039";"040";"041";"042";"043";"044";"045";"046";"047";"048";"049";"050";"051";"052";"053";"054";"055";"056";"057";"058";"059";"060";"061";"062";"063";"064";"065";"066";"067";"068";"069";"070";"071";"072";"073";"074";"075";"076";"077";"078";"079";"080";"081";"082";"083";"084";"085";"086";"087";"088";"089";"090";"091";"092";"093";"094";"095";"096";"097";"098";"099";"100";"101";"102";"103";"104"
"min";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"max";"13824.977";"13824.977";"13824.977";"13824.977";"13824.977";"13824.977";"13824.977";"13824.977";"13824.977";"13824.977";"13824.977";"13824.977";"13824.977";"13824.977";"13824.977";"13824.977";"13824.977";"13824.977";"13824.977";"13824.977";"13824.977";"13824.977";"13824.977";"13824.977";"13824.977";"13824.977";"13824.977";"13824.977";"13824.977";"13824.977";"13824.977";"13824.977";"13824.977";"13824.977";"13824.977";"13824.977";"13824.977";"13824.977";"13824.977";"13824.977";"13824.977";"13824.977";"13824.977";"13824.977";"13824.977";"13824.977";"13824.977";"13824.977";"13824.977";"13824.977";"13824.977";"13824.977";"13824.977";"13824.977";"13824.977";"13824.977";"13824.977";"13824.977";"13824.977";"13824.977";"13824.977";"13824.977";"13824.977";"13824.977";"13824.977";"13824.977";"13824.977";"13824.977";"13824.977";"13824.977";"13824.977";"13824.977";"13824.977";"13824.977";"13824.977";"13824.977";"13824.977";"13824.977";"13824.977";"13824.977";"13824.977";"13824.977";"13824.977";"13824.977";"13824.977";"13824.977";"13824.977";"13824.977";"13824.977";"13824.977";"13824.977";"13824.977";"13824.977";"13824.977";"13824.977";"13824.977";"13824.977";"13824.977";"13824.977";"13824.977";"13824.977";"13824.977";"13824.977";"13824.977"
"4am";" 0";" 0";" 0";"0";"0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";"0";"0";"0";" 0";"0";"0";"0";" 0";"0";" 0";"0";"0";" 0";" 0";" 0";"0";"0";" 0";" 0";" 0";"0";"0";"0";" 0";" 0";"0";"0";" 0";"0";"0";" 0";"0";" 0";" 0";"0";" 0";"0";" 0";"0";" 0";" 0";"0";" 0";" 0";" 0";"0";"0";" 0";" 0";"0";" 0";"0";"0";"0";"0";"0";"0";"0";" 0";"0";"0";"0";" 0";"0";"0";" 0";"0";"0";"0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";"0";" 0";" 0";" 0";"0";" 0";"0";"0";"0";"0"
"5am";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"0";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"0";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"0";"   0.00";"0";"0";"   0.00";"   0.00";"   0.00";"0";"0";"   0.00";"   0.00";"   0.00";"   0.00";"0";"   0.00";"   0.00";"   0.00";"0";"0";"   0.00";"0";"0";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"0";"0";"1011.94";"0";"   0.00";"   0.00";"0";"   0.00";"   0.00";"   0.00";"0";"0";"   0.00";"   0.00";"0";"   0.00";"0";"0";"   0.00";"0";"0";"0";"   0.00";"   0.00";"0";"   0.00";"   0.00";"   0.00";"0";"0";"   0.00";"   0.00";"0";"0";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"0";"   0.00";"0";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"0";"0";"0";"0"
"6am";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";" 755.554";"   0.000";"   0.000";"   0.000";"0";"   0.000";"0";"   0.000";"   0.000";"   0.000";"   0.000";"0";" 765.836";"0";"0";"   0.000";"1081.454";"   0.000";"0";"0";"1565.071";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"1677.326";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"0";"0";"   0.000";"   0.000";"0";"   0.000";"0";"0";"   0.000";"   0.000";"0";"0";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"0";"0";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";" 769.224";"   0.000";"   0.000";"   0.000";"0";"   0.000";"0";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"0";"   0.000";"0";"   0.000"
"7am";" 865.489";"1396.811";" 720.881";"   0.000";"   0.000";"1080.400";"2295.025";"   0.000";"1662.395";"   0.000";"   0.000";"   0.000";"1029.421";"   0.000";"2225.187";" 755.987";"   0.000";"   0.000";"   0.000";" 674.543";" 883.880";" 732.647";" 883.836";"1190.211";"   0.000";"   0.000";"1135.519";"   0.000";"   0.000";"1274.081";"3337.488";"   0.000";"   0.000";"0";"3823.886";"1408.849";"   0.000";"1057.175";"1473.278";"   0.000";" 749.825";"   0.000";"   0.000";"   0.000";" 856.192";"   0.000";"   0.000";"1388.439";"1023.697";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"3042.698";" 728.117";"   0.000";"1227.730";" 919.989";"1083.275";"1406.905";"2763.409";"   0.000";"   0.000";"   0.000";"2160.895";"   0.000";"1856.576";"0";"   0.000";"   0.000";"   0.000";"   0.000";"0";" 916.994";"3948.814";"1209.286";"1217.599";"   0.000";"   0.000";"   0.000";"0";" 606.429";"   0.000";"1468.435";"   0.000";" 813.414";"1267.396";"1258.811";"1650.916";"   0.000";"2049.288";"   0.000";"   0.000";"   0.000";"1803.546";"2623.376";"2104.767";"1042.647";"2021.141";"   0.000";"   0.000";"   0.000";"   0.000"
"8am";" 1430.799";" 4127.333";" 2499.541";" 1059.823";" 1597.846";" 2509.867";" 2528.847";" 1171.018";" 1926.271";" 1182.315";"  702.749";"  596.304";" 2170.052";" 1286.439";" 3981.424";" 1286.726";"  963.729";"  756.450";"  751.888";" 1558.481";" 1885.104";" 1689.111";" 1340.082";" 2147.454";" 1171.518";"    0.000";" 2439.818";"    0.000";"  822.156";" 2117.223";" 5223.551";"  889.836";"    0.000";"    0.000";" 7723.132";" 2226.707";" 1969.866";" 2239.607";" 1980.906";"    0.000";" 1491.354";"  908.813";"  788.838";"    0.000";" 1712.270";" 1035.656";" 1093.712";" 2729.545";" 1429.442";"    0.000";" 1155.606";" 1040.354";"    0.000";"    0.000";" 4303.647";" 1155.554";"  996.414";" 3225.907";" 2165.030";" 1342.715";" 2608.422";" 4731.434";"    0.000";"    0.000";" 1092.790";" 3158.368";"    0.000";" 3128.296";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"0";" 1896.379";"10246.516";" 3253.755";" 2425.397";"  906.056";"    0.000";"    0.000";"0";"  809.857";"    0.000";" 2240.188";"  900.502";" 1889.454";" 2048.826";" 2423.779";" 2269.706";" 1242.757";" 4586.429";"    0.000";" 2121.224";"    0.000";" 4509.209";" 3656.117";" 3886.545";" 1558.411";" 3750.181";"    0.000";"    0.000";"    0.000";" 1632.886"
"9am";" 1783.237";" 5660.382";" 3182.235";" 1646.126";" 2084.782";" 3110.038";" 3427.839";" 1234.979";" 2292.924";" 1284.473";" 1009.626";" 1009.723";" 2198.908";" 1462.473";" 5147.967";" 1418.586";" 1283.256";"  756.450";"  961.010";" 1525.984";" 2031.132";" 1704.791";" 1503.229";" 2837.646";" 1377.427";"  730.209";" 3079.031";"    0.000";" 1077.159";" 2556.119";" 5833.461";" 1218.068";"    0.000";"    0.000";" 9674.533";" 2329.283";" 2303.878";" 2774.112";" 2503.750";"    0.000";" 2909.833";" 1004.788";"  784.036";"    0.000";" 2042.781";" 1498.930";" 1330.288";" 3525.083";" 2128.815";"    0.000";" 1442.372";" 1134.208";"    0.000";"    0.000";" 5296.441";" 1492.833";" 1150.707";" 4244.613";" 2580.772";" 1737.467";" 3436.940";" 6995.093";"    0.000";"    0.000";" 1028.822";" 3237.217";"    0.000";" 4437.340";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"0";" 1991.443";"13065.308";" 4009.781";" 3503.015";" 1336.429";"    0.000";"    0.000";"0";"  862.554";"  913.695";" 2794.568";" 1491.727";" 2157.453";" 2998.877";" 2767.570";" 2631.645";" 1501.770";" 5206.545";"    0.000";" 2713.758";"    0.000";" 5831.855";" 4144.938";" 4895.777";" 1283.479";" 5184.254";"    0.000";"    0.000";"    0.000";" 3554.901"
"10am";" 2092.139";" 6488.431";" 3379.650";" 1934.962";" 2693.889";" 2897.069";" 3878.328";" 1688.842";" 2433.413";" 1288.495";" 1200.092";"  792.749";" 1914.655";" 1757.070";" 5346.633";" 1673.627";" 1230.503";"  855.069";" 1086.389";" 1573.785";" 1907.225";" 1501.058";" 1748.909";" 2947.080";" 1514.099";"    0.000";" 2947.908";"  826.661";" 1014.591";" 2583.665";" 5945.941";" 1032.082";"  928.660";"    0.000";"10528.029";" 2399.525";" 2433.072";" 4243.630";" 2714.028";"  795.693";" 3243.085";" 1262.088";"  813.899";"    0.000";" 1975.762";" 1673.441";" 1477.395";" 3909.879";" 2360.664";"    0.000";" 1176.011";" 1139.854";"    0.000";"    0.000";" 5373.389";" 1492.919";" 1501.963";" 4526.347";" 2660.543";" 1640.540";" 3484.363";" 6945.519";" 1105.829";"    0.000";" 1488.846";" 3489.386";"  845.114";" 4915.154";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"0";" 2236.199";"13824.977";" 4043.594";" 3586.121";" 1509.162";"    0.000";"    0.000";"0";" 1033.010";"  974.330";" 2420.206";" 1884.310";" 2431.384";" 3595.493";" 3456.887";" 3192.449";" 1907.661";" 5200.392";"    0.000";" 2364.888";"  865.418";" 5929.872";" 4657.324";" 4861.355";" 1211.902";" 6189.458";"    0.000";"    0.000";"0";" 3506.591"
"11am";" 2208.426";" 6194.869";" 3152.425";" 1768.582";" 2546.794";" 3090.574";" 3701.384";" 1745.802";" 2443.459";" 1350.054";" 1003.651";"  648.129";" 1901.449";" 1604.522";" 4838.274";" 1604.821";" 1177.536";"  908.831";"  809.498";" 1863.775";" 1827.443";" 1722.356";" 1583.785";" 2664.836";" 1379.491";"    0.000";" 2658.479";"    0.000";"  827.395";" 2668.950";" 6001.198";"    0.000";"  908.258";"    0.000";" 9849.078";" 2033.505";" 1952.062";" 4681.607";" 2830.210";"  853.905";" 2426.412";" 1013.668";"  872.705";"    0.000";" 1842.414";" 1292.333";" 1012.868";" 3332.872";" 2154.383";"    0.000";"  972.304";"    0.000";"  708.327";"    0.000";" 5623.438";" 1679.705";" 1419.516";" 4678.892";" 2390.268";" 1120.077";" 2911.732";" 5671.103";"  886.178";"    0.000";" 1565.431";" 3360.037";"    0.000";" 4663.050";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"0";" 2430.197";"13181.699";" 3773.493";" 3124.708";" 1035.845";"    0.000";"    0.000";"0";"  816.414";"  867.855";" 2304.830";" 1750.523";" 1806.141";" 2413.956";" 3527.799";" 2897.163";" 1373.950";" 4931.683";"    0.000";" 2087.374";"  958.134";" 5029.330";" 4124.157";" 4079.766";" 1865.622";" 5773.771";"    0.000";"    0.000";"    0.000";" 2548.665"
