"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018";"019";"020";"021";"022";"023";"024";"025";"026";"027";"028";"029";"030";"031";"032";"033";"034";"035";"036";"037";"038";"039";"040";"041";"042";"043";"044";"045";"046";"047";"048";"049";"050";"051";"052";"053";"054";"055";"056";"057";"058";"059";"060";"061";"062";"063";"064";"065";"066";"067";"068";"069";"070";"071";"072";"073";"074";"075";"076";"077";"078";"079";"080";"081";"082";"083";"084";"085";"086";"087";"088";"089";"090";"091";"092";"093";"094";"095";"096";"097";"098";"099";"100";"101";"102";"103";"104"
"min";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"max";"16049.718";"16049.718";"16049.718";"16049.718";"16049.718";"16049.718";"16049.718";"16049.718";"16049.718";"16049.718";"16049.718";"16049.718";"16049.718";"16049.718";"16049.718";"16049.718";"16049.718";"16049.718";"16049.718";"16049.718";"16049.718";"16049.718";"16049.718";"16049.718";"16049.718";"16049.718";"16049.718";"16049.718";"16049.718";"16049.718";"16049.718";"16049.718";"16049.718";"16049.718";"16049.718";"16049.718";"16049.718";"16049.718";"16049.718";"16049.718";"16049.718";"16049.718";"16049.718";"16049.718";"16049.718";"16049.718";"16049.718";"16049.718";"16049.718";"16049.718";"16049.718";"16049.718";"16049.718";"16049.718";"16049.718";"16049.718";"16049.718";"16049.718";"16049.718";"16049.718";"16049.718";"16049.718";"16049.718";"16049.718";"16049.718";"16049.718";"16049.718";"16049.718";"16049.718";"16049.718";"16049.718";"16049.718";"16049.718";"16049.718";"16049.718";"16049.718";"16049.718";"16049.718";"16049.718";"16049.718";"16049.718";"16049.718";"16049.718";"16049.718";"16049.718";"16049.718";"16049.718";"16049.718";"16049.718";"16049.718";"16049.718";"16049.718";"16049.718";"16049.718";"16049.718";"16049.718";"16049.718";"16049.718";"16049.718";"16049.718";"16049.718";"16049.718";"16049.718";"16049.718"
"4am";"1573.554";"1869.840";"5064.230";"3154.850";"2983.684";"3367.886";"2671.550";"3871.429";"2513.247";"2189.429";"3977.134";"3381.801";"4776.280";"1425.037";"2777.920";"2910.817";"2375.698";"2526.087";"3230.577";"2014.415";"3244.673";"2297.907";"2256.404";"3584.098";"2976.449";"3106.931";"2225.810";"3328.220";"2918.281";"1811.571";"2480.915";"3339.412";"2379.914";"1881.570";"1908.304";"3529.789";"3324.738";"2611.896";"4256.887";"1760.968";"2186.766";"1301.495";"3219.605";"2051.497";"2417.256";"3973.110";"3648.069";"3981.135";"6868.375";"3378.610";"4396.677";"2737.655";"3044.957";"2095.082";"3763.854";"5078.445";"3809.216";"3495.628";"4532.364";"4405.020";"4810.393";"1397.437";"4542.862";" 952.622";"4978.640";"5657.139";" 652.243";"3432.596";" 181.410";NA;"  43.794";NA;NA;"1028.874";"3493.853";"1735.554";"1292.564";"5582.405";"3701.906";" 121.262";"   0.000";"1012.455";"5992.886";"1073.108";"3283.634";"1020.526";"1746.955";"3583.575";"1150.470";"3098.455";"3061.264";"7613.308";"2261.752";"6343.562";"5103.681";"6669.784";"6635.982";"4311.129";"4064.391";"5263.224";NA;NA;"   0.000";"8601.214"
"5am";"1573.554";"1869.840";"5064.230";"3154.850";"2983.684";"3367.886";"2671.550";"3871.429";"2513.247";"2189.429";"3977.134";"3381.801";"4776.280";"1425.037";"2777.920";"2910.817";"2375.698";"2526.087";"3230.577";"2014.415";"3244.673";"2297.907";"2256.404";"3584.098";"2976.449";"3106.931";"2225.810";"3328.220";"2918.281";"1811.571";"2480.915";"3339.412";"2379.914";"1881.570";"1908.304";"3529.789";"3324.738";"2611.896";"4256.887";"1760.968";"2186.766";"1301.495";"3219.605";"2051.497";"2417.256";"3973.110";"3648.069";"3981.135";"6868.375";"3378.610";"4396.677";"2827.571";"3044.957";"2095.082";"3763.854";"5078.445";"3809.216";"3495.628";"4442.448";"4405.020";"4810.393";"1397.437";"4542.862";" 952.622";"4978.640";"5657.139";" 652.243";"3432.596";" 181.410";NA;"  43.794";NA;NA;"1028.874";"3493.853";"1735.554";"1292.564";"5582.405";"3701.906";" 121.262";"   0.000";"1012.455";"5992.886";"1073.108";"3283.634";"1020.526";"1746.955";"3583.575";"1150.470";"3098.455";"3061.264";"7613.308";"2261.752";"6343.562";"5014.774";"6669.784";"6724.889";"4311.129";"4064.391";"5263.224";NA;NA;"   0.000";"8601.214"
"6am";"1573.554";"1869.840";"5064.230";"3032.984";"2983.684";"3440.243";"2671.550";"3871.429";"2513.247";"2189.429";"3904.777";"3381.801";"4776.280";"1425.037";"2777.920";"2910.817";"2375.698";"2526.087";"3230.577";"2014.415";"3244.673";"2297.907";"2256.404";"3584.098";"2976.449";"3053.351";"2265.989";"3278.096";"2878.102";"1846.451";"2595.272";"3339.412";"2339.274";"1881.570";"1871.431";"3529.789";"3324.738";"2611.896";"4256.887";"1760.968";"2186.766";"1301.495";"3133.004";"2003.134";"2417.256";"3973.110";"3648.069";"3981.135";"6945.889";"3246.788";"4396.677";"2827.571";"3044.957";"2060.202";"3763.854";"4776.414";"3809.216";"3495.628";"4442.448";"4405.020";"4810.393";"1397.437";"4542.862";" 952.622";"4978.640";"5657.139";" 652.243";"3432.596";" 181.410";NA;"  43.794";"   0.000";NA;"1028.874";"3416.339";"1735.554";"1292.564";"5383.105";"3701.906";" 121.262";"   0.000";" 995.169";"5992.886";"1073.108";"3283.634";" 982.626";"1746.955";"3621.475";"1150.470";"3098.455";"3061.264";"7613.308";"2261.752";"6229.205";"5014.774";"6707.787";"6724.889";"4311.129";"4026.388";"5263.224";NA;"   0.000";"   0.000";"8601.214"
"7am";"1656.687";"1833.358";"5102.050";"2898.858";"3117.764";"3279.736";"2624.612";"3770.436";"2728.297";"2244.221";"3854.693";"3333.984";"4826.364";"1425.037";"2777.920";"2770.200";"2330.890";"2508.456";"3166.297";"2014.415";"3303.278";"2297.907";"2174.922";"3501.283";"3021.257";"2999.771";"2225.810";"3160.790";"2927.895";"1773.716";"2404.186";"3354.309";"2323.187";"1861.858";"1834.558";"3526.489";"3405.482";"2570.686";"4152.910";"1708.790";"2216.757";"1222.304";"3219.605";"2003.134";"2251.031";"3911.602";"3604.189";"3823.920";"6928.626";"3312.699";"4292.957";"2861.583";"2796.631";"2122.018";"3788.494";"4776.414";"3554.501";"3667.846";"4510.629";"4174.804";"4823.009";"1548.187";"4542.862";" 940.006";"4892.695";"5644.035";" 637.269";"3364.723";" 181.410";"   0.000";"  43.794";"   0.000";"   0.000";" 985.467";"3567.698";"1735.554";"1292.564";"5283.455";"3670.842";" 121.262";"   0.000";" 977.883";"5927.339";"1050.816";"3228.984";" 977.258";"1832.004";"3684.996";"1085.293";"2977.768";"3061.264";"7203.428";"2149.320";"6229.205";"5103.681";"6554.738";"6412.980";"4336.916";"4249.390";"5500.136";"   0.000";"   0.000";"   0.000";"8479.348"
"8am";"1666.269";"2474.400";"5102.835";"2756.170";"2834.034";"3879.026";"2871.971";"4074.887";"2288.949";"2150.498";"3682.168";"3131.237";"4698.289";"1622.908";"2666.162";"2691.847";"2502.706";"2447.913";"3119.094";"2256.670";"2921.864";"2402.306";"2028.458";"3554.995";"2907.217";"3143.580";"2291.114";"2881.853";"2962.827";"1852.139";"2361.259";"3104.577";"2334.773";"1850.008";"1833.084";"3241.192";"3613.205";"2775.244";"4180.150";"1510.020";"2177.090";"1092.844";"3133.004";"1866.562";"2397.599";"3367.281";"3399.289";"3876.578";"6911.363";"2903.786";"4066.546";"2959.217";"2765.724";"2068.146";"3740.440";"4877.091";"3694.355";"3602.234";"4868.873";"3897.096";"4429.005";"1724.950";"4619.640";" 924.621";"4701.423";"5406.086";" 607.080";"3973.878";" 181.410";"   0.000";"  43.794";"   0.000";"   0.000";" 979.594";"3584.395";"1726.337";"1191.618";"5283.455";"3730.532";" 121.262";"  55.632";" 960.597";"5819.346";" 999.642";"3233.628";" 769.600";"1752.560";"3636.233";"1108.723";"2929.332";"2851.414";"7078.593";"2149.320";"6444.333";"4660.627";"6475.682";"6529.294";"4241.092";"4195.505";"5722.383";"   0.000";"   0.000";"   0.000";"8668.042"
"9am";"1533.086";"3784.031";"4745.919";"3145.181";"3300.809";"4158.820";"2827.406";"4397.140";"2316.201";"2091.021";"3359.435";"2923.099";"4149.930";"1591.646";"3316.519";"2411.273";"2796.053";"2229.472";"2744.592";"1914.235";"3059.379";"2529.856";"1898.494";"3380.450";"2764.374";"2877.764";"2335.251";"2775.341";"2829.458";"1614.675";"2239.410";"2899.447";"1949.110";"1661.592";"2617.849";"2475.694";"4072.887";"2537.034";"3978.275";"1437.384";"2388.564";"1078.730";"2873.201";"1793.870";"2405.313";"3150.978";"3371.928";"4363.233";"6504.662";"2837.875";"3852.055";"3138.281";"2653.584";"1994.307";"3825.809";"4715.205";"2930.067";"3651.740";"4988.478";"3516.211";"4407.641";"2884.558";"3380.295";" 668.030";"3991.646";"5289.997";" 722.133";"4749.619";" 181.410";"  58.932";" 169.731";"   0.000";"   0.000";" 886.907";"2768.574";"1844.861";"1358.425";"5313.308";"3607.984";" 121.262";"  89.527";" 919.335";"5472.266";"1097.703";"3192.714";" 944.477";"1784.517";"3845.022";"1216.940";"2770.016";"2761.465";"6603.363";"1787.448";"6253.007";"4136.360";"5891.372";"6381.295";"4338.620";"3517.535";"6366.451";"   0.000";"  92.558";"   0.000";"9820.215"
"10am";"2237.620";"5275.210";"4676.402";"3101.988";"3269.377";"4655.205";"3237.312";"4923.370";"1907.714";"2454.514";"3012.921";"3109.709";"4047.021";"1479.119";"2685.971";"2722.498";"2383.345";"2033.304";"2752.642";"1646.187";"2623.200";"2284.534";"1960.382";"3153.826";"2766.700";"2748.467";"2052.168";"3118.432";"2369.202";"1870.434";"2048.161";"2532.783";"1842.176";"1471.100";"3345.967";"2088.160";"3886.781";"3024.952";"4006.614";"1293.274";"2727.174";"1042.308";"2606.888";"1654.093";"2191.030";"3251.655";"3260.174";"4358.572";"6810.160";"2771.964";"3805.800";"3147.414";"2405.218";"1876.860";"3591.178";"4648.952";"2925.689";"3181.232";"5126.100";"3849.384";"4348.819";"3489.306";"3051.656";" 649.801";"4521.810";"5201.346";" 632.077";"5071.956";"  44.808";"  58.932";" 269.317";"   0.000";"   0.000";" 868.140";"2740.208";"1657.828";"1207.006";"5305.437";"3559.302";" 121.262";"  89.527";" 884.763";"5211.956";" 987.866";"2831.256";"1277.959";"1969.324";"3728.922";"1574.299";"3331.661";"3116.534";"6154.901";"1389.733";"6001.823";"4296.629";"6243.709";"6165.840";"4259.464";"2896.578";"6850.975";"   0.000";"  92.558";"   0.000";"8926.241"
"11am";"2486.857";"4385.123";"5031.982";"3157.125";"2947.727";"4230.063";"2936.950";"4926.050";"2128.630";"2171.500";"3323.951";"2932.383";"4334.425";"1383.919";"3146.186";"2732.739";"2353.356";"2149.132";"2799.046";"2032.186";"2613.263";"2578.595";"2011.958";"3594.043";"2797.430";"2509.684";"1987.888";"2721.194";"2347.117";"1794.330";"2334.471";"2778.008";"1572.407";"1599.424";"3037.421";"2947.993";"2892.735";"2884.881";"4053.354";"1305.698";"2484.308";"1120.984";"2965.511";"1427.618";"2094.613";"3397.769";"3262.136";"4254.856";"6077.592";"3167.430";"3966.597";"2989.317";"2547.298";"1792.187";"3757.873";"4926.343";"3922.059";"3325.380";"5211.484";"3815.499";"4289.173";"2218.799";"3488.435";" 648.366";"4554.280";"5828.539";" 484.921";"4501.579";"  89.616";"  58.932";" 269.317";"   0.000";"   0.000";" 874.013";"3022.142";"1812.212";"1307.289";"5186.508";"2908.003";" 121.262";"  89.527";" 902.049";"5385.496";" 940.674";"2922.275";"1361.417";"1725.978";"3553.611";"1052.312";"2924.035";"3023.736";"6396.034";"2152.773";"6173.122";"4283.200";"6600.963";"5918.178";"4241.412";"3527.178";"5906.448";"   0.000";" 117.790";"   0.000";"9437.720"
"12am";"2391.822";"3343.700";"5335.565";"2956.758";"3357.340";"4147.994";"2904.500";"3998.755";"2185.199";"2180.938";"3346.214";"3253.075";"4241.575";"1342.973";"2874.310";"2646.331";"2303.877";"2554.882";"3120.446";"1790.919";"2505.601";"2508.736";"2011.958";"3752.705";"2937.955";"2738.905";"1972.992";"2893.764";"2352.690";"1761.282";"2506.326";"2988.325";"1983.096";"1599.424";"2735.845";"2845.149";"3348.842";"2939.978";"4209.843";"1487.316";"2468.134";"1059.589";"3327.261";"1875.075";"2235.838";"3578.790";"3183.988";"4024.902";"6643.603";"3392.207";"4129.165";"3108.546";"2714.391";"1907.875";"3610.442";"4684.692";"3742.719";"2924.585";"4707.545";"4020.042";"4543.775";"1927.928";"3909.602";" 773.706";"4506.045";"5694.592";" 609.397";"4334.460";"   0.000";" 101.388";" 215.737";"   0.000";"   0.000";"1039.627";"3546.948";"1693.688";"1435.849";"5181.122";"3316.065";" 121.262";"  89.527";" 943.311";"5385.496";"1016.067";"3031.575";"1170.085";"1783.801";"3971.358";"1179.331";"2973.760";"3080.234";"7185.214";"2120.541";"6212.786";"4581.463";"6447.090";"6305.499";"4231.055";"3823.494";"5592.699";"  69.565";" 117.790";"  76.006";"9311.439"
"1pm";"2378.099";"4099.810";"5249.014";"2959.206";"3217.748";"4040.242";"3144.016";"3994.255";"2458.833";"2264.070";"3150.319";"2679.271";"3839.768";"1227.769";"2720.574";"2484.311";"2602.080";"2544.229";"2826.652";"2017.779";"2432.725";"2572.194";"2391.991";"3572.006";"2933.578";"2675.539";"1995.260";"2893.112";"2325.850";"1677.091";"2719.954";"2925.892";"1959.575";"1660.544";"2787.838";"2855.537";"3494.575";"3187.926";"4602.946";"1487.316";"2337.147";"1144.231";"3123.892";"1786.866";"2165.441";"3439.150";"3332.763";"3759.076";"6488.640";"3312.699";"3958.291";"3163.579";"2755.105";"2129.341";"3407.329";"4565.248";"3636.490";"3379.871";"4792.047";"3974.892";"4632.717";"1799.565";"3417.607";" 834.043";"4316.992";"5812.806";" 578.159";"4169.959";"   0.000";" 101.388";" 215.737";"   0.000";" 100.677";"1101.801";"3713.041";"1526.383";"1420.461";"4734.026";"3116.333";" 121.262";"  33.895";" 895.359";"5401.627";"1030.514";"3126.768";"1219.915";"1866.890";"3530.103";"1131.704";"2762.540";"3080.234";"7185.642";"2176.757";"5916.099";"4763.949";"6473.450";"6071.987";"4580.450";"3710.613";"5821.610";"  69.565";" 117.790";"  76.006";"9500.408"
"2pm";"2318.468";"5414.137";"4982.890";"3198.800";"3315.292";"4050.157";"3743.932";"3647.720";"2523.720";"2628.231";"3269.190";"2556.616";"3699.593";"1428.389";"3038.694";"2437.572";"2636.939";"2349.839";"2623.143";"1865.704";"2888.034";"2495.923";"1908.500";"3692.762";"3059.138";"2779.225";"2164.866";"2619.454";"2363.941";"1788.746";"2516.419";"2442.332";"1976.084";"1365.520";"3168.836";"2722.577";"3542.761";"3170.406";"4389.280";"1583.774";"2812.227";"1090.002";"2982.701";"1659.964";"1958.872";"2854.185";"3316.154";"4301.112";"6423.096";"3167.377";"3485.302";"3280.521";"2571.218";"2127.303";"3242.926";"4495.406";"3600.889";"3374.057";"4953.467";"3709.476";"3550.281";"2356.272";"3343.050";" 816.295";"3352.221";"6165.737";" 906.684";"4280.878";"   0.000";" 101.388";" 215.737";"   0.000";"   0.000";"1033.754";"3286.328";"1857.104";"1244.342";"5658.176";"2784.583";" 121.262";"  33.895";" 895.359";"4981.411";"1038.761";"3485.828";" 968.178";"1787.345";"3285.529";"1073.427";"2740.337";"3235.778";"6703.038";"1754.466";"5552.178";"4902.131";"6001.188";"5529.067";"4997.691";"4031.549";"7405.446";"  69.565";"  92.558";"  76.006";"8585.979"
"3pm";"2498.859";"6123.233";"5282.464";"3892.275";"3050.820";"4270.088";"4093.715";"3616.236";"2322.450";"2364.685";"3214.038";"2300.901";"3593.755";"1078.854";"2452.856";"2000.821";"2269.462";"2205.956";"2521.678";"1945.438";"2989.480";"2299.416";"2038.464";"3342.275";"2779.974";"2367.634";"1944.274";"2604.750";"2264.766";"1465.771";"2273.513";"2371.046";"2177.722";"1304.308";"2909.883";"2720.482";"3766.197";"3652.698";"4415.779";"1789.338";"2890.132";"1207.853";"2978.510";"1811.260";"1909.784";"2574.574";"2817.482";"4602.973";"6617.316";"2745.115";"3311.089";"3286.545";"2860.617";"2094.169";"3265.921";"4801.672";"3458.324";"3011.426";"5158.432";"3614.675";"3763.216";"1841.876";"3874.580";" 573.176";"3133.448";"5615.000";" 830.192";"4538.851";"   0.000";" 101.388";"  99.586";"   0.000";"   0.000";" 941.067";"3074.665";"1714.856";"1386.347";"5397.895";"2986.878";"   0.000";"  33.895";" 912.645";"5026.522";" 873.528";"3287.091";"1021.808";"1984.898";"3163.211";"1291.563";"2894.951";"3167.670";"6343.959";"2098.493";"5588.597";"4684.077";"6358.774";"4641.757";"4600.467";"3827.998";"8889.594";"   0.000";"  92.558";"  76.006";"8366.948"
