"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018";"019";"020";"021";"022";"023";"024";"025";"026";"027";"028";"029";"030";"031";"032";"033";"034";"035";"036";"037";"038";"039";"040";"041";"042";"043";"044";"045";"046";"047";"048";"049";"050";"051";"052";"053";"054";"055";"056";"057";"058";"059";"060";"061";"062";"063";"064";"065";"066";"067";"068";"069";"070";"071";"072";"073";"074";"075";"076";"077";"078";"079";"080";"081";"082";"083";"084";"085";"086";"087";"088";"089";"090";"091";"092";"093";"094";"095";"096";"097";"098";"099";"100";"101";"102";"103";"104"
"min";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"max";"10453.497";"10453.497";"10453.497";"10453.497";"10453.497";"10453.497";"10453.497";"10453.497";"10453.497";"10453.497";"10453.497";"10453.497";"10453.497";"10453.497";"10453.497";"10453.497";"10453.497";"10453.497";"10453.497";"10453.497";"10453.497";"10453.497";"10453.497";"10453.497";"10453.497";"10453.497";"10453.497";"10453.497";"10453.497";"10453.497";"10453.497";"10453.497";"10453.497";"10453.497";"10453.497";"10453.497";"10453.497";"10453.497";"10453.497";"10453.497";"10453.497";"10453.497";"10453.497";"10453.497";"10453.497";"10453.497";"10453.497";"10453.497";"10453.497";"10453.497";"10453.497";"10453.497";"10453.497";"10453.497";"10453.497";"10453.497";"10453.497";"10453.497";"10453.497";"10453.497";"10453.497";"10453.497";"10453.497";"10453.497";"10453.497";"10453.497";"10453.497";"10453.497";"10453.497";"10453.497";"10453.497";"10453.497";"10453.497";"10453.497";"10453.497";"10453.497";"10453.497";"10453.497";"10453.497";"10453.497";"10453.497";"10453.497";"10453.497";"10453.497";"10453.497";"10453.497";"10453.497";"10453.497";"10453.497";"10453.497";"10453.497";"10453.497";"10453.497";"10453.497";"10453.497";"10453.497";"10453.497";"10453.497";"10453.497";"10453.497";"10453.497";"10453.497";"10453.497";"10453.497"
"4am";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"0";"0";"0";"0";"  0.000";"0";"0";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"723.676";"  0.000";"  0.000";"0";"  0.000";"  0.000";"  0.000";"0";"0";"  0.000";"  0.000";"  0.000";"  0.000";"0";"  0.000";"0";"  0.000";"  0.000";"0";"  0.000";"  0.000";"0";"  0.000";"0";"  0.000";"0";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"0";"0";"  0.000";"  0.000";"0";"  0.000";"  0.000";"0";"  0.000";"0";"0";"  0.000";"  0.000";"  0.000";"0";"  0.000";"0";"  0.000";"  0.000";"0";"  0.000";"0";"  0.000";"0";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"0";"  0.000";"0";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"0";"0";"  0.000";"  0.000"
"5am";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"0";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"0";"0";"879.972";"  0.000";"  0.000";"  0.000";"0";"  0.000";"  0.000";"  0.000";"  0.000";"0";"  0.000";"0";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"0";"  0.000";"0";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"0";"0";"  0.000";"  0.000";"0";"  0.000";"  0.000";"0";"  0.000";"0";"0";"  0.000";"  0.000";"  0.000";"0";"  0.000";"  0.000";"  0.000";"  0.000";"0";"  0.000";"  0.000";"  0.000";"0";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"0";"  0.000";"0";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"0";"0";"  0.000";"  0.000"
"6am";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"0";"   0.000";"0";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"1076.750";"   0.000";"0";"0";"1775.339";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"1369.792";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"0";"0";"   0.000";"   0.000";"0";"   0.000";"   0.000";"0";"   0.000";"   0.000";"0";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"0";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"0";"   0.000";"0";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"0";"   0.000";"   0.000";"   0.000"
"7am";"   0.000";"1778.259";" 648.338";"   0.000";"   0.000";"1384.323";"2209.539";"   0.000";"1172.857";"   0.000";"   0.000";"   0.000";"1064.792";"   0.000";"1818.569";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";" 752.864";"   0.000";" 849.516";"1101.185";"   0.000";"   0.000";" 649.631";"   0.000";"   0.000";" 962.064";"2851.892";"   0.000";"   0.000";"0";"3830.059";"1488.079";"   0.000";"   0.000";"1281.840";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"1028.083";" 721.633";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"2575.650";" 480.248";"   0.000";" 784.170";"   0.000";"1015.300";"1513.398";"2214.435";"   0.000";"   0.000";"   0.000";"1791.278";"   0.000";"1587.937";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"0";"   0.000";"2815.954";" 781.124";"   0.000";"   0.000";"   0.000";"   0.000";"0";" 554.549";"   0.000";"1263.790";"   0.000";"1051.283";"   0.000";" 779.541";"1078.718";"   0.000";"1304.959";"   0.000";"   0.000";"   0.000";"1493.173";"1638.669";"2106.940";"   0.000";" 984.029";"   0.000";"   0.000";"   0.000";" 777.341"
"8am";" 908.350";"3834.330";"1910.622";" 852.139";"1396.480";"2856.248";"2758.102";"1233.672";"1202.344";" 743.443";"   0.000";"   0.000";"2231.501";"1374.326";"2557.006";"   0.000";"   0.000";"   0.000";"   0.000";"1185.738";"1740.737";" 608.236";"1099.576";"1565.408";" 928.627";"   0.000";" 944.701";"   0.000";"   0.000";"1704.533";"3844.238";"   0.000";"   0.000";"   0.000";"5516.484";"1869.295";" 735.968";"1179.383";"1742.832";"   0.000";" 794.758";"   0.000";"   0.000";"   0.000";"1332.965";" 632.391";"1100.097";"2122.554";" 832.974";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"3202.615";" 747.523";"   0.000";"2174.052";"1557.743";"1081.216";"1831.304";"3169.372";"   0.000";"   0.000";"   0.000";"2389.681";"   0.000";"2273.322";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"0";"1168.192";"6862.231";"1823.890";"1241.227";"   0.000";"   0.000";"   0.000";"0";"   0.000";"   0.000";"1677.215";"   0.000";"1361.426";"1078.710";"1062.290";"1298.946";"   0.000";"3107.582";"   0.000";"1290.605";"   0.000";"2910.304";"2090.031";"2781.296";"   0.000";"1958.541";"   0.000";"   0.000";"   0.000";"1360.741"
"9am";"1552.176";"5366.653";"2313.767";"1514.230";"1677.773";"3554.953";"3700.020";"1934.733";"1406.821";" 925.442";" 775.260";" 830.672";"2359.239";"1551.640";"3085.416";" 814.614";" 786.045";"   0.000";"   0.000";"1083.002";"1725.883";" 629.131";"1140.857";"1874.658";"1070.256";"   0.000";"1268.458";"   0.000";"   0.000";"1818.921";"4228.765";"   0.000";"   0.000";"   0.000";"6886.467";"1871.820";" 961.833";"1614.600";"2135.423";"   0.000";"1666.736";"   0.000";"   0.000";"   0.000";"1489.898";" 760.506";"1065.498";"2512.313";" 995.256";"   0.000";"1150.400";" 988.517";"   0.000";"   0.000";"3767.682";"1032.285";" 774.283";"2931.766";"1811.065";"1244.946";"2363.506";"4319.311";"   0.000";"   0.000";"   0.000";"2699.167";"   0.000";"3751.334";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"0";"1116.160";"9114.791";"2498.946";"2133.859";"1137.597";"   0.000";"   0.000";"0";"   0.000";"   0.000";"1927.926";"   0.000";"1638.347";"1400.011";"1355.543";"1519.796";"1439.423";"3550.849";"   0.000";"1327.521";"   0.000";"4213.760";"2162.991";"3272.376";"   0.000";"3153.610";"   0.000";"   0.000";"   0.000";"2212.958"
"10am";"2127.036";"6709.247";"2328.076";"1394.382";"2440.155";"3642.287";"4240.810";"2355.021";"1554.976";" 976.907";" 860.333";" 641.730";"2257.710";"1809.032";"3138.478";"1038.323";" 855.955";"   0.000";"   0.000";"1039.874";"1640.907";" 645.815";"1238.987";"2032.240";"1041.941";"   0.000";"1270.812";"   0.000";"   0.000";"1929.259";"4328.090";"   0.000";"   0.000";"   0.000";"6986.832";"1996.446";"1117.799";"2205.770";"2251.573";"   0.000";"1594.344";"1055.964";"   0.000";"   0.000";"1422.879";"1022.690";"1259.153";"2744.082";"1125.536";"   0.000";" 906.571";" 928.305";"   0.000";"   0.000";"3817.500";"1043.672";" 895.955";"3102.724";"2234.713";"1381.555";"2428.413";"4470.965";"   0.000";"   0.000";" 650.067";"3087.597";"   0.000";"4111.998";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"0";"1235.679";"9505.906";"2458.282";"2119.272";"1404.695";"   0.000";"   0.000";"0";" 688.628";"   0.000";"1596.947";" 779.135";"1829.624";"1508.015";"1468.630";"1591.971";"1676.335";"3615.543";"   0.000";"1080.536";"   0.000";"4457.538";"2798.133";"3444.866";"   0.000";"3884.790";"   0.000";"   0.000";"   0.000";"2130.916"
"11am";"2320.140";"5671.877";"2329.750";"1344.592";"2136.438";"3202.278";"4406.230";"1712.793";"1598.321";" 874.530";" 749.741";" 619.051";"2312.227";"1480.948";"2655.145";" 952.108";" 856.605";"   0.000";"   0.000";" 981.971";"1635.793";" 655.813";"1180.044";"1807.622";" 882.126";"   0.000";"1055.798";"   0.000";"   0.000";"1769.285";"4461.319";"   0.000";"   0.000";"   0.000";"6295.856";"1597.700";"   0.000";"2140.089";"2501.439";"   0.000";"1322.293";"   0.000";" 546.924";"   0.000";"1422.879";" 779.204";"1415.214";"2360.446";"1004.611";"   0.000";" 906.571";"   0.000";"   0.000";"   0.000";"4038.923";"1188.205";"   0.000";"3168.378";"1938.600";"1083.954";"2245.088";"3668.788";"   0.000";"   0.000";" 602.272";"2923.005";"   0.000";"3781.764";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"0";"1453.871";"9214.735";"2360.696";"1966.367";"1111.375";"   0.000";"   0.000";"0";" 638.749";"   0.000";"1585.561";"   0.000";"1473.313";"1147.199";"1783.839";"1644.156";"   0.000";"3295.118";"   0.000";" 867.010";"   0.000";"3365.530";"2654.345";"3077.308";" 937.832";"3354.299";"   0.000";"   0.000";"   0.000";"2125.416"
