"district","hour","age1","age2","age3","age4"
"001","4am",12.414583,12.837702,44.22857,30.51914
"002","4am",10.027003,12.374273,52.07404,25.52468
"003","4am",8.472066,5.92854,37.75672,47.84268
"004","4am",12.818999,13.718936,33.46631,39.99576
"005","4am",10.744947,19.862881,43.75727,25.6349
"006","4am",10.678175,12.649133,47.03024,29.64245
"007","4am",12.206911,11.768515,47.29139,28.73318
"008","4am",10.153161,9.286089,47.7275,32.83325
"009","4am",14.361678,15.172455,42.75511,27.71076
"010","4am",7.780665,12.912963,40.98783,38.31854
"011","4am",7.130516,12.540416,34.9938,45.33527
"012","4am",10.39274,12.582964,41.02213,36.00217
"013","4am",16.758612,6.384179,44.72756,32.12965
"014","4am",11.161021,11.555375,57.55215,19.73146
"015","4am",9.206236,15.593819,47.55799,27.64195
"016","4am",9.710669,6.680131,48.88547,34.72373
"017","4am",8.35676,12.386099,49.92684,29.3303
"018","4am",10.529237,8.30373,47.2439,33.92313
"019","4am",11.614582,12.901453,45.26134,30.22263
"020","4am",14.175396,10.733018,50.23814,24.85345
"021","4am",5.191174,5.412666,45.27852,44.11764
"022","4am",23.865624,6.471497,33.28044,36.38244
"023","4am",18.618994,14.185212,45.02593,22.16987
"024","4am",5.546098,11.006628,45.12898,38.31829
"025","4am",14.063387,9.587269,45.20683,31.14251
"026","4am",11.973888,9.812758,49.42405,28.78931
"027","4am",15.633675,10.252185,51.28455,22.82959
"028","4am",9.065323,3.991683,37.74009,49.2029
"029","4am",9.380715,11.301157,48.6046,30.71353
"030","4am",9.609726,9.677251,55.33991,25.37311
"031","4am",14.724197,13.821199,49.64741,21.8072
"032","4am",9.684867,8.260302,54.83395,27.22088
"033","4am",12.386241,7.603817,46.44829,33.56165
"034","4am",13.61135,5.613984,46.71106,34.06361
"035","4am",10.348978,10.346615,63.56412,15.74028
"036","4am",12.911814,12.08657,50.33304,24.66858
"037","4am",8.744765,12.708903,44.52148,34.02485
"038","4am",9.618589,6.897521,47.79429,35.6896
"039","4am",11.659392,6.181305,40.58514,41.57416
"040","4am",14.880793,4.740318,53.53607,26.84282
"041","4am",12.53561,8.077438,55.60648,23.78048
"042","4am",15.333001,9.009033,55.23446,20.4235
"043","4am",8.54318,8.345301,63.12678,19.98474
"044","4am",12.267614,5.665026,55.29189,26.77548
"045","4am",9.112358,7.251134,65.51056,18.12594
"046","4am",7.005434,8.80689,57.79364,26.39404
"047","4am",8.539728,10.404548,46.7757,34.28003
"048","4am",8.406717,13.268694,40.80515,37.51944
"049","4am",4.273456,6.073458,41.18252,48.47056
"050","4am",11.848929,10.611913,46.63322,30.90594
"051","4am",7.037278,9.128165,44.05947,39.77508
"052","4am",5.321475,8.727724,63.57995,22.37085
"053","4am",9.868407,9.969381,61.3127,18.84951
"054","4am",9.281961,12.978644,46.54863,31.19077
"055","4am",13.582127,12.368957,54.89338,19.15554
"056","4am",12.767426,6.705994,51.68606,28.84052
"057","4am",14.491615,10.800817,48.97776,25.72981
"058","4am",7.359153,13.668697,52.54993,26.42222
"059","4am",10.37716,6.75671,40.34157,42.52456
"060","4am",15.636315,7.103172,48.5074,28.75311
"061","4am",4.132317,11.607227,50.88441,33.37605
"062","4am",12.248921,7.441633,59.52056,20.78889
"063","4am",6.13862,12.557434,56.15818,25.14577
"064","4am",12.660457,6.768774,46.91081,33.65996
"065","4am",6.979818,4.134852,46.29162,42.59371
"066","4am",9.658967,11.222324,33.45947,45.65924
"067","4am",4.391425,2.841963,35.64926,57.11735
"068","4am",6.368812,8.073957,46.71162,38.84562
"069","4am",0,0,24.69985,75.30015
"070","4am",NA,NA,NA,NA
"071","4am",0,0,100,0
"072","4am",NA,NA,NA,NA
"073","4am",NA,NA,NA,NA
"074","4am",7.807205,3.505623,68.06605,20.62112
"075","4am",9.701048,6.043187,65.58362,18.67215
"076","4am",18.729835,7.955827,59.5618,13.75253
"077","4am",20.734775,2.594839,63.03133,13.63906
"078","4am",14.978524,13.390319,45.56943,26.06173
"079","4am",8.802804,8.330532,40.25816,42.6085
"080","4am",0,40.09268,0,59.90732
"081","4am",0,100,0,0
"082","4am",8.423688,2.490056,60.06812,29.01814
"083","4am",11.003261,12.568089,43.44737,32.98128
"084","4am",3.612393,11.989485,58.17284,26.22528
"085","4am",8.728386,16.083105,46.69701,28.49149
"086","4am",8.193665,11.706221,53.5299,26.57021
"087","4am",11.62171,18.801571,51.02107,18.55565
"088","4am",12.412316,7.731991,57.02984,22.82585
"089","4am",12.650924,13.419445,55.85718,18.07245
"090","4am",12.768247,6.813485,53.62082,26.79745
"091","4am",14.762316,8.621778,52.96084,23.65507
"092","4am",6.846637,7.784,47.9596,37.40977
"093","4am",7.130743,7.522981,58.81546,26.53082
"094","4am",7.949369,7.324454,50.72341,34.00277
"095","4am",7.458037,12.07054,41.42446,39.04696
"096","4am",15.294816,14.208009,37.81665,32.68053
"097","4am",4.966922,5.059429,46.79864,43.17501
"098","4am",4.662059,6.853819,46.88708,41.59704
"099","4am",2.523734,6.239178,42.71686,48.52023
"100","4am",2.385621,7.052685,35.76516,54.79653
"101","4am",NA,NA,NA,NA
"102","4am",NA,NA,NA,NA
"103","4am",0,0,100,0
"104","4am",8.198205,8.242713,46.23435,37.32473
"001","5am",12.692582,13.125176,42.97969,31.20256
"002","5am",9.740885,12.928593,52.53418,24.79634
"003","5am",8.398078,5.876766,38.3003,47.42486
"004","5am",12.656165,13.54467,34.31145,39.48771
"005","5am",11.348997,19.863005,43.15294,25.63506
"006","5am",10.563713,13.532017,46.57956,29.32471
"007","5am",12.091805,11.657542,47.78841,28.46224
"008","5am",10.212632,9.34048,47.42133,33.02556
