"district","hour","cleduc1","cleduc2","cleduc3","cleduc4"
"001","4am",521.019,1409.538,455.522,985.119
"002","4am",276.525,1392.406,975.182,1765.365
"003","4am",1525.377,2783.553,1513.101,2177.85
"004","4am",479.337,1737.601,1205.764,1425.143
"005","4am",763.688,1981.987,1241.926,2095.085
"006","4am",684.315,1867.394,1963.095,1519.228
"007","4am",619.413,2265.765,1063.379,1533.374
"008","4am",859.206,2874.824,1497.385,2877.444
"009","4am",1088.453,2131.296,1154.047,703.576
"010","4am",400.481,909.862,947.488,1491.266
"011","4am",496.359,2535.172,1172.204,2112.185
"012","4am",762.624,2324.589,1008.377,1532.95
"013","4am",1095.49,4626.028,1487.467,2301.348
"014","4am",577.408,2834.668,390.211,607.819
"015","4am",1051.415,2180.729,1197.279,2122.578
"016","4am",484.653,1751.497,1122.568,2725.879
"017","4am",811.121,1536.418,804.309,1118.216
"018","4am",661.92,2258.482,703.381,1495.347
"019","4am",1617.678,1761.579,1185.036,2927.71
"020","4am",688.46,1635.862,1189.202,734.53
"021","4am",635.873,1113.808,820.138,2004.169
"022","4am",367.56,1766.168,1143.769,642.968
"023","4am",1446.59,2975.77,1215.744,194.988
"024","4am",845.684,1278.765,1224.301,3068.104
"025","4am",702.555,1520.959,2078.484,2371.527
"026","4am",1143.034,2263.044,1028.212,2038.715
"027","4am",544.711,2215.351,1208.869,2386.547
"028","4am",524.278,1817.86,1295.427,1889.027
"029","4am",304.621,1704.755,2221.989,2176.173
"030","4am",1036.915,1802.08,731.417,817.131
"031","4am",1291.511,3616.384,723.317,448.199
"032","4am",1361.259,1625.137,1532.473,1614.5
"033","4am",952.733,1920.99,1146.032,561.16
"034","4am",526.944,913.124,790.942,594.125
"035","4am",534.213,1421.592,2578.188,1588.981
"036","4am",1003.5,2988.635,1235.511,1566.979
"037","4am",1117.045,2072.807,1613.7,1601.508
"038","4am",342.217,1413.034,1261.62,940.285
"039","4am",564.054,2566,703.379,2723.06
"040","4am",691.096,1321.185,984.52,1058.102
"041","4am",654.99,2579.908,1251.614,620.65
"042","4am",717.835,1966.657,421.19,315.86
"043","4am",928.705,4159.885,1305.232,958.271
"044","4am",346.933,2059.634,921.71,800.221
"045","4am",356.202,2096.459,1174.819,1853.339
"046","4am",865.17,2755.384,2392.785,2159.332
"047","4am",497.151,2572.766,1380.405,1496.296
"048","4am",976.182,2422.594,1260.474,1293.966
"049","4am",1691.719,4160.771,1063.074,2019.005
"050","4am",2454.966,3482.327,1383.413,632.523
"051","4am",1503.033,3110.841,1628.378,1463.664
"052","4am",1555.77,2663.129,1647.403,1527.4
"053","4am",456.818,3833.175,2508.391,858.477
"054","4am",523.223,1987.16,825.406,550.166
"055","4am",1160.727,4358.761,2587.395,1859.03
"056","4am",1516.131,2370.197,1546.651,4605.526
"057","4am",1238.997,3276.772,931.377,3388.573
"058","4am",436.167,2245.218,1724.249,2854.136
"059","4am",915.454,3302.43,846.103,936.945
