"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018";"019";"020";"021";"022";"023";"024";"025";"026";"027";"028";"029";"030";"031"
"min";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"max";"11085.47946";"11085.47946";"11085.47946";"11085.47946";"11085.47946";"11085.47946";"11085.47946";"11085.47946";"11085.47946";"11085.47946";"11085.47946";"11085.47946";"11085.47946";"11085.47946";"11085.47946";"11085.47946";"11085.47946";"11085.47946";"11085.47946";"11085.47946";"11085.47946";"11085.47946";"11085.47946";"11085.47946";"11085.47946";"11085.47946";"11085.47946";"11085.47946";"11085.47946";"11085.47946";"11085.47946"
"4am";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"5am";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"6am";" 0.00000";" 0.00000";" 0.00000";" 0.00000";" 0.00000";"40.32428";" 0.00000";" 0.00000";" 0.00000";" 0.00000";" 0.00000";" 0.00000";" 0.00000";"93.69782";" 0.00000";" 0.00000";" 0.00000";" 0.00000";"23.26689";" 0.00000";" 0.00000";" 0.00000";" 0.00000";" 0.00000";" 0.00000";" 0.00000";" 0.00000";" 0.00000";" 0.00000";" 0.00000";" 0.00000"
"7am";"   0.00000";" 550.60791";"1758.65899";" 322.12117";" 568.02370";"  40.32428";" 106.15210";"  36.02413";" 604.01877";"  28.77541";" 314.12448";"  14.33163";"   0.00000";"1247.49788";"   0.00000";"   0.00000";"   0.00000";"   0.00000";" 262.37353";" 186.23399";"   0.00000";" 145.18548";"  39.33864";"   0.00000";"  40.32428";"   0.00000";"  20.77393";"  25.96175";" 283.08591";"   0.00000";"   0.00000"
"8am";"  31.65401";"1364.25058";"2591.86142";" 673.25362";" 723.80894";"  54.65591";" 227.06841";" 123.47797";" 872.55707";" 162.72278";" 401.11714";"  82.65685";"   0.00000";"1697.30753";"   0.00000";"  90.19787";"   0.00000";"   0.00000";" 386.13039";" 486.34709";"   0.00000";" 582.62278";"  39.33864";"   0.00000";"  96.70523";"   0.00000";"  20.77393";" 272.98874";" 193.60206";"  64.13754";"   0.00000"
"9am";"  31.65401";"1608.78803";"2711.36553";" 725.27991";" 723.80894";"  54.65591";" 266.11448";" 123.47797";"1056.40839";" 189.18312";" 401.11714";"  82.65685";"   0.00000";"1726.86938";"   0.00000";"  90.19787";"   0.00000";"   0.00000";" 386.13039";" 486.34709";"   0.00000";" 582.62278";"  39.33864";"   0.00000";"  96.70523";"   0.00000";"  20.77393";" 272.98874";" 193.60206";"  64.13754";"   0.00000"
"10am";"  31.65401";"1716.65968";"2724.45135";" 705.76875";" 662.85758";"  54.65591";" 292.55676";" 123.47797";"1003.48771";" 189.18312";" 401.11714";"  82.65685";"   0.00000";"1601.43358";"   0.00000";"  90.19787";"   0.00000";"   0.00000";" 386.13039";" 516.24615";"   0.00000";" 653.09292";"  39.33864";"   0.00000";"  96.70523";"   0.00000";"  20.77393";" 272.98874";" 193.60206";"  64.13754";"   0.00000"
"11am";"  31.65401";"1623.95732";"2652.26490";" 626.18605";" 631.20357";"  54.65591";" 292.55676";" 123.47797";" 957.20181";" 189.18312";" 380.57959";"  82.65685";"   0.00000";"1527.80084";"   0.00000";"  90.19787";"   0.00000";"   0.00000";" 386.13039";" 516.24615";"   0.00000";" 588.92106";"  39.33864";"   0.00000";"  96.70523";"   0.00000";"  20.77393";" 272.98874";" 283.08591";"  64.13754";"   0.00000"
"12am";"  31.65401";"1226.51522";"2056.78093";" 341.71621";" 397.25487";"  54.65591";" 178.70956";"  36.02413";" 624.30362";" 127.71580";" 343.68633";"  68.32522";"   0.00000";" 985.21029";"   0.00000";"   0.00000";"   0.00000";"   0.00000";" 262.00985";" 440.06461";"   0.00000";" 588.92106";"   0.00000";"   0.00000";"  96.70523";"   0.00000";"  20.77393";" 232.20466";" 283.08591";"  64.13754";"   0.00000"
"1pm";"  71.82704";"1301.18874";"2411.19322";" 442.39789";" 449.64049";"  54.65591";" 178.70956";"  36.02413";" 677.58857";" 147.70115";" 343.68633";" 131.59005";"  30.99808";"1527.36200";"   0.00000";"  90.19787";"   0.00000";"   0.00000";" 300.79480";" 440.06461";"   0.00000";" 653.09292";"   0.00000";"   0.00000";"  96.70523";"   0.00000";"  20.77393";" 272.98874";" 283.08591";"  64.13754";"   0.00000"
"2pm";"  71.82704";"1136.20094";"2565.29381";" 529.05100";" 449.64049";"  54.65591";" 238.66323";" 123.47797";" 853.67037";" 189.18312";" 401.11714";"  63.26483";"  30.99808";"1495.90043";"   0.00000";"  90.19787";"   0.00000";"   0.00000";" 316.25805";" 584.57137";"   0.00000";" 653.09292";"   0.00000";"   0.00000";"  96.70523";"   0.00000";"  20.77393";" 272.98874";" 283.08591";"  64.13754";"   0.00000"
"3pm";" 177.97914";" 977.27889";"2308.18337";" 580.32052";" 449.64049";"  54.65591";" 269.19342";" 123.47797";" 899.95627";" 189.18312";" 329.02881";"  63.26483";"  30.99808";"1371.12520";"   0.00000";"  90.19787";"   0.00000";"   0.00000";" 316.25805";" 584.57137";"   0.00000";" 631.36596";"  39.33864";"   0.00000";"  96.70523";"   0.00000";"  20.77393";" 247.28570";" 193.60206";"  64.13754";"   0.00000"
"4pm";" 177.97914";" 741.40059";"1558.46382";" 247.21195";" 330.50638";"  54.65591";" 163.12457";" 123.47797";" 645.32628";" 189.18312";" 329.02881";"  14.33163";"   0.00000";"1091.99147";"   0.00000";"   0.00000";"   0.00000";"   0.00000";" 209.51490";" 496.82527";"   0.00000";" 386.60386";"  39.33864";"   0.00000";"  30.53019";"   0.00000";"   0.00000";"  25.96175";"  83.12156";"  64.13754";"   0.00000"
"5pm";"177.97914";"411.03927";"625.31134";"205.27711";"225.20088";"  0.00000";" 56.97247";" 87.45384";"112.81930";" 98.94039";"  0.00000";"  0.00000";"  0.00000";"605.79336";"  0.00000";"  0.00000";"  0.00000";"  0.00000";" 38.73014";"107.97858";"  0.00000";"  0.00000";" 39.33864";"  0.00000";"  0.00000";"  0.00000";"  0.00000";"  0.00000";"  0.00000";" 64.13754";"  0.00000"
"6pm";"  0.00000";"248.97906";"115.78705";"  0.00000";" 61.57074";"  0.00000";"  0.00000";" 87.45384";"  0.00000";"  0.00000";"  0.00000";"  0.00000";"  0.00000";"256.06419";"  0.00000";"  0.00000";"  0.00000";"  0.00000";"  0.00000";" 29.89906";"  0.00000";"  0.00000";" 39.33864";"  0.00000";"  0.00000";"  0.00000";"  0.00000";"  0.00000";"  0.00000";"  0.00000";"  0.00000"
"7pm";" 0.00000";" 0.00000";"52.47903";" 0.00000";" 0.00000";" 0.00000";" 0.00000";" 0.00000";" 0.00000";" 0.00000";" 0.00000";" 0.00000";" 0.00000";"26.46034";" 0.00000";" 0.00000";" 0.00000";" 0.00000";" 0.00000";"29.89906";" 0.00000";" 0.00000";" 0.00000";" 0.00000";" 0.00000";" 0.00000";" 0.00000";" 0.00000";" 0.00000";" 0.00000";" 0.00000"
"8pm";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"109.4107";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000"
"9pm";" 0.00000";" 0.00000";" 0.00000";" 0.00000";" 0.00000";" 0.00000";" 0.00000";" 0.00000";" 0.00000";" 0.00000";" 0.00000";" 0.00000";" 0.00000";"82.95037";" 0.00000";" 0.00000";" 0.00000";" 0.00000";" 0.00000";" 0.00000";" 0.00000";" 0.00000";" 0.00000";" 0.00000";" 0.00000";" 0.00000";" 0.00000";" 0.00000";" 0.00000";" 0.00000";" 0.00000"
"10pm";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"11pm";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"12pm";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
