"variable","CODE_SEC","RES_SEC","W_IND"
"h9","001","002",91.82992
"h9","001","004",25.07964
"h9","001","005",122.65364
"h9","001","007",30.70728
"h9","001","008",49.24219
"h9","001","011",55.68105
"h9","001","013",18.39082
"h9","001","014",47.90214
"h9","001","023",43.2703
"h9","020","001",64.93365
"h9","020","005",26.56831
"h9","020","006",50.79335
"h9","020","007",109.48556
"h9","020","008",22.57192
"h9","020","009",119.53152
"h9","020","010",21.34253
"h9","020","011",124.55429
"h9","020","012",308.50038
"h9","020","013",92.83274
"h9","020","014",57.4169
"h9","020","016",21.18622
"h9","020","017",133.64644
"h9","020","018",37.53962
"h9","020","019",111.31277
"h9","020","021",102.76752
"h9","020","022",163.01305
"h9","020","024",138.93074
"h9","020","027",241.91087
"h9","020","028",67.47786
"h9","020","029",163.48412
"h9","020","030",136.67288
"h10","001","002",99.8466
"h10","001","003",154.33501
"h10","001","004",83.69274
"h10","001","005",98.74746
"h10","001","006",54.46241
"h10","001","007",19.86176
"h10","001","008",121.35449
"h10","001","009",70.58781
"h10","001","011",89.79692
"h10","001","015",17.62445
"h10","001","017",45.45767
"h10","001","018",76.70233
"h10","001","019",18.96727
"h10","001","023",43.2703
"h10","001","025",59.74226
"h10","001","028",30.40871
"h10","001","031",69.6968
"h10","020","001",26.2924
"h10","020","004",85.13666
"h10","020","005",51.09474
"h10","020","006",48.20744
"h10","020","007",163.05222
"h10","020","008",59.02139
"h10","020","009",138.50504
"h10","020","010",171.34024
"h10","020","011",153.60762
"h10","020","012",192.6462
"h10","020","013",71.94158
"h10","020","014",131.79846
"h10","020","017",100.30464
"h10","020","019",39.80754
"h10","020","021",67.79849
"h10","020","022",246.01116
"h10","020","024",300.28218
"h10","020","026",129.4902
"h10","020","027",68.39398
"h10","020","028",126.84325
"h10","020","029",62.42468
"h10","020","030",136.22276
"h11","001","002",49.9233
"h11","001","005",140.24724
"h11","001","006",71.78967
"h11","001","007",19.86176
"h11","001","014",15.61895
"h11","001","015",17.62445
"h11","001","017",40.67506
"h11","001","018",23.00664
"h11","001","023",43.2703
"h11","001","028",30.89121
"h11","001","031",69.6968
"h11","020","004",91.54479
"h11","020","005",131.8327
"h11","020","006",125.9647
"h11","020","007",162.05122
"h11","020","008",59.02139
"h11","020","012",122.27718
"h11","020","013",39.01274
"h11","020","014",156.37004
"h11","020","015",96.85608
"h11","020","017",59.62958
"h11","020","018",54.32774
"h11","020","021",150.67361
"h11","020","022",152.64893
"h11","020","024",217.33181
"h11","020","026",65.21238
"h11","020","028",55.81237
"h12","020","001",59.83473
"h12","020","003",68.61728
"h12","020","004",115.28207
"h12","020","005",131.8327
"h12","020","006",125.9647
"h12","020","007",143.2483
"h12","020","008",36.44947
"h12","020","013",21.29294
"h12","020","014",57.78234
"h12","020","019",23.81759
"h12","020","021",123.04857
"h12","020","022",63.57062
"h12","020","024",63.24076
"h12","020","025",74.09994
"h12","020","026",32.13891
"h12","020","028",55.81237
"h12","020","031",150.78574
"h13","020","001",33.54233
"h13","020","002",38.20415
"h13","020","004",56.47079
"h13","020","005",88.04029
"h13","020","006",49.3047
"h13","020","007",121.26363
"h13","020","009",74.1813
"h13","020","010",27.82636
"h13","020","012",23.519
"h13","020","013",42.1841
"h13","020","014",209.21768
"h13","020","015",25.85076
"h13","020","016",44.95496
"h13","020","017",67.33949
"h13","020","019",16.55421
"h13","020","021",49.7537
"h13","020","023",40.18355
"h13","020","024",78.40107
"h13","020","028",91.51233
"h13","020","030",80.00445
"h13","020","031",226.73288
"h14","001","004",127.37514
"h14","001","007",25.13089
"h14","001","008",63.11528
"h14","001","013",15.33904
"h14","001","015",35.2489
"h14","001","016",88.6276
"h14","001","027",105.12291
"h14","001","028",61.29992
"h14","014","008",87.68118
"h14","014","013",47.7294
"h14","014","018",79.13561
"h14","014","023",83.81659
"h14","014","025",79.0718
"h14","014","031",140.84296
"h14","020","001",33.54233
"h14","020","002",80.11077
