"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018";"019";"020";"021";"022";"023";"024";"025";"026";"027";"028";"029";"030";"031"
"min";"44.41341";"44.41341";"44.41341";"44.41341";"44.41341";"44.41341";"44.41341";"44.41341";"44.41341";"44.41341";"44.41341";"44.41341";"44.41341";"44.41341";"44.41341";"44.41341";"44.41341";"44.41341";"44.41341";"44.41341";"44.41341";"44.41341";"44.41341";"44.41341";"44.41341";"44.41341";"44.41341";"44.41341";"44.41341";"44.41341";"44.41341"
"max";"7802.46893";"7802.46893";"7802.46893";"7802.46893";"7802.46893";"7802.46893";"7802.46893";"7802.46893";"7802.46893";"7802.46893";"7802.46893";"7802.46893";"7802.46893";"7802.46893";"7802.46893";"7802.46893";"7802.46893";"7802.46893";"7802.46893";"7802.46893";"7802.46893";"7802.46893";"7802.46893";"7802.46893";"7802.46893";"7802.46893";"7802.46893";"7802.46893";"7802.46893";"7802.46893";"7802.46893"
"4am";"1750.828";"3925.649";"3587.484";"2035.305";"4262.498";"4143.874";"1928.520";"2141.630";"3091.191";"2786.467";"2227.777";"2958.132";"1425.214";"1993.693";"1699.182";"2436.509";"2283.078";"2210.585";"1780.513";"2036.348";"4164.483";"5274.785";"3736.351";"4922.890";"5783.086";"4232.584";"5367.821";"3835.201";"5455.901";"5845.017";"4952.197"
"5am";"1736.367";"3795.539";"3652.261";"2035.305";"4097.311";"4143.874";"1991.993";"2063.343";"3031.814";"2758.165";"2255.524";"2958.132";"1386.506";"2408.533";"1735.556";"2381.680";"2351.556";"2134.846";"1925.614";"2259.174";"4030.672";"5202.082";"3736.351";"4868.069";"5656.648";"4185.375";"5292.546";"3741.700";"5333.090";"5723.916";"4952.197"
"6am";"1743.509";"3533.361";"3723.951";"1934.200";"4081.759";"4019.842";"2119.549";"2085.180";"2965.275";"2618.743";"2261.241";"2804.575";"1329.431";"2540.112";"1649.624";"2244.865";"2343.689";"1905.310";"2035.172";"2334.619";"3516.476";"5091.953";"3546.258";"4755.956";"5413.262";"3896.411";"5092.464";"3754.326";"5199.296";"5616.459";"4794.768"
"7am";"1805.638";"3499.324";"4720.415";"2265.485";"4215.667";"2600.583";"1994.491";"2082.301";"2971.206";"2669.871";"2197.806";"2895.424";"1331.397";"3647.177";"1522.258";"1775.083";"2117.075";"1430.476";"2337.768";"3554.658";"2893.451";"3948.394";"3131.102";"4036.687";"4452.579";"2796.143";"3856.194";"3403.169";"4014.024";"5285.102";"4164.577"
"8am";"2534.976";"3405.486";"5733.207";"2420.679";"3539.967";"2079.118";"2129.298";"2301.144";"2752.586";"2593.254";"1912.291";"2933.539";"1355.257";"5966.097";"1532.583";"1417.750";"1333.854";"1290.494";"3063.683";"5634.965";"2669.617";"3499.423";"2733.448";"3895.712";"3989.200";"2378.105";"2721.553";"3019.409";"3406.725";"4469.940";"4063.605"
"9am";"2944.259";"3419.314";"6076.813";"2314.259";"3560.292";"1839.266";"2179.253";"2381.962";"2665.401";"2617.175";"2076.636";"2893.028";"1249.741";"6083.072";"1687.273";"1256.794";"1257.484";"1016.512";"2827.347";"7272.641";"2424.957";"3107.513";"2408.534";"3571.092";"3850.975";"2108.350";"2165.739";"3066.710";"2825.139";"4850.337";"3979.867"
"10am";"3296.937";"3259.588";"5895.811";"2626.376";"3209.741";"1984.169";"2186.796";"2400.236";"2505.434";"2251.350";"2002.234";"3037.545";"1280.600";"5884.617";"1637.798";"1180.202";"1302.132";"1315.828";"2824.218";"7802.469";"2442.034";"3222.359";"2445.339";"3266.133";"3294.401";"2499.498";"2167.193";"3061.904";"3115.129";"4603.551";"3631.647"
"11am";"3397.848";"3438.080";"5314.461";"2382.639";"3283.158";"1858.617";"2079.985";"2227.040";"2720.656";"2227.448";"2112.185";"3108.060";"1360.796";"5971.491";"1159.002";"1318.108";"1344.580";"1561.870";"2620.512";"7332.155";"2550.673";"3258.871";"2230.885";"3470.971";"3645.180";"2204.957";"2500.340";"3275.149";"3158.208";"4466.289";"3760.348"
"12am";"3562.828";"3237.736";"5005.646";"2261.380";"3402.053";"2074.190";"2264.350";"2390.360";"2871.216";"2262.294";"2078.705";"2771.213";"1546.488";"5216.963";"1498.098";"1464.005";"1692.732";"1460.389";"2256.060";"6839.246";"2775.494";"3459.052";"2565.656";"3306.296";"3703.537";"2229.421";"2895.099";"3336.715";"3550.361";"4642.371";"3760.348"
