"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018";"019";"020";"021";"022";"023";"024";"025";"026";"027";"028";"029";"030";"031"
"min";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"max";"4403.12669";"4403.12669";"4403.12669";"4403.12669";"4403.12669";"4403.12669";"4403.12669";"4403.12669";"4403.12669";"4403.12669";"4403.12669";"4403.12669";"4403.12669";"4403.12669";"4403.12669";"4403.12669";"4403.12669";"4403.12669";"4403.12669";"4403.12669";"4403.12669";"4403.12669";"4403.12669";"4403.12669";"4403.12669";"4403.12669";"4403.12669";"4403.12669";"4403.12669";"4403.12669";"4403.12669"
"4am";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";"0";" 0";"0";" 0";" 0";"0";" 0";" 0";" 0";" 0";"0";"0";"0";" 0";"0";"0";"0";"0";"0";" 0";"0"
"5am";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"0";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"0";"489.3468";"  0.0000";"0";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"0";"  0.0000";"0";"  0.0000";"  0.0000";"0";"0";"  0.0000";"  0.0000";"  0.0000";"0"
"6am";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"0";"767.2309";"  0.0000";"0";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"0";"  0.0000";"0";"  0.0000";"  0.0000";"0";"0";"  0.0000";"  0.0000";"  0.0000";"0"
"7am";"   0.0000";"   0.0000";" 734.2373";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"1557.0229";"   0.0000";"   0.0000";"   0.0000";"   0.0000";" 966.1219";" 907.8954";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000"
"8am";" 597.5950";"   0.0000";"1052.1651";"   0.0000";"   0.0000";"   0.0000";" 553.2196";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"2057.0505";"   0.0000";"   0.0000";"   0.0000";"   0.0000";" 942.7834";"2233.7230";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";" 661.4532";"   0.0000";" 684.6171";"   0.0000"
"9am";"1023.3874";"   0.0000";"1468.5306";"   0.0000";"   0.0000";"   0.0000";" 565.0367";"   0.0000";" 683.6875";"   0.0000";" 400.8576";"   0.0000";"   0.0000";"2759.5158";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"1276.0621";"3410.5068";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";" 866.4576";"   0.0000";"1108.2666";"   0.0000"
"10am";"1197.0352";"   0.0000";"1379.4088";"   0.0000";" 484.4030";"   0.0000";" 721.5801";"   0.0000";" 625.8679";"   0.0000";" 456.4985";" 580.8084";"   0.0000";"2835.9884";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"1167.4279";"3171.4283";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";" 984.3051";"   0.0000";"1077.4156";"   0.0000"
"11am";"1141.2655";"   0.0000";"1016.1317";"   0.0000";"   0.0000";"   0.0000";" 826.2745";"   0.0000";" 603.7402";"   0.0000";"   0.0000";" 498.2238";"   0.0000";"2380.1179";"   0.0000";"   0.0000";"   0.0000";"   0.0000";" 913.5296";"2808.1694";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"1002.0421";"   0.0000"
"12am";"1078.4473";"   0.0000";"1113.9337";"   0.0000";"   0.0000";"   0.0000";" 612.5693";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"2073.8630";"   0.0000";"   0.0000";"   0.0000";"   0.0000";" 645.0260";"2507.0196";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";" 915.4578";"   0.0000"
"1pm";" 525.6078";" 475.4203";" 917.7671";"   0.0000";" 458.6442";"   0.0000";" 524.6483";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"2724.2100";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"1208.6615";"3060.6869";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";" 887.4655";"   0.0000"
"2pm";" 493.9916";" 551.6630";"1063.0018";" 920.3014";"   0.0000";"   0.0000";" 843.1740";"   0.0000";" 481.5743";"   0.0000";" 563.1892";"   0.0000";"   0.0000";"2931.5819";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"1213.1455";"3774.5634";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"1055.5848";"   0.0000"
"3pm";" 648.6545";" 427.8037";" 986.8912";"   0.0000";" 518.9144";" 540.7555";" 724.1651";"   0.0000";" 581.8310";"   0.0000";" 558.2725";"   0.0000";"   0.0000";"2784.6150";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"1206.8052";"4403.1267";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";" 869.4698";"   0.0000"
"4pm";" 708.9256";" 494.7129";" 520.2237";"   0.0000";" 573.2480";"   0.0000";" 601.5847";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"1629.3837";"   0.0000";"   0.0000";"   0.0000";"   0.0000";" 934.5559";"3306.1056";"0";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";" 911.6610";"   0.0000"
"5pm";" 564.8061";"   0.0000";" 527.5563";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"1116.6899";"   0.0000";"   0.0000";"   0.0000";"   0.0000";" 539.9403";"2255.7115";"0";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000"
