"variable","CODE_SEC","RES_SEC","W_IND"
"h7","003","004",82.9021
"h7","003","006",175.05291
"h7","003","007",87.31398
"h7","003","013",21.28338
"h7","003","016",17.70149
"h7","003","019",16.8052
"h7","003","023",62.70397
"h7","003","027",148.54373
"h7","014","001",32.84727
"h7","014","004",20.07524
"h7","014","005",105.76686
"h7","014","007",43.65699
"h7","014","009",66.5656
"h7","014","010",34.07
"h7","014","012",45.29146
"h7","014","015",36.517
"h7","014","016",88.14477
"h7","014","017",24.69051
"h7","014","020",27.74702
"h7","014","025",64.90199
"h7","014","028",66.10867
"h7","014","029",62.42468
"h7","020","002",41.90662
"h7","020","003",130.55928
"h7","020","013",21.28338
"h7","020","019",27.91818
"h7","020","022",79.4755
"h7","020","024",120.55839
"h7","020","026",79.41012
"h7","020","028",66.10867
"h7","020","029",76.00723
"h8","001","002",72.14754
"h8","001","004",108.02773
"h8","001","005",51.09474
"h8","001","006",122.79084
"h8","001","013",21.29294
"h8","001","014",55.78643
"h8","001","016",117.23353
"h8","001","017",73.67062
"h8","001","020",106.0304
"h8","001","024",55.05354
"h8","001","030",121.1015
"h8","003","001",27.26023
"h8","003","004",109.92575
"h8","003","005",164.19918
"h8","003","006",289.56297
"h8","003","007",87.31398
"h8","003","010",91.96526
"h8","003","011",29.05333
"h8","003","013",54.28825
"h8","003","016",17.70149
"h8","003","017",67.87895
"h8","003","020",59.34714
"h8","003","022",73.93474
"h8","003","023",62.70397
"h8","003","025",118.6704
"h8","003","026",33.59944
"h8","003","027",148.54373
"h8","003","028",126.25467
"h8","014","001",83.27629
"h8","014","003",156.99608
"h8","014","004",45.45149
"h8","014","005",383.82772
"h8","014","006",291.00144
"h8","014","007",43.65699
"h8","014","009",148.4105
"h8","014","010",34.07
"h8","014","012",45.29146
"h8","014","013",18.73609
"h8","014","015",36.517
"h8","014","016",125.40413
"h8","014","017",51.8944
"h8","014","020",61.11304
"h8","014","022",79.4755
"h8","014","023",132.05972
"h8","014","024",97.49678
"h8","014","025",64.90199
"h8","014","028",96.51738
"h8","014","029",62.42468
"h8","014","030",121.1015
"h8","020","002",41.90662
"h8","020","003",130.55928
"h8","020","009",66.16152
"h8","020","011",26.46034
"h8","020","013",21.28338
"h8","020","014",17.91986
"h8","020","015",19.7557
"h8","020","017",54.40778
"h8","020","019",56.49715
"h8","020","022",152.179
"h8","020","024",120.55839
"h8","020","026",79.41012
"h8","020","027",75.27539
"h8","020","028",66.10867
"h8","020","029",179.06693
"h8","020","030",63.84575
"h9","001","002",72.14754
"h9","001","004",108.02773
"h9","001","005",51.09474
"h9","001","006",122.79084
"h9","001","011",29.05333
"h9","001","013",21.29294
"h9","001","014",103.68857
"h9","001","015",17.62445
"h9","001","016",59.73684
"h9","001","017",73.67062
"h9","001","020",78.28338
"h9","001","024",100.94902
"h9","001","030",121.1015
"h9","003","001",27.26023
"h9","003","004",109.92575
"h9","003","005",122.51453
"h9","003","006",238.03526
"h9","003","007",87.31398
"h9","003","010",122.49542
"h9","003","013",54.28825
"h9","003","016",28.32931
"h9","003","017",152.24648
"h9","003","020",32.55004
"h9","003","022",73.93474
"h9","003","023",106.33701
"h9","003","025",118.6704
"h9","003","026",33.59944
"h9","003","027",273.97953
"h9","003","028",126.25467
"h9","009","002",50.52784
"h9","009","005",75.93988
"h9","009","007",25.13089
"h9","009","008",40.90303
"h9","009","011",86.76729
"h9","009","015",36.60756
"h9","009","017",76.58491
"h9","009","019",16.8052
"h9","009","027",96.57846
"h9","014","001",83.27629
"h9","014","003",156.99608
"h9","014","004",45.45149
"h9","014","005",383.82772
"h9","014","006",291.00144
"h9","014","007",43.65699
"h9","014","009",66.5656
"h9","014","010",34.07
