"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018";"019";"020";"021";"022";"023";"024";"025";"026";"027";"028";"029";"030";"031"
"min";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"max";"48.8602917629643";"48.8602917629643";"48.8602917629643";"48.8602917629643";"48.8602917629643";"48.8602917629643";"48.8602917629643";"48.8602917629643";"48.8602917629643";"48.8602917629643";"48.8602917629643";"48.8602917629643";"48.8602917629643";"48.8602917629643";"48.8602917629643";"48.8602917629643";"48.8602917629643";"48.8602917629643";"48.8602917629643";"48.8602917629643";"48.8602917629643";"48.8602917629643";"48.8602917629643";"48.8602917629643";"48.8602917629643";"48.8602917629643";"48.8602917629643";"48.8602917629643";"48.8602917629643";"48.8602917629643";"48.8602917629643"
"4am";"25.824076";" 9.078347";"11.472324";"21.462567";"18.764309";"34.370618";"14.441585";" 1.138210";"15.819102";" 9.574308";"15.290007";" 2.151094";" 5.161686";"11.200381";"18.837152";"26.397437";"25.086401";" 3.561923";" 7.448531";" 8.166717";" 8.340732";" 6.159911";"20.332238";"13.952429";"10.252948";"12.393965";"11.626312";" 6.291953";" 8.661975";"15.387952";" 9.057048"
"5am";"24.962849";" 9.296045";"11.465411";"21.674657";"19.159607";"34.370618";"14.158107";" 1.159186";"16.260784";" 9.596636";"15.771529";" 1.441228";" 5.294797";"10.855808";"18.635146";"26.785802";"24.882870";" 3.673460";" 8.232220";" 7.460562";" 8.633201";" 6.164198";"20.619449";"13.840522";"10.501301";"12.857344";"11.729883";" 5.524989";" 8.781905";"15.650530";" 9.057048"
"6am";"25.158163";" 8.734146";"10.814761";"22.517267";"20.225699";"31.918599";"13.830451";" 1.166713";"15.854776";" 9.951204";"16.015343";" 1.502033";" 5.451518";"10.490791";"17.607254";"28.040170";"24.127585";" 3.419243";" 8.623934";" 7.282759";" 8.928005";" 6.287293";"17.954463";"13.062812";"10.882495";"12.695614";"12.014363";" 4.932059";" 8.953277";"15.899426";" 9.209657"
"7am";"24.670219";" 6.721157";"11.254992";"20.302454";"19.046091";"31.720382";"10.472732";" 1.158772";"14.101622";"10.751137";"16.033098";" 2.697788";" 5.706835";"10.271815";"15.351552";"22.885756";"22.250708";" 4.252628";"10.685320";" 8.628390";" 8.414339";" 4.080486";"14.515818";"11.920861";"11.601592";"11.866740";"12.851802";" 3.512806";" 8.991868";"14.926825";" 9.989221"
"8am";"21.884717";" 7.473347";"12.517582";"20.682615";"14.046158";"28.252686";" 9.356588";" 3.993341";"12.357917";"12.083694";"17.289771";" 3.961766";" 8.371837";"17.048673";"18.999994";"22.368294";"18.340526";" 8.855187";"14.898956";"10.043355";" 7.651522";" 6.561939";"12.781540";" 9.770364";"11.764599";"12.618584";" 9.724898";" 5.099497";" 6.043148";"12.910427";"10.091861"
"9am";"21.006181";" 7.211586";"13.164357";"19.185005";"13.023694";"27.846474";" 7.771917";" 2.623975";"13.403577";"11.616482";"19.741099";" 4.928521";" 3.849808";"15.267598";"20.985751";"27.071964";"17.820402";" 9.053045";"14.282619";"10.866328";" 7.060212";" 6.069545";"12.648253";" 8.960954";"11.801779";"15.473824";" 8.592700";" 7.010312";" 5.556204";"11.617640";"10.402718"
"10am";"21.672910";" 7.968259";"12.562435";"17.453962";"12.889950";"28.296510";" 8.409701";" 5.244953";"11.940258";"12.515716";"17.698204";" 4.775431";" 8.743173";"15.315031";"22.965907";"25.777654";"13.439695";" 9.876451";"15.854691";"10.449739";" 9.143088";" 5.341641";"14.655724";" 8.579894";" 8.062760";"17.439637";" 8.630718";" 4.653421";" 4.149258";"11.878869";"10.768926"
"11am";"20.965238";" 6.768421";"13.427901";"17.408057";"13.901134";"28.347077";" 8.277973";" 5.504228";"12.007787";" 8.155317";"17.163959";" 4.259264";"14.036949";"19.577890";"22.598294";"22.302105";"15.633909";" 8.368387";"16.270443";"10.311255";" 6.159229";" 5.495397";"11.804811";" 8.920292";"10.370270";"15.686821";" 8.644595";" 3.920963";" 4.134443";"12.291355";"10.690189"
