"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018";"019";"020";"021";"022";"023";"024";"025";"026";"027";"028";"029";"030";"031"
"min";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"max";"10121.46084";"10121.46084";"10121.46084";"10121.46084";"10121.46084";"10121.46084";"10121.46084";"10121.46084";"10121.46084";"10121.46084";"10121.46084";"10121.46084";"10121.46084";"10121.46084";"10121.46084";"10121.46084";"10121.46084";"10121.46084";"10121.46084";"10121.46084";"10121.46084";"10121.46084";"10121.46084";"10121.46084";"10121.46084";"10121.46084";"10121.46084";"10121.46084";"10121.46084";"10121.46084";"10121.46084"
"4am";" 0";"0";" 0";" 0";" 0";"0";"0";"0";" 0";" 0";"0";" 0";"0";" 0";" 0";"0";" 0";" 0";" 0";" 0";"0";"0";"0";" 0";"0";"0";"0";"0";"0";" 0";"0"
"5am";" 0";"0";" 0";" 0";" 0";"0";" 0";"0";" 0";" 0";" 0";" 0";"0";" 0";" 0";"0";" 0";" 0";" 0";" 0";"0";" 0";"0";" 0";" 0";"0";"0";" 0";" 0";" 0";"0"
"6am";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";"0";" 0";" 0";" 0";" 0";"0";" 0";"0";" 0";" 0";"0";"0";" 0";" 0";" 0";"0"
"7am";"   0.0000";"   0.0000";"1087.5076";"   0.0000";" 507.8994";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";" 758.0188";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000"
"8am";"   0.0000";"   0.0000";"1597.3086";"   0.0000";" 521.6591";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"1131.9859";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000"
"9am";"   0.0000";" 558.3003";"1801.9640";"   0.0000";" 570.3119";"   0.0000";"   0.0000";"   0.0000";" 463.3671";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"1168.8791";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";" 566.1420";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000"
"10am";" 578.0398";" 595.1114";"1689.8204";"   0.0000";" 570.3119";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"1216.0113";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";" 541.9058";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000"
"11am";"   0.0000";" 751.6974";"1628.7703";"   0.0000";" 507.2217";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"1216.0113";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";" 514.2455";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000"
