"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018";"019";"020";"021";"022";"023";"024";"025";"026";"027";"028";"029";"030";"031"
"min";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"max";"7414.81793";"7414.81793";"7414.81793";"7414.81793";"7414.81793";"7414.81793";"7414.81793";"7414.81793";"7414.81793";"7414.81793";"7414.81793";"7414.81793";"7414.81793";"7414.81793";"7414.81793";"7414.81793";"7414.81793";"7414.81793";"7414.81793";"7414.81793";"7414.81793";"7414.81793";"7414.81793";"7414.81793";"7414.81793";"7414.81793";"7414.81793";"7414.81793";"7414.81793";"7414.81793";"7414.81793"
"4am";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";"0";" 0";"0";" 0";" 0";"0";" 0";" 0";" 0";" 0";"0";"0";"0";" 0";"0";"0";"0";" 0";"0";" 0";"0"
"5am";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"0";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"0";"898.4859";"  0.0000";"0";"  0.0000";"  0.0000";"669.7438";"639.3494";"0";"  0.0000";"0";"  0.0000";"  0.0000";"0";"0";"  0.0000";"  0.0000";"  0.0000";"0"
"6am";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"0";"1469.8675";"   0.0000";"0";"   0.0000";"   0.0000";" 898.9811";" 800.3712";"0";"   0.0000";"0";"   0.0000";"   0.0000";"0";"0";"   0.0000";"   0.0000";"   0.0000";"0"
"7am";" 553.0882";"   0.0000";"2069.1579";" 663.7474";" 684.0688";"   0.0000";" 721.5532";"   0.0000";" 813.9744";" 735.0007";" 637.9660";"   0.0000";"   0.0000";"3380.1120";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"1646.4136";"2603.5335";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";" 942.7577";"   0.0000";"1005.3727";"   0.0000"
"8am";"1809.2666";" 909.5521";"3375.4516";"1269.4104";" 862.5161";"   0.0000";"1380.9550";" 784.0096";"1173.6043";"1011.9493";" 941.4426";" 652.5802";"   0.0000";"5951.1760";"   0.0000";"   0.0000";" 540.8768";"   0.0000";"2271.4997";"4983.8036";"   0.0000";" 829.0068";"   0.0000";" 723.9378";"   0.0000";"   0.0000";"   0.0000";"1187.3685";"   0.0000";"1258.8568";"   0.0000"
"9am";"2242.1289";"1106.0266";"3817.6627";"1447.2698";" 962.0695";" 527.4177";"1492.5299";" 891.7255";"1424.6057";"1104.1520";"1355.5423";" 652.5802";"   0.0000";"6292.3497";"   0.0000";"   0.0000";" 571.9929";"   0.0000";"2263.5356";"6614.0257";"   0.0000";" 846.7857";"   0.0000";" 759.9059";"   0.0000";"   0.0000";"   0.0000";"1370.2726";"   0.0000";"1867.9407";"   0.0000"
"10am";"2373.3173";"1078.3009";"3685.3270";"1633.7496";" 986.8519";" 526.0591";"1515.1558";" 957.2095";"1303.4161";"1012.0305";"1400.6280";" 933.1960";"   0.0000";"6243.9551";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"2312.6618";"7160.5397";"   0.0000";" 891.4513";"   0.0000";" 759.9059";"   0.0000";"   0.0000";"   0.0000";"1216.5195";"   0.0000";"1790.1727";"   0.0000"
"11am";"2350.0373";" 969.6750";"3288.9199";"1530.4876";" 899.1834";" 537.3327";"1472.3803";" 723.0654";"1138.4185";" 861.7241";"1155.7246";" 754.4456";" 707.8984";"6392.9088";"   0.0000";"   0.0000";" 605.8034";"   0.0000";"2120.3738";"7233.4809";"   0.0000";" 812.4460";"   0.0000";" 914.9321";"   0.0000";"   0.0000";"   0.0000";"1366.1295";"   0.0000";"1546.2363";"   0.0000"
"12am";"2364.6496";"   0.0000";"2905.9789";"1160.1589";" 541.0778";"   0.0000";"1316.7567";"   0.0000";" 968.0561";"   0.0000";"1352.5428";" 553.1346";"   0.0000";"5444.8545";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"1624.3510";"6774.3321";"   0.0000";" 654.6628";"   0.0000";" 677.4892";"   0.0000";"   0.0000";"   0.0000";"1108.2120";"   0.0000";"1364.4548";"   0.0000"
"1pm";"1957.5909";"1005.0567";"3344.5817";"1619.9006";" 686.1301";"   0.0000";"1332.4913";"   0.0000";"1266.5801";" 735.8361";"1560.7976";" 522.1283";"   0.0000";"6386.6138";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"2085.6390";"6896.6541";"   0.0000";" 660.0481";"   0.0000";" 745.6343";"   0.0000";"   0.0000";"   0.0000";"1210.7235";"   0.0000";"1456.8594";"   0.0000"
"2pm";"2163.0198";"1036.0533";"3476.2182";"1826.3788";" 534.7101";"   0.0000";"1362.0734";" 682.8283";"1183.0152";" 773.7895";"1495.3278";" 558.8199";"   0.0000";"5797.4256";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"2382.4548";"7395.6296";"   0.0000";" 577.3029";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"1178.4601";"   0.0000";"1614.0444";"   0.0000"
"3pm";"2203.1432";" 839.1364";"3125.0540";"1490.2424";" 721.4021";" 585.8453";"1422.0357";"   0.0000";"1171.8407";" 804.8669";"1497.2502";"   0.0000";"   0.0000";"5410.7823";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"2126.0208";"7414.8179";"   0.0000";" 610.8453";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";" 843.6262";"   0.0000";"1426.2532";"   0.0000"
"4pm";"2001.0471";" 718.7518";"2563.4484";"1279.1065";" 704.3144";"   0.0000";"1392.3844";"   0.0000";" 929.5511";" 779.9102";"1020.3370";"   0.0000";"   0.0000";"3992.7273";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"1765.0573";"5766.6261";"0";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";" 750.1160";"   0.0000";"1578.1732";"   0.0000"
"5pm";"1680.2223";"   0.0000";"1106.4945";" 824.4913";" 699.0887";"   0.0000";" 981.9648";"   0.0000";" 637.4363";"   0.0000";" 497.6091";"   0.0000";"   0.0000";"2729.0494";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"1337.9370";"4317.1903";"0";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";" 676.4484";"   0.0000";" 613.4823";"   0.0000"
"6pm";"1218.3914";"   0.0000";" 707.0625";"   0.0000";" 473.8433";"   0.0000";" 526.0458";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"1765.3920";"   0.0000";"   0.0000";"   0.0000";"   0.0000";" 889.3924";"3287.2465";"0";"   0.0000";"0";"   0.0000";"   0.0000";"   0.0000";"   0.0000";" 531.1665";"   0.0000";"   0.0000";"   0.0000"
"7pm";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";" 943.6900";"   0.0000";"   0.0000";"   0.0000";"   0.0000";" 797.8961";"1539.1936";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000"
"8pm";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"0";" 555.9814";"   0.0000";"   0.0000";"   0.0000";"   0.0000";" 758.4004";"1177.8396";"   0.0000";"   0.0000";"0";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"0"
"9pm";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"0";"   0.000";"   0.000";"   0.000";"   0.000";"0";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"1012.072";"   0.000";"   0.000";"0";"0";"   0.000";"   0.000";"0";"   0.000";"   0.000";"   0.000";"0"
"10pm";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"0";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"0";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"766.5267";"  0.0000";"  0.0000";"0";"0";"  0.0000";"  0.0000";"0";"  0.0000";"  0.0000";"  0.0000";"0"
"11pm";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";"0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";"0";"0";"0";"0";" 0";" 0";" 0";"0"
"12pm";" 0";" 0";" 0";"0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";"0";" 0";"0";"0";" 0";"0";" 0";" 0";" 0";"0";"0";"0";"0";"0";"0";" 0";" 0";" 0";"0"
"1am";" 0";" 0";" 0";"0";" 0";" 0";"0";"0";" 0";" 0";" 0";" 0";"0";" 0";"0";"0";" 0";"0";" 0";" 0";" 0";"0";"0";"0";"0";"0";"0";" 0";"0";" 0";"0"
"2am";"0";" 0";" 0";"0";" 0";" 0";"0";"0";"0";" 0";" 0";" 0";"0";" 0";"0";"0";" 0";"0";" 0";" 0";" 0";"0";"0";"0";"0";"0";"0";" 0";"0";" 0";"0"
"3am";"0";" 0";" 0";"0";" 0";"0";"0";"0";"0";" 0";" 0";" 0";"0";" 0";"0";"0";" 0";"0";" 0";" 0";" 0";"0";"0";"0";"0";"0";"0";" 0";"0";" 0";"0"
