"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018";"019";"020";"021";"022";"023";"024";"025";"026";"027";"028";"029";"030";"031"
"min";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"max";"8614.7835";"8614.7835";"8614.7835";"8614.7835";"8614.7835";"8614.7835";"8614.7835";"8614.7835";"8614.7835";"8614.7835";"8614.7835";"8614.7835";"8614.7835";"8614.7835";"8614.7835";"8614.7835";"8614.7835";"8614.7835";"8614.7835";"8614.7835";"8614.7835";"8614.7835";"8614.7835";"8614.7835";"8614.7835";"8614.7835";"8614.7835";"8614.7835";"8614.7835";"8614.7835";"8614.7835"
"4am";" 233.3872";" 779.5192";" 762.2995";" 377.1535";" 834.6186";" 328.1532";" 142.5558";" 929.1905";" 646.6632";" 730.3750";" 402.7925";"1538.2017";" 766.7480";" 294.1479";" 204.8604";" 165.8233";" 121.7725";" 606.4126";" 382.6069";" 322.1246";" 679.0142";" 669.6008";" 240.3297";" 404.6123";" 633.0519";" 360.6044";" 306.5390";" 219.6534";" 154.4724";" 931.5796";" 833.5606"
"5am";" 233.3872";" 779.5192";" 762.2995";" 377.1535";" 834.6186";" 328.1532";" 142.5558";" 929.1905";" 646.6632";" 730.3750";" 402.7925";"1538.2017";" 766.7480";" 294.1479";" 204.8604";" 165.8233";" 121.7725";" 606.4126";" 382.6069";" 322.1246";" 679.0142";" 669.6008";" 240.3297";" 404.6123";" 633.0519";" 360.6044";" 306.5390";" 219.6534";" 154.4724";" 931.5796";" 833.5606"
"6am";" 233.3872";" 779.5192";" 762.2995";" 342.9941";" 834.6186";" 328.1532";" 142.5558";" 929.1905";" 646.6632";" 730.3750";" 402.7925";"1538.2017";" 766.7480";" 294.1479";" 204.8604";" 165.8233";" 121.7725";" 606.4126";" 382.6069";" 322.1246";" 679.0142";" 669.6008";" 240.3297";" 404.6123";" 633.0519";" 360.6044";" 306.5390";" 219.6534";" 154.4724";" 931.5796";" 833.5606"
"7am";" 233.3872";" 779.5192";" 796.4589";" 342.9941";" 783.5238";" 415.7649";" 142.5558";" 929.1905";" 646.6632";" 694.5431";" 402.7925";"1538.2017";" 752.4792";" 294.1479";" 168.3434";" 165.8233";" 121.7725";" 565.2825";" 382.6069";" 301.6479";" 679.0142";" 669.6008";" 240.3297";" 404.6123";" 633.0519";" 360.6044";" 306.5390";" 219.6534";" 154.4724";" 931.5796";" 833.5606"
"8am";" 355.17323";" 779.51924";" 778.00531";" 344.43267";" 715.27087";" 334.17225";" 142.55581";" 995.35206";" 535.42674";" 674.54471";" 402.79246";"1362.17805";" 735.37160";" 330.69531";" 214.95286";" 119.90285";"  86.83347";" 587.64274";" 393.72836";" 601.02422";" 607.12543";" 669.60077";" 240.32967";" 404.61225";" 646.40238";" 360.60436";" 306.53902";" 219.65338";" 154.47237";" 810.47814";" 833.56058"
"9am";" 386.86409";" 824.59493";" 791.75673";" 377.97054";" 659.48953";" 334.17225";" 107.84722";" 907.70854";" 662.92457";" 674.54471";" 309.91227";"1400.76111";" 714.48044";" 310.11126";" 264.58375";" 143.34580";"  59.62958";" 516.80627";" 335.48022";" 806.08297";" 583.59067";" 697.22581";" 240.32967";" 348.63188";" 646.40238";" 325.32949";" 306.53902";" 140.43408";" 154.47237";" 851.57519";" 833.56058"
"10am";" 502.71552";" 741.31509";" 779.49505";" 313.64669";" 781.60916";" 417.45209";" 142.55581";" 784.88126";" 621.70253";" 612.64835";" 449.04737";"1366.61719";" 713.41018";" 398.52653";" 141.55183";" 143.34580";"  86.83347";" 558.43320";" 347.19046";" 725.36436";" 532.27126";" 669.60077";" 240.32967";" 348.63188";" 533.38466";" 424.99669";" 271.49805";" 175.47505";" 233.41682";" 881.90843";" 833.56058"
"11am";" 311.79587";" 855.09366";" 764.02829";" 316.92018";" 825.56546";" 351.59615";"  88.65707";" 831.83042";" 654.05344";" 730.37503";" 453.59299";"1422.97186";" 656.97094";" 335.65056";" 105.03483";" 110.02942";"  59.62958";" 538.14559";" 331.14567";" 789.12408";" 532.27126";" 669.60077";" 240.32967";" 348.63188";" 633.05186";" 325.32949";" 306.53902";" 219.65338";" 154.47237";" 777.85926";" 833.56058"
"12am";" 285.01829";" 818.57666";" 694.06230";" 348.29309";" 823.13575";" 328.15320";"  88.65707";" 898.85730";" 646.66318";" 686.50317";" 418.44371";"1447.57025";" 692.11724";" 398.86674";" 191.50991";" 133.47237";"  94.56865";" 497.01550";" 394.44709";" 545.12461";" 679.01420";" 669.60077";" 240.32967";" 404.61225";" 633.05186";" 360.60436";" 306.53902";" 219.65338";" 154.47237";" 777.85926";" 833.56058"
