"variable","CODE_SEC","RES_SEC","W_IND"
"h7","003","021",125.87859
"h7","003","023",62.70397
"h7","003","024",106.98433
"h7","003","025",90.94001
"h7","003","026",182.38385
"h7","003","027",320.77976
"h7","003","029",152.62255
"h7","003","030",301.28788
"h7","014","021",243.6693
"h7","014","023",111.59853
"h7","014","024",326.61411
"h7","014","025",225.84039
"h7","014","026",84.08674
"h7","014","027",176.69124
"h7","014","029",62.42468
"h7","014","030",325.69706
"h7","019","021",57.51916
"h7","019","024",42.09204
"h7","019","025",50.61573
"h7","019","027",389.70244
"h7","019","029",253.37201
"h7","019","030",76.37002
"h7","019","031",155.63968
"h7","020","021",119.66384
"h7","020","023",40.6917
"h7","020","024",262.20022
"h7","020","025",506.1242
"h7","020","026",224.62853
"h7","020","027",73.26834
"h7","020","029",242.51129
"h7","028","021",82.29501
"h7","028","026",83.95416
"h7","028","027",454.6119
"h7","028","029",207.47106
"h8","003","021",125.87859
"h8","003","023",62.70397
"h8","003","024",170.22509
"h8","003","025",209.61041
"h8","003","026",287.81033
"h8","003","027",439.29507
"h8","003","029",152.62255
"h8","003","030",398.34485
"h8","003","031",345.26642
"h8","004","021",65.01191
"h8","004","025",214.99358
"h8","004","026",35.27487
"h8","004","027",87.7496
"h8","004","029",78.71502
"h8","004","030",288.12055
"h8","004","031",124.99379
"h8","014","021",243.6693
"h8","014","023",324.5335
"h8","014","024",424.11089
"h8","014","025",316.1183
"h8","014","026",84.08674
"h8","014","027",245.08522
"h8","014","029",147.19378
"h8","014","030",636.01144
"h8","019","024",105.3328
"h8","019","025",50.61573
"h8","019","027",542.69337
"h8","019","029",236.47053
"h8","019","030",76.37002
"h8","019","031",166.09066
"h8","020","021",97.17231
"h8","020","023",143.57922
"h8","020","024",345.15059
"h8","020","025",655.63422
"h8","020","026",337.70803
"h8","020","027",261.36867
"h8","020","029",500.04336
"h8","020","030",851.11802
"h8","020","031",73.72427
"h8","028","021",82.29501
"h8","028","026",32.13891
"h8","028","027",366.49978
"h8","028","029",207.47106
"h8","028","030",59.11976
"h8","028","031",34.42812
"h9","003","021",217.90375
"h9","003","023",179.14225
"h9","003","024",170.22509
"h9","003","025",209.61041
"h9","003","026",321.40977
"h9","003","027",690.16667
"h9","003","029",152.62255
"h9","003","030",301.28788
"h9","003","031",550.0154
"h9","004","021",65.01191
"h9","004","024",82.95037
"h9","004","025",280.03653
"h9","004","026",35.27487
"h9","004","027",87.7496
"h9","004","029",78.71502
"h9","004","030",400.25795
"h9","004","031",124.99379
"h9","014","021",271.29434
"h9","014","023",244.1664
"h9","014","024",487.35165
"h9","014","025",345.32491
"h9","014","026",84.08674
"h9","014","027",341.66368
"h9","014","029",322.77186
"h9","014","030",797.49374
"h9","019","023",40.18355
"h9","019","024",105.3328
"h9","019","025",50.61573
"h9","019","027",542.69337
"h9","019","029",389.29536
"h9","019","030",76.37002
"h9","019","031",66.57444
"h9","020","021",267.73832
"h9","020","023",143.57922
"h9","020","024",611.90011
"h9","020","025",753.03869
"h9","020","026",451.23153
"h9","020","027",684.04498
"h9","020","029",731.4394
"h9","020","030",864.88534
"h9","020","031",73.72427
"h9","028","021",150.0935
"h9","028","026",32.13891
"h9","028","027",474.80909
"h9","028","029",207.47106
"h9","028","030",59.11976
"h9","028","031",34.42812
"h10","001","021",172.58811
"h10","001","023",43.2703
"h10","001","024",100.94902
"h10","001","025",59.74226
"h10","001","026",33.59944
"h10","001","029",141.26006
"h10","001","030",121.1015
"h10","001","031",143.42107
"h10","003","021",125.87859
"h10","003","023",179.14225
"h10","003","024",170.22509
"h10","003","025",307.01488
"h10","003","026",287.81033
"h10","003","027",690.16667
"h10","003","029",222.32582
"h10","003","030",301.28788
"h10","003","031",415.1797
"h10","004","021",65.01191
"h10","004","025",280.03653
"h10","004","026",35.27487
"h10","004","027",87.7496
"h10","004","029",78.71502
"h10","004","030",400.25795
"h10","004","031",208.55997
"h10","014","021",271.29434
"h10","014","023",326.83525
"h10","014","024",487.35165
"h10","014","025",405.06717
"h10","014","026",84.08674
"h10","014","027",216.22788
"h10","014","029",322.77186
"h10","014","030",797.49374
"h10","019","023",40.18355
"h10","019","024",144.45925
"h10","019","025",50.61573
"h10","019","026",33.59944
"h10","019","027",542.69337
"h10","019","029",306.1738
"h10","019","030",76.37002
"h10","019","031",66.57444
"h10","020","021",260.39433
"h10","020","023",143.57922
"h10","020","024",777.80085
"h10","020","025",720.53621
"h10","020","026",580.72173
"h10","020","027",510.52809
"h10","020","029",512.40703
"h10","020","030",1005.37373
"h10","020","031",124.99379
"h10","028","021",150.0935
"h10","028","026",32.13891
"h10","028","027",571.14069
"h10","028","029",207.47106
"h10","028","030",59.11976
"h10","028","031",34.42812
"h11","003","021",58.0801
"h11","003","023",149.97005
"h11","003","024",170.22509
"h11","003","025",209.61041
"h11","003","026",287.81033
"h11","003","027",501.39791
"h11","003","029",152.62255
"h11","003","030",301.28788
"h11","003","031",326.11446
"h11","004","021",65.01191
"h11","004","023",44.57926
"h11","004","025",214.99358
"h11","004","026",35.27487
"h11","004","027",87.7496
"h11","004","029",78.71502
"h11","004","030",400.25795
"h11","004","031",73.72427
"h11","014","021",368.98695
"h11","014","023",367.0188
"h11","014","024",606.57278
"h11","014","025",285.58265
"h11","014","026",84.08674
"h11","014","027",147.8339
"h11","014","029",322.77186
"h11","014","030",704.12282
"h11","019","024",144.45925
"h11","019","025",50.61573
"h11","019","026",33.59944
"h11","019","027",542.69337
"h11","019","029",236.47053
"h11","019","030",76.37002
"h11","019","031",66.57444
"h11","020","021",411.06794
"h11","020","023",143.57922
"h11","020","024",611.90011
"h11","020","025",817.94068
"h11","020","026",516.44391
"h11","020","027",473.34922
"h11","020","029",387.55767
"h11","020","030",910.24802
"h11","020","031",124.99379
"h11","024","021",92.3756
"h11","024","023",265.92347
"h11","024","025",139.00193
"h11","024","026",196.05562
"h11","024","027",93.1068
"h11","028","021",82.29501
"h11","028","026",32.13891
"h11","028","027",616.25919
"h11","028","029",207.47106
"h11","028","030",59.11976
"h12","001","023",124.0812
"h12","001","024",255.91986
"h12","001","025",69.54622
"h12","001","027",103.43495
"h12","001","029",84.7691
"h12","001","030",121.1015
"h12","001","031",143.42107
"h12","003","021",125.87859
"h12","003","023",149.97005
"h12","003","024",170.22509
"h12","003","025",288.68221
"h12","003","026",321.40977
"h12","003","027",552.65335
"h12","003","029",152.62255
"h12","003","030",301.28788
"h12","003","031",326.11446
"h12","014","021",233.38997
"h12","014","023",337.8466
"h12","014","024",416.8505
"h12","014","025",454.93236
"h12","014","026",84.08674
"h12","014","027",147.8339
"h12","014","029",322.77186
"h12","014","030",378.42576
"h12","014","031",45.36931
"h12","019","024",144.45925
"h12","019","025",50.61573
"h12","019","027",210.0563
"h12","019","029",183.95511
"h12","019","030",112.1374
"h12","019","031",66.57444
"h12","020","021",315.09847
"h12","020","023",172.75142
"h12","020","024",476.63898
"h12","020","025",917.41654
"h12","020","026",483.37044
"h12","020","027",576.78417
"h12","020","029",371.82772
"h12","020","030",776.48979
"h12","020","031",224.51001
"h12","028","021",82.29501
"h12","028","026",32.13891
"h12","028","027",437.27319
"h12","028","029",186.8395
"h12","028","030",59.11976
"h13","002","021",49.7537
"h13","002","023",124.0812
"h13","002","024",67.96308
"h13","002","026",85.41469
"h13","002","027",181.9773
"h13","002","029",80.87487
"h13","002","030",233.2389
"h13","002","031",172.3059
"h13","003","021",125.87859
"h13","003","023",149.97005
"h13","003","024",106.98433
"h13","003","025",288.68221
"h13","003","026",402.49532
"h13","003","027",532.50032
"h13","003","029",152.62255
"h13","003","030",301.28788
"h13","003","031",415.1797
"h13","004","021",65.01191
"h13","004","023",44.57926
"h13","004","025",124.71567
"h13","004","026",35.27487
"h13","004","027",87.7496
"h13","004","029",218.12156
"h13","004","030",288.12055
"h13","004","031",73.72427
"h13","014","021",343.81036
"h13","014","023",284.34995
"h13","014","024",791.84876
"h13","014","025",364.65445
"h13","014","026",84.08674
"h13","014","027",147.8339
"h13","014","029",385.19654
"h13","014","030",636.01144
"h13","019","021",95.17783
"h13","019","024",105.3328
"h13","019","025",50.61573
"h13","019","027",586.86635
"h13","019","029",174.04585
"h13","019","030",72.82713
"h13","019","031",166.09066
"h13","020","021",214.97802
"h13","020","023",183.76277
"h13","020","024",486.79242
"h13","020","025",843.3166
"h13","020","026",451.23153
"h13","020","027",660.95112
"h13","020","029",357.25024
"h13","020","030",796.32384
"h13","020","031",300.45715
"h13","028","026",32.13891
"h13","028","027",629.39043
"h13","028","029",122.70196
"h13","028","030",59.11976
"h14","002","021",49.7537
"h14","002","023",124.0812
"h14","002","024",67.96308
"h14","002","025",69.54622
"h14","002","026",85.41469
"h14","002","027",119.64942
"h14","002","029",80.87487
"h14","002","030",233.2389
"h14","002","031",172.3059
"h14","003","021",125.87859
"h14","003","023",268.99985
"h14","003","024",170.22509
"h14","003","025",288.68221
"h14","003","026",330.66828
"h14","003","027",532.50032
"h14","003","029",152.62255
"h14","003","030",301.28788
"h14","003","031",415.1797
"h14","004","021",65.01191
"h14","004","023",44.57926
"h14","004","025",214.99358
"h14","004","026",107.10191
"h14","004","027",87.7496
"h14","004","029",218.12156
"h14","004","030",288.12055
"h14","004","031",208.55997
"h14","014","021",423.09944
"h14","014","023",339.23686
"h14","014","024",985.51557
"h14","014","025",274.37654
"h14","014","026",84.08674
"h14","014","027",147.8339
"h14","014","029",322.77186
"h14","014","030",446.79856
"h14","014","031",140.84296
"h14","019","024",188.28317
"h14","019","025",50.61573
"h14","019","027",656.94829
"h14","019","029",174.04585
"h14","019","030",72.82713
"h14","019","031",166.09066
"h14","020","021",163.65861
"h14","020","023",265.14617
"h14","020","024",706.35496
"h14","020","025",812.78095
"h14","020","026",404.0227
"h14","020","027",693.33483
"h14","020","029",643.10551
"h14","020","030",1044.87318
"h14","020","031",124.99379
"h14","028","026",32.13891
"h14","028","027",645.12742
"h14","028","029",225.76166
"h14","028","030",59.11976
"h15","003","021",125.87859
"h15","003","023",225.72955
"h15","003","024",162.9647
"h15","003","025",288.68221
"h15","003","026",328.99285
"h15","003","027",470.39748
"h15","003","029",310.11486
"h15","003","030",233.1765
"h15","003","031",326.11446
"h15","004","023",44.57926
"h15","004","025",214.99358
"h15","004","026",35.27487
"h15","004","027",87.7496
"h15","004","029",126.98468
"h15","004","030",288.12055
"h15","004","031",124.99379
"h15","014","021",318.09566
"h15","014","023",420.62026
"h15","014","024",732.98707
"h15","014","025",195.30474
"h15","014","026",36.87791
"h15","014","027",147.8339
"h15","014","029",385.19654
"h15","014","030",446.79856
"h15","014","031",229.9082
"h15","019","024",188.28317
"h15","019","025",50.61573
"h15","019","027",456.86645
"h15","019","029",174.04585
"h15","019","030",72.82713
"h15","019","031",166.09066
"h15","020","021",396.55246
"h15","020","023",102.88752
"h15","020","024",571.97352
"h15","020","025",1125.50426
"h15","020","026",404.0227
"h15","020","027",821.83629
"h15","020","029",590.57632
"h15","020","030",1037.69586
"h15","020","031",208.55997
"h16","003","021",58.0801
"h16","003","023",149.97005
"h16","003","024",106.98433
"h16","003","025",238.06648
"h16","003","026",295.39341
"h16","003","027",425.15051
"h16","003","029",152.62255
"h16","003","030",176.19428
"h16","003","031",223.57542
"h16","014","021",27.62504
"h16","014","023",255.42027
"h16","014","024",520.76526
"h16","014","025",195.30474
"h16","014","026",36.87791
"h16","014","027",147.8339
"h16","014","029",216.89705
"h16","014","030",446.79856
"h16","019","024",63.24076
"h16","019","025",50.61573
"h16","019","027",313.19708
"h16","019","029",230.53681
"h16","019","031",328.88017
"h16","020","021",327.74726
"h16","020","023",102.88752
"h16","020","024",632.54146
"h16","020","025",783.05902
"h16","020","026",404.0227
"h16","020","027",726.97401
"h16","020","029",491.14496
"h16","020","030",645.04115
"h16","020","031",73.72427
"h17","014","021",85.1442
"h17","014","023",214.72857
"h17","014","024",394.28374
"h17","014","025",135.56248
"h17","014","027",96.57846
"h17","014","029",84.7691
"h17","014","030",302.31716
"h17","020","021",509.71349
"h17","020","023",333.30573
"h17","020","024",481.26587
"h17","020","025",746.48935
"h17","020","026",113.5235
"h17","020","027",252.98533
"h17","020","029",557.7298
"h17","020","030",127.6915
"h17","020","031",162.78951
"h18","020","021",335.22764
"h18","020","023",270.60176
"h18","020","024",489.86352
"h18","020","025",277.96029
"h18","020","026",113.5235
"h18","020","027",177.70994
"h18","020","029",277.48844
"h18","020","030",63.84575
"h19","020","021",141.67491
"h19","020","023",124.0812
"h19","020","024",68.32522
"h19","020","026",170.82938
"h19","020","027",168.81838
"h19","020","029",87.78904
"h19","020","031",178.13048
