"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018";"019";"020";"021";"022";"023";"024";"025";"026";"027";"028";"029";"030";"031"
"min";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"max";"6676.84086";"6676.84086";"6676.84086";"6676.84086";"6676.84086";"6676.84086";"6676.84086";"6676.84086";"6676.84086";"6676.84086";"6676.84086";"6676.84086";"6676.84086";"6676.84086";"6676.84086";"6676.84086";"6676.84086";"6676.84086";"6676.84086";"6676.84086";"6676.84086";"6676.84086";"6676.84086";"6676.84086";"6676.84086";"6676.84086";"6676.84086";"6676.84086";"6676.84086";"6676.84086";"6676.84086"
"4am";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";"0";" 0";"0";" 0";" 0";"0";" 0";" 0";" 0";" 0";"0";"0";"0";" 0";"0";"0";"0";" 0";"0";" 0";"0"
"5am";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";"0";" 0";" 0";" 0";" 0";"0";" 0";"0";" 0";" 0";"0";"0";" 0";" 0";" 0";"0"
"6am";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";"0";" 0";" 0";" 0";" 0";"0";" 0";"0";" 0";" 0";"0";"0";" 0";" 0";" 0";"0"
"7am";"   0.0000";" 715.1628";"2287.7363";"   0.0000";"1084.9660";"   0.0000";"   0.0000";"   0.0000";" 611.8518";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"1470.9235";"   0.0000";"   0.0000";"   0.0000";"   0.0000";" 623.4599";"1332.0701";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000"
"8am";"1376.1546";"1482.7060";"3594.6784";"1483.0622";"1154.5384";"   0.0000";" 742.4258";"   0.0000";"1010.0688";" 575.1985";"   0.0000";"   0.0000";"   0.0000";"3329.9168";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"1230.6215";"3760.2096";"   0.0000";" 769.7626";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";" 791.2991";"   0.0000";" 656.6064";"   0.0000"
"9am";"1917.9722";"1564.9312";"4372.9921";"1630.2814";"1269.5239";"   0.0000";" 856.5297";" 679.7800";"1303.1950";" 691.2162";" 933.7146";" 638.8890";"   0.0000";"4027.9736";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"1360.9336";"5755.3728";"   0.0000";" 757.2041";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";" 918.0294";"   0.0000";"1023.7416";"   0.0000"
"10am";"2436.0466";"1535.9692";"4156.7914";"1837.4684";"1316.3066";"   0.0000";" 946.5678";" 715.6524";"1282.6875";" 600.9602";"1083.8598";" 659.4314";"   0.0000";"4231.8595";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"1490.7460";"6407.1487";"   0.0000";" 738.6859";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"1062.5432";"   0.0000";"1025.9025";"   0.0000"
"11am";"1813.4237";"1776.0924";"3657.1588";"1806.5199";"1177.5031";"   0.0000";" 953.8385";"   0.0000";"1292.8961";"   0.0000";"1038.3316";" 571.9189";"   0.0000";"3917.7608";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"1269.3728";"5912.0203";"   0.0000";" 765.7095";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";" 858.7537";"   0.0000";" 987.5255";"   0.0000"
