"district","hour","cspmen1","cspmen2","cspmen3","cspmen4","cspmen5"
"001","4am",9.020954,17.23661,28.78321,24.084286,20.8749318
"002","4am",9.272076,30.85596,36.10155,19.222625,4.5477955
"003","4am",19.419325,16.39532,34.30999,23.309144,6.566216
"004","4am",16.836985,20.98151,27.74391,19.644594,14.7930027
"005","4am",24.482051,12.1777,21.70404,29.854125,11.7820841
"006","4am",7.663252,11.77503,26.35472,35.15395,19.0530414
"007","4am",7.456004,21.86379,33.33984,29.294315,8.0460416
"008","4am",45.577215,35.48129,15.07599,3.86551,0
"009","4am",19.773085,23.91434,31.41967,14.766171,10.126729
"010","4am",31.230098,26.76512,28.65284,11.812764,1.5391813
"011","4am",10.738417,34.74712,27.54513,21.801067,5.1682728
"012","4am",54.736999,30.74911,11.50285,3.011036,0
"013","4am",55.323687,18.05718,18.18253,4.959109,3.4774853
"014","4am",20.472178,30.5361,40.22163,4.970501,3.7995893
"015","4am",8.362497,28.18362,34.02051,20.347068,9.0863045
"016","4am",5.332356,14.22576,38.5225,26.52785,15.3915329
"017","4am",6.030138,22.88447,24.96433,29.209433,16.9116263
"018","4am",29.243861,26.02948,27.65944,16.166863,0.9003575
"019","4am",14.470433,35.09641,41.83056,5.372796,3.229796
"020","4am",7.852236,31.45979,39.29327,16.038524,5.3561825
"021","4am",15.600928,37.46383,28.20508,15.360206,3.3699493
"022","4am",7.869893,29.94735,43.13793,15.874402,3.170425
"023","4am",3.850819,27.13326,22.9114,38.18734,7.917181
"024","4am",14.389778,14.70043,43.22927,23.897727,3.7827951
"025","4am",6.600654,26.19006,42.45381,20.360981,4.3944965
"026","4am",3.939929,29.67851,39.03196,23.301631,4.0479758
"027","4am",17.536005,27.47967,26.71686,23.766375,4.5010939
"028","4am",20.700263,16.13712,36.43097,24.959321,1.7723223
"029","4am",4.115322,26.08527,43.62102,24.030342,2.1480503
"030","4am",17.658615,33.87552,32.73109,12.653573,3.0811979
"031","4am",18.999787,38.88637,11.8277,27.628567,2.6575836
"001","5am",9.057936,17.30728,29.40838,24.18302,20.0433849
"002","5am",9.484779,29.26978,36.92972,19.663597,4.6521231
"003","5am",19.872768,15.10724,34.70239,23.755153,6.5624565
"004","5am",16.994468,21.17776,27.06807,19.828339,14.9313679
"005","5am",24.974398,12.4226,20.9123,29.67168,12.0190279
"006","5am",7.663252,11.77503,26.35472,35.15395,19.0530414
"007","5am",7.706198,22.26265,33.36199,28.767747,7.9014133
"008","5am",46.346978,34.39162,15.33061,3.930795,0
"009","5am",19.356513,23.80175,31.29452,15.154306,10.392914
"010","5am",31.607531,26.29751,28.71435,11.838125,1.5424857
"011","5am",11.059585,32.281,28.88347,22.453101,5.3228475
"012","5am",54.267763,31.54421,11.09913,3.088894,0
"013","5am",55.684454,18.46602,17.97647,4.316839,3.5562197
"014","5am",20.488247,30.53264,39.79963,5.834618,3.3448733
"015","5am",8.278449,26.11774,36.46626,20.142567,8.9949815
"016","5am",5.402422,13.63739,38.49,26.87642,15.5937743
"017","5am",5.984465,25.17618,24.77524,27.280576,16.7835345
"018","5am",30.095359,25.21056,27.96685,15.800663,0.9265734
"019","5am",12.644381,38.53505,39.54846,6.316549,2.9555646
"020","5am",7.207676,36.59257,36.56126,14.721982,4.9165136
"021","5am",16.107194,36.68225,27.87259,15.858661,3.4793078
"022","5am",8.49749,29.28146,43.16449,15.884177,3.1723773
