"district","hour","cspmen1","cspmen2","cspmen3","cspmen4","cspmen5"
"001","4am",319.518,610.5128,1019.488,853.0542,739.38031
"002","4am",785.3483,2613.5112,3057.8143,1628.1635,385.19997
"003","4am",1718.5639,1450.9468,3036.3524,2062.8035,581.09442
"004","4am",778.7696,970.4682,1283.2532,908.6313,684.22823
"005","4am",2051.3911,1020.3891,1818.6174,2501.526,987.24013
"006","4am",607.0017,932.6934,2087.5422,2784.5237,1509.18021
"007","4am",340.9108,999.6779,1524.3971,1339.4234,367.88901
"008","4am",2148.3286,1672.4468,710.6219,182.2048,0
"009","4am",1433.9234,1734.2429,2278.5217,1070.8272,734.37975
"010","4am",1686.9852,1445.7963,1547.767,638.1011,83.14339
"011","4am",596.43,1929.9143,1529.9034,1210.8685,287.05471
"012","4am",3627.2014,2037.6204,762.2478,199.5293,0
"013","4am",1595.8316,520.866,524.4817,143.0473,100.30931
"014","4am",794.2961,1184.7645,1560.5512,192.8495,147.41954
"015","4am",299.5971,1009.7141,1218.8282,728.9596,325.52844
"016","4am",225.4269,601.3984,1628.5503,1121.4729,650.6817
"017","4am",264.9947,1005.6592,1097.0585,1283.6098,743.18217
"018","4am",1390.4608,1237.6261,1315.1263,768.6875,42.80939
"019","4am",527.9201,1280.4108,1526.0906,196.014,117.83158
"020","4am",352.306,1411.5051,1762.9696,719.5998,240.31563
"021","4am",1198.4203,2877.8685,2166.6369,1179.9288,258.87023
"022","4am",836.6173,3183.5848,4585.8237,1687.5453,337.03541
"023","4am",243.7792,1717.6926,1450.4244,2417.4799,501.20344
"024","4am",1318.6146,1347.081,3961.3364,2189.8803,346.63834
"025","4am",655.7414,2601.8496,4217.5696,2022.7599,436.57087
"026","4am",283.5458,2135.8802,2809.0223,1676.9541,291.32164
"027","4am",1646.2869,2579.802,2508.189,2231.1965,422.56445
"028","4am",1390.1678,1083.7207,2446.5954,1676.1935,119.02387
"029","4am",391.9702,2484.5319,4154.7514,2288.8072,204.59438
"030","4am",1934.2345,3710.552,3585.1963,1386.0077,337.49868
"031","4am",1909.522,3908.1685,1188.7105,2776.7341,267.09322
"001","5am",319.518,610.5128,1037.3784,853.0542,707.02884
"002","5am",785.3483,2423.5638,3057.8143,1628.1635,385.19997
"003","5am",1759.7,1337.7203,3072.8375,2103.4786,581.09442
"004","5am",778.7696,970.4682,1240.3912,908.6313,684.22823
"005","5am",2051.3911,1020.3891,1717.7313,2437.2248,987.24013
"006","5am",607.0017,932.6934,2087.5422,2784.5237,1509.18021
"007","5am",358.7998,1036.5467,1553.331,1339.4234,367.88901
"008","5am",2148.3286,1594.16,710.6219,182.2048,0
"009","5am",1367.7618,1681.8691,2211.3203,1070.8272,734.37975
"010","5am",1703.7158,1417.4938,1547.767,638.1011,83.14339
"011","5am",596.43,1740.875,1557.6504,1210.8685,287.05471
"012","5am",3505.4644,2037.6204,716.9564,199.5293,0
"013","5am",1570.676,520.866,507.0572,121.7639,100.30931
"014","5am",902.9843,1345.6734,1754.1001,257.1507,147.41954
"015","5am",299.5971,945.2012,1319.7143,728.9596,325.52844
"016","5am",225.4269,569.0475,1606.0728,1121.4729,650.6817
"017","5am",264.9947,1114.8122,1097.0585,1207.9957,743.18217
"018","5am",1390.4608,1164.774,1292.1197,730.0196,42.80939
"019","5am",504.1025,1536.3039,1576.7063,251.8263,117.83158
"020","5am",352.306,1788.6184,1787.0879,719.5998,240.31563
"021","5am",1198.4203,2729.2618,2073.7986,1179.9288,258.87023
"022","5am",902.7789,3110.8813,4585.8237,1687.5453,337.03541
"023","5am",243.7792,1717.6926,1450.4244,2334.8111,501.20344
"024","5am",1318.6146,1414.2918,3961.3364,2189.8803,346.63834
"025","5am",655.7414,2463.1311,4011.7739,2150.5581,436.57087
"026","5am",283.5458,2009.2612,2692.3768,1676.9541,291.32164
"027","5am",1646.2869,2579.802,2432.9136,2231.1965,422.56445
"028","5am",1349.0317,1004.3747,2473.5768,1620.3811,119.02387
"029","5am",419.3726,2334.3182,4154.7514,2288.8072,204.59438
"030","5am",1934.2345,3589.4505,3502.5673,1420.9468,337.49868
"031","5am",1909.522,3908.1685,1188.7105,2776.7341,267.09322
"001","6am",319.518,637.7145,1037.3784,853.0542,724.8443
"002","6am",695.1269,2251.2407,2931.6592,1725.2124,308.52094
"003","6am",1801.3846,1496.7122,2967.2141,2055.8001,533.41598
"004","6am",710.4507,941.8133,1259.4967,879.9764,684.22823
"005","6am",1941.4535,985.6735,1626.8617,2437.2248,1032.31582
"006","6am",607.0017,1114.1362,2127.8664,2695.1654,1293.06413
"007","6am",332.2537,1157.6482,1521.9098,1377.2986,367.88901
"008","6am",2084.4743,1594.16,710.6219,218.6542,0
"009","6am",1323.1268,1659.9659,2166.6853,1070.8272,734.37975
"010","6am",1642.6555,1315.6759,1533.8433,638.1011,83.14339
"011","6am",542.5365,1719.8148,1584.4274,1181.0752,287.05471
"012","6am",3429.882,1881.5909,748.6496,161.6541,0
"013","6am",1513.6882,506.5972,492.7885,121.7639,100.30931
"014","6am",844.1056,1490.3066,1840.1935,404.064,147.41954
"015","6am",299.5971,851.043,1285.4234,671.8152,288.92088
"016","6am",225.4269,462.7375,1560.1524,1072.093,650.6817
"017","6am",264.9947,1156.3266,1072.368,1218.2443,743.18217
"018","6am",1316.9937,1086.5558,1292.1197,652.1691,42.80939
"019","6am",534.6326,1553.085,1538.7899,269.4508,117.83158
"020","6am",398.1199,1794.9997,1848.9301,718.8503,240.31563
"021","6am",1198.4203,2104.8828,1991.5036,1130.1751,207.00488
"022","6am",902.7789,2932.641,4580.0004,1687.5453,337.03541
"023","6am",243.7792,1717.6926,1450.4244,2334.8111,311.11067
"024","6am",1349.1447,1464.0455,3919.1293,2019.9695,346.63834
"025","6am",655.7414,2349.3921,3732.1565,2076.4581,436.57087
"026","6am",283.5458,1975.6618,2528.3562,1597.5439,244.11281
"027","6am",1615.1845,2504.5266,2432.9136,2058.5744,422.56445
"028","6am",1349.0317,1004.3747,2624.2289,1509.1796,83.32391
"029","6am",419.3726,2362.4703,4028.1891,2217.4382,204.59438
"030","6am",1980.5959,3540.7576,3245.9485,1412.9102,337.49868
"031","6am",1909.522,3820.4368,1188.7105,2655.7678,267.09322
"001","7am",319.518,678.5535,1093.0744,877.8117,615.81689
"002","7am",777.1012,2395.9059,2716.3576,1628.8663,288.28055
"003","7am",2180.0536,2183.9348,3256.5893,2354.2046,873.05825
"004","7am",676.2913,918.8968,1582.3786,986.062,613.61996
"005","7am",1976.6993,1113.9851,1978.8314,2487.7972,927.50514
"006","7am",665.5371,624.3315,1842.5811,1838.8721,999.62203
"007","7am",332.2537,922.5217,1543.0236,1190.1582,176.84332
"008","7am",1895.0123,1601.9321,710.065,240.7336,0
"009","7am",1433.1906,1656.5161,2462.3779,1191.3699,621.22355
"010","7am",1689.454,1474.7976,1353.8921,737.1392,83.14339
"011","7am",583.6666,1649.2895,1684.2803,1141.5489,428.34028
"012","7am",3294.3307,1709.3596,766.2749,232.6974,0
"013","7am",1312.5694,502.741,484.5044,163.3784,110.62752
"014","7am",1125.8523,2210.8977,2248.2795,811.5366,365.68355
"015","7am",202.7832,808.5265,1193.0017,556.9114,212.59107
"016","7am",225.4269,369.8546,1390.2933,809.9675,416.72706
