"district","hour","sex1","sex2"
"001","4am",49.92767,50.07233
"002","4am",44.08712,55.91288
"003","4am",40.51348,59.48652
"004","4am",46.91661,53.08339
"005","4am",40.42463,59.57537
"006","4am",42.92958,57.07042
"007","4am",41.39273,58.60727
"008","4am",41.2416,58.7584
"009","4am",42.87329,57.12671
"010","4am",47.6254,52.3746
"011","4am",45.07758,54.92242
"012","4am",43.37251,56.62749
"013","4am",44.7652,55.2348
"014","4am",49.14666,50.85334
"015","4am",44.83897,55.16103
"016","4am",50.76848,49.23152
"017","4am",45.43058,54.56942
"018","4am",46.27834,53.72166
"019","4am",47.03299,52.96701
"020","4am",49.85657,50.14343
"021","4am",45.13714,54.86286
"022","4am",45.43222,54.56778
"023","4am",48.5263,51.4737
"024","4am",46.48846,53.51154
"025","4am",48.17812,51.82188
"026","4am",48.17734,51.82266
"027","4am",44.76204,55.23796
"028","4am",47.84209,52.15791
"029","4am",49.15133,50.84867
"030","4am",48.48002,51.51998
"031","4am",51.88937,48.11063
"001","5am",50.97691,49.02309
"002","5am",42.90578,57.09422
"003","5am",40.15378,59.84622
"004","5am",47.32264,52.67736
"005","5am",40.01436,59.98564
"006","5am",42.92958,57.07042
"007","5am",41.05945,58.94055
"008","5am",41.1518,58.8482
"009","5am",42.02908,57.97092
"010","5am",47.51382,52.48618
"011","5am",43.05672,56.94328
"012","5am",42.3302,57.6698
"013","5am",45.16099,54.83901
"014","5am",50.30459,49.69541
"015","5am",45.39338,54.60662
"016","5am",50.12159,49.87841
"017","5am",45.8439,54.1561
"018","5am",46.2908,53.7092
"019","5am",51.17894,48.82106
"020","5am",50.24251,49.75749
"021","5am",45.15525,54.84475
"022","5am",45.39861,54.60139
"023","5am",49.16837,50.83163
"024","5am",47.47199,52.52801
"025","5am",48.18878,51.81122
"026","5am",47.04327,52.95673
"027","5am",45.12385,54.87615
"028","5am",45.5097,54.4903
"029","5am",48.48712,51.51288
"030","5am",47.67368,52.32632
"031","5am",51.88937,48.11063
"001","6am",49.8006,50.1994
"002","6am",41.35282,58.64718
"003","6am",39.50915,60.49085
"004","6am",46.84127,53.15873
"005","6am",37.77323,62.22677
"006","6am",45.3902,54.6098
"007","6am",41.04263,58.95737
"008","6am",41.11892,58.88108
"009","6am",41.28805,58.71195
"010","6am",45.53142,54.46858
"011","6am",42.78649,57.21351
"012","6am",42.00729,57.99271
"013","6am",45.01358,54.98642
"014","6am",50.68494,49.31506
"015","6am",44.32288,55.67712
"016","6am",48.15531,51.84469
"017","6am",46.7272,53.2728
"018","6am",45.05577,54.94423
"019","6am",49.1917,50.8083
"020","6am",50.36144,49.63856
"021","6am",42.64752,57.35248
"022","6am",44.47994,55.52006
"023","6am",47.57329,52.42671
"024","6am",48.45675,51.54325
"025","6am",47.31046,52.68954
"026","6am",47.82043,52.17957
"027","6am",44.88678,55.11322
"028","6am",46.08417,53.91583
"029","6am",48.21596,51.78404
"030","6am",48.05917,51.94083
"031","6am",50.86914,49.13086
"001","7am",45.18262,54.81738
"002","7am",39.48245,60.51755
"003","7am",38.33189,61.66811
"004","7am",44.00087,55.99913
"005","7am",34.63533,65.36467
"006","7am",43.92269,56.07731
"007","7am",43.01985,56.98015
"008","7am",40.46423,59.53577
"009","7am",41.51962,58.48038
"010","7am",45.72897,54.27103
"011","7am",45.41196,54.58804
"012","7am",41.04362,58.95638
"013","7am",50.35057,49.64943
"014","7am",59.05361,40.94639
"015","7am",47.90048,52.09952
"016","7am",49.88951,50.11049
"017","7am",46.11462,53.88538
"018","7am",41.68416,58.31584
"019","7am",53.62269,46.37731
"020","7am",48.78292,51.21708
"021","7am",43.45551,56.54449
"022","7am",43.04702,56.95298
"023","7am",45.66663,54.33337
"024","7am",48.78977,51.21023
"025","7am",43.57742,56.42258
"026","7am",47.26143,52.73857
"027","7am",41.39348,58.60652
"028","7am",46.22078,53.77922
"029","7am",48.33052,51.66948
"030","7am",48.41822,51.58178
"031","7am",50.82924,49.17076
"001","8am",46.16714,53.83286
"002","8am",36.15046,63.84954
"003","8am",40.56747,59.43253
"004","8am",39.00665,60.99335
"005","8am",31.45408,68.54592
"006","8am",42.74176,57.25824
"007","8am",45.14903,54.85097
"008","8am",39.96481,60.03519
"009","8am",41.86818,58.13182
"010","8am",46.47362,53.52638
"011","8am",44.45598,55.54402
"012","8am",40.61693,59.38307
"013","8am",52.65564,47.34436
"014","8am",54.62151,45.37849
"015","8am",46.28283,53.71717
"016","8am",50.94312,49.05688
"017","8am",47.49568,52.50432
"018","8am",45.29611,54.70389
"019","8am",50.8694,49.1306
"020","8am",43.11042,56.88958
"021","8am",44.92208,55.07792
"022","8am",43.45465,56.54535
"023","8am",46.07997,53.92003
"024","8am",46.5172,53.4828
"025","8am",43.40313,56.59687
"026","8am",46.84012,53.15988
"027","8am",40.68053,59.31947
"028","8am",44.60604,55.39396
"029","8am",47.99365,52.00635
"030","8am",52.37687,47.62313
"031","8am",49.7242,50.2758
"001","9am",45.75629,54.24371
"002","9am",39.23884,60.76116
"003","9am",40.42052,59.57948
"004","9am",41.09588,58.90412
"005","9am",30.92179,69.07821
"006","9am",41.24175,58.75825
"007","9am",45.97834,54.02166
"008","9am",39.11883,60.88117
"009","9am",43.92018,56.07982
"010","9am",46.02619,53.97381
"011","9am",43.45198,56.54802
"012","9am",40.54551,59.45449
"013","9am",50.68386,49.31614
"014","9am",52.34813,47.65187
"015","9am",42.29059,57.70941
"016","9am",53.93112,46.06888
"017","9am",51.65463,48.34537
"018","9am",46.48246,53.51754
"019","9am",50.71024,49.28976
"020","9am",42.83386,57.16614
"021","9am",44.88571,55.11429
"022","9am",44.84362,55.15638
"023","9am",43.28323,56.71677
"024","9am",45.66793,54.33207
"025","9am",40.58665,59.41335
"026","9am",47.13232,52.86768
"027","9am",40.17061,59.82939
"028","9am",45.96789,54.03211
"029","9am",46.48583,53.51417
