"variable","CODE_SEC","RES_SEC","W_IND"
"h4","001","050",13.8872343
"h4","001","140",41.6617029
"h4","001","180",13.8872343
"h4","001","200",27.7744686
"h4","001","240",41.6617029
"h4","001","260",83.3234058
"h4","001","360",13.8872343
"h4","001","400",13.8872343
"h4","001","425",13.8872343
"h4","001","560",13.8872343
"h4","001","820",27.7744686
"h4","050","100",13.8872343
"h4","050","120",27.7744686
"h4","050","140",41.6617029
"h4","050","180",13.8872343
"h4","050","200",138.872343
"h4","050","240",27.7744686
"h4","050","260",41.6617029
"h4","050","300",124.9851087
"h4","050","350",27.7744686
"h4","050","400",27.7744686
"h4","050","425",27.7744686
"h4","050","450",27.7744686
"h4","050","500",27.7744686
"h4","050","560",27.7744686
"h4","050","625",138.872343
"h4","050","750",13.8872343
"h4","050","800",13.8872343
"h4","100","050",41.6617029
"h4","100","120",27.7744686
"h4","100","140",27.7744686
"h4","100","180",83.3234058
"h4","100","200",13.8872343
"h4","100","260",13.8872343
"h4","100","800",13.8872343
"h4","140","050",27.7744686
"h4","140","100",13.8872343
"h4","140","120",13.8872343
"h4","140","180",27.7744686
"h4","140","240",83.3234058
"h4","140","260",27.7744686
"h4","140","300",97.2106401
"h4","140","360",27.7744686
"h4","140","425",55.5489372
"h4","200","001",27.7744686
"h4","200","050",41.6617029
"h4","200","240",13.8872343
"h4","200","260",27.7744686
"h4","200","300",41.6617029
"h4","200","425",97.2106401
"h4","200","500",97.2106401
"h4","200","560",27.7744686
"h4","200","700",13.8872343
"h4","200","840",13.8872343
"h4","260","001",27.7744686
"h4","260","050",13.8872343
"h4","260","180",27.7744686
"h4","260","200",83.3234058
"h4","260","240",13.8872343
"h4","260","425",55.5489372
"h4","260","450",13.8872343
"h4","260","500",97.2106401
"h4","600","050",13.8872343
"h4","600","260",13.8872343
"h4","600","625",27.7744686
"h4","600","650",13.8872343
"h4","600","700",41.6617029
"h4","600","750",13.8872343
"h4","600","800",55.5489372
"h4","600","820",13.8872343
"h4","625","425",13.8872343
"h4","625","600",13.8872343
"h4","625","650",97.2106401
"h4","625","700",27.7744686
"h4","625","750",27.7744686
"h4","625","800",152.7595773
"h4","625","820",111.0978744
"h4","625","840",41.6617029
"h4","800","625",69.4361715
"h4","800","700",13.8872343
"h4","800","820",166.6468116
"h4","800","840",97.2106401
"h4","820","800",124.9851087
"h4","820","840",55.5489372
"h4","820","845",41.6617029
"h5","001","050",13.8872343
"h5","001","140",41.6617029
"h5","001","180",13.8872343
"h5","001","200",27.7744686
"h5","001","240",41.6617029
"h5","001","260",97.2106401
"h5","001","360",13.8872343
"h5","001","400",13.8872343
"h5","001","425",13.8872343
"h5","001","560",13.8872343
"h5","001","820",27.7744686
"h5","050","120",27.7744686
"h5","050","140",138.872343
"h5","050","180",13.8872343
"h5","050","200",152.7595773
"h5","050","240",27.7744686
"h5","050","260",41.6617029
"h5","050","300",124.9851087
"h5","050","350",27.7744686
"h5","050","400",27.7744686
"h5","050","425",27.7744686
"h5","050","450",27.7744686
"h5","050","500",27.7744686
"h5","050","560",27.7744686
"h5","050","625",138.872343
"h5","050","750",13.8872343
"h5","050","800",13.8872343
"h5","100","050",41.6617029
"h5","100","120",27.7744686
"h5","100","140",41.6617029
"h5","100","180",83.3234058
"h5","100","200",13.8872343
"h5","100","260",13.8872343
"h5","100","800",13.8872343
"h5","120","050",55.5489372
"h5","120","300",13.8872343
"h5","120","700",41.6617029
"h5","120","750",13.8872343
"h5","120","800",13.8872343
"h5","120","820",41.6617029
"h5","140","050",27.7744686
"h5","140","100",13.8872343
"h5","140","120",13.8872343
"h5","140","180",27.7744686
"h5","140","240",83.3234058
"h5","140","260",27.7744686
"h5","140","300",97.2106401
"h5","140","360",27.7744686
"h5","140","400",13.8872343
"h5","140","425",55.5489372
"h5","200","001",27.7744686
"h5","200","050",41.6617029
"h5","200","240",13.8872343
"h5","200","260",27.7744686
"h5","200","300",41.6617029
"h5","200","425",111.0978744
"h5","200","500",97.2106401
"h5","200","560",41.6617029
"h5","200","700",13.8872343
"h5","200","840",13.8872343
"h5","260","001",27.7744686
"h5","260","050",13.8872343
"h5","260","180",27.7744686
"h5","260","200",83.3234058
"h5","260","240",13.8872343
"h5","260","300",13.8872343
"h5","260","425",55.5489372
"h5","260","450",13.8872343
"h5","260","500",97.2106401
"h5","600","050",13.8872343
"h5","600","260",13.8872343
"h5","600","625",27.7744686
"h5","600","650",13.8872343
"h5","600","700",41.6617029
"h5","600","750",13.8872343
"h5","600","800",55.5489372
"h5","600","820",13.8872343
"h5","600","840",13.8872343
"h5","625","260",13.8872343
"h5","625","425",13.8872343
"h5","625","600",13.8872343
"h5","625","650",97.2106401
"h5","625","700",27.7744686
"h5","625","750",27.7744686
"h5","625","800",166.6468116
"h5","625","820",111.0978744
"h5","625","840",41.6617029
"h5","800","625",69.4361715
"h5","800","700",13.8872343
"h5","800","820",180.5340459
"h5","800","840",97.2106401
"h5","820","800",124.9851087
"h5","820","840",55.5489372
"h5","820","845",41.6617029
"h6","001","050",41.6617029
"h6","001","100",41.6617029
"h6","001","140",41.6617029
"h6","001","180",13.8872343
"h6","001","200",27.7744686
"h6","001","240",41.6617029
"h6","001","260",111.0978744
"h6","001","360",27.7744686
"h6","001","400",13.8872343
"h6","001","425",27.7744686
"h6","001","500",13.8872343
"h6","001","560",13.8872343
"h6","001","820",27.7744686
"h6","050","120",27.7744686
"h6","050","140",180.5340459
"h6","050","180",27.7744686
"h6","050","200",166.6468116
"h6","050","240",41.6617029
"h6","050","260",111.0978744
"h6","050","300",124.9851087
"h6","050","350",27.7744686
"h6","050","400",27.7744686
"h6","050","425",27.7744686
"h6","050","450",41.6617029
"h6","050","500",55.5489372
"h6","050","560",27.7744686
"h6","050","625",138.872343
"h6","050","750",13.8872343
"h6","050","800",13.8872343
"h6","100","050",41.6617029
"h6","100","120",27.7744686
"h6","100","140",41.6617029
"h6","100","180",97.2106401
"h6","100","200",27.7744686
"h6","100","260",13.8872343
"h6","100","500",13.8872343
"h6","100","700",13.8872343
"h6","100","800",13.8872343
"h6","120","050",55.5489372
"h6","120","260",13.8872343
"h6","120","300",13.8872343
"h6","120","700",55.5489372
"h6","120","750",13.8872343
"h6","120","800",41.6617029
"h6","120","820",41.6617029
"h6","120","845",13.8872343
"h6","140","050",27.7744686
"h6","140","100",27.7744686
