"hour","act1","act2","act3","act4","act5"
"4am",0.1698,0.242,0.6403,0.4936,0.1888
"5am",0.2352,0.2999,0.6404,0.4829,0.1803
"6am",0.307,0.3358,0.624,0.483,0.2075
"7am",0.3557,0.3474,0.5976,0.433,0.1924
"8am",0.3739,0.3467,0.5194,0.3515,0.1969
"9am",0.3759,0.3351,0.5159,0.3918,0.1894
"10am",0.3795,0.3257,0.515,0.4261,0.1974
"11am",0.3845,0.3229,0.5199,0.4508,0.1864
"12am",0.3882,0.3239,0.523,0.4661,0.1849
"1pm",0.3879,0.3193,0.5207,0.4528,0.1831
"2pm",0.3874,0.3263,0.5076,0.4477,0.1665
"3pm",0.3919,0.3506,0.5199,0.4023,0.1828
"4pm",0.3999,0.3792,0.6491,0.3953,0.2236
"5pm",0.3919,0.3923,0.677,0.4556,0.2576
"6pm",0.3556,0.3731,0.6125,0.4801,0.261
"7pm",0.3464,0.3609,0.5981,0.5043,0.2736
"8pm",0.3515,0.3706,0.6158,0.4716,0.3055
"9pm",0.3582,0.416,0.644,0.43,0.326
"10pm",0.3547,0.4368,0.7996,0.4701,0.3335
"11pm",0.3484,0.4464,0.8358,0.5042,0.3241
"12pm",0.3555,0.4655,0.836,0.4968,0.3422
"1am",0.359,0.4618,0.8544,0.4924,0.3515
"2am",0.3586,0.4734,0.8647,0.4925,0.3562
"3am",0.3602,0.4946,0.8648,0.4926,0.347
