"variable","CODE_SEC","RES_SEC","W_IND"
"h4","001","004",8.33982
"h4","001","007",8.33982
"h4","001","013",8.33982
"h4","001","014",8.33982
"h4","001","017",8.33982
"h4","001","020",8.33982
"h4","001","046",8.33982
"h4","001","050",8.33982
"h4","001","061",8.33982
"h4","001","073",8.33982
"h4","001","074",8.33982
"h4","001","075",8.33982
"h4","029","006",16.67964
"h4","029","011",8.33982
"h4","029","014",8.33982
"h4","029","016",16.67964
"h4","029","035",25.01946
"h4","029","036",16.67964
"h4","029","040",8.33982
"h4","029","049",8.33982
"h4","029","068",8.33982
"h4","069","001",8.33982
"h4","069","003",16.67964
"h4","069","004",8.33982
"h4","069","006",16.67964
"h4","069","012",41.6991
"h4","069","013",25.01946
"h4","069","014",16.67964
"h4","069","017",8.33982
"h4","069","021",16.67964
"h4","069","023",16.67964
"h4","069","026",8.33982
"h4","069","027",16.67964
"h4","069","028",8.33982
"h4","069","030",16.67964
"h4","069","032",16.67964
"h4","069","033",25.01946
"h4","069","037",25.01946
"h4","069","039",8.33982
"h4","069","040",8.33982
"h4","069","041",8.33982
"h4","069","042",25.01946
"h4","069","043",33.35928
"h4","069","044",8.33982
"h4","069","045",41.6991
"h4","069","046",33.35928
"h4","069","047",16.67964
"h4","069","048",16.67964
"h4","069","049",8.33982
"h4","069","050",33.35928
"h4","069","051",8.33982
"h4","069","053",8.33982
"h4","069","054",8.33982
"h4","069","056",8.33982
"h4","069","059",8.33982
"h4","069","060",16.67964
"h4","069","061",25.01946
"h4","069","063",16.67964
"h4","069","064",16.67964
"h4","069","065",8.33982
"h4","069","066",16.67964
"h4","069","067",41.6991
"h4","069","070",16.67964
"h4","069","072",8.33982
"h4","069","073",8.33982
"h4","069","074",16.67964
"h5","001","004",16.67964
"h5","001","007",8.33982
"h5","001","013",8.33982
"h5","001","014",8.33982
"h5","001","017",8.33982
"h5","001","020",8.33982
"h5","001","024",8.33982
"h5","001","031",8.33982
"h5","001","046",8.33982
"h5","001","050",8.33982
"h5","001","053",8.33982
"h5","001","061",8.33982
"h5","001","073",8.33982
"h5","001","074",8.33982
"h5","001","075",8.33982
"h5","010","006",16.67964
"h5","010","007",8.33982
"h5","010","012",8.33982
"h5","010","013",8.33982
"h5","010","017",8.33982
"h5","010","026",8.33982
"h5","010","029",8.33982
"h5","010","030",16.67964
"h5","010","031",8.33982
"h5","010","032",8.33982
"h5","010","037",8.33982
"h5","010","045",8.33982
"h5","010","072",8.33982
"h5","010","074",8.33982
"h5","021","024",8.33982
"h5","021","029",16.67964
"h5","021","033",8.33982
"h5","021","045",8.33982
"h5","021","049",8.33982
"h5","021","062",8.33982
"h5","021","074",50.03892
"h5","029","003",8.33982
"h5","029","006",16.67964
"h5","029","011",8.33982
"h5","029","016",25.01946
"h5","029","035",16.67964
"h5","029","036",16.67964
"h5","029","040",8.33982
"h5","029","049",16.67964
"h5","029","068",8.33982
"h5","033","003",8.33982
"h5","033","007",8.33982
"h5","033","015",16.67964
"h5","033","023",8.33982
"h5","033","024",8.33982
"h5","033","028",8.33982
"h5","033","030",8.33982
"h5","033","036",8.33982
"h5","033","055",8.33982
"h5","033","064",8.33982
"h5","033","066",8.33982
"h5","035","007",8.33982
"h5","035","019",8.33982
"h5","035","023",8.33982
"h5","035","027",8.33982
"h5","035","029",8.33982
"h5","035","037",8.33982
"h5","035","039",16.67964
"h5","035","042",8.33982
"h5","035","054",8.33982
"h5","035","059",16.67964
"h5","035","062",8.33982
"h5","035","075",8.33982
"h5","069","001",8.33982
"h5","069","003",16.67964
"h5","069","004",8.33982
"h5","069","006",16.67964
"h5","069","012",41.6991
"h5","069","013",8.33982
"h5","069","014",16.67964
