"district","hour","rev5","rev1","rev2","rev3","rev4"
"001","4am",19.77778,21.222222,18.33333,25.88889,14.777778
"003","4am",19.27878,29.26491,19.55617,20.24965,11.650485
"004","4am",20.54054,27.477477,25.67568,19.81982,6.486486
"005","4am",23.18841,20.144928,22.89855,25.21739,8.550725
"006","4am",20.74132,21.766562,29.10095,21.84543,6.545741
"007","4am",20.94654,27.695004,23.66345,23.04996,4.645048
"010","4am",29.29936,15.286624,17.07006,24.20382,14.140127
"011","4am",28.57143,7.857143,13.57143,27.14286,22.857143
"012","4am",25.76142,8.883249,18.52792,27.47462,19.352792
"013","4am",21.27404,14.903846,24.27885,31.00962,8.533654
"014","4am",20.98274,3.187251,12.88181,33.20053,29.747676
"015","4am",26.4099,12.517194,28.33563,21.5956,11.141678
"016","4am",25.12438,9.825871,31.71642,27.98507,5.348259
"017","4am",23.19661,10.042433,18.38755,32.95615,15.417256
"018","4am",24.27007,11.678832,26.09489,26.45985,11.49635
"019","4am",24.56647,9.633911,28.61272,26.49326,10.693642
"020","4am",27.49658,21.751026,24.35021,22.57182,3.830369
"021","4am",25.16213,19.584955,23.3463,23.99481,7.911803
"023","4am",25.14395,3.166987,24.56814,33.01344,14.107486
"024","4am",24.91103,11.921708,25.62278,29.18149,8.362989
"025","4am",28.68217,28.165375,24.03101,14.72868,4.392765
"026","4am",26.62441,3.961965,21.39461,35.65769,12.361331
"027","4am",22.24231,7.9566,32.91139,30.19892,6.690778
"028","4am",24.18773,6.6787,22.56318,31.76895,14.801444
"029","4am",25.5787,5.555556,19.09722,30.55556,19.212963
"030","4am",29.29807,10.783316,23.29603,27.26348,9.359105
"031","4am",23.4375,26.846591,26.70455,19.46023,3.551136
"032","4am",19.89987,13.767209,25.53191,29.0363,11.764706
"033","4am",24.71098,12.861272,30.0578,23.98844,8.381503
"034","4am",24.85549,6.358382,22.83237,34.68208,11.271676
"035","4am",25.08197,7.377049,18.19672,27.86885,21.47541
"036","4am",25.86538,7.596154,25.86538,28.26923,12.403846
"037","4am",24.87611,11.992071,26.85828,26.85828,9.415263
"038","4am",24.25422,6.485084,32.42542,24.12451,12.710765
"039","4am",20.17699,6.902655,38.23009,28.67257,6.017699
"040","4am",23.34123,5.924171,30.21327,31.99052,8.530806
"041","4am",20.55921,7.730263,34.04605,30.59211,7.072368
"042","4am",27.19665,4.393305,18.09623,32.21757,18.096234
"043","4am",27.8,12.4,24.5,23.4,11.9
"044","4am",27.66706,18.053927,23.68113,23.44666,7.151231
"045","4am",30.65954,7.664884,27.45098,22.63815,11.586453
"046","4am",23.42569,10.327456,23.80353,31.23426,11.209068
"047","4am",24.43609,7.518797,30.26316,32.33083,5.451128
"048","4am",24.28977,10.795455,25.56818,27.27273,12.073864
"049","4am",25.71429,4.880952,28.33333,29.40476,11.666667
"050","4am",27.35703,7.882535,27.20247,24.57496,12.982998
"051","4am",20.2934,8.801956,28.36186,30.56235,11.98044
"052","4am",22.16387,4.726891,26.05042,30.67227,16.386555
"053","4am",22.74306,6.770833,24.65278,30.55556,15.277778
"054","4am",19.43574,9.717868,32.2884,31.97492,6.583072
"055","4am",24.04494,10.11236,32.13483,26.96629,6.741573
"056","4am",21.73038,11.066398,36.41851,21.73038,9.054326
"059","4am",23.30435,4.521739,26.43478,34.26087,11.478261
"060","4am",23.80137,10.787671,27.73973,23.63014,14.041096
"061","4am",26.36054,2.210884,16.66667,31.97279,22.789116
"062","4am",27.2381,10.095238,25.71429,29.52381,7.428571
"063","4am",27.48644,12.658228,31.64557,21.69982,6.509946
"064","4am",31.07143,11.785714,30.35714,20.53571,6.25
"065","4am",19.30147,14.705882,29.22794,28.125,8.639706
"066","4am",24.33298,14.087513,29.77588,23.05229,8.751334
"067","4am",24.54874,12.093863,29.42238,24.90975,9.025271
"068","4am",23.68421,16.008772,32.45614,18.85965,8.991228
"069","4am",18.29026,7.753479,17.09742,29.02584,27.833002
"070","4am",21.12403,11.627907,17.34496,28.48837,21.414729
"071","4am",20.55336,17.391304,15.61265,24.50593,21.936759
"072","4am",28.04314,7.858243,15.40832,21.57165,27.118644
"073","4am",22.47191,28.651685,20.97378,18.91386,8.988764
"074","4am",28.51064,14.808511,27.74468,21.78723,7.148936
"075","4am",29.88506,11.111111,28.16092,25.47893,5.363985
"076","4am",22.86213,6.282723,30.89005,28.09773,11.867365
