"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018";"019";"020";"021";"022";"023";"024";"025";"026";"027";"028";"029";"030"
"min";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"max";"6956.48427";"6956.48427";"6956.48427";"6956.48427";"6956.48427";"6956.48427";"6956.48427";"6956.48427";"6956.48427";"6956.48427";"6956.48427";"6956.48427";"6956.48427";"6956.48427";"6956.48427";"6956.48427";"6956.48427";"6956.48427";"6956.48427";"6956.48427";"6956.48427";"6956.48427";"6956.48427";"6956.48427";"6956.48427";"6956.48427";"6956.48427";"6956.48427";"6956.48427";"6956.48427"
"4am";"0";" 0";" 0";" 0";" 0";"0";" 0";"0";"0";" 0";" 0";"0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";"0";" 0";" 0";"0";" 0"
"5am";"0";" 0";" 0";" 0";" 0";"0";" 0";"0";"0";"0";" 0";" 0";" 0";" 0";"0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";"0";" 0"
"6am";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";"0";" 0"
"7am";"   0.0000";"   0.0000";"1505.4373";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"1273.3651";"   0.0000";"2533.1663";"1285.4254";"1046.4131";"   0.0000";"1857.0001";"3090.9766";"   0.0000";"2243.1444";" 909.7622";"1066.9869";" 797.7927";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"1084.4264"
"8am";" 663.1234";"   0.0000";"2317.5913";" 787.9660";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"1873.0168";"   0.0000";"5354.3607";"2517.2308";"2182.7613";"1307.9037";"3329.4770";"6532.1335";"1387.3145";"3014.3007";"1958.6539";"1340.9233";"1596.2850";" 999.1732";"1005.0705";" 815.6701";"1371.7427";"   0.0000";"1098.9614";"   0.0000";"   0.0000";"1771.3340"
"9am";" 663.1234";"   0.0000";"2452.4108";" 787.9660";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"1981.7152";"   0.0000";"5712.4793";"2628.9407";"2503.5479";"1307.9037";"3388.5361";"6943.3252";"1162.5967";"3119.0494";"2119.8827";"1883.1505";"1874.4128";" 878.2774";" 944.5814";"1286.2333";"1446.3820";"   0.0000";"1098.9614";"   0.0000";"   0.0000";"1713.1486"
"10am";" 697.5176";"   0.0000";"2636.4106";" 787.9660";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"1946.5697";"   0.0000";"5966.9923";"2822.6364";"2420.5550";"1393.2601";"2996.2771";"6956.4843";"1255.3555";"2956.3391";"2275.2342";"1847.4549";"1963.2238";" 996.1253";" 944.5814";"1593.8523";"1113.4277";"   0.0000";"1098.9614";"   0.0000";"   0.0000";"1744.2744"
"11am";"   0.0000";"   0.0000";"2883.7924";" 787.9660";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"1954.0101";"   0.0000";"5459.4341";"2901.6227";"2515.3515";"1288.6402";"2096.2827";"6504.5030";"1255.3555";"2821.9567";"2150.0011";"1537.1480";"1959.7842";" 912.7446";" 944.5814";"1356.5273";" 899.7049";"   0.0000";" 866.4233";"   0.0000";"   0.0000";"1718.4189"
"12am";"   0.0000";"   0.0000";"2206.6239";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"1653.9742";"   0.0000";"3964.6704";"2024.4372";"2256.6576";" 947.1959";"1524.6607";"4704.5150";"   0.0000";"1777.5253";"1592.8466";" 775.0265";"1340.8297";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";" 884.8969";"   0.0000";"   0.0000";"1386.5046"
"1pm";"   0.0000";"   0.0000";"2715.4276";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"1870.6855";"   0.0000";"5142.2520";"2351.9316";"2922.9261";"1356.2805";"2166.8725";"6045.7140";"1133.3958";"2264.8117";"2093.5621";"1480.7714";"1908.6700";" 905.2600";" 908.1629";"   0.0000";" 929.9802";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"1495.1989"
"2pm";"   0.0000";"   0.0000";"2900.5814";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"1817.5536";"   0.0000";"5113.3610";"2426.4255";"3387.9571";"1356.2805";"2182.5886";"6409.0022";"1133.3958";"1397.4707";"1921.2542";"1894.4601";"1826.1569";"1009.4383";" 983.7119";"1330.9652";"1082.6312";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"1270.5885"
"3pm";"   0.0000";"   0.0000";"2684.4238";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"1385.7174";"   0.0000";"4787.7190";"2409.5364";"3193.6637";"1356.2805";"2081.7170";"6288.1458";"1080.0262";"1441.2893";"1921.2542";"1919.4258";"1836.7387";" 905.6558";"1006.2350";"1373.0432";" 831.0484";"   0.0000";"   0.0000";"   0.0000";"1003.0484";"1448.5859"
"4pm";"   0.0000";"   0.0000";"1880.1819";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"1337.8788";"   0.0000";"4181.0655";"1689.3876";"3390.2948";"1220.4868";"1890.1239";"5597.7173";"   0.0000";"1188.5381";"1923.3256";"1794.7573";"1574.1168";" 747.6437";" 965.2991";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"1313.2192"
"5pm";"   0.0000";"   0.0000";"1144.9000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";" 776.7264";"   0.0000";"2530.0952";" 705.9433";"2558.4848";"   0.0000";"1578.9519";"3912.0347";"   0.0000";"   0.0000";"   0.0000";"1073.6205";"1070.3971";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";" 981.4396"
"6pm";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"1460.6231";"   0.0000";" 861.8945";"   0.0000";"1340.0956";"2082.0171";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000"
"7pm";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"8pm";"0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0"
"9pm";"0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";"0";" 0";" 0";" 0"
"10pm";"0";"0";" 0";" 0";" 0";" 0";" 0";"0";"0";"0";" 0";" 0";" 0";"0";" 0";" 0";"0";"0";" 0";" 0";"0";"0";" 0";" 0";"0";" 0";"0";" 0";" 0";" 0"
"11pm";"0";"0";" 0";" 0";" 0";" 0";"0";"0";"0";"0";" 0";" 0";" 0";"0";" 0";" 0";"0";"0";" 0";" 0";"0";"0";" 0";" 0";"0";" 0";"0";" 0";"0";" 0"
"12pm";"0";"0";" 0";" 0";"0";" 0";"0";"0";"0";"0";" 0";"0";" 0";"0";" 0";" 0";"0";" 0";"0";" 0";"0";"0";" 0";" 0";"0";" 0";"0";" 0";"0";" 0"
"1am";"0";"0";" 0";" 0";"0";" 0";"0";"0";"0";"0";" 0";"0";" 0";"0";" 0";" 0";" 0";" 0";"0";" 0";"0";"0";" 0";" 0";"0";" 0";"0";" 0";"0";" 0"
"2am";"0";"0";" 0";" 0";"0";" 0";"0";"0";"0";"0";" 0";"0";" 0";"0";" 0";" 0";" 0";" 0";"0";" 0";" 0";"0";" 0";" 0";"0";" 0";"0";" 0";"0";" 0"
"3am";"0";"0";" 0";" 0";"0";" 0";"0";"0";"0";"0";" 0";"0";" 0";"0";" 0";" 0";" 0";" 0";"0";" 0";" 0";"0";" 0";" 0";"0";" 0";"0";" 0";"0";" 0"
