"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018";"019";"020";"021";"022";"023";"024";"025";"026";"027";"028";"029";"030"
"min";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"max";"13035.05945";"13035.05945";"13035.05945";"13035.05945";"13035.05945";"13035.05945";"13035.05945";"13035.05945";"13035.05945";"13035.05945";"13035.05945";"13035.05945";"13035.05945";"13035.05945";"13035.05945";"13035.05945";"13035.05945";"13035.05945";"13035.05945";"13035.05945";"13035.05945";"13035.05945";"13035.05945";"13035.05945";"13035.05945";"13035.05945";"13035.05945";"13035.05945";"13035.05945";"13035.05945"
"4am";"  0.00000";"  0.00000";"  0.00000";"  0.00000";"  0.00000";"  0.00000";"  0.00000";"  0.00000";"  0.00000";"  0.00000";"103.73640";"  0.00000";"  0.00000";"  0.00000";"  0.00000";"  0.00000";"  0.00000";"  0.00000";"  0.00000";" 57.74311";" 57.87300";"  0.00000";"  0.00000";"  0.00000";"  0.00000";"  0.00000";"  0.00000";"  0.00000";"  0.00000";"  0.00000"
"5am";"  0.00000";"  0.00000";"  0.00000";"  0.00000";"  0.00000";"  0.00000";"  0.00000";"  0.00000";"  0.00000";"  0.00000";"103.73640";"  0.00000";"  0.00000";"  0.00000";"  0.00000";"  0.00000";"  0.00000";"  0.00000";"  0.00000";" 57.74311";" 57.87300";"  0.00000";"  0.00000";"  0.00000";"  0.00000";"  0.00000";"  0.00000";"  0.00000";"  0.00000";"  0.00000"
"6am";"  0.00000";"  0.00000";"  0.00000";"  0.00000";"  0.00000";"  0.00000";"  0.00000";"  0.00000";"  0.00000";"  0.00000";"103.73640";"  0.00000";"  0.00000";"  0.00000";"  0.00000";"  0.00000";"  0.00000";"  0.00000";"  0.00000";" 57.74311";" 57.87300";"  0.00000";" 34.24830";"  0.00000";"  0.00000";"  0.00000";"  0.00000";"  0.00000";"  0.00000";"  0.00000"
"7am";" 215.84200";"   0.00000";" 337.69423";"   0.00000";"   0.00000";"   0.00000";"  38.99604";"   0.00000";" 673.43952";"   0.00000";"4093.80059";" 115.62970";"1801.80831";" 945.07161";" 145.91260";" 148.19790";"  39.39698";"  41.83156";"  67.46311";" 135.68228";" 971.51511";"  45.97700";"  34.24830";"   0.00000";" 149.63117";"   0.00000";"   0.00000";"  43.55649";"   0.00000";" 551.17334"
"8am";" 327.50630";" 387.88080";" 337.69423";"   0.00000";"   0.00000";"   0.00000";" 250.46926";"   0.00000";" 673.43952";"   0.00000";"4447.54786";" 362.09945";"2887.39348";" 945.07161";" 145.91260";" 342.81929";" 198.26958";" 110.13915";" 201.09571";" 135.68228";" 905.32398";"  45.97700";" 127.10824";"   0.00000";" 149.63117";" 184.79421";"   0.00000";" 257.06059";"  59.12241";" 833.93684"
"9am";" 327.50630";" 387.88080";" 387.35850";"   0.00000";"   0.00000";"   0.00000";" 114.28036";"  75.28432";" 673.43952";"   0.00000";"4577.43256";" 362.09945";"3480.30858";" 945.07161";" 145.91260";" 342.81929";" 198.26958";" 110.13915";" 201.09571";" 135.68228";"1048.09218";"  45.97700";" 127.10824";"  89.79375";" 149.63117";" 184.79421";"   0.00000";" 257.06059";"  59.12241";" 833.93684"
"10am";" 327.50630";" 387.88080";" 387.35850";"   0.00000";"   0.00000";"   0.00000";" 114.28036";"  75.28432";" 673.43952";"   0.00000";"4648.80688";" 362.09945";"3480.30858";" 945.07161";" 145.91260";" 342.81929";" 305.45408";" 110.13915";" 201.09571";" 135.68228";"1163.72188";"  45.97700";" 127.10824";"  89.79375";" 149.63117";" 184.79421";"   0.00000";" 257.06059";"  59.12241";" 833.93684"
"11am";" 327.50630";" 387.88080";" 387.35850";"   0.00000";"   0.00000";"   0.00000";" 250.46926";"  75.28432";" 673.43952";"   0.00000";"4570.32271";" 362.09945";"3163.67295";" 308.58021";" 145.91260";" 272.08250";" 305.45408";" 110.13915";" 201.09571";"  57.74311";"1117.74488";"  45.97700";" 127.10824";"  89.79375";" 149.63117";" 184.79421";"   0.00000";" 257.06059";"  59.12241";" 833.93684"
