"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018";"019";"020";"021";"022";"023";"024";"025";"026";"027";"028";"029";"030"
"min";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"max";"9681.68754";"9681.68754";"9681.68754";"9681.68754";"9681.68754";"9681.68754";"9681.68754";"9681.68754";"9681.68754";"9681.68754";"9681.68754";"9681.68754";"9681.68754";"9681.68754";"9681.68754";"9681.68754";"9681.68754";"9681.68754";"9681.68754";"9681.68754";"9681.68754";"9681.68754";"9681.68754";"9681.68754";"9681.68754";"9681.68754";"9681.68754";"9681.68754";"9681.68754";"9681.68754"
"4am";"3025.2144";"2514.8235";"3753.4771";"3107.9875";"2411.4273";"2039.9397";"3205.1752";"2882.2506";"1841.0427";"1478.0112";"2144.9835";"2288.3461";"1744.0262";"1568.7563";"1274.7947";"1486.5976";"2300.6818";" 985.8627";"1675.4408";"3848.4679";"2749.5502";"1730.8802";"1569.2749";"1432.1735";"3257.4935";"2198.4045";"1780.4246";"2954.3833";"1832.5016";"2002.9110"
"5am";"3025.2144";"2514.8235";"3753.4771";"3107.9875";"2411.4273";"2039.9397";"3205.1752";"2882.2506";"1841.0427";"1478.0112";"2144.9835";"2288.3461";"1744.0262";"1568.7563";"1274.7947";"1486.5976";"2300.6818";" 985.8627";"1675.4408";"3848.4679";"2749.5502";"1730.8802";"1569.2749";"1432.1735";"3257.4935";"2198.4045";"1780.4246";"2954.3833";"1832.5016";"2002.9110"
"6am";"3025.2144";"2514.8235";"3753.4771";"3107.9875";"2411.4273";"2039.9397";"3205.1752";"2882.2506";"1841.0427";"1478.0112";"2144.9835";"2304.0465";"1744.0262";"1568.7563";"1274.7947";"1486.5976";"2300.6818";" 970.1624";"1675.4408";"3848.4679";"2749.5502";"1730.8802";"1569.2749";"1432.1735";"3257.4935";"2198.4045";"1780.4246";"2954.3833";"1832.5016";"2002.9110"
"7am";"3025.2144";"2431.9927";"3836.3079";"3107.9875";"2352.6250";"2010.2660";"3205.1752";"2882.2506";"1899.8450";"1478.0112";"2144.9835";"2245.0439";"1744.0262";"1568.7563";"1246.1926";"1545.6002";"2300.6818";" 970.1624";"1675.4408";"3848.4679";"2778.1523";"1730.8802";"1569.2749";"1432.1735";"3257.4935";"2198.4045";"1780.4246";"2954.3833";"1832.5016";"2002.9110"
"8am";"3025.2144";"2298.4840";"3836.3079";"3204.4154";"2411.4273";"2010.2660";"3173.0387";"2767.3556";"1883.2306";"1478.0112";"2271.2345";"2177.2419";"1714.7477";"1572.5441";"1160.3866";"1580.6286";"2316.4031";" 970.1624";"1659.0215";"3642.2660";"2825.8798";"1748.9234";"1557.6187";"1464.3793";"3179.3441";"2198.4045";"1732.2063";"2851.0516";"1832.5016";"2014.7180"
"9am";"2818.7693";"2342.8975";"3931.1960";"3120.3251";"2336.4933";"1911.4560";"3045.7670";"2738.2109";"2054.5738";"1494.5383";"2485.1135";"2326.2209";"1592.3853";"1488.6772";"1066.7713";"1800.2580";"2225.9077";" 922.1779";"1573.2878";"3496.7208";"3049.9142";"1672.3945";"1414.5554";"1441.6919";"3035.0781";"2128.9517";"1941.1746";"2878.6742";"1685.5109";"1972.1742"
"10am";"2736.2475";"2099.4251";"3922.4786";"3184.9172";"2322.3248";"2105.1632";"2894.5545";"2861.6395";"2053.7128";"1373.8986";"2698.9346";"2235.8937";"1618.9290";"1524.2383";"1085.3619";"1683.8991";"2297.9825";" 999.8766";"1442.7985";"3715.4676";"2893.4667";"1614.5476";"1407.1112";"1328.3552";"3081.9947";"2088.1766";"1849.7104";"2823.8920";"1610.2641";"2086.3454"
"11am";"2736.2475";"2279.4194";"3748.3814";"3134.6865";"2382.3179";"1874.9032";"2946.2460";"2685.0168";"2109.5564";"1431.6363";"2273.3495";"2133.2180";"1715.5935";"1487.2682";"1188.0994";"1669.2850";"2419.9703";" 903.7494";"1523.7073";"3684.9666";"2777.9401";"1755.1289";"1475.4522";"1357.4631";"3113.5110";"2166.2705";"1637.1233";"2862.1030";"1724.1007";"1993.6190"
"12am";"3025.2144";"2516.0143";"3674.8214";"3093.8189";"2383.5374";"1942.5846";"3103.5012";"2701.6911";"1928.7161";"1478.0112";"2259.2084";"2177.9748";"1777.8929";"1532.7927";"1208.2288";"1537.0502";"2314.6091";" 990.4406";"1675.4408";"3695.2872";"2838.2062";"1755.6628";"1595.8043";"1461.5543";"3113.5110";"2128.9517";"1740.6496";"2897.7236";"1790.4089";"2006.8737"
