"variable","CODE_SEC","RES_SEC","W_IND"
"h7","016","006",45.52525
"h7","016","007",57.11412
"h7","016","009",44.18919
"h7","016","010",43.8186
"h7","016","011",69.87976
"h7","016","014",19.62513
"h7","016","017",80.7373
"h7","016","018",22.73488
"h7","016","019",319.51322
"h7","016","020",64.79579
"h7","016","022",78.60023
"h8","011","005",150.0772
"h8","011","006",52.59424
"h8","011","008",32.5561
"h8","011","009",44.18919
"h8","011","013",88.67886
"h8","011","015",28.60202
"h8","011","016",33.49281
"h8","011","017",47.504
"h8","011","018",22.73488
"h8","011","019",63.57781
"h8","011","021",40.93582
"h8","011","024",125.2331
"h8","012","010",208.31607
"h8","012","011",202.6282
"h8","012","013",175.3293
"h8","012","014",130.2055
"h8","012","015",106.99489
"h8","012","016",82.95173
"h8","012","017",47.8071
"h8","012","018",40.31018
"h8","012","019",18.77184
"h8","016","006",116.6847
"h8","016","007",118.86934
"h8","016","009",88.37838
"h8","016","010",43.8186
"h8","016","011",157.91262
"h8","016","012",234.2317
"h8","016","013",211.19402
"h8","016","014",56.5278
"h8","016","017",128.5444
"h8","016","018",22.73488
"h8","016","019",454.96244
"h8","016","020",258.19919
"h8","016","022",78.60023
"h8","016","028",150.3276
"h8","016","029",66.55705
"h9","011","003",32.54523
"h9","011","005",150.0772
"h9","011","006",52.59424
"h9","011","008",91.71802
"h9","011","009",44.18919
"h9","011","012",39.33682
"h9","011","013",124.7472
"h9","011","015",37.90239
"h9","011","016",76.29854
"h9","011","017",89.6919
"h9","011","018",22.73488
"h9","011","019",63.57781
"h9","011","021",40.93582
"h9","011","022",85.35636
"h9","011","024",125.2331
"h9","012","001",43.5205
"h9","012","010",208.31607
"h9","012","011",202.6282
"h9","012","013",260.71068
"h9","012","014",130.2055
"h9","012","015",106.99489
"h9","012","016",40.146
"h9","012","017",47.8071
"h9","012","018",145.53236
"h9","012","019",18.77184
"h9","013","001",40.34818
"h9","013","010",41.43157
"h9","013","011",110.26608
