"variable","CODE_SEC","RES_SEC","W_IND"
"h7","011","003",607.98637
"h7","011","005",314.10721
"h7","011","006",71.37432
"h7","011","008",57.07395
"h7","011","009",31.71812
"h7","011","010",43.8186
"h7","011","012",525.63257
"h7","011","013",99.21523
"h7","011","014",36.90267
"h7","011","015",94.92914
"h7","011","016",65.32882
"h7","011","017",137.08779
"h7","011","018",297.95033
"h7","011","021",68.78084
"h7","011","024",48.17719
"h7","012","008",82.81686
"h7","012","010",191.39237
"h7","012","013",40.11938
"h7","012","014",33.02558
"h7","012","016",33.49281
"h7","012","018",15.70037
"h7","012","019",152.33839
"h7","012","020",30.11838
"h7","012","021",115.6297
"h7","013","006",24.03096
"h7","013","010",37.84877
"h7","013","014",16.51279
"h7","013","015",258.7452
"h7","013","016",301.19706
"h7","013","017",80.7373
"h7","013","018",133.25503
"h7","013","019",97.16789
"h7","013","023",232.94057
"h7","013","024",77.34472
"h7","015","001",111.6643
"h7","015","002",119.8843
"h7","015","003",44.06435
"h7","015","005",63.59515
"h7","015","010",69.5458
"h7","015","011",73.28156
"h7","015","014",154.6956
"h7","015","016",17.62291
"h7","015","018",123.60648
"h7","016","003",44.06435
"h7","016","004",148.1979
"h7","016","008",77.30911
"h7","016","009",86.308
"h7","016","010",228.32728
"h7","016","013",29.47151
"h7","016","014",69.92825
"h7","016","017",47.8071
"h7","016","018",32.92978
"h7","016","019",41.67712
"h7","016","020",156.65415
"h7","016","022",106.64619
"h7","016","023",23.41558
"h7","016","024",88.09003
"h7","016","026",20.33749
"h8","003","001",125.60527
"h8","003","002",221.85032
"h8","003","004",51.46925
"h8","003","005",132.316
"h8","003","008",57.07395
"h8","003","011",49.18125
"h8","003","012",35.88815
"h8","003","017",112.30198
"h8","003","019",91.97887
"h8","003","023",31.12579
"h8","009","005",23.22585
"h8","009","006",283.18248
"h8","009","007",271.75719
"h8","009","008",151.85915
"h8","009","017",42.1879
"h8","009","019",86.82449
"h8","011","001",43.5205
"h8","011","003",607.98637
"h8","011","005",314.10721
"h8","011","006",71.37432
"h8","011","008",336.55055
"h8","011","009",57.23075
"h8","011","010",85.25017
"h8","011","012",559.5336
"h8","011","013",198.60793
"h8","011","014",150.38839
"h8","011","015",474.97151
"h8","011","016",183.7496
"h8","011","017",184.89489
"h8","011","018",297.95033
"h8","011","021",190.21157
"h8","011","024",48.17719
"h8","011","026",216.3588
"h8","012","002",58.85715
"h8","012","007",178.6117
"h8","012","008",82.81686
"h8","012","010",243.55172
"h8","012","013",40.11938
"h8","012","014",106.83092
"h8","012","015",131.99957
"h8","012","016",33.49281
"h8","012","018",38.43525
"h8","012","019",253.43706
"h8","012","020",30.11838
"h8","012","021",115.6297
"h8","012","023",23.41558
"h8","013","006",140.71566
"h8","013","007",136.1889
"h8","013","008",142.2049
"h8","013","009",86.308
"h8","013","010",79.28034
"h8","013","014",16.51279
"h8","013","015",336.78696
"h8","013","016",256.37192
"h8","013","017",80.7373
"h8","013","018",133.25503
"h8","013","019",141.56336
"h8","013","023",232.94057
"h8","013","024",77.34472
"h8","015","001",366.4298
"h8","015","002",119.8843
"h8","015","003",44.06435
"h8","015","005",63.59515
"h8","015","010",107.39457
"h8","015","011",73.28156
"h8","015","012",39.33682
"h8","015","014",154.6956
"h8","015","016",17.62291
"h8","015","017",33.2333
"h8","015","018",146.34136
"h8","015","019",44.39547
"h8","016","003",44.06435
"h8","016","004",148.1979
"h8","016","005",48.96883
"h8","016","006",338.05339
"h8","016","008",150.94486
"h8","016","009",86.308
"h8","016","010",249.25235
"h8","016","013",92.91149
"h8","016","014",272.42757
"h8","016","017",47.8071
"h8","016","018",214.7753
"h8","016","019",41.67712
"h8","016","020",156.65415
"h8","016","022",106.64619
"h8","016","023",23.41558
"h8","016","024",117.25756
"h8","016","026",20.33749
"h8","018","001",175.69405
"h8","018","009",44.18919
"h8","018","010",170.4673
"h8","018","012",65.32023
"h8","018","013",64.03603
"h8","018","014",175.0715
"h8","018","017",107.1845
"h8","018","020",90.86183
"h8","018","023",179.4325
"h8","018","024",114.69103
"h8","021","011",49.66158
"h8","021","017",66.96052
"h8","021","018",94.51909
"h8","021","019",88.79094
"h8","021","022",147.89858
"h8","021","023",110.20175
"h8","021","024",242.8044
"h8","021","025",191.31845
"h8","025","021",121.75504
"h8","025","022",142.96795
"h8","025","023",201.59121
"h8","025","024",56.41511
"h8","025","027",89.66674
