"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018";"019";"020";"021";"022";"023";"024";"025";"026";"027";"028";"029";"030"
"min";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"max";"62.1325289938992";"62.1325289938992";"62.1325289938992";"62.1325289938992";"62.1325289938992";"62.1325289938992";"62.1325289938992";"62.1325289938992";"62.1325289938992";"62.1325289938992";"62.1325289938992";"62.1325289938992";"62.1325289938992";"62.1325289938992";"62.1325289938992";"62.1325289938992";"62.1325289938992";"62.1325289938992";"62.1325289938992";"62.1325289938992";"62.1325289938992";"62.1325289938992";"62.1325289938992";"62.1325289938992";"62.1325289938992";"62.1325289938992";"62.1325289938992";"62.1325289938992";"62.1325289938992";"62.1325289938992"
"4am";"10.418160";" 7.150239";"10.175063";"13.617512";" 9.385372";"14.657996";" 7.981138";"10.926821";"22.304944";" 6.447802";"20.337256";"12.115282";"12.372204";"18.042544";"14.967202";"23.128176";"13.691065";"11.317485";"16.226130";"23.531812";"12.844880";"15.362375";" 7.114719";" 5.188159";" 8.242662";" 9.288955";" 5.819101";" 8.312428";" 6.326806";"16.474793"
"5am";"10.071797";" 7.129986";"10.215758";"13.680474";" 9.437065";"14.774620";" 7.835066";"11.017396";"22.371019";" 6.866237";"20.050329";"11.782574";"12.303924";" 7.413601";"14.696943";"22.200634";"13.803917";"22.363261";"15.714541";"23.493894";"13.313184";"16.081301";" 7.184123";" 5.264069";" 8.424508";" 9.229221";" 5.839121";" 8.222657";" 6.471275";"16.429669"
"6am";"10.191112";" 7.294299";"11.186720";"13.583546";" 9.620722";"14.472656";" 8.514635";" 9.837177";"20.434782";" 6.370605";"20.179961";"11.941488";"12.875662";" 7.490383";"13.833215";"22.199171";"12.401201";"22.515833";"14.267031";"23.104649";"13.746087";"15.839993";" 7.499343";" 5.417825";" 8.581355";" 9.229221";" 5.906884";" 7.984124";" 5.935282";"16.052383"
"7am";" 9.039987";" 6.859372";"11.105976";"15.584485";" 7.929883";"11.156712";" 7.421426";" 9.386326";"19.834870";" 6.488852";"23.007370";"10.956105";"13.937535";" 9.505303";"11.509101";"22.225913";" 9.026624";"19.246822";"12.630410";"18.619541";"19.678424";" 8.982228";" 7.380674";" 4.878278";" 6.251578";" 9.442648";" 5.002127";" 8.468699";" 6.153205";"14.842144"
"8am";"10.355596";" 8.686884";"10.238920";"14.710535";" 7.516659";" 8.708285";"11.680544";"10.054211";"23.528800";" 6.820177";"18.056433";"12.046148";"14.109773";"12.469818";"18.604588";"14.101372";" 8.540077";"20.166238";" 9.765191";"21.334275";"12.068207";"10.742961";" 4.487937";" 8.310380";" 6.385061";"10.328806";" 4.801397";" 8.018127";" 6.805507";"13.092496"
"9am";" 9.787137";"14.008379";"10.825016";"10.421612";" 6.230288";"10.574636";"11.459712";"10.035976";"22.553975";" 6.735252";"18.633356";"13.042832";"13.816532";"12.447355";"19.167544";"16.094105";" 7.870880";"19.520142";" 6.775141";"19.952675";"10.471864";"10.780790";" 5.162193";" 5.244638";" 6.225702";"10.229868";" 4.921111";" 7.952743";" 6.713618";"13.739770"
"10am";"11.309049";"11.958856";"10.145537";"11.273457";" 5.668524";" 5.807861";"11.241537";" 9.059769";"22.882759";" 6.294794";"19.216819";"10.246535";"13.073570";"11.583229";"21.328468";"17.299643";" 9.366627";"20.107041";" 8.207821";"20.267574";"13.119367";" 5.944944";" 4.021757";" 5.332258";" 7.217243";" 9.926402";" 5.386938";" 7.595116";" 6.558897";"12.592357"
"11am";"10.566819";"14.157591";" 9.194959";" 9.700122";" 4.701258";"10.095117";"10.435521";" 9.208789";"24.279541";" 5.100062";"20.251925";"18.239758";"14.486966";"10.293335";"11.829252";"15.645943";" 8.613866";"20.602005";" 7.819050";"21.752011";"12.792192";"10.101960";" 5.052326";" 5.200113";" 5.015014";"10.430091";" 4.031444";" 7.363853";" 6.470664";"13.206247"
"12am";" 9.760944";" 8.692716";" 9.260784";"14.973695";" 5.096419";"14.894893";" 7.039268";"10.330530";"22.218709";" 5.996984";"21.412543";"10.259186";"14.474046";"10.483525";"10.849540";"14.718488";" 5.923324";"22.172871";"10.846988";"19.030848";"16.407867";"10.397048";" 5.243311";" 4.344953";" 6.034955";"12.731087";" 4.265346";" 7.256029";" 7.673265";"11.907502"
"1pm";" 8.982261";" 7.394891";" 9.557644";"14.987547";" 5.162614";"11.087470";"10.141125";"10.896069";"22.382063";" 7.432367";"20.825158";"12.145861";"16.664488";"10.297859";"11.245032";"14.512741";" 5.099906";"19.965632";" 9.104658";"20.659127";"10.424638";"10.132943";" 4.812071";" 5.397983";" 5.893983";" 9.415849";" 4.162977";" 8.163191";" 6.475075";"14.605209"
"2pm";" 9.687609";"12.060448";"10.036606";" 9.734273";" 5.464773";" 9.171802";"10.554022";" 9.632274";"23.981179";" 7.280168";"19.938120";"13.797705";"17.171117";"12.522008";"10.515200";"14.433507";" 5.523313";" 6.686872";" 9.802748";"21.386364";"12.826324";" 9.235817";" 5.515515";" 5.387741";" 5.398915";" 8.346349";" 3.573966";" 9.806724";" 6.140959";"14.129250"
"3pm";"10.216505";"13.287079";" 9.044224";"10.172549";" 5.621558";"11.661069";"11.377637";" 8.341952";"24.450790";" 6.180431";"20.624945";"14.526402";"17.188437";"21.885007";"11.300812";"14.259366";" 5.166474";" 7.024822";" 7.007825";"22.440353";"11.413073";"11.182460";" 4.661596";" 5.213234";" 6.379668";" 9.028634";" 3.692489";" 7.313722";" 6.764477";"14.115473"
"4pm";"10.128809";"13.692106";" 9.473626";"10.908188";" 6.752655";"12.747378";"10.790072";" 9.100662";"24.083220";" 4.877013";"20.370212";"22.540713";"16.645219";"10.106280";"11.334339";"15.191206";" 6.039254";" 6.200076";" 8.911617";"21.119177";"14.247286";" 9.586983";" 4.690124";" 6.245503";" 5.250630";" 7.115233";" 5.696146";" 7.995172";" 6.065170";"12.826041"
"5pm";" 9.954718";"10.904780";"11.285696";" 8.862561";" 8.029306";"11.391676";"11.355083";"11.000545";"18.362820";" 6.138543";"23.561654";"12.249785";"16.694900";"20.003350";"19.096911";"17.627021";" 8.519431";" 7.633937";"11.745205";"17.343129";"14.134411";" 8.717426";" 4.501606";" 5.984140";" 3.604658";" 7.149910";" 4.380504";"11.072907";" 4.193338";"12.978523"
"6pm";"10.483021";" 4.365000";"10.919013";"13.902452";"10.051446";"11.629646";" 7.905896";" 9.277462";"23.116114";" 5.942222";"19.898078";"13.242166";"11.945029";"19.602977";"20.895984";"18.066732";"14.735640";"10.433977";"15.933675";"19.156104";"13.790098";"11.994321";" 7.988294";" 5.701931";" 5.920945";"10.317085";" 5.766723";"10.165290";" 5.509348";"11.968939"
"7pm";"10.455518";" 4.859606";"11.032671";"14.079048";" 9.978521";"12.626939";" 7.226828";" 8.271322";"21.294521";" 5.961480";"21.745683";"11.234954";"12.510317";"17.664648";"21.346024";"11.322638";"14.245137";"10.766491";"15.535425";"22.995668";"13.181851";"17.019020";" 7.407443";" 4.947605";" 7.986607";" 8.915642";" 5.841014";" 9.741317";" 5.865197";"14.257367"
"8pm";"10.179457";" 5.647179";"11.345596";"14.418384";"10.085914";"13.835906";" 7.156986";" 9.373759";"22.455180";" 6.357266";"28.175065";"12.481224";"11.416106";"17.821414";"13.553144";"13.464923";"14.043540";"10.730301";"18.564468";"21.976673";"12.233326";"17.174361";" 6.623129";" 5.499214";" 8.280546";" 8.911611";" 6.342357";" 9.126286";" 5.768735";"14.187603"
"9pm";"10.093369";" 5.647179";"11.047900";"14.114480";"10.075870";"10.838092";" 7.754483";"11.161324";"24.182214";" 6.180326";"22.058314";"11.283170";"10.727488";"19.798142";"13.196885";"25.184113";"14.258782";"10.677889";"18.237961";"22.936120";"12.805834";"15.697282";" 6.477929";" 5.736075";" 8.108432";" 8.965726";" 6.416342";" 9.011064";" 5.857044";"14.318720"
"10pm";"10.021863";" 6.340050";"10.988377";"13.412082";"10.156469";"11.930604";" 7.754483";"11.161324";"22.744511";" 6.246501";"21.920725";"11.512884";"10.859450";"18.168775";"13.452036";"25.655523";"13.563200";"11.601553";"17.800652";"24.033960";"13.048326";"15.733241";" 7.476643";" 5.575492";" 7.939005";" 9.063204";" 6.035312";" 8.957155";" 6.014269";"14.930181"
"11pm";"10.000282";" 7.067109";"10.548033";"13.451748";"10.115456";"14.721941";" 7.878277";"11.161324";"22.371019";" 6.246501";"19.413685";"11.587314";"11.291660";"18.525051";"13.375222";"25.506874";"13.451852";"11.601553";"17.510908";"24.674492";"12.996448";"15.668275";" 7.476643";" 5.575492";" 8.221539";" 8.986077";" 6.019056";" 8.957155";" 6.067120";"14.930181"
"12pm";" 9.963732";" 7.067109";"10.548033";"13.531474";" 9.527877";"14.721941";" 7.878277";"11.881618";"22.371019";" 6.893683";"19.594786";"11.758164";"11.193020";"18.394349";"13.316961";"25.506874";"13.451852";"11.101475";"16.627414";"24.301830";"12.996448";"15.668275";" 7.476643";" 5.575492";" 8.221539";" 8.909468";" 6.019056";" 8.957155";" 6.067120";"14.930181"
"1am";" 9.963732";" 7.067109";"10.548033";"13.531474";" 9.527877";"14.633885";" 7.947561";"11.881618";"22.304944";" 6.856579";"19.777404";"11.721504";"11.096088";"18.394349";"13.678556";"25.506874";"13.314051";"11.222904";"16.627414";"24.301830";"12.996448";"15.668275";" 7.476643";" 5.575492";" 8.221539";" 8.945707";" 6.090476";" 8.957155";" 6.041630";"15.540540"
"2am";" 9.963732";" 7.067109";"10.548033";"13.531474";" 9.527877";"14.633885";" 7.947561";"11.881618";"22.304944";" 6.856579";"19.777404";"11.721504";"11.096088";"18.394349";"13.618236";"25.506874";"13.314051";"11.222904";"16.627414";"24.301830";"12.877080";"15.668275";" 7.476643";" 5.575492";" 8.221539";" 8.945707";" 6.076630";" 8.957155";" 6.041630";"15.569284"
"3am";" 9.963732";" 7.067109";"10.548033";"13.531474";" 9.527877";"14.182665";" 8.209494";"11.881618";"22.304944";" 6.856579";"19.777404";"11.721504";"11.096088";"18.394349";"13.618236";"25.506874";"13.314051";"11.222904";"16.665383";"24.265948";"12.877080";"15.668275";" 7.476643";" 5.575492";" 8.221539";" 8.880739";" 6.076630";" 8.957155";" 6.041630";"15.677466"
